代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12832292.990000000223517
真實報酬,2832292.990000000223517

夏普值報酬,0.274529299000000
夏普值風險,0.083423486196926
夏普值,3.290791496677077

二次趨勢線,40.090537824044631 x^2 + 1293.779375880452335 x + 10000000.000000000000000
二次加權預期報酬,14790.927109975482381
風險,243683.311067153059412
二次加權趨勢值,0.060697333129635
一次趨勢線,8885.895206107568811 x + 10000000.000000000000000
一次預期報酬,8885.895206107568811
一次風險,375774.594036861613858
一次趨勢值,0.023646875938707
找到最佳解世代,1927
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MRK[17](10),MSFT[18](2),NKE[19](3),V[25](1),
Stock#,MRK[17](10),MSFT[18](2),NKE[19](3),V[25](1),
張數,39111,34444,41778,24784,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,24.879999999888241,54.479999999981374,4.479999999981374,37.919999999925494,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2481226.719999999739230,2488977.919999999925494,2497911.100000000093132,2510161.439999999944121,9978277.179999999701977
FS( 3 ),2484355.600000000093132,2485189.080000000074506,2512533.399999999906868,2493060.479999999981374,9975138.560000000521541
FS( 4 ),2467928.979999999981374,2503444.400000000372529,2496657.759999999776483,2500495.680000000167638,9968526.820000000298023
FS( 5 ),2457760.120000000111759,2493800.080000000074506,2497911.100000000093132,2515366.079999999608845,9964837.380000000819564
FS( 6 ),2437422.399999999906868,2507233.240000000223517,2484124.359999999869615,2510161.439999999944121,9938941.439999999478459
FS( 7 ),2444071.270000000018626,2496211.160000000149012,2502506.679999999701977,2502478.399999999906868,9945267.509999999776483
FS( 8 ),2431946.859999999869615,2459700.520000000018626,2467830.939999999944121,2465798.079999999608845,9825276.400000000372529
FS( 9 ),2439769.060000000055879,2497244.479999999981374,2463653.140000000130385,2480668.479999999981374,9881335.160000000149012
FS( 10 ),2451111.250000000000000,2534788.439999999944121,2497493.319999999832362,2524784.000000000000000,10008177.009999999776483
FS( 11 ),2444462.379999999888241,2522044.160000000149012,2446524.160000000149012,2543619.839999999850988,9956650.539999999105930
FS( 12 ),2452284.580000000074506,2536855.080000000074506,2445688.600000000093132,2560720.799999999813735,9995549.059999998658895
FS( 13 ),2418649.120000000111759,2493800.080000000074506,2400568.359999999869615,2531971.359999999869615,9844988.919999999925494
FS( 14 ),2404960.270000000018626,2496900.040000000037253,2295705.580000000074506,2540645.760000000242144,9738211.650000000372529
FS( 15 ),2423733.549999999813735,2485189.080000000074506,2239723.060000000055879,2558242.399999999906868,9706888.089999999850988
FS( 16 ),2441333.500000000000000,2519977.520000000018626,2261447.620000000111759,2579308.799999999813735,9802067.439999999478459
FS( 17 ),2430773.529999999795109,2504822.160000000149012,2239723.060000000055879,2557251.040000000037253,9732569.789999999105930
FS( 18 ),2452675.689999999944121,2503788.839999999850988,2249332.000000000000000,2558242.399999999906868,9764038.929999999701977
FS( 19 ),2461671.219999999739230,2508266.559999999590218,2251838.679999999701977,2561464.319999999832362,9783240.779999999329448
FS( 20 ),2476533.399999999906868,2508611.000000000000000,2244736.419999999925494,2572121.439999999944121,9802002.259999999776483
FS( 21 ),2468711.199999999720603,2516188.679999999701977,2202958.419999999925494,2571873.599999999627471,9759731.899999998509884
FS( 22 ),2468711.199999999720603,2549254.919999999925494,2195856.160000000149012,2570882.240000000223517,9784704.519999999552965
FS( 23 ),2497653.339999999850988,2575432.359999999869615,2206300.660000000149012,2565677.599999999627471,9845063.959999999031425
FS( 24 ),2496480.009999999776483,2546843.839999999850988,2229278.560000000055879,2575095.520000000018626,9847697.929999999701977
FS( 25 ),2488266.699999999720603,2535477.319999999832362,2214656.259999999776483,2553037.760000000242144,9791438.039999999105930
FS( 26 ),2503128.879999999888241,2528244.080000000074506,2204211.759999999776483,2557251.040000000037253,9792835.759999999776483
FS( 27 ),2515644.399999999441206,2560621.439999999944121,2188753.899999999906868,2591452.959999999962747,9856472.699999999254942
FS( 28 ),2513688.849999999627471,2548221.600000000093132,2180816.080000000074506,2588231.040000000037253,9830957.570000000298023
FS( 29 ),2547324.309999999590218,2575087.919999999925494,2215491.819999999832362,2630859.520000000018626,9968763.569999998435378
FS( 30 ),2560230.939999999478459,2572332.400000000372529,2230949.679999999701977,2632346.559999999590218,9995859.579999998211861
FS( 31 ),2559839.830000000074506,2590587.719999999739230,2235963.040000000037253,2622928.639999999664724,10009319.230000000447035
FS( 32 ),2586044.200000000186265,2575432.359999999869615,2244736.419999999925494,2629124.639999999664724,10035337.620000001043081
FS( 33 ),2587608.639999999664724,2594032.120000000111759,2250585.339999999850988,2609793.119999999646097,10042019.219999998807907
FS( 34 ),2580959.769999999552965,2588865.520000000018626,2235127.479999999981374,2598144.639999999664724,10003097.410000000149012
FS( 35 ),2579395.330000000074506,2598509.839999999850988,2228025.219999999739230,2612519.359999999869615,10018449.750000000000000
FS( 36 ),2573137.570000000298023,2581287.839999999850988,2237634.160000000149012,2612519.359999999869615,10004578.929999999701977
FS( 37 ),2565706.479999999515712,2556143.719999999739230,2222176.299999999813735,2610040.959999999962747,9954067.459999999031425
FS( 38 ),2547324.309999999590218,2563032.520000000018626,2224265.200000000186265,2616236.959999999962747,9950858.990000000223517
FS( 39 ),2549279.860000000335276,2523421.919999999925494,2223847.419999999925494,2553285.599999999627471,9849834.800000000745058
FS( 40 ),2532853.240000000223517,2523421.919999999925494,2243483.080000000074506,2551302.879999999888241,9851061.120000001043081
FS( 41 ),2525422.149999999441206,2543743.879999999888241,2200451.740000000223517,2574847.680000000167638,9844465.449999999254942
FS( 42 ),2514471.070000000298023,2544432.760000000242144,2198780.620000000111759,2591948.639999999664724,9849633.089999999850988
FS( 43 ),2504302.209999999962747,2565788.040000000037253,2166193.780000000260770,2591948.639999999664724,9828232.669999999925494
FS( 44 ),2524639.929999999701977,2569921.319999999832362,2167029.339999999850988,2613262.879999999888241,9874853.469999998807907
FS( 45 ),2517599.950000000186265,2557865.919999999925494,2150318.140000000130385,2616980.479999999981374,9842764.490000000223517
FS( 46 ),2526595.479999999515712,2572676.839999999850988,2175802.719999999739230,2610040.959999999962747,9885116.000000000000000
FS( 47 ),2526595.479999999515712,2616765.160000000149012,2179980.520000000018626,2633090.079999999608845,9956431.240000000223517
FS( 48 ),2524639.929999999701977,2617798.479999999981374,2190007.240000000223517,2645234.240000000223517,9977679.890000000596046
FS( 49 ),2516035.509999999776483,2627787.240000000223517,2152407.040000000037253,2652173.760000000242144,9948403.550000000745058
FS( 50 ),2521119.939999999478459,2627787.240000000223517,2152824.819999999832362,2659608.959999999962747,9961340.960000000894070
FS( 51 ),2494524.459999999962747,2632264.959999999962747,2131935.819999999832362,2687614.879999999888241,9946340.120000001043081
FS( 52 ),2496480.009999999776483,2656375.760000000242144,2123580.219999999739230,2679436.159999999683350,9955872.149999998509884
FS( 53 ),2479271.169999999925494,2669120.040000000037253,2129846.919999999925494,2693067.359999999869615,9971305.490000000223517
FS( 54 ),2477315.620000000111759,2674631.080000000074506,2146140.339999999850988,2684145.119999999646097,9982232.160000000149012
FS( 55 ),2472622.299999999813735,2672564.439999999944121,2172460.479999999981374,2665309.280000000260770,9982956.500000000000000
FS( 56 ),2483964.489999999757856,2673253.319999999832362,2184993.879999999888241,2671753.119999999646097,10013964.809999998658895
