代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11143394.200000001117587
真實報酬,1143394.200000001117587

夏普值報酬,0.105639420000000
夏普值風險,0.053528739041538
夏普值,1.973508472112988

二次趨勢線,55.273962161251205 x^2 + -8053.081607234326839 x + 10000000.000000000000000
二次加權預期報酬,10629.517603268584935
風險,191818.100763238238869
二次加權趨勢值,0.055414570162952
一次趨勢線,2455.839565565449448 x + 10000000.000000000000000
一次預期報酬,2455.839565565449448
一次風險,441375.275820873328485
一次趨勢值,0.005564062375261
找到最佳解世代,2634
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
Stock#,JNJ[12](1),MCD[15](2),UNH[23](7),WMT[28](11),
張數,24990,25982,20857,33453,
FS( 47 ),2511995.199999999720603,2593015.560000000055879,2584679.419999999925494,2459187.340000000316650,10148877.519999999552965
FS( 48 ),2475759.699999999720603,2581323.659999999683350,2545468.260000000242144,2435101.180000000167638,10037652.799999998882413
FS( 49 ),2470261.899999999906868,2570151.399999999906868,2540879.719999999739230,2383583.560000000055879,9964876.580000000074506
FS( 50 ),2493752.500000000000000,2582362.939999999944121,2554645.339999999850988,2391277.750000000000000,10022038.529999999329448
FS( 51 ),2474260.299999999813735,2567293.379999999888241,2550056.800000000279397,2406331.600000000093132,9997942.080000000074506
FS( 52 ),2466763.299999999813735,2553522.919999999925494,2527948.379999999888241,2428076.049999999813735,9976310.649999998509884
FS( 53 ),2461015.600000000093132,2581843.300000000279397,2513765.620000000111759,2412353.140000000130385,9968977.660000000149012
FS( 54 ),2469262.299999999813735,2579245.099999999627471,2524194.120000000111759,2421385.449999999720603,9994086.969999998807907
FS( 55 ),2495751.700000000186265,2615360.080000000074506,2582593.719999999739230,2405662.540000000037253,10099368.039999999105930
FS( 56 ),2483256.700000000186265,2617958.280000000260770,2617633.479999999981374,2324371.750000000000000,10043220.210000000894070
FS( 57 ),2481757.299999999813735,2626792.159999999683350,2570079.520000000018626,2293929.520000000018626,9972558.499999998137355
FS( 58 ),2468762.500000000000000,2591976.280000000260770,2498540.010000000242144,2289246.100000000093132,9848524.890000000596046
