代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13380161.919999999925494
真實報酬,3380161.919999999925494

夏普值報酬,0.329316192000000
夏普值風險,0.083044703926519
夏普值,3.965529123824581

二次趨勢線,51.973848485524286 x^2 + -890.599475071035840 x + 10000000.000000000000000
二次加權預期報酬,16537.964383741440543
風險,388824.889182390586939
二次加權趨勢值,0.042533193845993
一次趨勢線,8912.928947611992044 x + 10000000.000000000000000
一次預期報酬,8912.928947611992044
一次風險,535296.268829708453268
一次趨勢值,0.016650459692345
找到最佳解世代,2449
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,108096,
分配資金,10000000.000000000000000,
剩餘資金,39.039999999105930,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10152415.359999999403954,10152415.359999999403954
FS( 3 ),10166467.839999997988343,10166467.839999997988343
FS( 4 ),10197815.679999999701977,10197815.679999999701977
FS( 5 ),10159982.079999998211861,10159982.079999998211861
FS( 6 ),10022700.159999998286366,10022700.159999998286366
FS( 7 ),10163224.959999999031425,10163224.959999999031425
FS( 8 ),10183763.199999999254942,10183763.199999999254942
FS( 9 ),10278887.679999999701977,10278887.679999999701977
FS( 10 ),10339421.439999999478459,10339421.439999999478459
FS( 11 ),10198896.639999998733401,10198896.639999998733401
FS( 12 ),10223758.719999998807907,10223758.719999998807907
FS( 13 ),10181601.279999999329448,10181601.279999999329448
FS( 14 ),10181601.279999999329448,10181601.279999999329448
FS( 15 ),10194572.799999998882413,10194572.799999998882413
FS( 16 ),10266997.119999999180436,10266997.119999999180436
FS( 17 ),10664790.399999998509884,10664790.399999998509884
FS( 18 ),10756672.000000000000000,10756672.000000000000000
FS( 19 ),10690733.439999999478459,10690733.439999999478459
FS( 20 ),10809639.039999999105930,10809639.039999999105930
FS( 21 ),10781534.079999998211861,10781534.079999998211861
FS( 22 ),10836663.039999999105930,10836663.039999999105930
FS( 23 ),10713433.599999999627471,10713433.599999999627471
FS( 24 ),10499403.519999997690320,10499403.519999997690320
FS( 25 ),10562099.199999999254942,10562099.199999999254942
FS( 26 ),10408602.879999998956919,10408602.879999998956919
FS( 27 ),10264835.199999999254942,10264835.199999999254942
FS( 28 ),10404279.039999999105930,10404279.039999999105930
FS( 29 ),10415088.639999998733401,10415088.639999998733401
FS( 30 ),10501565.439999999478459,10501565.439999999478459
FS( 31 ),10395631.359999999403954,10395631.359999999403954
FS( 32 ),10485351.039999999105930,10485351.039999999105930
FS( 33 ),10375093.119999999180436,10375093.119999999180436
FS( 34 ),10490755.839999997988343,10490755.839999997988343
FS( 35 ),10660466.560000000521541,10660466.560000000521541
FS( 36 ),10740457.599999999627471,10740457.599999999627471
FS( 37 ),10608580.479999998584390,10608580.479999998584390
FS( 38 ),10554532.479999998584390,10554532.479999998584390
FS( 39 ),10481027.199999999254942,10481027.199999999254942
FS( 40 ),10580475.519999997690320,10580475.519999997690320
FS( 41 ),10532913.279999999329448,10532913.279999999329448
FS( 42 ),10408602.879999998956919,10408602.879999998956919
FS( 43 ),10358878.719999998807907,10358878.719999998807907
FS( 44 ),10407521.919999999925494,10407521.919999999925494
FS( 45 ),10415088.639999998733401,10415088.639999998733401
FS( 46 ),10469136.639999998733401,10469136.639999998733401
FS( 47 ),10436707.839999997988343,10436707.839999997988343
FS( 48 ),10571827.839999997988343,10571827.839999997988343
FS( 49 ),10532913.279999999329448,10532913.279999999329448
FS( 50 ),10548046.719999998807907,10548046.719999998807907
FS( 51 ),10424817.279999999329448,10424817.279999999329448
FS( 52 ),10337259.519999997690320,10337259.519999997690320
FS( 53 ),10256187.519999997690320,10256187.519999997690320
FS( 54 ),10396712.320000000298023,10396712.320000000298023
FS( 55 ),10255106.560000000521541,10255106.560000000521541
FS( 56 ),10576151.679999999701977,10576151.679999999701977
FS( 57 ),10485351.039999999105930,10485351.039999999105930
FS( 58 ),10673438.079999998211861,10673438.079999998211861
FS( 59 ),10424817.279999999329448,10424817.279999999329448
FS( 60 ),10466974.719999998807907,10466974.719999998807907
FS( 61 ),10487512.959999999031425,10487512.959999999031425
FS( 62 ),10436707.839999997988343,10436707.839999997988343
FS( 63 ),10571827.839999997988343,10571827.839999997988343
FS( 64 ),10391307.519999997690320,10391307.519999997690320
FS( 65 ),10391307.519999997690320,10391307.519999997690320
FS( 66 ),10419412.479999998584390,10419412.479999998584390
FS( 67 ),10461569.919999999925494,10461569.919999999925494
FS( 68 ),10618309.119999999180436,10618309.119999999180436
FS( 69 ),10540480.000000000000000,10540480.000000000000000
FS( 70 ),10588042.240000000223517,10588042.240000000223517
FS( 71 ),10523184.639999998733401,10523184.639999998733401
FS( 72 ),10562099.199999999254942,10562099.199999999254942
FS( 73 ),10597770.879999998956919,10597770.879999998956919
FS( 74 ),10595608.959999999031425,10595608.959999999031425
FS( 75 ),10883144.320000000298023,10883144.320000000298023
FS( 76 ),10821529.599999999627471,10821529.599999999627471
FS( 77 ),10731809.919999999925494,10731809.919999999925494
FS( 78 ),10700462.079999998211861,10700462.079999998211861
FS( 79 ),10643171.199999999254942,10643171.199999999254942
FS( 80 ),10664790.399999998509884,10664790.399999998509884
FS( 81 ),10429141.119999999180436,10429141.119999999180436
FS( 82 ),10369688.320000000298023,10369688.320000000298023
FS( 83 ),10401036.159999998286366,10401036.159999998286366
FS( 84 ),10408602.879999998956919,10408602.879999998956919
FS( 85 ),10433464.959999999031425,10433464.959999999031425
FS( 86 ),10410764.799999998882413,10410764.799999998882413
FS( 87 ),10327530.879999998956919,10327530.879999998956919
FS( 88 ),10303749.759999997913837,10303749.759999997913837
FS( 89 ),10239973.119999999180436,10239973.119999999180436
FS( 90 ),10301587.839999997988343,10301587.839999997988343
FS( 91 ),10332935.679999999701977,10332935.679999999701977
FS( 92 ),10275644.799999998882413,10275644.799999998882413
FS( 93 ),10193491.839999997988343,10193491.839999997988343
FS( 94 ),10229163.519999997690320,10229163.519999997690320
FS( 95 ),10292940.159999998286366,10292940.159999998286366
FS( 96 ),10395631.359999999403954,10395631.359999999403954
FS( 97 ),10385902.719999998807907,10385902.719999998807907
FS( 98 ),10471298.560000000521541,10471298.560000000521541
FS( 99 ),10504808.320000000298023,10504808.320000000298023
FS( 100 ),10446436.479999998584390,10446436.479999998584390
FS( 101 ),10354554.879999998956919,10354554.879999998956919
FS( 102 ),10516698.879999998956919,10516698.879999998956919
FS( 103 ),10316721.279999999329448,10316721.279999999329448
FS( 104 ),10276725.759999997913837,10276725.759999997913837
FS( 105 ),10351312.000000000000000,10351312.000000000000000
FS( 106 ),10395631.359999999403954,10395631.359999999403954
FS( 107 ),10339421.439999999478459,10339421.439999999478459
FS( 108 ),10450760.320000000298023,10450760.320000000298023
FS( 109 ),10359959.679999999701977,10359959.679999999701977
FS( 110 ),10430222.079999998211861,10430222.079999998211861
FS( 111 ),10555613.439999999478459,10555613.439999999478459
FS( 112 ),10639928.320000000298023,10639928.320000000298023
FS( 113 ),10677761.919999999925494,10677761.919999999925494
FS( 114 ),10709109.759999997913837,10709109.759999997913837
FS( 115 ),10578313.599999999627471,10578313.599999999627471
FS( 116 ),10539399.039999999105930,10539399.039999999105930
FS( 117 ),10538318.079999998211861,10538318.079999998211861
FS( 118 ),10519941.759999997913837,10519941.759999997913837
FS( 119 ),10548046.719999998807907,10548046.719999998807907
FS( 120 ),10495079.679999999701977,10495079.679999999701977
FS( 121 ),10388064.639999998733401,10388064.639999998733401
FS( 122 ),10381578.879999998956919,10381578.879999998956919
FS( 123 ),10521022.719999998807907,10521022.719999998807907
FS( 124 ),10616147.199999999254942,10616147.199999999254942
FS( 125 ),10719919.359999999403954,10719919.359999999403954
FS( 126 ),10794505.599999999627471,10794505.599999999627471
FS( 127 ),10746943.359999999403954,10746943.359999999403954
FS( 128 ),10716676.479999998584390,10716676.479999998584390
FS( 129 ),10788019.839999997988343,10788019.839999997988343
FS( 130 ),10739376.639999998733401,10739376.639999998733401
FS( 131 ),10692895.359999999403954,10692895.359999999403954
FS( 132 ),10743700.479999998584390,10743700.479999998584390
FS( 133 ),10681004.799999998882413,10681004.799999998882413
FS( 134 ),10623713.919999999925494,10623713.919999999925494
FS( 135 ),10741538.560000000521541,10741538.560000000521541
FS( 136 ),10730728.959999999031425,10730728.959999999031425
FS( 137 ),10880982.399999998509884,10880982.399999998509884
FS( 138 ),10891792.000000000000000,10891792.000000000000000
FS( 139 ),10928544.639999998733401,10928544.639999998733401
FS( 140 ),10783696.000000000000000,10783696.000000000000000
FS( 141 ),10499403.519999997690320,10499403.519999997690320
FS( 142 ),10038914.560000000521541,10038914.560000000521541
FS( 143 ),9859475.199999999254942,9859475.199999999254942
FS( 144 ),10285373.439999999478459,10285373.439999999478459
FS( 145 ),10521022.719999998807907,10521022.719999998807907
FS( 146 ),10404279.039999999105930,10404279.039999999105930
FS( 147 ),10271320.959999999031425,10271320.959999999031425
FS( 148 ),10103772.159999998286366,10103772.159999998286366
FS( 149 ),10381578.879999998956919,10381578.879999998956919
FS( 150 ),10378336.000000000000000,10378336.000000000000000
FS( 151 ),10252944.639999998733401,10252944.639999998733401
FS( 152 ),10461569.919999999925494,10461569.919999999925494
FS( 153 ),10315640.320000000298023,10315640.320000000298023
FS( 154 ),10296183.039999999105930,10296183.039999999105930
FS( 155 ),10529670.399999998509884,10529670.399999998509884
FS( 156 ),10482108.159999998286366,10482108.159999998286366
FS( 157 ),10613985.279999999329448,10613985.279999999329448
FS( 158 ),10668033.279999999329448,10668033.279999999329448
FS( 159 ),10576151.679999999701977,10576151.679999999701977
FS( 160 ),10490755.839999997988343,10490755.839999997988343
FS( 161 ),10582637.439999999478459,10582637.439999999478459
FS( 162 ),10506970.240000000223517,10506970.240000000223517
FS( 163 ),10526427.519999997690320,10526427.519999997690320
FS( 164 ),10516698.879999998956919,10516698.879999998956919
FS( 165 ),10549127.679999999701977,10549127.679999999701977
FS( 166 ),10372931.199999999254942,10372931.199999999254942
FS( 167 ),10537237.119999999180436,10537237.119999999180436
FS( 168 ),10650737.919999999925494,10650737.919999999925494
FS( 169 ),10677761.919999999925494,10677761.919999999925494
FS( 170 ),10786938.879999998956919,10786938.879999998956919
FS( 171 ),10936111.359999999403954,10936111.359999999403954
FS( 172 ),11015021.439999999478459,11015021.439999999478459
FS( 173 ),11000968.959999999031425,11000968.959999999031425
FS( 174 ),11128522.240000000223517,11128522.240000000223517
FS( 175 ),11107984.000000000000000,11107984.000000000000000
FS( 176 ),11159870.079999998211861,11159870.079999998211861
FS( 177 ),11175003.519999997690320,11175003.519999997690320
FS( 178 ),11114469.759999997913837,11114469.759999997913837
FS( 179 ),11205270.399999998509884,11205270.399999998509884
FS( 180 ),11330661.759999997913837,11330661.759999997913837
FS( 181 ),11294990.079999998211861,11294990.079999998211861
FS( 182 ),11224727.679999999701977,11224727.679999999701977
FS( 183 ),11084202.879999998956919,11084202.879999998956919
FS( 184 ),11984642.560000000521541,11984642.560000000521541
FS( 185 ),12170567.679999999701977,12170567.679999999701977
FS( 186 ),12126248.320000000298023,12126248.320000000298023
FS( 187 ),12067876.479999998584390,12067876.479999998584390
FS( 188 ),12208401.279999999329448,12208401.279999999329448
FS( 189 ),12173810.560000000521541,12173810.560000000521541
FS( 190 ),12133815.039999999105930,12133815.039999999105930
FS( 191 ),12118681.599999999627471,12118681.599999999627471
FS( 192 ),12115438.719999998807907,12115438.719999998807907
FS( 193 ),12150029.439999999478459,12150029.439999999478459
FS( 194 ),12198672.639999998733401,12198672.639999998733401
FS( 195 ),12248396.799999998882413,12248396.799999998882413
FS( 196 ),12207320.320000000298023,12207320.320000000298023
FS( 197 ),12238668.159999998286366,12238668.159999998286366
FS( 198 ),12306768.639999998733401,12306768.639999998733401
FS( 199 ),12118681.599999999627471,12118681.599999999627471
FS( 200 ),11887356.159999998286366,11887356.159999998286366
FS( 201 ),12005180.799999998882413,12005180.799999998882413
FS( 202 ),11992209.279999999329448,11992209.279999999329448
FS( 203 ),12164081.919999999925494,12164081.919999999925494
FS( 204 ),12247315.839999997988343,12247315.839999997988343
FS( 205 ),12313254.399999998509884,12313254.399999998509884
FS( 206 ),12373788.159999998286366,12373788.159999998286366
FS( 207 ),12353249.919999999925494,12353249.919999999925494
FS( 208 ),12366221.439999999478459,12366221.439999999478459
