代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14470873.059999998658895
真實報酬,4470873.059999998658895

夏普值報酬,0.438387306000000
夏普值風險,0.113338573885290
夏普值,3.867944433849076

二次趨勢線,32.118485102386309 x^2 + 10954.996421209280015 x + 10000000.000000000000000
二次加權預期報酬,21682.570445406301587
風險,164966.717541076417547
二次加權趨勢值,0.131436030058653
一次趨勢線,16989.232769037862454 x + 10000000.000000000000000
一次預期報酬,16989.232769037862454
一次風險,279444.106360082922038
一次趨勢值,0.060796532767616
找到最佳解世代,2582
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](4),NKE[19](2),TRV[22](1),V[25](3),
Stock#,HD[9](4),NKE[19](2),TRV[22](1),V[25](3),
張數,52126,95602,41267,89094,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.040000000037253,7.700000000186265,45.140000000130385,22.360000000335276,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2541700.799999999813735,2502868.060000000055879,2491746.600000000093132,2542765.120000000111759,10079080.579999998211861
FS( 3 ),2550040.959999999962747,2521988.459999999962747,2509078.740000000223517,2534746.660000000149012,10115854.820000000298023
FS( 4 ),2637612.640000000130385,2559273.240000000223517,2543743.020000000018626,2591766.820000000298023,10332395.720000000670552
FS( 5 ),2670973.280000000260770,2565965.380000000353903,2554885.109999999869615,2601567.160000000149012,10393390.929999999701977
FS( 6 ),2728833.140000000130385,2596558.020000000018626,2564376.520000000018626,2597112.460000000428408,10486880.140000000596046
FS( 7 ),2676707.140000000130385,2568833.440000000409782,2540441.660000000149012,2591766.820000000298023,10377749.060000000521541
FS( 8 ),2723099.280000000260770,2571701.500000000000000,2556123.120000000111759,2609585.620000000111759,10460509.519999999552965
FS( 9 ),2656899.259999999776483,2443594.819999999832362,2544155.689999999944121,2559692.980000000447035,10204342.750000000000000
FS( 10 ),2718929.199999999720603,2391013.720000000204891,2604818.180000000167638,2594439.640000000596046,10309200.740000000223517
FS( 11 ),2703812.659999999683350,2432122.580000000540167,2616785.609999999869615,2637204.760000000242144,10389925.609999999403954
FS( 12 ),2727269.359999999869615,2423518.400000000372529,2602754.830000000074506,2675515.180000000633299,10429057.769999999552965
FS( 13 ),2761151.259999999776483,2427342.480000000447035,2618436.290000000037253,2703134.320000000298023,10510064.350000001490116
FS( 14 ),2753853.620000000111759,2418738.300000000279397,2634943.090000000316650,2730753.460000000428408,10538288.470000000670552
FS( 15 ),2672015.799999999813735,2358509.040000000502914,2582534.000000000000000,2661260.140000000596046,10274318.980000000447035
FS( 16 ),2711631.560000000055879,2375717.400000000372529,2614309.590000000316650,2783318.920000000391155,10484977.470000000670552
FS( 17 ),2685568.560000000055879,2329828.440000000409782,2564789.189999999944121,2701352.440000000409782,10281538.629999998956919
FS( 18 ),2704333.920000000391155,2352772.919999999925494,2564789.189999999944121,2743226.620000000111759,10365122.649999998509884
FS( 19 ),2687132.339999999850988,2345124.760000000242144,2592850.750000000000000,2749463.200000000186265,10374571.050000000745058
FS( 20 ),2694429.979999999981374,2315488.140000000130385,2593676.090000000316650,2706698.080000000074506,10310292.290000000968575
FS( 21 ),2762193.780000000260770,2098471.600000000093132,2634530.420000000391155,2753917.900000000372529,10249113.700000001117587
FS( 22 ),2763236.299999999813735,2123328.120000000111759,2637831.780000000260770,2820738.400000000372529,10345134.600000001490116
FS( 23 ),2692344.939999999944121,2162524.940000000409782,2646497.850000000093132,2814501.820000000298023,10315869.550000000745058
FS( 24 ),2716322.899999999906868,2203633.800000000279397,2639482.459999999962747,2828756.860000000335276,10388196.019999999552965
FS( 25 ),2718407.939999999944121,2184513.400000000372529,2610595.560000000055879,2790446.440000000409782,10303963.339999999850988
FS( 26 ),2716844.159999999683350,2157744.840000000316650,2602754.830000000074506,2753917.900000000372529,10231261.730000000447035
FS( 27 ),2722056.759999999776483,2181645.340000000316650,2608532.209999999962747,2723625.940000000409782,10235860.250000000000000
FS( 28 ),2693387.459999999962747,2205545.840000000316650,2580470.650000000372529,2689770.220000000670552,10169174.170000001788139
FS( 29 ),2687132.339999999850988,2195029.620000000111759,2568503.220000000204891,2731644.400000000372529,10182309.580000000074506
FS( 30 ),2715280.380000000353903,2245698.680000000167638,2605230.850000000093132,2763718.240000000223517,10329928.150000000372529
FS( 31 ),2681919.740000000223517,2223710.220000000204891,2581295.990000000223517,2832320.620000000111759,10319246.570000000298023
FS( 32 ),2643867.759999999776483,2217018.080000000540167,2612658.910000000149012,2856376.000000000465661,10329920.750000000000000
FS( 33 ),2653771.699999999720603,2261951.020000000018626,2641133.140000000130385,2847466.600000000558794,10404322.460000000894070
FS( 34 ),2656378.000000000000000,2277247.340000000316650,2628340.370000000111759,2793119.260000000242144,10355084.970000000670552
FS( 35 ),2642825.240000000223517,2224666.240000000223517,2587898.709999999962747,2801137.720000000670552,10256527.910000000149012
FS( 36 ),2656378.000000000000000,2218930.120000000111759,2547869.720000000204891,2772627.640000000596046,10195805.480000000447035
FS( 37 ),2667324.459999999962747,2221798.180000000167638,2512792.770000000018626,2731644.400000000372529,10133559.810000000521541
FS( 38 ),2662111.859999999869615,2235182.459999999962747,2516506.799999999813735,2721844.060000000521541,10135645.179999999701977
FS( 39 ),2758023.699999999720603,2308796.000000000000000,2542505.010000000242144,2823411.220000000670552,10432735.929999999701977
FS( 40 ),2799724.500000000000000,2319312.220000000204891,2588311.379999999888241,2875976.680000000633299,10583324.780000001192093
FS( 41 ),2775746.540000000037253,2290631.620000000111759,2608532.209999999962747,2914287.100000000558794,10589197.470000000670552
FS( 42 ),2719971.720000000204891,2231358.380000000353903,2585422.689999999944121,2875085.740000000689179,10411838.530000001192093
FS( 43 ),2693908.720000000204891,2222754.200000000186265,2614309.590000000316650,2839448.140000000596046,10370420.650000000372529
FS( 44 ),2678792.180000000167638,2212237.980000000447035,2594501.430000000167638,2879540.440000000409782,10365072.030000001192093
FS( 45 ),2725705.580000000074506,2260038.980000000447035,2629165.709999999962747,2916959.920000000391155,10531870.190000001341105
FS( 46 ),2710589.040000000037253,2282983.459999999962747,2621324.980000000447035,2918741.800000000279397,10533639.280000001192093
FS( 47 ),2731439.439999999944121,2298279.780000000260770,2615134.930000000167638,2904486.760000000242144,10549340.910000000149012
FS( 48 ),2751768.580000000074506,2292543.660000000149012,2633292.410000000149012,2921414.620000000111759,10599019.269999999552965
FS( 49 ),2770533.939999999944121,2272467.240000000223517,2636593.770000000018626,2862612.580000000540167,10542207.529999999329448
FS( 50 ),2765842.600000000093132,2259082.959999999962747,2640307.799999999813735,2875085.740000000689179,10540319.100000001490116
FS( 51 ),2753332.359999999869615,2290631.620000000111759,2629991.049999999813735,2858157.880000000353903,10532112.910000000149012
FS( 52 ),2851850.500000000000000,2268643.160000000149012,2622150.320000000298023,2892904.540000000037253,10635548.519999999552965
FS( 53 ),2866967.040000000037253,2252390.819999999832362,2630816.390000000130385,2875085.740000000689179,10625259.990000000223517
FS( 54 ),2935252.100000000093132,2265775.100000000093132,2642371.150000000372529,2888449.840000000316650,10731848.190000001341105
FS( 55 ),2957145.020000000018626,2301147.840000000316650,2687764.850000000093132,2866176.340000000316650,10812234.050000000745058
FS( 56 ),2948804.859999999869615,2288719.580000000540167,2708811.020000000018626,2854594.120000000111759,10800929.580000001937151
FS( 57 ),2935773.359999999869615,2290631.620000000111759,2691891.550000000279397,2840339.080000000074506,10758635.610000001266599
FS( 58 ),2952453.680000000167638,2288719.580000000540167,2700970.290000000037253,2853703.180000000633299,10795846.730000000447035
FS( 59 ),2947762.339999999850988,2281071.419999999925494,2674146.740000000223517,2832320.620000000111759,10735301.120000001043081
FS( 60 ),2969134.000000000000000,2315488.140000000130385,2698906.940000000409782,2821629.340000000316650,10805158.420000001788139
FS( 61 ),2954017.459999999962747,2304971.919999999925494,2689828.200000000186265,2843902.840000000316650,10792720.419999999925494
FS( 62 ),2946719.820000000298023,2363289.140000000130385,2675797.420000000391155,2837666.260000000242144,10823472.640000000596046
FS( 63 ),2962878.880000000353903,2358509.040000000502914,2674146.740000000223517,2851921.300000000279397,10847455.960000000894070
FS( 64 ),2951411.159999999683350,2336520.580000000540167,2661353.969999999739230,2822520.280000000260770,10771805.990000000223517
FS( 65 ),2958187.540000000037253,2326960.380000000353903,2671670.719999999739230,2856376.000000000465661,10813194.640000000596046
FS( 66 ),2960272.580000000074506,2325048.340000000316650,2667544.020000000018626,2862612.580000000540167,10815477.519999999552965
FS( 67 ),2947241.080000000074506,2326960.380000000353903,2663004.650000000372529,2842120.960000000428408,10779327.070000002160668
FS( 68 ),3005100.939999999944121,2377629.440000000409782,2696430.920000000391155,2884886.080000000540167,10964047.380000000819564
FS( 69 ),2984771.799999999813735,2372849.340000000316650,2691066.209999999962747,2889340.780000000260770,10938028.130000000819564
FS( 70 ),2986856.839999999850988,2391013.720000000204891,2695192.910000000149012,2866176.340000000316650,10939239.810000000521541
FS( 71 ),2956623.759999999776483,2382409.540000000502914,2762870.790000000037253,2928542.140000000130385,11030446.230000000447035
FS( 72 ),2973825.339999999850988,2410134.120000000111759,2787218.320000000298023,2973089.140000000130385,11144266.919999999925494
FS( 73 ),3038982.839999999850988,2370937.300000000279397,2824771.290000000037253,3006053.920000000391155,11240745.350000001490116
FS( 74 ),3099449.000000000000000,2309752.020000000018626,2830136.000000000000000,2990017.000000000465661,11229354.019999999552965
FS( 75 ),3070779.699999999720603,2341300.680000000167638,2826009.300000000279397,2981998.540000000037253,11220088.219999998807907
FS( 76 ),3068173.399999999906868,2335564.560000000055879,2825183.959999999962747,2977543.840000000316650,11206465.759999999776483
FS( 77 ),3099970.259999999776483,2334608.540000000502914,2815692.550000000279397,3002490.160000000614673,11252761.510000001639128
FS( 78 ),3090066.320000000298023,2311664.060000000055879,2824771.290000000037253,2998035.460000000428408,11224537.130000000819564
FS( 79 ),3097363.959999999962747,2306883.959999999962747,2831374.010000000242144,3006944.860000000335276,11242566.789999999105930
FS( 80 ),3095800.180000000167638,2278203.359999999869615,2823533.280000000260770,2979325.720000000204891,11176862.540000000968575
FS( 81 ),3113001.759999999776483,2272467.240000000223517,2826009.300000000279397,2997144.520000000484288,11208622.820000000298023
FS( 82 ),3084332.459999999962747,2282027.440000000409782,2797122.400000000372529,2951706.580000000540167,11115188.880000000819564
FS( 83 ),3121341.920000000391155,2294455.700000000186265,2823120.609999999869615,2982889.479999999981374,11221807.710000000894070
FS( 84 ),3146883.659999999683350,2268643.160000000149012,2816930.560000000521541,2990907.940000000409782,11223365.320000000298023
FS( 85 ),3157308.859999999869615,2283939.480000000447035,2850356.830000000074506,3045255.280000000260770,11336860.449999999254942
FS( 86 ),3144798.620000000111759,2269599.180000000167638,2835088.040000000037253,3029218.360000000335276,11278704.200000001117587
FS( 87 ),3219860.060000000055879,2241874.600000000093132,2847880.810000000521541,3085347.580000000540167,11394963.050000000745058
FS( 88 ),3218296.280000000260770,2291587.640000000130385,2859022.900000000372529,3111184.840000000316650,11480091.660000000149012
FS( 89 ),3294400.240000000223517,2276291.319999999832362,2870577.660000000149012,3124548.940000000409782,11565818.160000000149012
FS( 90 ),3225593.920000000391155,2270555.200000000186265,2869752.320000000298023,3089802.280000000260770,11455703.720000002533197
FS( 91 ),3177116.740000000223517,2258126.940000000409782,2860673.580000000074506,3046146.220000000204891,11342063.480000000447035
FS( 92 ),3114044.280000000260770,2252390.819999999832362,2863974.940000000409782,3060401.260000000242144,11290811.300000000745058
FS( 93 ),3075992.299999999813735,2268643.160000000149012,2854070.859999999869615,3096929.800000000279397,11295636.120000001043081
FS( 94 ),3104661.600000000093132,2257170.919999999925494,2835913.379999999888241,3098711.680000000633299,11296457.580000000074506
FS( 95 ),3161478.939999999944121,2284895.500000000000000,2880069.070000000298023,3115639.540000000037253,11442083.050000000745058
FS( 96 ),3172425.399999999906868,2324092.319999999832362,2908955.969999999739230,3144149.620000000111759,11549623.309999998658895
FS( 97 ),3200052.180000000167638,2331740.480000000447035,2945683.600000000093132,3175332.520000000484288,11652808.780000001192093
FS( 98 ),3221423.839999999850988,2331740.480000000447035,3051327.120000000111759,3160186.540000000037253,11764677.980000000447035
FS( 99 ),3226115.180000000167638,2304971.919999999925494,3033582.310000000521541,3117421.420000000391155,11682090.830000000074506
FS( 100 ),3233934.080000000074506,2258126.940000000409782,3053390.469999999739230,3096038.860000000335276,11641490.350000001490116
FS( 101 ),3218817.540000000037253,2218930.120000000111759,3028217.600000000093132,3043473.399999999906868,11509438.660000000149012
FS( 102 ),3194318.320000000298023,2219886.140000000130385,3019964.200000000186265,3039909.640000000130385,11474078.300000000745058
FS( 103 ),3152617.520000000018626,2182601.359999999869615,2976221.180000000167638,3063965.020000000484288,11375405.080000001937151
