代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11945263.309999998658895
真實報酬,1945263.309999998658895

夏普值報酬,0.185826331000000
夏普值風險,0.061997645890720
夏普值,2.997312693574612

二次趨勢線,38.194125933734490 x^2 + -1867.944705286126236 x + 10000000.000000000000000
二次加權預期報酬,11041.669860316134873
風險,238310.082028846401954
二次加權趨勢值,0.046333204899739
一次趨勢線,5393.685237771993343 x + 10000000.000000000000000
一次預期報酬,5393.685237771993343
一次風險,363650.306468697963282
一次趨勢值,0.014832065701109
找到最佳解世代,1545
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),MCD[15](1),V[25](2),WMT[28](7),
Stock#,AAPL[0](4),MCD[15](1),V[25](2),WMT[28](7),
張數,55309,31529,132908,45703,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,33.199999999720603,65.589999999850988,0.520000000018626,45.899999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2513827.250000000000000,2502837.609999999869615,2558479.520000000018626,2502285.149999999906868,10077429.529999999329448
FS( 3 ),2508296.349999999627471,2514818.629999999888241,2570441.240000000223517,2496343.759999999776483,10089899.980000000447035
FS( 4 ),2529866.859999999869615,2509143.409999999683350,2602339.159999999683350,2490402.370000000111759,10131751.800000000745058
FS( 5 ),2514380.339999999850988,2533105.450000000186265,2554492.279999999795109,2517824.169999999925494,10119802.240000000223517
FS( 6 ),2536503.939999999478459,2482659.049999999813735,2590377.439999999944121,2490402.370000000111759,10099942.800000000745058
FS( 7 ),2526548.319999999832362,2447031.279999999795109,2628920.760000000242144,2483546.919999999925494,10086047.279999999329448
FS( 8 ),2532632.309999999590218,2445454.830000000074506,2664805.919999999925494,2480804.739999999757856,10123697.799999998882413
FS( 9 ),2541481.750000000000000,2431266.779999999795109,2687400.279999999795109,2477605.529999999795109,10137754.339999997988343
FS( 10 ),2530973.039999999571592,2431266.779999999795109,2679425.799999999813735,2488574.250000000000000,10130239.869999999180436
FS( 11 ),2531526.129999999888241,2427168.009999999776483,2557150.439999999944121,2478519.589999999850988,9994364.169999999925494
FS( 12 ),2538163.209999999962747,2418655.179999999701977,2232854.919999999925494,2496800.790000000037253,9686474.099999999627471
FS( 13 ),2533185.399999999441206,2421808.080000000074506,2223551.359999999869615,2486746.129999999888241,9665290.969999998807907
FS( 14 ),2545906.469999999739230,2425276.270000000018626,2259436.520000000018626,2457496.209999999962747,9688115.469999998807907
FS( 15 ),2561392.989999999757856,2423384.529999999795109,2260765.600000000093132,2452011.849999999627471,9697554.969999998807907
FS( 16 ),2569136.250000000000000,2428113.879999999888241,2278043.640000000130385,2436472.830000000074506,9711766.599999999627471
FS( 17 ),2556968.269999999552965,2426537.429999999701977,2283359.959999999962747,2449726.700000000186265,9716592.359999999403954
FS( 18 ),2565264.619999999646097,2409827.060000000055879,2352472.120000000111759,2448355.609999999869615,9775919.410000000149012
FS( 19 ),2571901.699999999720603,2409827.060000000055879,2349813.959999999962747,2456125.120000000111759,9787667.839999999850988
FS( 20 ),2570242.429999999701977,2427483.299999999813735,2345826.719999999739230,2471664.139999999664724,9815216.589999999850988
FS( 21 ),2557521.359999999869615,2420231.629999999888241,2335194.080000000074506,2471207.109999999869615,9784154.179999999701977
FS( 22 ),2548671.919999999459833,2420231.629999999888241,2339181.320000000298023,2464808.689999999944121,9772893.559999998658895
FS( 23 ),2603980.919999999459833,2415186.989999999757856,2343168.560000000055879,2493601.580000000074506,9855938.049999998882413
FS( 24 ),2617808.169999999459833,2342985.580000000074506,2345826.719999999739230,2503199.209999999962747,9809819.679999999701977
FS( 25 ),2638825.589999999850988,2354020.729999999515712,2395002.680000000167638,2486746.129999999888241,9874595.129999998956919
FS( 26 ),2637166.319999999832362,2339832.679999999701977,2430887.839999999850988,2466179.779999999795109,9874066.619999999180436
FS( 27 ),2655971.379999999888241,2344877.319999999832362,2424242.439999999944121,2471664.139999999664724,9896755.279999997466803
FS( 28 ),2705749.479999999981374,2319338.830000000074506,2385699.120000000111759,2455668.089999999850988,9866455.519999999552965
FS( 29 ),2699665.489999999757856,2330058.689999999944121,2388357.279999999795109,2481261.770000000018626,9899343.229999998584390
FS( 30 ),2721236.000000000000000,2320599.989999999757856,2412280.719999999739230,2506855.450000000186265,9960972.160000000149012
FS( 31 ),2731191.619999999646097,2291278.020000000018626,2364433.839999999850988,2504113.270000000018626,9891016.750000000000000
FS( 32 ),2753315.219999999739230,2335103.330000000074506,2363104.760000000242144,2505027.330000000074506,9956550.640000000596046
FS( 33 ),2691369.139999999664724,2354651.310000000055879,2365762.919999999925494,2520109.319999999832362,9931892.689999999478459
FS( 34 ),2677541.889999999664724,2375775.739999999757856,2296650.760000000242144,2515081.989999999757856,9865050.379999998956919
FS( 35 ),2628869.969999999739230,2369785.229999999515712,2348484.880000000353903,2558956.870000000111759,9906096.949999999254942
FS( 36 ),2581304.229999999981374,2365055.879999999888241,2331206.839999999850988,2547074.089999999850988,9824641.039999999105930
FS( 37 ),2666480.089999999850988,2376721.609999999869615,2385699.120000000111759,2561699.049999999813735,9990599.869999999180436
