代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12765993.220000000670552
真實報酬,2765993.220000000670552

夏普值報酬,0.267899322000000
夏普值風險,0.085077191873847
夏普值,3.148897090976438

二次趨勢線,37.872658661218821 x^2 + 2774.334336097648702 x + 10000000.000000000000000
二次加權預期報酬,15474.299207159690923
風險,214433.049027658737032
二次加權趨勢值,0.072163779218397
一次趨勢線,9918.036340986522191 x + 10000000.000000000000000
一次預期報酬,9918.036340986522191
一次風險,343298.936631531978492
一次趨勢值,0.028890378858446
找到最佳解世代,2087
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](2),KO[14](5),PG[21](1),
Stock#,HD[9](2),KO[14](5),PG[21](1),
張數,18471,69822,37206,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,56.339999999850988,30.719999999739230,47.459999999962747,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3323543.370000000111759,3351486.719999999739230,3341518.319999999832362,10016549.410000000149012
FS( 3 ),3365287.829999999608845,3399663.899999999441206,3393234.660000000149012,10158187.389999998733401
FS( 4 ),3361963.049999999813735,3428989.139999999664724,3404768.520000000018626,10195721.709999999031425
FS( 5 ),3458381.669999999459833,3447142.859999999403954,3396583.200000000186265,10302108.730000000447035
FS( 6 ),3472604.339999999850988,3444349.979999999515712,3399187.620000000111759,10316142.939999999478459
FS( 7 ),3435477.629999999888241,3468787.679999999701977,3438253.919999999925494,10342520.230000000447035
FS( 8 ),3314307.870000000111759,3482053.859999999403954,3449043.660000000149012,10245406.390000000596046
FS( 9 ),3306365.339999999850988,3481355.639999999664724,3477692.279999999795109,10265414.259999999776483
FS( 10 ),3322989.239999999757856,3474373.439999999478459,3478436.399999999906868,10275800.080000000074506
FS( 11 ),3276072.899999999906868,3472977.000000000000000,3491086.439999999944121,10240137.339999999850988
FS( 12 ),3269792.760000000242144,3503000.459999999962747,3490714.379999999888241,10263508.600000001490116
FS( 13 ),3206437.229999999981374,3526739.939999999478459,3470995.200000000186265,10204173.370000001043081
FS( 14 ),3122578.890000000130385,3447841.080000000074506,3426720.059999999590218,9997141.030000001192093
FS( 15 ),3127196.640000000130385,3402456.779999999329448,3401047.919999999925494,9930702.339999999850988
FS( 16 ),3118884.689999999944121,3422705.160000000149012,3405884.700000000186265,9947475.550000000745058
FS( 17 ),3136801.559999999590218,3412231.859999999403954,3420767.100000000093132,9969801.519999999552965
FS( 18 ),3199602.959999999962747,3447142.859999999403954,3449787.779999999795109,10096534.599999999627471
