代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13445319.099999999627471
真實報酬,3445319.099999999627471

夏普值報酬,0.335831910000000
夏普值風險,0.101827421080840
夏普值,3.298049841931939

二次趨勢線,25.466535349644516 x^2 + 9599.093103773424446 x + 10000000.000000000000000
二次加權預期報酬,18172.826671487073327
風險,177157.793504064233275
二次加權趨勢值,0.102579888313354
一次趨勢線,14421.799324818819514 x + 10000000.000000000000000
一次預期報酬,14421.799324818819514
一次風險,253775.908289706829237
一次趨勢值,0.056828874821148
找到最佳解世代,1479
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),BA[2](1),DD[7](3),MRK[17](19),UTX[24](4),V[25](5),
Stock#,AAPL[0](6),BA[2](1),DD[7](3),MRK[17](19),UTX[24](4),V[25](5),
張數,25720,22260,35911,39843,18551,42045,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,10.000000000000000,59.799999999813735,36.490000000223517,33.310000000055879,44.159999999916181,2.199999999953434,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1625256.800000000046566,1674234.399999999674037,1643323.850000000093132,1627619.860000000102445,1661100.699999999953434,1646484.399999999906868,9878024.009999999776483
FS( 3 ),1682355.199999999953434,1689371.199999999720603,1652301.600000000093132,1650728.800000000046566,1655906.419999999925494,1676756.800000000046566,10007424.019999999552965
FS( 4 ),1680554.800000000046566,1698275.199999999953434,1663793.120000000111759,1637182.180000000167638,1657947.030000000027940,1690631.649999999906868,10028387.980000000447035
FS( 5 ),1720420.800000000046566,1723651.599999999860302,1646914.950000000186265,1633596.310000000055879,1668706.609999999869615,1651109.350000000093132,10044403.619999999180436
FS( 6 ),1745111.999999999767169,1704285.399999999906868,1658047.360000000335276,1640768.050000000046566,1671303.750000000000000,1658677.450000000186265,10078198.009999997913837
FS( 7 ),1763373.199999999953434,1688926.000000000000000,1660920.240000000223517,1648736.650000000139698,1662399.270000000018626,1643120.799999999813735,10067480.160000000149012
FS( 8 ),1719134.800000000046566,1691597.199999999720603,1675284.640000000130385,1651525.660000000149012,1669263.139999999897555,1648166.200000000186265,10054975.640000000596046
FS( 9 ),1716048.399999999906868,1664662.599999999860302,1687853.490000000223517,1639572.760000000009313,1660358.659999999916181,1626723.249999999767169,9995223.160000000149012
FS( 10 ),1714505.199999999953434,1668001.599999999860302,1661638.460000000428408,1641166.479999999981374,1663883.349999999860302,1639336.750000000000000,9988535.839999999850988
FS( 11 ),1690842.799999999813735,1670227.599999999860302,1644760.290000000037253,1650330.370000000111759,1684103.939999999944121,1660779.699999999953434,10001048.699999999254942
FS( 12 ),1690071.199999999953434,1661768.800000000046566,1646914.950000000186265,1682204.770000000018626,1688556.179999999934807,1656575.199999999953434,10026095.099999999627471
FS( 13 ),1649176.400000000139698,1664662.599999999860302,1618186.150000000372529,1699735.689999999944121,1672602.319999999832362,1633450.449999999953434,9937817.609999999403954
FS( 14 ),1638888.399999999906868,1692042.399999999906868,1577247.610000000335276,1693360.810000000055879,1658689.069999999832362,1654893.399999999906868,9915125.690000001341105
FS( 15 ),1656378.000000000232831,1706511.399999999674037,1604899.080000000074506,1712087.020000000018626,1678724.149999999906868,1675915.899999999906868,10034519.550000000745058
FS( 16 ),1627057.199999999953434,1670227.599999999860302,1566833.420000000391155,1694157.670000000158325,1639396.030000000027940,1638495.849999999860302,9836171.770000001415610
FS( 17 ),1649690.800000000046566,1684028.800000000046566,1579761.380000000353903,1690173.370000000111759,1654793.359999999869615,1659097.899999999906868,9917549.610000001266599
FS( 18 ),1633487.199999999953434,1722093.399999999906868,1626804.790000000037253,1712087.020000000018626,1680208.229999999748543,1680540.849999999860302,10055225.490000000223517
FS( 19 ),1621913.199999999953434,1711853.800000000046566,1622136.360000000335276,1702524.699999999953434,1679837.209999999962747,1667506.899999999906868,10005776.169999999925494
FS( 20 ),1581790.000000000000000,1720312.599999999860302,1626804.790000000037253,1698540.400000000139698,1672045.789999999804422,1661620.600000000093132,9961118.179999999701977
FS( 21 ),1543467.199999999953434,1716083.199999999953434,1632550.550000000279397,1726828.930000000167638,1653494.789999999804422,1676756.800000000046566,9949185.470000000670552
FS( 22 ),1584104.800000000046566,1751031.399999999674037,1646914.950000000186265,1723243.060000000055879,1688556.179999999934807,1684745.349999999860302,10078599.740000000223517
FS( 23 ),1564043.199999999953434,1760380.599999999860302,1672770.870000000111759,1740375.550000000046566,1689483.729999999748543,1693154.350000000093132,10120212.299999998882413
FS( 24 ),1582047.199999999953434,1804232.799999999813735,1661997.570000000298023,1724039.920000000158325,1701356.369999999878928,1687268.050000000046566,10160945.910000000149012
FS( 25 ),1586162.400000000139698,1808239.599999999860302,1676002.860000000335276,1712087.020000000018626,1708034.729999999748543,1688949.850000000093132,10179480.460000000894070
