代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11600513.199999999254942
真實報酬,1600513.199999999254942

夏普值報酬,0.151351320000000
夏普值風險,0.060901331018860
夏普值,2.485189033933104

二次趨勢線,58.315024396506011 x^2 + -7520.843965352564737 x + 10000000.000000000000000
二次加權預期報酬,12111.880914804460190
風險,195993.857898807968013
二次加權趨勢值,0.061797247345669
一次趨勢線,3522.520476499826145 x + 10000000.000000000000000
一次預期報酬,3522.520476499826145
一次風險,459934.690737153694499
一次趨勢值,0.007658740572176
找到最佳解世代,2490
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,2
KO[14](1),MCD[15](2),
Stock#,KO[14](1),MCD[15](2),
張數,172176,78690,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,8.959999999962747,37.400000000372529,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4989669.440000000409782,4918162.400000000372529,9907831.839999999850988
FS( 3 ),4931129.599999999627471,4876456.700000000186265,9807586.300000000745058
FS( 4 ),4950068.959999999962747,4846554.500000000931323,9796623.460000000894070
FS( 5 ),4982782.400000000372529,4873309.100000000558794,9856091.500000000000000
FS( 6 ),4965564.799999999813735,4769438.300000000745058,9735003.100000001490116
FS( 7 ),4979338.879999999888241,4768651.400000000372529,9747990.280000001192093
FS( 8 ),5043044.000000000000000,4804061.900000000372529,9847105.900000000372529
FS( 9 ),5089531.519999999552965,4852062.799999999813735,9941594.320000000298023
FS( 10 ),5082644.479999999515712,4889834.000000000000000,9972478.480000000447035
FS( 11 ),5084366.240000000223517,4878817.400000000372529,9963183.640000000596046
FS( 12 ),5029269.919999999925494,4911867.200000000186265,9941137.120000001043081
FS( 13 ),4905303.199999999254942,4872522.200000000186265,9777825.399999998509884
FS( 14 ),4900137.919999999925494,4892194.700000000186265,9792332.620000001043081
FS( 15 ),4922520.799999999813735,4930752.799999999813735,9853273.599999999627471
FS( 16 ),4931129.599999999627471,4955146.700000000186265,9886276.300000000745058
FS( 17 ),4932851.359999999403954,4985835.800000000745058,9918687.160000000149012
FS( 18 ),4944903.679999999701977,4990557.200000000186265,9935460.879999998956919
FS( 19 ),4944903.679999999701977,5005508.300000000745058,9950411.980000000447035
FS( 20 ),4970730.080000000074506,5003934.500000000931323,9974664.580000001937151
FS( 21 ),4965564.799999999813735,4948851.500000000000000,9914416.300000000745058
FS( 22 ),4907024.959999999962747,4913441.000000000000000,9820465.960000000894070
FS( 23 ),4910468.479999999515712,4940195.600000000558794,9850664.080000000074506
FS( 24 ),4851928.639999999664724,4902424.400000000372529,9754353.039999999105930
FS( 25 ),4850206.879999999888241,4835537.900000000372529,9685744.780000001192093
FS( 26 ),4838154.560000000521541,4870948.400000000372529,9709102.960000000894070
FS( 27 ),4748623.040000000037253,4866227.000000000931323,9614850.040000000968575
FS( 28 ),4845041.599999999627471,4903998.200000000186265,9749039.800000000745058
FS( 29 ),4896694.400000000372529,4930752.799999999813735,9827447.199999999254942
FS( 30 ),4910468.479999999515712,4925244.500000000931323,9835712.980000000447035
FS( 31 ),4919077.280000000260770,4929965.900000000372529,9849043.179999999701977
FS( 32 ),4846763.359999999403954,4900850.600000000558794,9747613.960000000894070
FS( 33 ),4857093.919999999925494,4995278.600000000558794,9852372.519999999552965
FS( 34 ),4777892.959999999962747,4958294.299999999813735,9736187.259999999776483
FS( 35 ),4681474.400000000372529,4973245.400000000372529,9654719.800000000745058
FS( 36 ),4669422.080000000074506,4988196.500000000000000,9657618.580000000074506
FS( 37 ),4679752.639999999664724,4964589.500000000931323,9644342.140000000596046
FS( 38 ),4660813.280000000260770,5021246.300000000745058,9682059.580000001937151
FS( 39 ),4693526.720000000670552,5014951.100000000558794,9708477.820000000298023
FS( 40 ),4664256.799999999813735,4944130.100000000558794,9608386.900000000372529
FS( 41 ),4671143.839999999850988,4912654.100000000558794,9583797.940000001341105
FS( 42 ),4681474.400000000372529,5027541.500000000000000,9709015.900000000372529
FS( 43 ),4740014.240000000223517,5038558.100000000558794,9778572.339999999850988
FS( 44 ),4724518.400000000372529,5131412.299999999813735,9855930.699999999254942
FS( 45 ),4600551.679999999701977,5040918.800000000745058,9641470.480000000447035
FS( 46 ),4571281.759999999776483,4986622.700000000186265,9557904.460000000894070
FS( 47 ),4533403.040000000037253,4951212.200000000186265,9484615.240000000223517
FS( 48 ),4650482.720000000670552,5002360.700000000186265,9652843.420000001788139
FS( 49 ),4631543.359999999403954,4977179.900000000372529,9608723.259999999776483
FS( 50 ),4667700.320000000298023,5019672.500000000000000,9687372.820000000298023
FS( 51 ),4647039.199999999254942,5003934.500000000931323,9650973.699999999254942
FS( 52 ),4719353.120000000111759,5036984.300000000745058,9756337.420000001788139
FS( 53 ),4764118.879999999888241,5056656.800000000745058,9820775.679999999701977
FS( 54 ),4814049.919999999925494,5073968.600000000558794,9888018.519999999552965
FS( 55 ),4796832.320000000298023,5094428.000000000000000,9891260.320000000298023
FS( 56 ),4767562.400000000372529,5096788.700000000186265,9864351.100000001490116
FS( 57 ),4721074.879999999888241,5104657.700000001117587,9825732.580000001937151
FS( 58 ),4748623.040000000037253,5135346.800000000745058,9883969.839999999850988
FS( 59 ),4573003.519999999552965,5066099.599999999627471,9639103.119999999180436
FS( 60 ),4538568.320000000298023,5024393.900000000372529,9562962.220000000670552
FS( 61 ),4586777.599999999627471,5034623.600000000558794,9621401.199999999254942
FS( 62 ),4588499.359999999403954,5041705.700000000186265,9630205.059999998658895
FS( 63 ),4643595.679999999701977,5007082.100000000558794,9650677.780000001192093
FS( 64 ),4690083.199999999254942,4991344.100000000558794,9681427.300000000745058
FS( 65 ),4709022.560000000521541,5010229.700000000186265,9719252.260000001639128
FS( 66 ),4688361.440000000409782,5124330.200000001117587,9812691.640000000596046
FS( 67 ),4664256.799999999813735,5122756.400000000372529,9787013.199999999254942
FS( 68 ),4665978.560000000521541,5110166.000000000000000,9776144.560000000521541
FS( 69 ),4614325.759999999776483,5131412.299999999813735,9745738.059999998658895
FS( 70 ),4593664.639999999664724,5156593.100000000558794,9750257.740000000223517
FS( 71 ),4619491.040000000037253,5188069.100000000558794,9807560.140000000596046
FS( 72 ),4622934.560000000521541,5199085.700000000186265,9822020.260000001639128
FS( 73 ),4634986.879999999888241,5223479.599999999627471,9858466.480000000447035
FS( 74 ),4645317.440000000409782,5247086.600000000558794,9892404.040000000968575
FS( 75 ),4714187.839999999850988,5235283.100000000558794,9949470.940000001341105
FS( 76 ),4695248.479999999515712,5273054.300000000745058,9968302.780000001192093
FS( 77 ),4760675.359999999403954,5299808.900000000372529,10060484.259999999776483
FS( 78 ),4702135.519999999552965,5256529.400000000372529,9958664.919999999925494
