代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,16252256.140000000596046
真實報酬,6252256.140000000596046

夏普值報酬,0.616525614000000
夏普值風險,0.175882844727964
夏普值,3.505319776659127

二次趨勢線,48.375816116288149 x^2 + 17105.035523228052625 x + 10000000.000000000000000
二次加權預期報酬,33391.560282378392003
風險,489599.478034934727475
二次加權趨勢值,0.068201788973304
一次趨勢線,26266.169777614406485 x + 10000000.000000000000000
一次預期報酬,26266.169777614406485
一次風險,599039.214032497489825
一次趨勢值,0.043847162526808
找到最佳解世代,1915
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](4),INTC[11](5),
Stock#,BA[2](4),INTC[11](5),
張數,27413,137703,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,142.930000000633299,4.069999999366701,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5028783.650000000372529,5090883.979999999515712,10119667.629999998956919
FS( 3 ),5027413.000000000000000,5092261.009999998845160,10119674.009999997913837
FS( 4 ),5018640.840000000782311,5074359.619999999180436,10093000.460000000894070
FS( 5 ),5071822.060000000521541,5070228.529999999329448,10142050.589999999850988
FS( 6 ),5099509.190000001341105,5031671.689999999478459,10131180.880000000819564
FS( 7 ),5123906.760000000707805,5008262.179999998770654,10132168.939999999478459
FS( 8 ),5021656.270000000484288,4958689.099999998696148,9980345.369999999180436
FS( 9 ),5042490.150000000372529,4914624.139999998733401,9957114.289999999105930
FS( 10 ),5023575.180000000633299,4892591.659999999217689,9916166.839999999850988
FS( 11 ),5000000.000000000000000,4906361.959999999962747,9906361.960000000894070
FS( 12 ),5008498.030000000260770,4932525.529999999329448,9941023.559999998658895
FS( 13 ),4901039.070000000298023,4825117.189999999478459,9726156.259999999776483
FS( 14 ),4863209.130000000819564,4849903.729999999515712,9713112.859999999403954
FS( 15 ),4955316.810000000521541,4874690.269999999552965,9830007.080000000074506
FS( 16 ),5035088.640000000596046,4925640.379999999888241,9960729.019999999552965
FS( 17 ),5030154.300000000745058,4938033.649999999441206,9968187.949999999254942
FS( 18 ),5078401.180000000633299,4973836.429999998770654,10052237.609999999403954
FS( 19 ),5128292.840000000782311,4993114.849999998696148,10121407.689999999478459
FS( 20 ),5115134.600000000558794,4993114.849999998696148,10108249.449999999254942
FS( 21 ),5123084.370000000111759,4982098.609999999403954,10105182.980000000447035
FS( 22 ),5143644.120000000111759,4972459.399999999441206,10116103.519999999552965
FS( 23 ),5135146.090000000782311,4973836.429999998770654,10108982.519999999552965
FS( 24 ),5214917.919999999925494,5001377.029999999329448,10216294.949999999254942
FS( 25 ),5179829.280000000260770,5004131.089999999850988,10183960.370000001043081
FS( 26 ),5119520.680000000633299,4975213.459999999962747,10094734.140000000596046
FS( 27 ),5156528.230000000447035,4993114.849999998696148,10149643.079999998211861
FS( 28 ),5206694.020000000484288,5023409.509999998845160,10230103.529999999329448
FS( 29 ),5209435.320000000298023,4917378.199999999254942,10126813.519999999552965
FS( 30 ),5208612.930000000633299,4920132.259999998845160,10128745.189999999478459
FS( 31 ),5238493.100000000558794,4940787.709999999962747,10179280.810000000521541
FS( 32 ),5273855.870000000111759,4892591.659999999217689,10166447.529999999329448
FS( 33 ),5358013.780000000260770,4862297.000000000000000,10220310.780000001192093
FS( 34 ),5385152.650000000372529,4848526.699999999254942,10233679.349999999627471
FS( 35 ),5457522.970000000670552,4889837.599999998696148,10347360.570000000298023
FS( 36 ),5436963.220000000670552,4800330.649999999441206,10237293.870000001043081
FS( 37 ),5459990.140000000596046,4761773.809999999590218,10221763.949999999254942
FS( 38 ),5467391.650000000372529,4731479.149999999441206,10198870.800000000745058
FS( 39 ),5543873.919999999925494,4708069.639999998733401,10251943.559999998658895
FS( 40 ),5482194.669999999925494,4691545.279999999329448,10173739.949999999254942
FS( 41 ),5452314.500000000000000,4633710.019999999552965,10086024.519999999552965
FS( 42 ),5472325.990000001154840,4709446.669999999925494,10181772.660000000149012
FS( 43 ),5413113.910000001080334,4618562.689999999478459,10031676.600000001490116
FS( 44 ),5421063.680000000633299,4646103.290000000037253,10067166.970000000670552
FS( 45 ),5444090.600000000558794,4607546.449999999254942,10051637.050000000745058
