代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11465552.540000002831221
真實報酬,1465552.540000002831221

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,23917.076178055860510
風險,53857.127816295200319
起點值,0.444083766583992
找到最佳解世代,1920
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,8
AAPL[0](4),CSCO[4](17),HD[9](19),MRK[17](1),MSFT[18](7),PFE[20](2),WBA[27](6),XOM[29](28),
Stock#,AAPL[0](4),CSCO[4](17),HD[9](19),MRK[17](1),MSFT[18](7),PFE[20](2),WBA[27](6),XOM[29](28),
張數,6678,29198,6442,20674,12498,34406,20448,15288,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,11.959999999962747,33.619999999878928,123.159999999916181,49.959999999962747,75.020000000018626,30.020000000018626,13.760000000009313,53.119999999878928,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1228229.719999999972060,1245912.280000000027940,1247423.199999999953434,1255168.500000000000000,1238001.919999999925494,1250688.120000000111759,1242434.239999999990687,1257338.239999999757856,9965196.220000000670552
FS( 3 ),1238113.159999999916181,1242700.500000000000000,1252512.379999999888241,1274395.320000000065193,1246875.500000000000000,1268579.239999999990687,1275560.000000000000000,1258408.399999999906868,10057144.500000001862645
FS( 4 ),1255275.619999999878928,1247080.199999999953434,1252963.319999999832362,1285972.760000000009313,1264372.699999999953434,1276836.679999999934807,1294372.159999999916181,1258714.159999999916181,10135587.599999999627471
FS( 5 ),1272705.199999999953434,1245912.280000000027940,1263270.520000000018626,1282251.439999999944121,1272996.319999999832362,1278556.979999999981374,1303164.800000000046566,1267428.320000000065193,10186285.860000001266599
FS( 6 ),1271169.260000000009313,1251459.899999999906868,1273126.780000000027940,1288040.159999999916181,1276370.780000000027940,1287846.600000000093132,1292327.360000000102445,1279047.199999999720603,10219388.039999999105930
FS( 7 ),1254674.599999999860302,1242992.479999999981374,1268875.059999999823049,1279770.559999999823049,1274621.060000000055879,1280277.280000000027940,1301733.439999999944121,1262689.040000000037253,10165633.519999999552965
FS( 8 ),1275710.300000000046566,1272482.459999999729916,1275317.059999999823049,1295482.799999999813735,1302241.639999999897555,1290943.140000000130385,1306232.000000000000000,1264217.839999999850988,10282627.239999998360872
FS( 9 ),1277713.699999999953434,1219926.059999999823049,1280084.139999999897555,1300237.820000000065193,1317739.160000000149012,1291287.199999999953434,1332609.920000000158325,1273696.399999999906868,10293294.400000000372529
FS( 10 ),1274908.939999999944121,1240948.619999999878928,1281308.119999999878928,1294035.620000000111759,1311240.199999999953434,1286126.300000000046566,1332405.439999999944121,1261160.239999999757856,10282133.480000000447035
FS( 11 ),1278515.059999999823049,1236276.939999999944121,1295609.359999999869615,1292795.179999999934807,1324238.120000000111759,1295415.919999999925494,1342016.000000000000000,1258408.399999999906868,10323274.980000000447035
FS( 12 ),1271503.159999999916181,1232481.199999999953434,1294771.899999999906868,1301271.520000000018626,1313864.780000000027940,1295759.979999999981374,1352853.439999999944121,1257032.479999999748543,10319538.459999999031425
FS( 13 ),1281386.599999999860302,1238028.819999999832362,1305465.619999999878928,1292381.699999999953434,1304866.220000000204891,1285438.179999999934807,1327702.400000000139698,1253822.000000000000000,10289091.540000000968575
