代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11251521.239999998360872
真實報酬,1251521.239999998360872

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20690.770526274594886
風險,125627.976521307762596
起點值,0.164698748632358
找到最佳解世代,1571
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](2),INTC[11](4),PG[21](3),V[25](1),
Stock#,AAPL[0](2),INTC[11](4),PG[21](3),V[25](1),
張數,26071,76335,29488,33566,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,51.810000000055879,28.750000000000000,7.359999999869615,4.319999999832362,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2476536.100000000093132,2494656.549999999813735,2519462.079999999608845,2506377.540000000037253,9997032.269999999552965
FS( 3 ),2490614.439999999944121,2516793.699999999720603,2507372.000000000000000,2485902.279999999795109,10000682.419999999925494
FS( 4 ),2501303.549999999813735,2534350.750000000000000,2501474.399999999906868,2485902.279999999795109,10023030.979999998584390
FS( 5 ),2520596.090000000316650,2595418.750000000000000,2529193.119999999646097,2565118.040000000037253,10210326.000000000000000
FS( 6 ),2528417.390000000130385,2624426.050000000279397,2528603.359999999869615,2568474.639999999664724,10249921.440000001341105
FS( 7 ),2539888.629999999888241,2667173.649999999906868,2528603.359999999869615,2600698.000000000000000,10336363.639999998733401
FS( 8 ),2525549.580000000074506,2672517.099999999627471,2532731.679999999701977,2600026.679999999701977,10330825.039999999105930
FS( 9 ),2575605.900000000372529,2687020.750000000000000,2532141.919999999925494,2622851.560000000055879,10417620.130000000819564
FS( 10 ),2575345.189999999944121,2677097.200000000186265,2536270.240000000223517,2628222.119999999646097,10416934.750000000000000
FS( 11 ),2602719.740000000223517,2675570.500000000000000,2533911.200000000186265,2628557.779999999795109,10440759.220000000670552
FS( 12 ),2603762.580000000074506,2683204.000000000000000,2540988.319999999832362,2642319.839999999850988,10470274.740000000223517
