代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11679939.998350002000
真實報酬,1679939.998350001900

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,13422.295669158786
風險,167402.173547633200
起點值,0.080179936644
找到最佳解世代,1703
找到最佳解實驗#,1
找到最佳解次數,29

投資組合檔數,3
1326(5)[7],2912(39)[1],9999(49)[22],
Stock#,1326(5)[7],2912(39)[1],9999(49)[22],
張數,71,56,-1,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,16213.000000000000,37173.000000000000,3333333.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3309193.000000000000,3369173.000000000000,3333333.000000000000,10011700.000000000000
FS( 3 ),3304223.000000000000,3369173.000000000000,3333333.000000000000,10006730.000000000000
FS( 4 ),3377353.000000000500,3355733.000000000000,3333333.000000000000,10066420.000000000000
FS( 5 ),3333333.000000000000,3262213.000000000000,3333333.000000000000,9928880.000000000000
FS( 6 ),3338303.000000000000,3284613.000000000000,3333333.000000000000,9956250.000000000000
FS( 7 ),3289313.000000000000,3257733.000000000000,3333333.000000000000,9880380.000000000000
FS( 8 ),3318423.000000000000,3257733.000000000000,3333333.000000000000,9909490.000000000000
FS( 9 ),3333333.000000000000,3257733.000000000000,3333333.000000000000,9924400.000000000000
FS( 10 ),3421373.000000000000,3399972.999999999500,3333333.000000000000,10154680.000000000000
FS( 11 ),3528583.000000000000,3373653.000000000000,3333333.000000000000,10235570.000000000000
FS( 12 ),3469653.000000000000,3404453.000000000000,3333333.000000000000,10207440.000000000000
FS( 13 ),3508703.000000000000,3395492.999999999500,3333333.000000000000,10237530.000000000000
FS( 14 ),3552723.000000000000,3386533.000000000000,3333333.000000000000,10272590.000000000000
FS( 15 ),3562663.000000000500,3413413.000000000000,3333333.000000000000,10309410.000000000000
FS( 16 ),3547753.000000000000,3417893.000000000000,3333333.000000000000,10298980.000000000000
FS( 17 ),3562663.000000000500,3417893.000000000000,3333333.000000000000,10313890.000000000000
FS( 18 ),3596743.000000000000,3422373.000000000500,3333333.000000000000,10352450.000000000000
FS( 19 ),3625853.000000000500,3422373.000000000500,3333333.000000000000,10381560.000000000000
FS( 20 ),3664903.000000000000,3422373.000000000500,3333333.000000000000,10420610.000000000000
FS( 21 ),3664903.000000000000,3417893.000000000000,3333333.000000000000,10416130.000000000000
FS( 22 ),3640762.999999999500,3364693.000000000000,3333333.000000000000,10338790.000000000000
FS( 23 ),3635793.000000000000,3417893.000000000000,3333333.000000000000,10387020.000000000000
FS( 24 ),3630822.999999999500,3422373.000000000500,3333333.000000000000,10386530.000000000000
FS( 25 ),3586803.000000000000,3378133.000000000000,3333333.000000000000,10298270.000000000000
FS( 26 ),3586803.000000000000,3417893.000000000000,3333333.000000000000,10338030.000000000000
FS( 27 ),3650703.000000000000,3426853.000000000500,3333333.000000000000,10410890.000000000000
FS( 28 ),3694723.000000000000,3417893.000000000000,3333333.000000000000,10445950.000000000000
FS( 29 ),3684783.000000000000,3422373.000000000500,3333333.000000000000,10440490.000000000000
FS( 30 ),3620883.000000000000,3440293.000000000500,3333333.000000000000,10394510.000000000000
FS( 31 ),3606683.000000000000,3435813.000000000000,3333333.000000000000,10375830.000000000000
FS( 32 ),3635793.000000000000,3471093.000000000000,3333333.000000000000,10440220.000000000000
FS( 33 ),3616623.000000000000,3462133.000000000000,3333333.000000000000,10412090.000000000000
FS( 34 ),3630822.999999999500,3489013.000000000000,3333333.000000000000,10453170.000000000000
FS( 35 ),3645733.000000000000,3533253.000000000000,3333333.000000000000,10512320.000000000000
FS( 36 ),3674843.000000000000,3555653.000000000000,3333333.000000000000,10563830.000000000000
FS( 37 ),3640762.999999999500,3555653.000000000000,3333333.000000000000,10529750.000000000000
FS( 38 ),3669873.000000000000,3564613.000000000000,3333333.000000000000,10567820.000000000000
FS( 39 ),3659933.000000000000,3546693.000000000000,3333333.000000000000,10539960.000000000000
FS( 40 ),3689753.000000000000,3555653.000000000000,3333333.000000000000,10578740.000000000000
FS( 41 ),3723833.000000000000,3573573.000000000000,3333333.000000000000,10630740.000000000000
FS( 42 ),3708923.000000000000,3528773.000000000000,3333333.000000000000,10571030.000000000000
FS( 43 ),3723833.000000000000,3569093.000000000000,3333333.000000000000,10626260.000000000000
FS( 44 ),3728803.000000000000,3590933.000000000000,3333333.000000000000,10653070.000000000000
FS( 45 ),3733063.000000000000,3599893.000000000000,3333333.000000000000,10666290.000000000000
FS( 46 ),3757913.000000000500,3822213.000000000000,3333333.000000000000,10913460.000000000000
FS( 47 ),3821103.000000000500,3746612.999999999500,3333333.000000000000,10901050.000000000000
