代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11617744.998350000000
真實報酬,1617744.998350000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12335.224763765706
風險,94000.894073635645
起點值,0.131224547227
找到最佳解世代,1250
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,12
1476(7)[5],2324(16)[16],2330(18)[3],2408(23)[9],2412(25)[10],2884(34)[7],2887(37)[4],2892(40)[2],3008(42)[18],3481(44)[20],5880(47)[1],9999(50)[37],
Stock#,1476(7)[5],2324(16)[16],2330(18)[3],2408(23)[9],2412(25)[10],2884(34)[7],2887(37)[4],2892(40)[2],3008(42)[18],3481(44)[20],5880(47)[1],9999(50)[37],
張數,2,44,4,17,8,50,72,48,0,66,58,-1,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,260673.000000000000,413.000000000000,86253.000000000000,41813.000000000000,42693.000000000000,4333.000000000116,293.000000000000,4373.000000000000,833333.000000000000,3713.000000000000,13792.999999999884,833333.000000000000,
FS( 1 ),833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,10000000.000000000000
FS( 2 ),825713.000000000000,833333.000000000000,827533.000000000000,844043.000000000000,837173.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,830032.999999999880,835652.999999999880,833333.000000000000,10000150.000000000000
FS( 3 ),830493.000000000000,823213.000000000000,825613.000000000000,835032.999999999880,840933.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,859073.000000000000,838552.999999999880,833333.000000000000,10019580.000000000000
FS( 4 ),847633.000000000000,847853.000000000000,821733.000000000000,829253.000000000000,837173.000000000000,842333.000000000230,830453.000000000000,833333.000000000000,833333.000000000000,911873.000000000000,838552.999999999880,833333.000000000000,10106860.000000000000
FS( 5 ),840973.000000000000,854012.999999999880,825613.000000000000,824323.000000000000,833333.000000000000,842333.000000000230,823973.000000000000,835252.999999999880,833333.000000000000,882173.000000000000,843772.999999999880,833333.000000000000,10072430.000000000000
FS( 6 ),840973.000000000000,837733.000000000000,825613.000000000000,812763.000000000000,833333.000000000000,842333.000000000230,826853.000000000120,835252.999999999880,833333.000000000000,938273.000000000120,838552.999999999880,833333.000000000000,10098350.000000000000
FS( 7 ),843833.000000000000,843893.000000000000,827533.000000000000,834183.000000000000,833333.000000000000,844333.000000000120,833333.000000000000,837653.000000000000,833333.000000000000,934973.000000000000,843772.999999999880,833333.000000000000,10143510.000000000000
FS( 8 ),832393.000000000000,831132.999999999880,817853.000000000000,827553.000000000000,833333.000000000000,846333.000000000120,826853.000000000120,824212.999999999880,833333.000000000000,934973.000000000000,830432.999999999880,833333.000000000000,10071740.000000000000
FS( 9 ),828573.000000000000,829373.000000000000,812053.000000000000,820073.000000000000,840933.000000000000,843833.000000000120,816773.000000000000,819893.000000000000,833333.000000000000,967313.000000000000,830432.999999999880,833333.000000000000,10075920.000000000000
FS( 10 ),851453.000000000000,837733.000000000000,814013.000000000000,827553.000000000000,837173.000000000000,841833.000000000120,820373.000000000000,819893.000000000000,833333.000000000000,973912.999999999880,833333.000000000000,833333.000000000000,10123940.000000000000
FS( 11 ),855253.000000000000,839493.000000000000,808173.000000000000,816843.000000000120,829493.000000000000,834833.000000000120,813893.000000000000,808853.000000000000,833333.000000000000,958073.000000000000,825212.999999999880,833333.000000000000,10056790.000000000000
FS( 12 ),852393.000000000000,843893.000000000000,810133.000000000000,806983.000000000000,825653.000000000000,834833.000000000120,810293.000000000000,808853.000000000000,833333.000000000000,928373.000000000000,819992.999999999880,833333.000000000000,10008070.000000000000
FS( 13 ),848593.000000000000,841693.000000000120,821733.000000000000,810213.000000000120,829493.000000000000,839333.000000000120,813893.000000000000,815572.999999999880,833333.000000000000,921773.000000000120,830432.999999999880,833333.000000000000,10039400.000000000000
FS( 14 ),852393.000000000000,847853.000000000000,821733.000000000000,796953.000000000000,829493.000000000000,832333.000000000000,823973.000000000000,822293.000000000000,833333.000000000000,898673.000000000000,833333.000000000000,833333.000000000000,10025700.000000000000
FS( 15 ),863833.000000000000,847853.000000000000,829493.000000000000,821773.000000000000,833333.000000000000,841833.000000000120,833333.000000000000,830933.000000000000,833333.000000000000,964013.000000000120,835652.999999999880,833333.000000000000,10168720.000000000000
FS( 16 ),865733.000000000000,845653.000000000000,825613.000000000000,837583.000000000000,829493.000000000000,841833.000000000120,830453.000000000000,835252.999999999880,833333.000000000000,954773.000000000120,843772.999999999880,833333.000000000000,10176830.000000000000
FS( 17 ),868593.000000000000,839493.000000000000,833333.000000000000,830103.000000000000,829493.000000000000,837333.000000000120,830453.000000000000,824212.999999999880,833333.000000000000,931673.000000000000,838552.999999999880,833333.000000000000,10129910.000000000000
FS( 18 ),890513.000000000000,837733.000000000000,839173.000000000000,837583.000000000000,821893.000000000000,832333.000000000000,826853.000000000120,819893.000000000000,833333.000000000000,928373.000000000000,838552.999999999880,833333.000000000000,10139570.000000000000
FS( 19 ),890513.000000000000,850053.000000000000,846893.000000000000,857303.000000000000,829493.000000000000,839333.000000000120,836933.000000000000,846293.000000000000,833333.000000000000,944873.000000000000,843772.999999999880,833333.000000000000,10252130.000000000000
FS( 20 ),894333.000000000000,852252.999999999880,852693.000000000000,854923.000000000000,833333.000000000000,843833.000000000120,840533.000000000000,846293.000000000000,833333.000000000000,934973.000000000000,846672.999999999880,833333.000000000000,10266510.000000000000
FS( 21 ),880033.000000000000,852252.999999999880,852693.000000000000,864782.999999999880,837173.000000000000,841833.000000000120,840533.000000000000,851093.000000000000,833333.000000000000,960713.000000000000,851892.999999999770,833333.000000000000,10299670.000000000000
FS( 22 ),872413.000000000000,843893.000000000000,850773.000000000000,863083.000000000000,833333.000000000000,841833.000000000120,836933.000000000000,846293.000000000000,833333.000000000000,938273.000000000120,849572.999999999880,833333.000000000000,10243070.000000000000
FS( 23 ),868593.000000000000,843893.000000000000,870133.000000000000,866483.000000000000,840933.000000000000,841833.000000000120,836933.000000000000,848692.999999999880,833333.000000000000,905273.000000000120,851892.999999999770,833333.000000000000,10241330.000000000000
FS( 24 ),872413.000000000000,845653.000000000000,874013.000000000000,874643.000000000000,844773.000000000000,834833.000000000120,833333.000000000000,846293.000000000000,833333.000000000000,862373.000000000000,854792.999999999880,833333.000000000000,10209790.000000000000
FS( 25 ),867653.000000000000,850053.000000000000,881733.000000000000,881273.000000000000,840933.000000000000,834833.000000000120,840533.000000000000,846293.000000000000,833333.000000000000,878873.000000000000,851892.999999999770,833333.000000000000,10240740.000000000000
FS( 26 ),874313.000000000000,831132.999999999880,889493.000000000000,871412.999999999880,840933.000000000000,839333.000000000120,847013.000000000000,848692.999999999880,833333.000000000000,853133.000000000000,851892.999999999770,833333.000000000000,10214020.000000000000
FS( 27 ),886693.000000000000,835533.000000000000,883653.000000000000,884673.000000000000,848613.000000000000,841833.000000000120,850613.000000000000,848692.999999999880,833333.000000000000,849833.000000000000,851892.999999999770,833333.000000000000,10248700.000000000000
FS( 28 ),889553.000000000000,850053.000000000000,883653.000000000000,927513.000000000000,852453.000000000000,841833.000000000120,863573.000000000000,855413.000000000000,833333.000000000000,856433.000000000000,854792.999999999880,833333.000000000000,10341940.000000000000
FS( 29 ),871453.000000000000,850053.000000000000,877853.000000000000,901162.999999999880,852453.000000000000,843833.000000000120,867172.999999999880,848692.999999999880,833333.000000000000,865673.000000000000,854792.999999999880,833333.000000000000,10299810.000000000000
FS( 30 ),851453.000000000000,852252.999999999880,875933.000000000000,889603.000000000000,852453.000000000000,852833.000000000120,886613.000000000000,853013.000000000000,833333.000000000000,856433.000000000000,857693.000000000000,833333.000000000000,10294950.000000000000
FS( 31 ),855253.000000000000,858413.000000000000,874013.000000000000,878043.000000000000,852453.000000000000,852833.000000000120,867172.999999999880,851093.000000000000,833333.000000000000,849833.000000000000,854792.999999999880,833333.000000000000,10260570.000000000000
FS( 32 ),851453.000000000000,862373.000000000000,872053.000000000000,878043.000000000000,848613.000000000000,850833.000000000120,867172.999999999880,851093.000000000000,833333.000000000000,885473.000000000000,854792.999999999880,833333.000000000000,10288570.000000000000
FS( 33 ),849533.000000000000,852252.999999999880,879813.000000000000,872943.000000000000,852453.000000000000,850833.000000000120,870053.000000000000,857333.000000000000,833333.000000000000,865673.000000000000,854792.999999999880,833333.000000000000,10272350.000000000000
FS( 34 ),851453.000000000000,862373.000000000000,879813.000000000000,876343.000000000120,852453.000000000000,852833.000000000120,867172.999999999880,853013.000000000000,833333.000000000000,888773.000000000120,854792.999999999880,833333.000000000000,10305690.000000000000
FS( 35 ),860013.000000000000,852252.999999999880,881733.000000000000,882973.000000000000,852453.000000000000,850833.000000000120,873653.000000000000,853013.000000000000,833333.000000000000,898673.000000000000,851892.999999999770,833333.000000000000,10324160.000000000000
FS( 36 ),858113.000000000000,852252.999999999880,887533.000000000000,882973.000000000000,860053.000000000000,852833.000000000120,880133.000000000000,855413.000000000000,833333.000000000000,901973.000000000000,857693.000000000000,833333.000000000000,10355640.000000000000
FS( 37 ),848593.000000000000,850053.000000000000,887533.000000000000,879573.000000000000,860053.000000000000,855333.000000000120,880133.000000000000,857333.000000000000,833333.000000000000,892073.000000000000,857693.000000000000,833333.000000000000,10335040.000000000000
FS( 38 ),844773.000000000000,833333.000000000000,872053.000000000000,882973.000000000000,863893.000000000000,848333.000000000120,893093.000000000120,857333.000000000000,833333.000000000000,895373.000000000000,849572.999999999880,833333.000000000000,10307400.000000000000
FS( 39 ),858113.000000000000,850053.000000000000,887533.000000000000,892833.000000000000,867733.000000000000,848333.000000000120,893093.000000000120,857333.000000000000,833333.000000000000,898673.000000000000,854792.999999999880,833333.000000000000,10375160.000000000000
