代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12091750.000000000000
真實報酬,2091750.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,14776.487015210056
風險,172875.349013316500
起點值,0.085474806556
找到最佳解世代,1977
找到最佳解實驗#,1
找到最佳解次數,45

投資組合檔數,2
2002(7)[4],2354(20)[1],
Stock#,2002(7)[4],2354(20)[1],
張數,231,86,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,8090.000000000000,48120.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4958420.000000000000,4992260.000000000000,9950680.000000000000
FS( 3 ),4969970.000000000000,5063640.000000000000,10033610.000000000000
FS( 4 ),4979210.000000000000,5042140.000000000000,10021350.000000000000
FS( 5 ),4958420.000000000000,5028379.999999999100,9986800.000000000000
FS( 6 ),4979210.000000000000,5063640.000000000000,10042850.000000000000
FS( 7 ),4979210.000000000000,5028379.999999999100,10007590.000000000000
FS( 8 ),4969970.000000000000,5056760.000000000000,10026730.000000000000
FS( 9 ),5000000.000000000000,5049879.999999999100,10049880.000000000000
FS( 10 ),4969970.000000000000,5035260.000000000000,10005230.000000000000
FS( 11 ),4969970.000000000000,5035260.000000000000,10005230.000000000000
FS( 12 ),5060060.000000000000,5071379.999999999100,10131440.000000000000
FS( 13 ),5099330.000000000000,5049879.999999999100,10149210.000000000000
FS( 14 ),5099330.000000000000,5071379.999999999100,10170710.000000000000
FS( 15 ),5069300.000000000000,5085140.000000000000,10154440.000000000000
FS( 16 ),5078540.000000000000,5099760.000000000000,10178300.000000000000
FS( 17 ),5018480.000000000000,5063640.000000000000,10082120.000000000000
FS( 18 ),5048510.000000000000,5249400.000000000000,10297910.000000000000
FS( 19 ),5009240.000000000000,5199520.000000000000,10208760.000000000000
FS( 20 ),5018480.000000000000,5221020.000000000000,10239500.000000000000
FS( 21 ),5030030.000000000000,5328520.000000000000,10358550.000000000000
FS( 22 ),5030030.000000000000,5421400.000000000000,10451430.000000000000
FS( 23 ),5018480.000000000000,5435160.000000000000,10453640.000000000000
FS( 24 ),5000000.000000000000,5371520.000000000000,10371520.000000000000
FS( 25 ),5018480.000000000000,5307020.000000000000,10325500.000000000000
FS( 26 ),5039270.000000000000,5321640.000000000000,10360910.000000000000
FS( 27 ),5030030.000000000000,5393020.000000000000,10423050.000000000000
FS( 28 ),5018480.000000000000,5406780.000000000000,10425260.000000000000
FS( 29 ),5000000.000000000000,5335400.000000000000,10335400.000000000000
FS( 30 ),4988450.000000000000,5371520.000000000000,10359970.000000000000
FS( 31 ),4988450.000000000000,5542660.000000000000,10531110.000000000000
FS( 32 ),5000000.000000000000,5442900.000000000000,10442900.000000000000
FS( 33 ),5018480.000000000000,5442900.000000000000,10461380.000000000000
FS( 34 ),5000000.000000000000,5442900.000000000000,10442900.000000000000
FS( 35 ),5078540.000000000000,5485900.000000000000,10564440.000000000000
