代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12137967.500000000000
真實報酬,2137967.500000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,17511.677057878002
風險,111198.978201068280
起點值,0.157480557296
找到最佳解世代,1254
找到最佳解實驗#,1
找到最佳解次數,48

投資組合檔數,8
2325(18)[10],2357(23)[4],2382(24)[7],2454(27)[6],2474(28)[1],2882(33)[11],3008(41)[3],9999(49)[30],
Stock#,2325(18)[10],2357(23)[4],2382(24)[7],2454(27)[6],2474(28)[1],2882(33)[11],3008(41)[3],9999(49)[30],
張數,45,6,24,4,8,39,1,-1,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,3500.000000000000,148760.000000000000,11120.000000000233,15200.000000000000,78720.000000000000,2780.000000000000,309720.000000000000,1250000.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1278800.000000000000,1224200.000000000000,1236560.000000000200,1258440.000000000000,1228400.000000000000,1246880.000000000000,1244340.000000000000,1250000.000000000000,9967620.000000000000
FS( 3 ),1302200.000000000000,1228880.000000000200,1275200.000000000200,1285440.000000000000,1267920.000000000000,1289780.000000000000,1272660.000000000000,1250000.000000000000,10172080.000000000000
FS( 4 ),1295000.000000000000,1247660.000000000000,1257920.000000000500,1297280.000000000000,1271520.000000000000,1282370.000000000200,1282100.000000000000,1250000.000000000000,10183850.000000000000
FS( 5 ),1305800.000000000000,1228880.000000000200,1261760.000000000000,1275320.000000000000,1217680.000000000000,1303040.000000000200,1253780.000000000000,1250000.000000000000,10096260.000000000000
FS( 6 ),1298600.000000000200,1250000.000000000000,1265600.000000000200,1293920.000000000000,1228400.000000000000,1327999.999999999800,1253780.000000000000,1250000.000000000000,10168300.000000000000
FS( 7 ),1277000.000000000000,1233620.000000000200,1267520.000000000200,1305720.000000000000,1242800.000000000000,1360370.000000000200,1249060.000000000000,1250000.000000000000,10186090.000000000000
FS( 8 ),1269800.000000000000,1189100.000000000000,1277120.000000000200,1314160.000000000000,1271520.000000000000,1345550.000000000000,1249060.000000000000,1250000.000000000000,10166310.000000000000
FS( 9 ),1271600.000000000000,1128140.000000000000,1298480.000000000500,1314160.000000000000,1242800.000000000000,1352959.999999999800,1225460.000000000000,1250000.000000000000,10083600.000000000000
FS( 10 ),1295000.000000000000,1137500.000000000000,1315760.000000000000,1346280.000000000000,1242800.000000000000,1356080.000000000200,1247170.000000000000,1250000.000000000000,10190590.000000000000
FS( 11 ),1282400.000000000000,1128140.000000000000,1302320.000000000000,1331080.000000000000,1235600.000000000000,1360370.000000000200,1216010.000000000000,1250000.000000000000,10105920.000000000000
FS( 12 ),1289600.000000000000,1156280.000000000000,1308080.000000000200,1346280.000000000000,1257200.000000000000,1345550.000000000000,1223570.000000000000,1250000.000000000000,10176560.000000000000
FS( 13 ),1293200.000000000000,1189100.000000000000,1350560.000000000200,1349640.000000000000,1264320.000000000000,1352959.999999999800,1228290.000000000000,1250000.000000000000,10278070.000000000000
FS( 14 ),1295000.000000000000,1170320.000000000000,1360160.000000000200,1337840.000000000000,1293120.000000000000,1358810.000000000200,1243390.000000000000,1250000.000000000000,10308640.000000000000
FS( 15 ),1320200.000000000000,1200800.000000000000,1352480.000000000500,1337840.000000000000,1303840.000000000000,1361930.000000000000,1241500.000000000000,1250000.000000000000,10368590.000000000000
FS( 16 ),1298600.000000000200,1179680.000000000000,1321520.000000000200,1353040.000000000000,1289520.000000000000,1343990.000000000000,1236780.000000000000,1250000.000000000000,10273130.000000000000
FS( 17 ),1296800.000000000000,1198459.999999999800,1319600.000000000200,1346280.000000000000,1329040.000000000000,1351400.000000000000,1258500.000000000000,1250000.000000000000,10350080.000000000000
FS( 18 ),1298600.000000000200,1214840.000000000000,1315760.000000000000,1327680.000000000000,1293120.000000000000,1342820.000000000000,1244340.000000000000,1250000.000000000000,10287160.000000000000
FS( 19 ),1287800.000000000000,1226540.000000000000,1335200.000000000200,1336120.000000000000,1300240.000000000000,1366220.000000000000,1244340.000000000000,1250000.000000000000,10346460.000000000000
