代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12310075.000000002000
真實報酬,2310075.000000001900

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19768.969405363390
風險,96490.845366905749
起點值,0.204879222793
找到最佳解世代,2044
找到最佳解實驗#,33
找到最佳解次數,2

投資組合檔數,4
2317(16)[3],2474(28)[1],2882(33)[5],9999(49)[35],
Stock#,2317(16)[3],2474(28)[1],2882(33)[5],9999(49)[35],
張數,54,21,77,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,30580.000000000466,41950.000000000466,17520.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2509720.000000000500,2490970.000000000500,2558520.000000000000,2500000.000000000000,10059210.000000000000
FS( 3 ),2577220.000000000500,2554180.000000000500,2561600.000000000000,2500000.000000000000,10193000.000000000000
FS( 4 ),2548600.000000000500,2644480.000000000500,2503080.000000000000,2500000.000000000000,10196160.000000000000
FS( 5 ),2516200.000000000500,2590300.000000000500,2456880.000000000000,2500000.000000000000,10063380.000000000000
FS( 6 ),2512960.000000000500,2626420.000000000500,2456880.000000000000,2500000.000000000000,10096260.000000000000
FS( 7 ),2490280.000000000500,2626420.000000000500,2412990.000000000000,2500000.000000000000,10029690.000000000000
FS( 8 ),2529160.000000000900,2662540.000000000500,2442250.000000000000,2500000.000000000000,10133950.000000002000
FS( 9 ),2580460.000000000500,2698870.000000000500,2439170.000000000000,2500000.000000000000,10218500.000000000000
FS( 10 ),2580460.000000000500,2707900.000000000900,2450720.000000000500,2500000.000000000000,10239080.000000002000
FS( 11 ),2561020.000000000500,2680600.000000000500,2424540.000000000000,2500000.000000000000,10166160.000000000000
FS( 12 ),2580460.000000000500,2689630.000000000500,2433779.999999999500,2500000.000000000000,10203870.000000000000
FS( 13 ),2590180.000000000500,2698870.000000000500,2416069.999999999500,2500000.000000000000,10205120.000000000000
FS( 14 ),2612860.000000000500,2635450.000000000500,2412990.000000000000,2500000.000000000000,10161300.000000000000
FS( 15 ),2632300.000000000500,2680600.000000000500,2369870.000000000000,2500000.000000000000,10182770.000000000000
FS( 16 ),2625820.000000000900,2662540.000000000500,2384500.000000000000,2500000.000000000000,10172860.000000002000
FS( 17 ),2651740.000000000500,2626420.000000000500,2375260.000000000500,2500000.000000000000,10153420.000000002000
FS( 18 ),2609620.000000000500,2599330.000000000500,2360630.000000000000,2500000.000000000000,10069580.000000000000
FS( 19 ),2586940.000000000500,2635450.000000000500,2398360.000000000000,2500000.000000000000,10120750.000000000000
FS( 20 ),2603140.000000000500,2701600.000000000500,2439170.000000000000,2500000.000000000000,10243910.000000000000
FS( 21 ),2648500.000000000000,2729740.000000000500,2479980.000000000000,2500000.000000000000,10358220.000000000000
FS( 22 ),2661460.000000000500,2720290.000000000500,2462270.000000000000,2500000.000000000000,10344020.000000000000
FS( 23 ),2673880.000000000500,2842930.000000000500,2486140.000000000500,2500000.000000000000,10502950.000000002000
FS( 24 ),2673880.000000000500,2814790.000000000000,2483060.000000000500,2500000.000000000000,10471730.000000000000
FS( 25 ),2680360.000000000500,2842930.000000000500,2503080.000000000000,2500000.000000000000,10526370.000000000000
FS( 26 ),2703040.000000000500,2805340.000000000500,2509240.000000000000,2500000.000000000000,10517620.000000000000
FS( 27 ),2811580.000000000500,2795890.000000000000,2514630.000000000000,2500000.000000000000,10622100.000000000000
FS( 28 ),2811580.000000000500,2814790.000000000000,2506160.000000000000,2500000.000000000000,10632530.000000000000
FS( 29 ),2775400.000000000000,2824030.000000000500,2509240.000000000000,2500000.000000000000,10608670.000000000000
FS( 30 ),2732200.000000000500,2861830.000000000500,2529260.000000000000,2500000.000000000000,10623290.000000000000
FS( 31 ),2739220.000000000500,2824030.000000000500,2503080.000000000000,2500000.000000000000,10566330.000000000000
FS( 32 ),2732200.000000000500,2776990.000000000500,2468430.000000000000,2500000.000000000000,10477620.000000000000
FS( 33 ),2775400.000000000000,2833480.000000000500,2503080.000000000000,2500000.000000000000,10611960.000000000000
FS( 34 ),2771620.000000000500,2861830.000000000500,2497690.000000000000,2500000.000000000000,10631140.000000000000
FS( 35 ),2771620.000000000500,2965570.000000000500,2465350.000000000000,2500000.000000000000,10702540.000000000000
FS( 36 ),2782420.000000000500,3031720.000000000500,2497690.000000000000,2500000.000000000000,10811830.000000000000
FS( 37 ),2807800.000000000500,3078760.000000000900,2497690.000000000000,2500000.000000000000,10884250.000000002000
FS( 38 ),2804020.000000000500,3069310.000000000500,2503080.000000000000,2500000.000000000000,10876410.000000000000
FS( 39 ),2768380.000000000500,2993920.000000000500,2462270.000000000000,2500000.000000000000,10724570.000000000000
FS( 40 ),2786200.000000000500,2984470.000000000500,2491530.000000000000,2500000.000000000000,10762200.000000000000
FS( 41 ),2771620.000000000500,2993920.000000000500,2462270.000000000000,2500000.000000000000,10727810.000000000000
FS( 42 ),2757580.000000000500,3116560.000000000500,2479980.000000000000,2500000.000000000000,10854120.000000000000
FS( 43 ),2739220.000000000500,3059860.000000000900,2473819.999999999500,2500000.000000000000,10772900.000000002000
FS( 44 ),2775400.000000000000,3163600.000000000500,2558520.000000000000,2500000.000000000000,10997520.000000000000
FS( 45 ),2771620.000000000500,3173050.000000000500,2543890.000000000500,2500000.000000000000,10988560.000000002000
FS( 46 ),2746240.000000000500,3031720.000000000500,2584700.000000000500,2500000.000000000000,10862660.000000002000
FS( 47 ),2768380.000000000500,3059860.000000000900,2633979.999999999500,2500000.000000000000,10962220.000000002000
FS( 48 ),2750020.000000000500,3097660.000000000500,2697890.000000000500,2500000.000000000000,11045570.000000002000
FS( 49 ),2753800.000000000500,3173050.000000000500,2668630.000000000000,2500000.000000000000,11095480.000000000000
FS( 50 ),2703040.000000000500,3097660.000000000500,2683260.000000000000,2500000.000000000000,10983960.000000000000
FS( 51 ),2696020.000000000500,3097660.000000000500,2689420.000000000000,2500000.000000000000,10983100.000000000000
FS( 52 ),2685220.000000000500,3078760.000000000900,2697890.000000000500,2500000.000000000000,10961870.000000002000
FS( 53 ),2692240.000000000500,3135460.000000000500,2668630.000000000000,2500000.000000000000,10996330.000000000000
FS( 54 ),2739220.000000000500,3154150.000000000500,2683260.000000000000,2500000.000000000000,11076630.000000000000
FS( 55 ),2743000.000000000000,3229750.000000000500,2694810.000000000500,2500000.000000000000,11167560.000000000000
FS( 56 ),2757580.000000000500,3257890.000000000000,2700970.000000000500,2500000.000000000000,11216440.000000000000
FS( 57 ),2750020.000000000500,3220300.000000000500,2665550.000000000000,2500000.000000000000,11135870.000000000000
FS( 58 ),2768380.000000000500,3324040.000000000000,2680180.000000000000,2500000.000000000000,11272600.000000000000
FS( 59 ),2746240.000000000500,3229750.000000000500,2663240.000000000000,2500000.000000000000,11139230.000000000000
FS( 60 ),2739220.000000000500,3248440.000000000500,2709440.000000000000,2500000.000000000000,11197100.000000000000
FS( 61 ),2703040.000000000500,3248440.000000000500,2714830.000000000000,2500000.000000000000,11166310.000000000000
FS( 62 ),2739220.000000000500,3286240.000000000500,2714830.000000000000,2500000.000000000000,11240290.000000000000
FS( 63 ),2721400.000000000000,3267340.000000000500,2764880.000000000000,2500000.000000000000,11253620.000000000000
FS( 64 ),2717620.000000000500,3286240.000000000500,2737160.000000000000,2500000.000000000000,11241020.000000000000
FS( 65 ),2703040.000000000500,3446680.000000000500,2721760.000000000000,2500000.000000000000,11371480.000000000000
FS( 66 ),2688460.000000000500,3408880.000000000900,2674790.000000000000,2500000.000000000000,11272130.000000002000
FS( 67 ),2717620.000000000500,3427780.000000000500,2714830.000000000000,2500000.000000000000,11360230.000000000000
FS( 68 ),2721400.000000000000,3455920.000000000500,2702510.000000000000,2500000.000000000000,11379830.000000000000
FS( 69 ),2699260.000000000900,3380530.000000000500,2684030.000000000000,2500000.000000000000,11263820.000000002000
FS( 70 ),2735440.000000000500,3437230.000000000500,2693270.000000000000,2500000.000000000000,11365940.000000000000
FS( 71 ),2721400.000000000000,3455920.000000000500,2702510.000000000000,2500000.000000000000,11379830.000000000000
FS( 72 ),2717620.000000000500,3418330.000000000500,2684030.000000000000,2500000.000000000000,11319980.000000000000
FS( 73 ),2753800.000000000500,3399430.000000000500,2687110.000000000000,2500000.000000000000,11340340.000000000000
FS( 74 ),2750020.000000000500,3389980.000000000500,2717910.000000000000,2500000.000000000000,11357910.000000000000
FS( 75 ),2760820.000000000900,3427780.000000000500,2789520.000000000000,2500000.000000000000,11478120.000000002000
FS( 76 ),2768380.000000000500,3437230.000000000500,2798760.000000000000,2500000.000000000000,11504370.000000000000
FS( 77 ),2768380.000000000500,3408880.000000000900,2798760.000000000000,2500000.000000000000,11476020.000000002000
FS( 78 ),2739220.000000000500,3314590.000000000500,2780280.000000000000,2500000.000000000000,11334090.000000000000
FS( 79 ),2724640.000000000500,3305140.000000000000,2832640.000000000500,2500000.000000000000,11362420.000000000000
FS( 80 ),2743000.000000000000,3333490.000000000500,2895010.000000000000,2500000.000000000000,11471500.000000000000
FS( 81 ),2757580.000000000500,3333490.000000000500,2879610.000000000000,2500000.000000000000,11470680.000000000000
FS( 82 ),2753800.000000000500,3324040.000000000000,2895010.000000000000,2500000.000000000000,11472850.000000000000
FS( 83 ),2771620.000000000500,3371080.000000000500,2907330.000000000000,2500000.000000000000,11550030.000000000000
FS( 84 ),2847760.000000000900,3437230.000000000500,2901170.000000000000,2500000.000000000000,11686160.000000002000
FS( 85 ),2854780.000000000500,3446680.000000000500,2891930.000000000000,2500000.000000000000,11693390.000000000000
FS( 86 ),2851000.000000000000,3446680.000000000500,2870370.000000000000,2500000.000000000000,11668050.000000000000
FS( 87 ),2883940.000000000500,3455920.000000000500,2913490.000000000000,2500000.000000000000,11753350.000000000000
FS( 88 ),2861800.000000000500,3465370.000000000500,2901170.000000000000,2500000.000000000000,11728340.000000000000
FS( 89 ),2865580.000000000500,3682300.000000000500,2870370.000000000000,2500000.000000000000,11918250.000000000000
FS( 90 ),2905540.000000000500,3672850.000000000500,2895010.000000000000,2500000.000000000000,11973400.000000000000
FS( 91 ),2916340.000000000000,3757900.000000000500,2882690.000000000000,2500000.000000000000,12056930.000000000000
FS( 92 ),2854780.000000000500,3757900.000000000500,2907330.000000000000,2500000.000000000000,12020010.000000000000
FS( 93 ),2865580.000000000500,3663400.000000000500,2861130.000000000000,2500000.000000000000,11890110.000000000000
FS( 94 ),2865580.000000000500,3606910.000000000500,2888850.000000000000,2500000.000000000000,11861340.000000000000
FS( 95 ),2833180.000000000500,3569110.000000000900,2851890.000000000500,2500000.000000000000,11754180.000000002000
FS( 96 ),2851000.000000000000,3606910.000000000500,2870370.000000000000,2500000.000000000000,11828280.000000000000
FS( 97 ),2880160.000000000900,3720100.000000000500,2861130.000000000000,2500000.000000000000,11961390.000000002000
FS( 98 ),2894740.000000000500,3691750.000000000500,2904250.000000000000,2500000.000000000000,11990740.000000000000
FS( 99 ),2883940.000000000500,3550420.000000000500,2901170.000000000000,2500000.000000000000,11835530.000000000000
FS( 100 ),2883940.000000000500,3654160.000000000500,2931970.000000000500,2500000.000000000000,11970070.000000002000
FS( 101 ),2887180.000000000500,3654160.000000000500,2931970.000000000500,2500000.000000000000,11973310.000000002000
FS( 102 ),2883940.000000000500,3550420.000000000500,2941210.000000000000,2500000.000000000000,11875570.000000000000
FS( 103 ),2894740.000000000500,3578560.000000000500,2931970.000000000500,2500000.000000000000,11905270.000000002000
FS( 104 ),2916340.000000000000,3635260.000000000900,2944290.000000000000,2500000.000000000000,11995890.000000000000
FS( 105 ),2930920.000000000500,3729550.000000000500,3022060.000000000500,2500000.000000000000,12182530.000000002000
FS( 106 ),2923360.000000000500,3691750.000000000500,3009740.000000000000,2500000.000000000000,12124850.000000000000
FS( 107 ),2934160.000000000900,3757900.000000000500,3062100.000000000000,2500000.000000000000,12254160.000000002000
FS( 108 ),2897980.000000000500,3720100.000000000500,3037460.000000000000,2500000.000000000000,12155540.000000000000
FS( 109 ),2883940.000000000500,3635260.000000000900,2991260.000000000000,2500000.000000000000,12010460.000000002000
FS( 110 ),2883940.000000000500,3710650.000000000500,3028220.000000000500,2500000.000000000000,12122810.000000002000
FS( 111 ),2901760.000000000900,3710650.000000000500,3012819.999999999500,2500000.000000000000,12125230.000000002000
FS( 112 ),2937940.000000000500,3804940.000000000500,2997420.000000000000,2500000.000000000000,12240300.000000000000
FS( 113 ),2963320.000000000900,3871090.000000000500,2963540.000000000000,2500000.000000000000,12297950.000000002000
FS( 114 ),2984920.000000000500,3889780.000000000500,2957380.000000000000,2500000.000000000000,12332080.000000000000
FS( 115 ),3002740.000000000500,3804940.000000000500,2907330.000000000000,2500000.000000000000,12215010.000000000000
FS( 116 ),3038920.000000000500,3899230.000000000500,2907330.000000000000,2500000.000000000000,12345480.000000000000
FS( 117 ),3060520.000000000500,3871090.000000000500,2944290.000000000000,2500000.000000000000,12375900.000000000000
FS( 118 ),3057280.000000000500,3871090.000000000500,2928890.000000000500,2500000.000000000000,12357260.000000002000
FS( 119 ),3107500.000000000000,3955930.000000000500,2931970.000000000500,2500000.000000000000,12495400.000000000000
FS( 120 ),3082120.000000000500,3946480.000000000500,2975860.000000000000,2500000.000000000000,12504460.000000000000
FS( 121 ),3071320.000000000900,4012420.000000000500,2969700.000000000500,2500000.000000000000,12553440.000000002000
FS( 122 ),3060520.000000000500,3937030.000000000500,2938130.000000000000,2500000.000000000000,12435680.000000000000
FS( 123 ),3100480.000000000500,3908680.000000000500,2925810.000000000500,2500000.000000000000,12434970.000000002000
FS( 124 ),3096700.000000000500,3852190.000000000500,2848810.000000000500,2512375.000000000000,12310075.000000002000
