代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11001029.998350000000
真實報酬,1001029.998350000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,8357.922331590205
風險,130831.184087775460
起點值,0.063883258337
找到最佳解世代,1440
找到最佳解實驗#,2
找到最佳解次數,23

投資組合檔數,3
1216(2)[2],2884(33)[1],9999(49)[15],
Stock#,1216(2)[2],2884(33)[1],9999(49)[15],
張數,73,242,-1,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,30083.000000000000,8253.000000000000,3333333.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3391003.000000000000,3333333.000000000000,3333333.000000000000,10057670.000000000000
FS( 3 ),3410713.000000000000,3367213.000000000000,3333333.000000000000,10111260.000000000000
FS( 4 ),3391003.000000000000,3350273.000000000000,3333333.000000000000,10074610.000000000000
FS( 5 ),3410713.000000000000,3376893.000000000000,3333333.000000000000,10120940.000000000000
FS( 6 ),3429693.000000000000,3333333.000000000000,3333333.000000000000,10096360.000000000000
FS( 7 ),3416553.000000000500,3340592.999999999500,3333333.000000000000,10090480.000000000000
FS( 8 ),3327493.000000000500,3340592.999999999500,3333333.000000000000,10001420.000000000000
FS( 9 ),3282232.999999999500,3316393.000000000000,3333333.000000000000,9931960.000000000000
FS( 10 ),3327493.000000000500,3340592.999999999500,3333333.000000000000,10001420.000000000000
FS( 11 ),3282232.999999999500,3333333.000000000000,3333333.000000000000,9948900.000000000000
FS( 12 ),3263253.000000000000,3350273.000000000000,3333333.000000000000,9946860.000000000000
FS( 13 ),3275663.000000000000,3340592.999999999500,3333333.000000000000,9949590.000000000000
FS( 14 ),3256683.000000000500,3367213.000000000000,3333333.000000000000,9957230.000000000000
FS( 15 ),3275663.000000000000,3420453.000000000000,3333333.000000000000,10029450.000000000000
FS( 16 ),3282232.999999999500,3575333.000000000000,3333333.000000000000,10190900.000000000000
FS( 17 ),3307783.000000000000,3766512.999999999500,3333333.000000000000,10407630.000000000000
FS( 18 ),3295373.000000000000,3793133.000000000000,3333333.000000000000,10421840.000000000000
FS( 19 ),3295373.000000000000,3722953.000000000000,3333333.000000000000,10351660.000000000000
FS( 20 ),3250112.999999999500,3645512.999999999500,3333333.000000000000,10228960.000000000000
FS( 21 ),3250112.999999999500,3679393.000000000000,3333333.000000000000,10262840.000000000000
FS( 22 ),3250112.999999999500,3689073.000000000000,3333333.000000000000,10272520.000000000000
FS( 23 ),3244273.000000000000,3628573.000000000000,3333333.000000000000,10206180.000000000000
FS( 24 ),3224563.000000000000,3548713.000000000000,3333333.000000000000,10106610.000000000000
FS( 25 ),3231133.000000000000,3558393.000000000000,3333333.000000000000,10122860.000000000000
FS( 26 ),3231133.000000000000,3548713.000000000000,3333333.000000000000,10113180.000000000000
FS( 27 ),3365453.000000000000,3558393.000000000000,3333333.000000000000,10257180.000000000000
FS( 28 ),3423123.000000000000,3558393.000000000000,3333333.000000000000,10314850.000000000000
FS( 29 ),3506342.999999999500,3497893.000000000000,3333333.000000000000,10337570.000000000000
FS( 30 ),3493933.000000000500,3488213.000000000000,3333333.000000000000,10315480.000000000000
FS( 31 ),3550873.000000000000,3497893.000000000000,3333333.000000000000,10382100.000000000000
FS( 32 ),3512913.000000000000,3558393.000000000000,3333333.000000000000,10404640.000000000000
FS( 33 ),3525323.000000000500,3524512.999999999500,3333333.000000000000,10383170.000000000000
FS( 34 ),3493933.000000000500,3514833.000000000000,3333333.000000000000,10342100.000000000000
FS( 35 ),3493933.000000000500,3585012.999999999500,3333333.000000000000,10412280.000000000000
FS( 36 ),3487362.999999999500,3531773.000000000000,3333333.000000000000,10352470.000000000000
FS( 37 ),3474223.000000000000,3585012.999999999500,3333333.000000000000,10392570.000000000000
FS( 38 ),3499773.000000000000,3662453.000000000000,3333333.000000000000,10495560.000000000000
FS( 39 ),3538463.000000000000,3645512.999999999500,3333333.000000000000,10517310.000000000000
FS( 40 ),3531893.000000000000,3628573.000000000000,3333333.000000000000,10493800.000000000000
FS( 41 ),3480793.000000000000,3592273.000000000000,3333333.000000000000,10406400.000000000000
FS( 42 ),3538463.000000000000,3585012.999999999500,3333333.000000000000,10456810.000000000000
FS( 43 ),3493933.000000000500,3601953.000000000000,3333333.000000000000,10429220.000000000000
FS( 44 ),3467653.000000000000,3565652.999999999500,3333333.000000000000,10366640.000000000000
FS( 45 ),3436263.000000000000,3601953.000000000000,3333333.000000000000,10371550.000000000000
FS( 46 ),3442103.000000000000,3601953.000000000000,3333333.000000000000,10377390.000000000000
FS( 47 ),3346473.000000000000,3601953.000000000000,3333333.000000000000,10281760.000000000000
FS( 48 ),3461813.000000000000,3609213.000000000000,3333333.000000000000,10404360.000000000000
FS( 49 ),3410713.000000000000,3565652.999999999500,3333333.000000000000,10309700.000000000000
FS( 50 ),3372023.000000000000,3635833.000000000000,3333333.000000000000,10341190.000000000000
FS( 51 ),3397573.000000000500,3609213.000000000000,3333333.000000000000,10340120.000000000000
FS( 52 ),3442103.000000000000,3575333.000000000000,3333333.000000000000,10350770.000000000000
FS( 53 ),3391003.000000000000,3531773.000000000000,3333333.000000000000,10256110.000000000000
FS( 54 ),3365453.000000000000,3514833.000000000000,3333333.000000000000,10213620.000000000000
FS( 55 ),3384433.000000000500,3565652.999999999500,3333333.000000000000,10283420.000000000000
FS( 56 ),3365453.000000000000,3558393.000000000000,3333333.000000000000,10257180.000000000000
FS( 57 ),3397573.000000000500,3585012.999999999500,3333333.000000000000,10315920.000000000000
FS( 58 ),3487362.999999999500,3645512.999999999500,3333333.000000000000,10466210.000000000000
FS( 59 ),3474223.000000000000,3635833.000000000000,3333333.000000000000,10443390.000000000000
FS( 60 ),3461813.000000000000,3592273.000000000000,3333333.000000000000,10387420.000000000000
FS( 61 ),3531893.000000000000,3575333.000000000000,3333333.000000000000,10440560.000000000000
FS( 62 ),3506342.999999999500,3592273.000000000000,3333333.000000000000,10431950.000000000000
FS( 63 ),3550873.000000000000,3575333.000000000000,3333333.000000000000,10459540.000000000000
FS( 64 ),3545033.000000000000,3618893.000000000000,3333333.000000000000,10497260.000000000000
FS( 65 ),3493933.000000000500,3558393.000000000000,3333333.000000000000,10385660.000000000000
FS( 66 ),3499773.000000000000,3645512.999999999500,3333333.000000000000,10478620.000000000000
FS( 67 ),3487362.999999999500,3558393.000000000000,3333333.000000000000,10379090.000000000000
FS( 68 ),3487362.999999999500,3524512.999999999500,3333333.000000000000,10345210.000000000000
FS( 69 ),3474223.000000000000,3575333.000000000000,3333333.000000000000,10382890.000000000000
FS( 70 ),3448672.999999999500,3662453.000000000000,3333333.000000000000,10444460.000000000000
FS( 71 ),3499773.000000000000,3679393.000000000000,3333333.000000000000,10512500.000000000000
FS( 72 ),3525323.000000000500,3800393.000000000000,3333333.000000000000,10659050.000000000000
FS( 73 ),3538463.000000000000,3722953.000000000000,3333333.000000000000,10594750.000000000000
FS( 74 ),3506342.999999999500,3730213.000000000000,3333333.000000000000,10569890.000000000000
FS( 75 ),3679353.000000000000,3669713.000000000000,3333333.000000000000,10682400.000000000000
FS( 76 ),3570583.000000000000,3689073.000000000000,3333333.000000000000,10592990.000000000000
FS( 77 ),3531893.000000000000,3662453.000000000000,3333333.000000000000,10527680.000000000000
FS( 78 ),3596133.000000000000,3645512.999999999500,3333333.000000000000,10574980.000000000000
FS( 79 ),3519482.999999999500,3592273.000000000000,3333333.000000000000,10445090.000000000000
FS( 80 ),3589563.000000000000,3524512.999999999500,3333333.000000000000,10447410.000000000000
FS( 81 ),3557443.000000000000,3548713.000000000000,3333333.000000000000,10439490.000000000000
FS( 82 ),3582993.000000000500,3662453.000000000000,3333333.000000000000,10578780.000000000000
FS( 83 ),3589563.000000000000,3701173.000000000000,3333333.000000000000,10624070.000000000000
FS( 84 ),3582993.000000000500,3836693.000000000000,3333333.000000000000,10753020.000000000000
FS( 85 ),3621683.000000000500,3846373.000000000000,3333333.000000000000,10801390.000000000000
FS( 86 ),3679353.000000000000,3904453.000000000500,3333333.000000000000,10917140.000000000000
FS( 87 ),3654533.000000000000,3904453.000000000500,3333333.000000000000,10892320.000000000000
FS( 88 ),3634092.999999999500,3846373.000000000000,3333333.000000000000,10813800.000000000000
FS( 89 ),3818783.000000000000,3817333.000000000000,3333333.000000000000,10969450.000000000000
FS( 90 ),3715853.000000000000,3739893.000000000000,3333333.000000000000,10789080.000000000000
FS( 91 ),3811482.999999999500,3604373.000000000000,3333333.000000000000,10749190.000000000000
FS( 92 ),3839223.000000000000,3558393.000000000000,3333333.000000000000,10730950.000000000000
FS( 93 ),3914413.000000000000,3720532.999999999500,3333333.000000000000,10968280.000000000000
FS( 94 ),3927553.000000000500,3662453.000000000000,3333333.000000000000,10923340.000000000000
FS( 95 ),4071362.999999999500,3623733.000000000000,3333333.000000000000,11028430.000000000000
FS( 96 ),4016612.999999999500,3558393.000000000000,3333333.000000000000,10908340.000000000000
FS( 97 ),4029753.000000000000,3691493.000000000500,3333333.000000000000,11054580.000000000000
FS( 98 ),3914413.000000000000,3633413.000000000500,3333333.000000000000,10881160.000000000000
FS( 99 ),3798342.999999999500,3509993.000000000500,3333333.000000000000,10641670.000000000000
FS( 100 ),3804913.000000000000,3594693.000000000000,3333333.000000000000,10732940.000000000000
FS( 101 ),3880103.000000000000,3710853.000000000500,3333333.000000000000,10924290.000000000000
FS( 102 ),3880103.000000000000,3739893.000000000000,3333333.000000000000,10953330.000000000000
FS( 103 ),3872803.000000000500,3749573.000000000000,3333333.000000000000,10955710.000000000000
FS( 104 ),3988873.000000000000,3768933.000000000000,3333333.000000000000,11091140.000000000000
FS( 105 ),3825353.000000000000,3807652.999999999500,3333333.000000000000,10966340.000000000000
FS( 106 ),3886672.999999999500,3768933.000000000000,3333333.000000000000,10988940.000000000000
FS( 107 ),3955293.000000000000,3759253.000000000000,3333333.000000000000,11047880.000000000000
