代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11949927.500000000000
真實報酬,1949927.500000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12842.588526809457
風險,132686.970477548310
起點值,0.096788618209
找到最佳解世代,1481
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,8
1101(0)[5],1216(2)[2],2301(13)[4],2330(20)[6],2357(24)[23],2412(27)[1],3008(42)[9],9999(50)[37],
Stock#,1101(0)[5],1216(2)[2],2301(13)[4],2330(20)[6],2357(24)[23],2412(27)[1],3008(42)[9],9999(50)[37],
張數,50,40,48,18,6,18,2,-1,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,7000.000000000000,29600.000000000000,18800.000000000233,59120.000000000233,78379.999999999767,57140.000000000000,284020.000000000000,1250000.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1231500.000000000000,1246000.000000000000,1226480.000000000200,1199240.000000000500,1229539.999999999800,1246039.999999999800,1239160.000000000000,1250000.000000000000,9867960.000000000000
FS( 3 ),1233500.000000000000,1293600.000000000000,1221680.000000000000,1224620.000000000200,1270519.999999999500,1250000.000000000000,1278880.000000000000,1250000.000000000000,10022800.000000000000
FS( 4 ),1268500.000000000000,1288400.000000000000,1228400.000000000200,1218680.000000000200,1301240.000000000000,1259180.000000000000,1307780.000000000000,1250000.000000000000,10122180.000000000000
FS( 5 ),1281500.000000000000,1292400.000000000000,1250000.000000000000,1248560.000000000200,1270519.999999999500,1260620.000000000000,1302360.000000000000,1250000.000000000000,10155960.000000000000
FS( 6 ),1281500.000000000000,1292400.000000000000,1226480.000000000200,1220120.000000000200,1254079.999999999500,1252700.000000000000,1296940.000000000000,1250000.000000000000,10074220.000000000000
FS( 7 ),1279500.000000000000,1311200.000000000000,1258640.000000000200,1257380.000000000000,1278680.000000000000,1263320.000000000000,1318600.000000000000,1250000.000000000000,10217320.000000000000
FS( 8 ),1278000.000000000000,1304400.000000000000,1245200.000000000200,1242620.000000000200,1264339.999999999800,1256660.000000000000,1313200.000000000000,1250000.000000000000,10154420.000000000000
FS( 9 ),1263000.000000000000,1288400.000000000000,1248560.000000000200,1251440.000000000200,1276639.999999999800,1255220.000000000000,1311380.000000000000,1250000.000000000000,10144640.000000000000
FS( 10 ),1263000.000000000000,1306000.000000000000,1245200.000000000200,1239560.000000000200,1268419.999999999800,1253960.000000000000,1295140.000000000000,1250000.000000000000,10121280.000000000000
FS( 11 ),1285000.000000000000,1306000.000000000000,1263440.000000000000,1223180.000000000200,1262299.999999999800,1251260.000000000200,1324020.000000000000,1250000.000000000000,10165200.000000000000
FS( 12 ),1313000.000000000000,1323600.000000000000,1286960.000000000200,1263320.000000000200,1295059.999999999800,1259180.000000000000,1394440.000000000000,1250000.000000000000,10385560.000000000000
FS( 13 ),1311000.000000000000,1322400.000000000000,1286960.000000000200,1259000.000000000000,1299139.999999999800,1261880.000000000200,1383600.000000000000,1250000.000000000000,10373980.000000000000
FS( 14 ),1316500.000000000000,1316800.000000000000,1298960.000000000200,1275380.000000000000,1301240.000000000000,1269800.000000000000,1407080.000000000000,1250000.000000000000,10435760.000000000000
FS( 15 ),1300000.000000000000,1299200.000000000000,1288880.000000000200,1260440.000000000200,1286899.999999999800,1272500.000000000000,1376380.000000000000,1250000.000000000000,10334300.000000000000
FS( 16 ),1285000.000000000000,1280000.000000000000,1265360.000000000200,1253060.000000000200,1231579.999999999500,1267280.000000000000,1389020.000000000000,1250000.000000000000,10221300.000000000000
FS( 17 ),1272500.000000000000,1258400.000000000000,1248560.000000000200,1245500.000000000000,1206979.999999999800,1265840.000000000000,1365560.000000000000,1250000.000000000000,10113340.000000000000
FS( 18 ),1287000.000000000000,1270400.000000000000,1260080.000000000200,1232180.000000000200,1204939.999999999800,1276460.000000000000,1333060.000000000000,1250000.000000000000,10114120.000000000000
FS( 19 ),1296500.000000000000,1270400.000000000000,1260080.000000000200,1241000.000000000000,1233619.999999999800,1289780.000000000000,1389020.000000000000,1250000.000000000000,10230400.000000000000
FS( 20 ),1307500.000000000000,1268000.000000000000,1223120.000000000200,1250000.000000000000,1184479.999999999800,1287080.000000000000,1376380.000000000000,1250000.000000000000,10146560.000000000000
FS( 21 ),1313000.000000000000,1324800.000000000000,1272080.000000000200,1270880.000000000000,1190599.999999999800,1302920.000000000000,1399860.000000000000,1250000.000000000000,10324140.000000000000
FS( 22 ),1303500.000000000000,1314000.000000000000,1282160.000000000500,1300580.000000000200,1200859.999999999800,1301660.000000000000,1380000.000000000000,1250000.000000000000,10332760.000000000000
FS( 23 ),1342500.000000000000,1352000.000000000000,1302320.000000000200,1314080.000000000200,1217240.000000000000,1312280.000000000000,1374580.000000000000,1250000.000000000000,10465000.000000000000
FS( 24 ),1344500.000000000000,1350800.000000000000,1295600.000000000500,1314080.000000000200,1215199.999999999800,1316240.000000000200,1378200.000000000000,1250000.000000000000,10464620.000000000000
FS( 25 ),1333000.000000000000,1369999.999999999800,1307120.000000000200,1311020.000000000000,1225399.999999999800,1317500.000000000000,1370960.000000000000,1250000.000000000000,10485000.000000000000
FS( 26 ),1348000.000000000000,1386400.000000000200,1312400.000000000200,1309400.000000000200,1209019.999999999500,1318940.000000000000,1334860.000000000000,1250000.000000000000,10469020.000000000000
FS( 27 ),1348000.000000000000,1376800.000000000000,1303760.000000000200,1295540.000000000200,1163959.999999999800,1321640.000000000000,1322220.000000000000,1250000.000000000000,10381920.000000000000
FS( 28 ),1337000.000000000000,1398400.000000000000,1309040.000000000200,1281680.000000000200,1163959.999999999800,1324160.000000000000,1315000.000000000000,1250000.000000000000,10379240.000000000000
FS( 29 ),1370000.000000000000,1380800.000000000000,1312400.000000000200,1266200.000000000200,1163959.999999999800,1321640.000000000000,1331240.000000000000,1250000.000000000000,10396240.000000000000
FS( 30 ),1344500.000000000000,1371200.000000000000,1286960.000000000200,1229120.000000000200,1141459.999999999800,1297700.000000000000,1334860.000000000000,1250000.000000000000,10255800.000000000000
FS( 31 ),1346000.000000000000,1368400.000000000000,1292240.000000000200,1230560.000000000200,1149619.999999999800,1300399.999999999800,1356520.000000000000,1250000.000000000000,10293740.000000000000
FS( 32 ),1346000.000000000000,1368400.000000000000,1300400.000000000200,1226060.000000000200,1155799.999999999800,1300399.999999999800,1327640.000000000000,1250000.000000000000,10274700.000000000000
FS( 33 ),1346000.000000000000,1384800.000000000000,1297040.000000000200,1215080.000000000200,1176259.999999999500,1316600.000000000000,1318600.000000000000,1250000.000000000000,10304380.000000000000
FS( 34 ),1339000.000000000000,1349600.000000000000,1265360.000000000200,1215080.000000000200,1143500.000000000000,1315340.000000000000,1320420.000000000000,1250000.000000000000,10198300.000000000000
FS( 35 ),1368500.000000000000,1357600.000000000000,1286960.000000000200,1256840.000000000200,1178299.999999999800,1318039.999999999800,1343880.000000000000,1250000.000000000000,10360120.000000000000
FS( 36 ),1374000.000000000000,1356400.000000000200,1300400.000000000200,1244600.000000000200,1184479.999999999800,1318039.999999999800,1349300.000000000000,1250000.000000000000,10377220.000000000000
FS( 37 ),1351500.000000000000,1350800.000000000000,1253360.000000000200,1207520.000000000000,1168099.999999999800,1313899.999999999800,1333060.000000000000,1250000.000000000000,10228240.000000000000
FS( 38 ),1342500.000000000000,1337200.000000000000,1290320.000000000200,1215080.000000000200,1159879.999999999800,1306880.000000000200,1347500.000000000000,1250000.000000000000,10249360.000000000000
FS( 39 ),1315000.000000000000,1363200.000000000200,1255280.000000000200,1212020.000000000000,1174219.999999999800,1311019.999999999800,1356520.000000000000,1250000.000000000000,10237260.000000000000
FS( 40 ),1320500.000000000000,1356400.000000000200,1245200.000000000200,1238300.000000000200,1182439.999999999800,1299860.000000000000,1361940.000000000000,1250000.000000000000,10254640.000000000000
FS( 41 ),1367500.000000000000,1369999.999999999800,1290320.000000000200,1284740.000000000500,1225399.999999999800,1296980.000000000000,1387220.000000000000,1250000.000000000000,10472160.000000000000
FS( 42 ),1377000.000000000000,1390400.000000000200,1283600.000000000500,1280060.000000000200,1221319.999999999800,1301120.000000000000,1392640.000000000000,1250000.000000000000,10496140.000000000000
FS( 43 ),1369500.000000000000,1401200.000000000000,1286960.000000000200,1311020.000000000000,1219279.999999999800,1323800.000000000000,1394440.000000000000,1250000.000000000000,10556200.000000000000
FS( 44 ),1402500.000000000000,1439200.000000000200,1315760.000000000200,1295540.000000000200,1237699.999999999800,1308320.000000000000,1408880.000000000000,1250000.000000000000,10657900.000000000000
FS( 45 ),1404500.000000000000,1444800.000000000000,1290320.000000000200,1292480.000000000200,1209019.999999999500,1316600.000000000000,1403460.000000000000,1250000.000000000000,10611180.000000000000
FS( 46 ),1400500.000000000000,1472000.000000000000,1282160.000000000500,1309400.000000000200,1211119.999999999800,1316600.000000000000,1352920.000000000000,1250000.000000000000,10594700.000000000000
FS( 47 ),1400500.000000000000,1502000.000000000000,1292720.000000000200,1317140.000000000200,1219279.999999999800,1309580.000000000000,1361940.000000000000,1250000.000000000000,10653160.000000000000
FS( 48 ),1393000.000000000000,1515600.000000000000,1309040.000000000200,1303280.000000000200,1262479.999999999800,1304000.000000000000,1363740.000000000000,1250000.000000000000,10701140.000000000000
FS( 49 ),1404500.000000000000,1545600.000000000000,1312880.000000000200,1331000.000000000000,1275439.999999999800,1320920.000000000000,1415780.000000000000,1250000.000000000000,10856120.000000000000
FS( 50 ),1404500.000000000000,1518799.999999999800,1316240.000000000200,1326500.000000000000,1271119.999999999800,1322360.000000000000,1400920.000000000000,1250000.000000000000,10810440.000000000000
FS( 51 ),1412500.000000000000,1506800.000000000000,1312880.000000000200,1337300.000000000200,1284079.999999999500,1323800.000000000000,1417640.000000000000,1250000.000000000000,10845000.000000000000
FS( 52 ),1385000.000000000000,1536400.000000000200,1320080.000000000200,1345040.000000000200,1323019.999999999500,1326500.000000000000,1425080.000000000000,1250000.000000000000,10911120.000000000000
FS( 53 ),1389000.000000000000,1512799.999999999800,1312880.000000000200,1341980.000000000200,1310059.999999999800,1332080.000000000000,1413920.000000000000,1250000.000000000000,10862720.000000000000
FS( 54 ),1373500.000000000000,1512799.999999999800,1305680.000000000000,1340360.000000000500,1348939.999999999800,1329380.000000000200,1430640.000000000000,1250000.000000000000,10891300.000000000000
FS( 55 ),1365500.000000000000,1492000.000000000000,1287440.000000000000,1326500.000000000000,1331659.999999999800,1323800.000000000000,1426940.000000000000,1250000.000000000000,10803840.000000000000
FS( 56 ),1348000.000000000000,1489200.000000000200,1284080.000000000200,1332620.000000000200,1312219.999999999800,1319480.000000000000,1426940.000000000000,1250000.000000000000,10762540.000000000000
FS( 57 ),1352000.000000000000,1545600.000000000000,1316240.000000000200,1351160.000000000200,1320859.999999999800,1327940.000000000000,1426940.000000000000,1250000.000000000000,10890740.000000000000
FS( 58 ),1340000.000000000000,1545600.000000000000,1312880.000000000200,1332620.000000000200,1331659.999999999800,1330820.000000000000,1425080.000000000000,1250000.000000000000,10868660.000000000000
FS( 59 ),1334500.000000000000,1533600.000000000000,1312880.000000000200,1337300.000000000200,1331659.999999999800,1332080.000000000000,1425080.000000000000,1250000.000000000000,10857100.000000000000
FS( 60 ),1330500.000000000000,1545600.000000000000,1301840.000000000200,1326500.000000000000,1292779.999999999800,1325060.000000000000,1428780.000000000000,1250000.000000000000,10801060.000000000000
FS( 61 ),1328500.000000000000,1508400.000000000000,1294640.000000000200,1341980.000000000200,1286240.000000000000,1325060.000000000000,1467820.000000000000,1250000.000000000000,10802640.000000000000
