代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11931087.688500000000
真實報酬,1931087.688500000200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,14802.232688430249
風險,80176.516679395500
起點值,0.184620551023
找到最佳解世代,1990
找到最佳解實驗#,9
找到最佳解次數,4

投資組合檔數,13
1102(1)[12],2002(7)[43],2308(14)[3],2409(23)[6],2412(24)[4],2454(25)[11],2882(31)[29],2887(36)[28],2912(40)[20],3008(41)[2],3045(42)[17],4938(46)[1],9999(50)[42],
Stock#,1102(1)[12],2002(7)[43],2308(14)[3],2409(23)[6],2412(24)[4],2454(25)[11],2882(31)[29],2887(36)[28],2912(40)[20],3008(41)[2],3045(42)[17],4938(46)[1],9999(50)[42],
張數,24,34,5,85,10,2,21,75,4,0,10,23,-1,
分配資金,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,
剩餘資金,19710.000000000000,16810.000000000000,41230.000000000000,5080.000000000000,11630.000000000000,9110.000000000000,21630.000000000000,480.000000000000,110470.000000000000,769230.000000000000,45530.000000000000,7010.000000000000,769230.000000000000,
FS( 1 ),769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,769230.000000000000,10000000.000000000000
FS( 2 ),768270.000000000120,763110.000000000000,751780.000000000120,761580.000000000000,765930.000000000120,760790.000000000000,758100.000000000000,760980.000000000000,772790.000000000000,769230.000000000000,766030.000000000000,762560.000000000120,769230.000000000000,9930390.000000000000
FS( 3 ),768270.000000000120,761750.000000000000,780130.000000000000,764980.000000000000,770830.000000000000,770090.000000000000,759150.000000000000,766980.000000000000,779910.000000000000,769230.000000000000,768430.000000000120,778430.000000000000,769230.000000000000,10007420.000000000000
FS( 4 ),770190.000000000000,767529.999999999880,788830.000000000000,772630.000000000000,774130.000000000000,794570.000000000000,774270.000000000120,772229.999999999880,815510.000000000000,769230.000000000000,770830.000000000000,782340.000000000000,769230.000000000000,10121530.000000000000
FS( 5 ),777149.999999999880,773310.000000000000,780130.000000000000,769230.000000000000,774930.000000000000,808090.000000000000,776790.000000000000,772229.999999999880,804830.000000000000,769230.000000000000,774130.000000000000,779580.000000000000,769230.000000000000,10128870.000000000000
FS( 6 ),772350.000000000000,764810.000000000000,767030.000000000000,749680.000000000000,774930.000000000000,806390.000000000000,765870.000000000000,769230.000000000000,801270.000000000000,769230.000000000000,776530.000000000000,775670.000000000120,769230.000000000000,10062230.000000000000
FS( 7 ),776190.000000000000,773310.000000000000,782280.000000000120,752230.000000000000,779930.000000000000,810630.000000000000,765870.000000000000,763980.000000000000,811950.000000000000,769230.000000000000,781430.000000000120,772910.000000000000,769230.000000000000,10109180.000000000000
FS( 8 ),778110.000000000120,767529.999999999880,804079.999999999880,754780.000000000000,779930.000000000000,779370.000000000000,772589.999999999880,763980.000000000000,813750.000000000000,769230.000000000000,779730.000000000000,781420.000000000120,769230.000000000000,10113740.000000000000
FS( 9 ),772350.000000000000,770590.000000000120,856380.000000000000,754780.000000000000,781530.000000000000,772610.000000000000,782670.000000000120,758730.000000000000,819070.000000000000,769230.000000000000,781430.000000000120,786020.000000000000,769230.000000000000,10174630.000000000000
FS( 10 ),761309.999999999880,760390.000000000000,832430.000000000000,761580.000000000000,773330.000000000000,786130.000000000000,771750.000000000000,752730.000000000000,824430.000000000000,769230.000000000000,779730.000000000000,791540.000000000000,769230.000000000000,10133820.000000000000
FS( 11 ),763470.000000000000,757330.000000000000,821530.000000000000,806630.000000000000,775830.000000000000,774310.000000000000,765030.000000000000,755730.000000000000,826190.000000000000,769230.000000000000,785430.000000000000,802810.000000000120,769230.000000000000,10172760.000000000000
FS( 12 ),768270.000000000120,769230.000000000000,821530.000000000000,795580.000000000120,779930.000000000000,774310.000000000000,771750.000000000000,758730.000000000000,826190.000000000000,769230.000000000000,799130.000000000000,812239.999999999880,769230.000000000000,10215360.000000000000
FS( 13 ),759390.000000000120,761750.000000000000,821530.000000000000,791330.000000000000,782430.000000000000,752350.000000000000,763350.000000000000,758730.000000000000,842230.000000000000,769230.000000000000,805630.000000000000,819599.999999999880,769230.000000000000,10196790.000000000000
FS( 14 ),762510.000000000000,767529.999999999880,808430.000000000000,769230.000000000000,779130.000000000000,758250.000000000000,753900.000000000000,747480.000000000120,849350.000000000000,769230.000000000000,799130.000000000000,800970.000000000000,769230.000000000000,10134380.000000000000
FS( 15 ),754590.000000000000,755970.000000000000,795380.000000000120,772630.000000000000,779930.000000000000,756570.000000000000,755580.000000000000,745230.000000000000,840430.000000000000,769230.000000000000,787030.000000000000,800970.000000000000,769230.000000000000,10082780.000000000000
FS( 16 ),761309.999999999880,764810.000000000000,810630.000000000000,783680.000000000000,779130.000000000000,759110.000000000000,759989.999999999880,745230.000000000000,856470.000000000000,769230.000000000000,795930.000000000120,810400.000000000000,769230.000000000000,10165160.000000000000
FS( 17 ),773309.999999999880,767529.999999999880,828080.000000000000,791330.000000000000,785729.999999999880,770930.000000000000,770910.000000000000,742230.000000000000,890310.000000000000,769230.000000000000,796730.000000000000,819599.999999999880,769230.000000000000,10275160.000000000000
FS( 18 ),774270.000000000120,763110.000000000000,843329.999999999880,814279.999999999880,778229.999999999880,781910.000000000000,767550.000000000120,745230.000000000000,879630.000000000000,769230.000000000000,795129.999999999880,829030.000000000120,769230.000000000000,10310170.000000000000
FS( 19 ),774270.000000000120,771950.000000000000,830230.000000000000,798980.000000000000,782430.000000000000,772610.000000000000,770910.000000000000,747480.000000000120,876070.000000000000,769230.000000000000,810530.000000000000,815920.000000000120,769230.000000000000,10289850.000000000000
FS( 20 ),762510.000000000000,771950.000000000000,825880.000000000120,803230.000000000120,783229.999999999880,760790.000000000000,773430.000000000000,752730.000000000000,861830.000000000000,769230.000000000000,813729.999999999880,823280.000000000120,769230.000000000000,10271060.000000000000
FS( 21 ),768270.000000000120,770590.000000000120,860730.000000000000,814279.999999999880,785729.999999999880,768390.000000000000,772589.999999999880,752730.000000000000,876070.000000000000,769230.000000000000,816930.000000000000,854099.999999999880,769230.000000000000,10378880.000000000000
FS( 22 ),773309.999999999880,771950.000000000000,852030.000000000000,832980.000000000000,785729.999999999880,792050.000000000000,768390.000000000000,752730.000000000000,872510.000000000000,769230.000000000000,816930.000000000000,859849.999999999880,769230.000000000000,10416930.000000000000
