代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12292160.000000000000
真實報酬,2292160.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18473.231490689621
風險,184213.186817756620
起點值,0.100281808321
找到最佳解世代,1626
找到最佳解實驗#,1
找到最佳解次數,38

投資組合檔數,3
1101(0)[5],2301(13)[4],2330(20)[1],
Stock#,1101(0)[5],2301(13)[4],2330(20)[1],
張數,131,124,46,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,4623.000000000000,213.000000000000,19493.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3384423.000000000000,3343253.000000000000,3337013.000000000500,10064690.000000000000
FS( 3 ),3333333.000000000000,3296132.999999999500,3258352.999999999500,9887820.000000000000
FS( 4 ),3328093.000000000500,3282492.999999999500,3222472.999999999500,9833060.000000000000
FS( 5 ),3456473.000000000500,3343253.000000000000,3329193.000000000500,10128920.000000000000
FS( 6 ),3594022.999999999500,3343253.000000000000,3317233.000000000000,10254510.000000000000
FS( 7 ),3574373.000000000000,3343253.000000000000,3353113.000000000000,10270740.000000000000
FS( 8 ),3599263.000000000500,3343253.000000000000,3356792.999999999500,10299310.000000000000
FS( 9 ),3625463.000000000000,3361853.000000000000,3376573.000000000500,10363890.000000000000
FS( 10 ),3757772.999999999500,3399053.000000000000,3435912.999999999500,10592740.000000000000
FS( 11 ),3757772.999999999500,3407733.000000000000,3435912.999999999500,10601420.000000000000
FS( 12 ),3676553.000000000500,3380453.000000000500,3404173.000000000000,10461180.000000000000
FS( 13 ),3681793.000000000000,3436253.000000000000,3416133.000000000500,10534180.000000000000
FS( 14 ),3609743.000000000000,3389132.999999999500,3388533.000000000000,10387410.000000000000
FS( 15 ),3676553.000000000500,3407733.000000000000,3404173.000000000000,10488460.000000000000
FS( 16 ),3717163.000000000000,3439972.999999999500,3420273.000000000000,10577410.000000000000
FS( 17 ),3687033.000000000000,3463533.000000000000,3412453.000000000000,10563020.000000000000
FS( 18 ),3666073.000000000000,3453613.000000000000,3431773.000000000000,10551460.000000000000
FS( 19 ),3692272.999999999500,3431293.000000000500,3479153.000000000000,10602720.000000000000
FS( 20 ),3717163.000000000000,3514373.000000000000,3566093.000000000000,10797630.000000000000
FS( 21 ),3681793.000000000000,3500733.000000000000,3530673.000000000000,10713200.000000000000
FS( 22 ),3660833.000000000000,3482132.999999999500,3558273.000000000000,10701240.000000000000
FS( 23 ),3645113.000000000000,3436253.000000000000,3566093.000000000000,10647460.000000000000
FS( 24 ),3706683.000000000500,3407733.000000000000,3597833.000000000000,10712250.000000000000
FS( 25 ),3717163.000000000000,3449893.000000000000,3613472.999999999500,10780530.000000000000
FS( 26 ),3717163.000000000000,3458573.000000000000,3538493.000000000000,10714230.000000000000
FS( 27 ),3757772.999999999500,3509413.000000000500,3459833.000000000000,10727020.000000000000
FS( 28 ),3681793.000000000000,3482132.999999999500,3396352.999999999500,10560280.000000000000
FS( 29 ),3625463.000000000000,3528012.999999999500,3428093.000000000000,10581570.000000000000
FS( 30 ),3706683.000000000500,3472213.000000000000,3431773.000000000000,10610670.000000000000
FS( 31 ),3752533.000000000000,3482132.999999999500,3475472.999999999500,10710140.000000000000
FS( 32 ),3778732.999999999500,3524293.000000000500,3471333.000000000000,10774360.000000000000
FS( 33 ),3768253.000000000000,3482132.999999999500,3498933.000000000000,10749320.000000000000
FS( 34 ),3850783.000000000000,3482132.999999999500,3443733.000000000000,10776650.000000000000
FS( 35 ),3870433.000000000500,3463533.000000000000,3416133.000000000500,10750100.000000000000
FS( 36 ),3850783.000000000000,3482132.999999999500,3404173.000000000000,10737090.000000000000
FS( 37 ),3856022.999999999500,3509413.000000000500,3392673.000000000000,10758110.000000000000
FS( 38 ),3886152.999999999500,3463533.000000000000,3368753.000000000000,10718440.000000000000
FS( 39 ),3732883.000000000000,3444933.000000000500,3467653.000000000000,10645470.000000000000
FS( 40 ),3783973.000000000500,3436253.000000000000,3498933.000000000000,10719160.000000000000
FS( 41 ),3829823.000000000000,3444933.000000000500,3495253.000000000000,10770010.000000000000
FS( 42 ),3835062.999999999500,3453613.000000000000,3522852.999999999500,10811530.000000000000
FS( 43 ),3748602.999999999500,3412693.000000000000,3542633.000000000500,10703930.000000000000
FS( 44 ),3824583.000000000000,3436253.000000000000,3570233.000000000000,10831070.000000000000
FS( 45 ),3901873.000000000000,3490813.000000000000,3585873.000000000000,10978560.000000000000
FS( 46 ),3926763.000000000500,3500733.000000000000,3590013.000000000500,11017510.000000000000
FS( 47 ),3942482.999999999500,3500733.000000000000,3613472.999999999500,11056690.000000000000
FS( 48 ),3891393.000000000500,3482132.999999999500,3593693.000000000500,10967220.000000000000
FS( 49 ),3856022.999999999500,3436253.000000000000,3605653.000000000000,10897930.000000000000
FS( 50 ),3856022.999999999500,3426333.000000000000,3625433.000000000000,10907790.000000000000
FS( 51 ),3783973.000000000500,3343253.000000000000,3585873.000000000000,10713100.000000000000
FS( 52 ),3768253.000000000000,3458573.000000000000,3593693.000000000500,10820520.000000000000
FS( 53 ),3722402.999999999500,3472213.000000000000,3582193.000000000500,10776810.000000000000
FS( 54 ),3727643.000000000500,3458573.000000000000,3582193.000000000500,10768410.000000000000
FS( 55 ),3748602.999999999500,3500733.000000000000,3574373.000000000000,10823710.000000000000
FS( 56 ),3768253.000000000000,3487093.000000000000,3590013.000000000500,10845360.000000000000
FS( 57 ),3768253.000000000000,3482132.999999999500,3593693.000000000500,10844080.000000000000
FS( 58 ),3701442.999999999500,3482132.999999999500,3625433.000000000000,10809010.000000000000
FS( 59 ),3768253.000000000000,3528012.999999999500,3791493.000000000000,11087760.000000000000
FS( 60 ),3768253.000000000000,3528012.999999999500,3783673.000000000000,11079940.000000000000
FS( 61 ),3727643.000000000500,3556533.000000000000,3822773.000000000000,11106950.000000000000
FS( 62 ),3687033.000000000000,3546613.000000000000,3807133.000000000500,11040780.000000000000
FS( 63 ),3819343.000000000500,3556533.000000000000,3831053.000000000000,11206930.000000000000
FS( 64 ),3896633.000000000000,3686733.000000000000,3917993.000000000000,11501360.000000000000
FS( 65 ),3891393.000000000500,3676813.000000000000,3886253.000000000000,11454460.000000000000
FS( 66 ),3859953.000000000000,3649533.000000000000,3834733.000000000000,11344220.000000000000
FS( 67 ),3911043.000000000000,3676813.000000000000,3846693.000000000500,11434550.000000000000
FS( 68 ),3880913.000000000000,3700373.000000000000,3834733.000000000000,11416020.000000000000
FS( 69 ),4034183.000000000500,3714012.999999999500,3894073.000000000500,11642270.000000000000
FS( 70 ),3993573.000000000000,3658213.000000000000,3831053.000000000000,11482840.000000000000
FS( 71 ),3983093.000000000500,3649533.000000000000,3901893.000000000000,11534520.000000000000
FS( 72 ),3993573.000000000000,3681773.000000000000,3906033.000000000000,11581380.000000000000
FS( 73 ),3998812.999999999500,3700373.000000000000,3937313.000000000000,11636500.000000000000
FS( 74 ),3998812.999999999500,3676813.000000000000,3906033.000000000000,11581660.000000000000
FS( 75 ),3977852.999999999500,3658213.000000000000,3850833.000000000000,11486900.000000000000
FS( 76 ),3967373.000000000000,3621012.999999999500,3838873.000000000000,11427260.000000000000
FS( 77 ),3942482.999999999500,3639613.000000000000,3862333.000000000000,11444430.000000000000
FS( 78 ),3942482.999999999500,3565213.000000000000,3811273.000000000000,11318970.000000000000
FS( 79 ),3840303.000000000500,3542893.000000000000,3763893.000000000000,11147090.000000000000
FS( 80 ),3757772.999999999500,3495773.000000000000,3799313.000000000000,11052860.000000000000
FS( 81 ),3840303.000000000500,3639613.000000000000,3779533.000000000000,11259450.000000000000
FS( 82 ),3891393.000000000500,3598693.000000000000,3831053.000000000000,11321140.000000000000
FS( 83 ),3963442.999999999500,3575132.999999999500,3811273.000000000000,11349850.000000000000
FS( 84 ),3977852.999999999500,3570173.000000000000,3795173.000000000000,11343200.000000000000
FS( 85 ),3983093.000000000500,3580093.000000000000,3850833.000000000000,11414020.000000000000
FS( 86 ),3993573.000000000000,3695413.000000000500,3953412.999999999500,11642400.000000000000
FS( 87 ),3977852.999999999500,3714012.999999999500,4008613.000000000000,11700480.000000000000
FS( 88 ),3993573.000000000000,3676813.000000000000,4028393.000000000000,11698780.000000000000
FS( 89 ),3983093.000000000500,3621012.999999999500,3988833.000000000000,11592940.000000000000
FS( 90 ),3942482.999999999500,3668132.999999999500,3957093.000000000000,11567710.000000000000
FS( 91 ),3947723.000000000500,3668132.999999999500,3969053.000000000000,11584910.000000000000
FS( 92 ),4060383.000000000000,3575132.999999999500,4008613.000000000000,11644130.000000000000
FS( 93 ),4060383.000000000000,3621012.999999999500,4008613.000000000000,11690010.000000000000
FS( 94 ),4044663.000000000000,3668132.999999999500,4048173.000000000000,11760970.000000000000
FS( 95 ),3993573.000000000000,3695413.000000000500,3988833.000000000000,11677820.000000000000
FS( 96 ),3988333.000000000000,3668132.999999999500,3937313.000000000000,11593780.000000000000
FS( 97 ),3870433.000000000500,3663173.000000000000,3941453.000000000000,11475060.000000000000
FS( 98 ),3967373.000000000000,3663173.000000000000,4028393.000000000000,11658940.000000000000
FS( 99 ),3977852.999999999500,3700373.000000000000,3988833.000000000000,11667060.000000000000
