代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12770840.000000000000
真實報酬,2770840.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,25574.657144816709
風險,152669.971063475120
起點值,0.167515962482
找到最佳解世代,1442
找到最佳解實驗#,14
找到最佳解次數,1

投資組合檔數,3
2317(16)[3],2474(28)[1],2882(33)[4],
Stock#,2317(16)[3],2474(28)[1],2882(33)[4],
張數,68,26,104,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,20373.000000000000,17293.000000000000,31333.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3348973.000000000500,3485173.000000000000,3365573.000000000500,10199720.000000000000
FS( 3 ),3348973.000000000500,3450333.000000000000,3361413.000000000500,10160720.000000000000
FS( 4 ),3357133.000000000000,3485173.000000000000,3388453.000000000000,10230760.000000000000
FS( 5 ),3385693.000000000000,3438633.000000000000,3396773.000000000000,10221100.000000000000
FS( 6 ),3522373.000000000000,3426932.999999999500,3404053.000000000000,10353360.000000000000
FS( 7 ),3522373.000000000000,3450333.000000000000,3392613.000000000000,10365320.000000000000
FS( 8 ),3476813.000000000000,3461772.999999999500,3396773.000000000000,10335360.000000000000
FS( 9 ),3422413.000000000000,3508573.000000000000,3423812.999999999500,10354800.000000000000
FS( 10 ),3431252.999999999500,3461772.999999999500,3388453.000000000000,10281480.000000000000
FS( 11 ),3422413.000000000000,3403533.000000000500,3341652.999999999500,10167600.000000000000
FS( 12 ),3476813.000000000000,3473473.000000000500,3388453.000000000000,10338740.000000000000
FS( 13 ),3472053.000000000000,3508573.000000000000,3381173.000000000000,10361800.000000000000
FS( 14 ),3472053.000000000000,3637013.000000000000,3337493.000000000000,10446560.000000000000
FS( 15 ),3485653.000000000000,3718913.000000000000,3381173.000000000000,10585740.000000000000
FS( 16 ),3517613.000000000000,3777153.000000000500,3381173.000000000000,10675940.000000000000
FS( 17 ),3512853.000000000000,3765453.000000000000,3388453.000000000000,10666760.000000000000
FS( 18 ),3467973.000000000500,3672112.999999999500,3333333.000000000000,10473420.000000000000
FS( 19 ),3490413.000000000000,3660413.000000000000,3372853.000000000500,10523680.000000000000
FS( 20 ),3472053.000000000000,3672112.999999999500,3333333.000000000000,10477500.000000000000
FS( 21 ),3454373.000000000000,3823953.000000000000,3357253.000000000000,10635580.000000000000
FS( 22 ),3431252.999999999500,3753753.000000000000,3348933.000000000000,10533940.000000000000
FS( 23 ),3476813.000000000000,3882193.000000000000,3463333.000000000000,10822340.000000000000
FS( 24 ),3472053.000000000000,3893893.000000000000,3443573.000000000500,10809520.000000000000
FS( 25 ),3440093.000000000000,3718913.000000000000,3498693.000000000500,10657700.000000000000
FS( 26 ),3467973.000000000500,3753753.000000000000,3565252.999999999500,10786980.000000000000
FS( 27 ),3444853.000000000000,3800552.999999999500,3651573.000000000500,10896980.000000000000
FS( 28 ),3449613.000000000000,3893893.000000000000,3612053.000000000000,10955560.000000000000
FS( 29 ),3385693.000000000000,3800552.999999999500,3631812.999999999500,10818060.000000000000
FS( 30 ),3376853.000000000000,3800552.999999999500,3640133.000000000000,10817540.000000000000
FS( 31 ),3363252.999999999500,3777153.000000000500,3651573.000000000500,10791980.000000000000
FS( 32 ),3372093.000000000000,3847353.000000000000,3612053.000000000000,10831500.000000000000
FS( 33 ),3431252.999999999500,3870493.000000000000,3631812.999999999500,10933560.000000000000
FS( 34 ),3436013.000000000000,3964093.000000000000,3647413.000000000500,11047520.000000000000
FS( 35 ),3454373.000000000000,3998932.999999999500,3655733.000000000000,11109040.000000000000
FS( 36 ),3444853.000000000000,3952393.000000000000,3607893.000000000000,11005140.000000000000
FS( 37 ),3467973.000000000500,4080833.000000000000,3627652.999999999500,11176460.000000000000
FS( 38 ),3440093.000000000000,3964093.000000000000,3604773.000000000000,11008960.000000000000
FS( 39 ),3431252.999999999500,3987233.000000000000,3667173.000000000000,11085660.000000000000
FS( 40 ),3385693.000000000000,3987233.000000000000,3674453.000000000000,11047380.000000000000
FS( 41 ),3431252.999999999500,4034033.000000000500,3674453.000000000000,11139740.000000000000
FS( 42 ),3408813.000000000000,4010633.000000000000,3742053.000000000000,11161500.000000000000
FS( 43 ),3404053.000000000000,4034033.000000000500,3704613.000000000000,11142700.000000000000
FS( 44 ),3385693.000000000000,4232673.000000000000,3683812.999999999500,11302180.000000000000
FS( 45 ),3367333.000000000000,4185873.000000000000,3620373.000000000000,11173580.000000000000
FS( 46 ),3404053.000000000000,4209273.000000000000,3674453.000000000000,11287780.000000000000
FS( 47 ),3408813.000000000000,4244113.000000000000,3657812.999999999500,11310740.000000000000
FS( 48 ),3380933.000000000000,4150772.999999999500,3632853.000000000500,11164560.000000000000
FS( 49 ),3426493.000000000500,4220973.000000000000,3645333.000000000000,11292800.000000000000
FS( 50 ),3408813.000000000000,4244113.000000000000,3657812.999999999500,11310740.000000000000
FS( 51 ),3404053.000000000000,4197573.000000000000,3632853.000000000500,11234480.000000000000
FS( 52 ),3449613.000000000000,4174173.000000000000,3637013.000000000500,11260800.000000000000
FS( 53 ),3444853.000000000000,4162473.000000000500,3678613.000000000000,11285940.000000000000
FS( 54 ),3458453.000000000000,4209273.000000000000,3775333.000000000000,11443060.000000000000
FS( 55 ),3467973.000000000500,4220973.000000000000,3787812.999999999500,11476760.000000000000
FS( 56 ),3467973.000000000500,4185873.000000000000,3787812.999999999500,11441660.000000000000
FS( 57 ),3431252.999999999500,4069133.000000000000,3762853.000000000500,11263240.000000000000
FS( 58 ),3412893.000000000000,4057432.999999999500,3833573.000000000500,11303900.000000000000
FS( 59 ),3436013.000000000000,4092533.000000000500,3917812.999999999500,11446360.000000000000
FS( 60 ),3454373.000000000000,4092533.000000000500,3897013.000000000500,11443920.000000000000
FS( 61 ),3449613.000000000000,4080833.000000000000,3917812.999999999500,11448260.000000000000
FS( 62 ),3472053.000000000000,4139072.999999999500,3934453.000000000000,11545580.000000000000
FS( 63 ),3567933.000000000000,4220973.000000000000,3926133.000000000000,11715040.000000000000
FS( 64 ),3576772.999999999500,4232673.000000000000,3913652.999999999500,11723100.000000000000
FS( 65 ),3572013.000000000000,4232673.000000000000,3884533.000000000000,11689220.000000000000
FS( 66 ),3613493.000000000500,4244113.000000000000,3942773.000000000000,11800380.000000000000
FS( 67 ),3585613.000000000000,4255813.000000000000,3926133.000000000000,11767560.000000000000
FS( 68 ),3590373.000000000000,4524392.999999999100,3884533.000000000000,11999300.000000000000
FS( 69 ),3640693.000000000000,4512693.000000000900,3917812.999999999500,12071200.000000000000
FS( 70 ),3654293.000000000000,4617993.000000000000,3901173.000000000000,12173460.000000000000
FS( 71 ),3576772.999999999500,4617993.000000000000,3934453.000000000000,12129220.000000000000
FS( 72 ),3590373.000000000000,4500993.000000000000,3872053.000000000000,11963420.000000000000
FS( 73 ),3590373.000000000000,4431053.000000000000,3909493.000000000000,11930920.000000000000
FS( 74 ),3549573.000000000000,4384253.000000000000,3859573.000000000500,11793400.000000000000
FS( 75 ),3572013.000000000000,4431053.000000000000,3884533.000000000000,11887600.000000000000
FS( 76 ),3608733.000000000000,4571193.000000000900,3872053.000000000000,12051980.000000000000
FS( 77 ),3627093.000000000000,4536093.000000000000,3930293.000000000000,12093480.000000000000
FS( 78 ),3613493.000000000500,4361113.000000000000,3926133.000000000000,11900740.000000000000
FS( 79 ),3613493.000000000500,4489553.000000000000,3967733.000000000000,12070780.000000000000
FS( 80 ),3617573.000000000000,4489553.000000000000,3967733.000000000000,12074860.000000000000
FS( 81 ),3613493.000000000500,4361113.000000000000,3980213.000000000000,11954820.000000000000
FS( 82 ),3627093.000000000000,4395953.000000000000,3967733.000000000000,11990780.000000000000
FS( 83 ),3654293.000000000000,4466153.000000000900,3984373.000000000000,12104820.000000000000
FS( 84 ),3672653.000000000000,4582892.999999999100,4089413.000000000500,12344960.000000000000
FS( 85 ),3663133.000000000000,4536093.000000000000,4072773.000000000000,12272000.000000000000
FS( 86 ),3676733.000000000000,4617993.000000000000,4143493.000000000000,12438220.000000000000
FS( 87 ),3631173.000000000000,4571193.000000000900,4110213.000000000000,12312580.000000000000
FS( 88 ),3613493.000000000500,4466153.000000000900,4047812.999999999500,12127460.000000002000
FS( 89 ),3613493.000000000500,4559493.000000000000,4097733.000000000000,12270720.000000000000
FS( 90 ),3635933.000000000000,4559493.000000000000,4076933.000000000000,12272360.000000000000
FS( 91 ),3681493.000000000500,4676233.000000000000,4056133.000000000000,12413860.000000000000
FS( 92 ),3713453.000000000000,4758133.000000000000,4010373.000000000000,12481960.000000000000
FS( 93 ),3740653.000000000000,4781273.000000000000,4002053.000000000000,12523980.000000000000
FS( 94 ),3763093.000000000000,4676233.000000000000,3934453.000000000000,12373780.000000000000
FS( 95 ),3808653.000000000000,4792973.000000000000,3934453.000000000000,12536080.000000000000
FS( 96 ),3835853.000000000000,4758133.000000000000,3984373.000000000000,12578360.000000000000
FS( 97 ),3831772.999999999500,4758133.000000000000,3963573.000000000500,12553480.000000000000
FS( 98 ),3895013.000000000000,4863173.000000000000,3967733.000000000000,12725920.000000000000
FS( 99 ),3863053.000000000000,4851473.000000000000,4027013.000000000500,12741540.000000000000
FS( 100 ),3849453.000000000000,4933113.000000000000,4018693.000000000500,12801260.000000000000
FS( 101 ),3835853.000000000000,4839773.000000000000,3976053.000000000000,12651680.000000000000
FS( 102 ),3886173.000000000000,4804673.000000000000,3959413.000000000500,12650260.000000000000
FS( 103 ),3881413.000000000000,4734733.000000000000,3855413.000000000500,12471560.000000000000
FS( 104 ),3717533.000000000000,4711333.000000000000,3725413.000000000500,12154280.000000000000
FS( 105 ),3745413.000000000000,4874873.000000000000,3733733.000000000000,12354020.000000000000
FS( 106 ),3722293.000000000000,5154892.999999999100,3800293.000000000000,12677480.000000000000
FS( 107 ),3735893.000000000000,5049853.000000000000,3791972.999999999500,12577720.000000000000
FS( 108 ),3676733.000000000000,5120053.000000000000,3804453.000000000000,12601240.000000000000
FS( 109 ),3763093.000000000000,5353533.000000000000,3851252.999999999500,12967880.000000000000
FS( 110 ),3781453.000000000000,5154892.999999999100,3816933.000000000000,12753280.000000000000
FS( 111 ),3818173.000000000000,5003313.000000000000,3867893.000000000000,12689380.000000000000
FS( 112 ),3818173.000000000000,5108353.000000000000,3825252.999999999500,12751780.000000000000
FS( 113 ),3831772.999999999500,5131753.000000000000,3884533.000000000000,12848060.000000000000
FS( 114 ),3840613.000000000000,5096653.000000000900,3884533.000000000000,12821800.000000000000
FS( 115 ),3786213.000000000000,5049853.000000000000,3842933.000000000000,12679000.000000000000
FS( 116 ),3827013.000000000000,5061553.000000000000,3892853.000000000500,12781420.000000000000
FS( 117 ),3781453.000000000000,5131753.000000000000,3775333.000000000000,12688540.000000000000
FS( 118 ),3786213.000000000000,5154892.999999999100,3754533.000000000000,12695640.000000000000
FS( 119 ),3822252.999999999500,5248493.000000000000,3758693.000000000500,12829440.000000000000
FS( 120 ),3840613.000000000000,5154892.999999999100,3775333.000000000000,12770840.000000000000
