代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11329480.000000000000
真實報酬,1329480.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10824.323195386942
風險,72708.433130324629
起點值,0.148873008664
找到最佳解世代,1609
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,9
2227(11)[27],2303(13)[31],2801(28)[5],2882(31)[12],2886(35)[6],2892(39)[1],2912(40)[30],3481(43)[11],5880(46)[4],
Stock#,2227(11)[27],2303(13)[31],2801(28)[5],2882(31)[12],2886(35)[6],2892(39)[1],2912(40)[30],3481(43)[11],5880(46)[4],
張數,6,97,73,28,54,73,4,101,86,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,1651.000000000000,11131.000000000000,11000.999999999767,14351.000000000000,11671.000000000000,5891.000000000000,196231.000000000000,2131.000000000000,7731.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1097311.000000000000,1106260.999999999800,1107460.999999999800,1096271.000000000000,1108411.000000000000,1111111.000000000000,1113071.000000000000,1116161.000000000000,1111111.000000000000,9967170.000000000000
FS( 3 ),1088971.000000000000,1096561.000000000000,1104540.999999999800,1084231.000000000000,1133791.000000000200,1108191.000000000000,1114991.000000000000,1101011.000000000000,1106811.000000000000,9939100.000000000000
FS( 4 ),1083451.000000000200,1096561.000000000000,1107460.999999999800,1100471.000000000000,1128931.000000000000,1114761.000000000000,1113071.000000000000,1121211.000000000000,1099071.000000000000,9964990.000000000000
FS( 5 ),1091790.999999999800,1101411.000000000000,1114760.999999999800,1108591.000000000000,1131630.999999999800,1114761.000000000000,1109191.000000000000,1126261.000000000000,1103371.000000000000,10001770.000000000000
FS( 6 ),1097311.000000000000,1106260.999999999800,1117680.999999999800,1109711.000000000000,1161871.000000000000,1124981.000000000000,1120831.000000000000,1131311.000000000000,1115411.000000000000,10085370.000000000000
FS( 7 ),1075171.000000000000,1087831.000000000000,1107460.999999999800,1065471.000000000000,1133791.000000000200,1108191.000000000000,1130511.000000000000,1075761.000000000000,1095631.000000000000,9879820.000000000000
