代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11424415.000000000000
真實報酬,1424415.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12343.505353187300
風險,115577.541974263250
起點值,0.106798476091
找到最佳解世代,1413
找到最佳解實驗#,1
找到最佳解次數,22

投資組合檔數,4
2325(16)[1],2330(17)[2],2412(24)[4],9999(49)[18],
Stock#,2325(16)[1],2330(17)[2],2412(24)[4],9999(49)[18],
張數,70,21,28,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,31100.000000000000,75130.000000000000,11920.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2509800.000000000000,2529400.000000000000,2489640.000000000000,2500000.000000000000,10028840.000000000000
FS( 3 ),2581200.000000000000,2558800.000000000000,2497480.000000000000,2500000.000000000000,10137480.000000000000
FS( 4 ),2565800.000000000500,2519530.000000000000,2502520.000000000000,2500000.000000000000,10087850.000000000000
FS( 5 ),2597300.000000000000,2470600.000000000000,2502520.000000000000,2500000.000000000000,10070420.000000000000
FS( 6 ),2640700.000000000000,2480470.000000000000,2477040.000000000500,2500000.000000000000,10098210.000000000000
FS( 7 ),2684800.000000000000,2597860.000000000000,2502520.000000000000,2500000.000000000000,10285180.000000000000
FS( 8 ),2703700.000000000000,2519530.000000000000,2502520.000000000000,2500000.000000000000,10225750.000000000000
FS( 9 ),2706500.000000000000,2568460.000000000000,2515120.000000000500,2500000.000000000000,10290080.000000000000
FS( 10 ),2656800.000000000000,2568460.000000000000,2515120.000000000500,2500000.000000000000,10240380.000000000000
FS( 11 ),2665900.000000000000,2539060.000000000000,2525480.000000000000,2500000.000000000000,10230440.000000000000
FS( 12 ),2693899.999999999500,2607520.000000000000,2525480.000000000000,2500000.000000000000,10326900.000000000000
FS( 13 ),2669399.999999999500,2636920.000000000000,2528000.000000000000,2500000.000000000000,10334320.000000000000
FS( 14 ),2731700.000000000000,2646790.000000000000,2528000.000000000000,2500000.000000000000,10406490.000000000000
FS( 15 ),2625300.000000000500,2607520.000000000000,2502520.000000000000,2500000.000000000000,10235340.000000000000
FS( 16 ),2609900.000000000000,2597860.000000000000,2522960.000000000000,2500000.000000000000,10230720.000000000000
FS( 17 ),2465700.000000000000,2509870.000000000000,2507560.000000000000,2500000.000000000000,9983130.000000000000
FS( 18 ),2409000.000000000000,2558800.000000000000,2517920.000000000000,2500000.000000000000,9985720.000000000000
FS( 19 ),2503500.000000000000,2558800.000000000000,2515120.000000000500,2500000.000000000000,10077420.000000000000
FS( 20 ),2587500.000000000000,2617390.000000000000,2535560.000000000000,2500000.000000000000,10240450.000000000000
FS( 21 ),2587500.000000000000,2685850.000000000000,2533040.000000000500,2500000.000000000000,10306390.000000000000
FS( 22 ),2556700.000000000000,2656450.000000000000,2540880.000000000000,2500000.000000000000,10254030.000000000000
FS( 23 ),2528000.000000000000,2666320.000000000000,2530520.000000000000,2500000.000000000000,10224840.000000000000
FS( 24 ),2512600.000000000000,2675980.000000000000,2530520.000000000000,2500000.000000000000,10219100.000000000000
FS( 25 ),2528000.000000000000,2715250.000000000000,2528000.000000000000,2500000.000000000000,10271250.000000000000
FS( 26 ),2550400.000000000000,2734780.000000000000,2528000.000000000000,2500000.000000000000,10313180.000000000000
FS( 27 ),2572100.000000000000,2783500.000000000000,2540880.000000000000,2500000.000000000000,10396480.000000000000
FS( 28 ),2550400.000000000000,2763969.999999999500,2538360.000000000000,2500000.000000000000,10352730.000000000000
FS( 29 ),2581200.000000000000,2744440.000000000000,2538360.000000000000,2500000.000000000000,10364000.000000000000
FS( 30 ),2684800.000000000000,2812900.000000000000,2548440.000000000000,2500000.000000000000,10546140.000000000000
FS( 31 ),2778600.000000000000,2763969.999999999500,2533040.000000000500,2500000.000000000000,10575610.000000000000
