代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11812971.426449999000
真實報酬,1812971.426449999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15437.431629840961
風險,139217.969338613740
起點值,0.110886774913
找到最佳解世代,1306
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,7
2301(10)[6],2330(17)[1],2382(22)[9],3045(41)[19],4904(45)[5],4938(46)[3],9999(49)[23],
Stock#,2301(10)[6],2330(17)[1],2382(22)[9],3045(41)[19],4904(45)[5],4938(46)[3],9999(49)[23],
張數,69,23,31,22,37,57,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,18210.999999999767,23041.000000000000,34811.000000000000,21671.000000000000,24791.000000000000,5851.000000000000,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1420980.999999999800,1430411.000000000000,1439731.000000000000,1427031.000000000200,1461871.000000000200,1506661.000000000000,1428571.000000000000,10115260.000000000000
FS( 3 ),1396831.000000000000,1422821.000000000000,1446551.000000000000,1427031.000000000200,1511451.000000000000,1484431.000000000200,1428571.000000000000,10117690.000000000000
FS( 4 ),1406490.999999999800,1443751.000000000000,1430741.000000000000,1496110.999999999800,1508861.000000000000,1500391.000000000000,1428571.000000000000,10214920.000000000000
FS( 5 ),1428571.000000000000,1451341.000000000000,1417411.000000000200,1502491.000000000200,1547341.000000000000,1471321.000000000000,1428571.000000000000,10247050.000000000000
FS( 6 ),1428571.000000000000,1441911.000000000000,1397261.000000000000,1497651.000000000000,1594331.000000000000,1433131.000000000000,1428571.000000000000,10221430.000000000000
FS( 7 ),1418910.999999999800,1434321.000000000000,1419581.000000000000,1497651.000000000000,1550301.000000000000,1437691.000000000200,1428571.000000000000,10187030.000000000000
FS( 8 ),1418910.999999999800,1405801.000000000000,1377111.000000000000,1492811.000000000000,1539201.000000000000,1350480.999999999800,1428571.000000000000,10012890.000000000000
FS( 9 ),1420980.999999999800,1420981.000000000000,1399431.000000000200,1481591.000000000000,1503311.000000000000,1408621.000000000000,1428571.000000000000,10063490.000000000000
FS( 10 ),1445130.999999999800,1468591.000000000000,1448721.000000000000,1491271.000000000000,1525511.000000000000,1413181.000000000200,1428571.000000000000,10220980.000000000000
FS( 11 ),1469281.000000000000,1470431.000000000000,1437561.000000000000,1549131.000000000000,1552891.000000000000,1415461.000000000200,1428571.000000000000,10323330.000000000000
FS( 12 ),1510680.999999999800,1458931.000000000000,1426401.000000000000,1579711.000000000000,1583230.999999999800,1413181.000000000200,1428571.000000000000,10400710.000000000000
FS( 13 ),1522410.999999999800,1464681.000000000000,1419581.000000000000,1589391.000000000000,1646871.000000000200,1408621.000000000000,1428571.000000000000,10480130.000000000000
FS( 14 ),1565880.999999999800,1436161.000000000000,1406251.000000000000,1565191.000000000000,1597291.000000000000,1388671.000000000200,1428571.000000000000,10388020.000000000000
FS( 15 ),1544490.999999999800,1418911.000000000000,1386101.000000000200,1529771.000000000000,1544751.000000000000,1332811.000000000000,1428571.000000000000,10185410.000000000000
FS( 16 ),1558980.999999999800,1432251.000000000000,1345801.000000000000,1521850.999999999800,1572501.000000000000,1348201.000000000200,1428571.000000000000,10208160.000000000000
FS( 17 ),1452720.999999999800,1420981.000000000000,1281011.000000000000,1500951.000000000000,1572501.000000000000,1254151.000000000000,1428571.000000000000,9910890.000000000000
FS( 18 ),1501020.999999999800,1409481.000000000000,1238541.000000000000,1492811.000000000000,1622081.000000000000,1218811.000000000000,1428571.000000000000,9911320.000000000000
FS( 19 ),1501020.999999999800,1386711.000000000000,1258690.999999999800,1473671.000000000000,1616531.000000000000,1221091.000000000000,1428571.000000000000,9886290.000000000000
FS( 20 ),1503090.999999999500,1424661.000000000000,1314491.000000000000,1489731.000000000200,1655381.000000000000,1306020.999999999800,1428571.000000000000,10121950.000000000000
FS( 21 ),1534831.000000000000,1424661.000000000000,1345801.000000000000,1533071.000000000000,1633180.999999999800,1303740.999999999800,1428571.000000000000,10203860.000000000000
FS( 22 ),1578300.999999999800,1443751.000000000000,1352621.000000000000,1568491.000000000200,1599881.000000000000,1392661.000000000000,1428571.000000000000,10364280.000000000000
FS( 23 ),1616940.999999999800,1481931.000000000000,1410591.000000000000,1573331.000000000000,1633180.999999999800,1479871.000000000000,1428571.000000000000,10624420.000000000000
FS( 24 ),1587960.999999999800,1470431.000000000000,1410591.000000000000,1549131.000000000000,1660930.999999999800,1417740.999999999800,1428571.000000000000,10525360.000000000000
FS( 25 ),1583130.999999999800,1476181.000000000000,1415241.000000000000,1545831.000000000000,1660930.999999999800,1397221.000000000200,1428571.000000000000,10507110.000000000000
FS( 26 ),1578300.999999999800,1458931.000000000000,1408421.000000000200,1553971.000000000200,1627631.000000000000,1384111.000000000000,1428571.000000000000,10439940.000000000000
FS( 27 ),1623840.999999999500,1478021.000000000000,1406251.000000000000,1558811.000000000000,1652421.000000000000,1435411.000000000000,1428571.000000000000,10583330.000000000000
FS( 28 ),1628670.999999999800,1476181.000000000000,1412761.000000000000,1544291.000000000000,1669071.000000000000,1469041.000000000000,1428571.000000000000,10628590.000000000000
FS( 29 ),1609350.999999999500,1434321.000000000000,1372770.999999999800,1523391.000000000000,1669071.000000000000,1473030.999999999800,1428571.000000000000,10510509.999999998000
FS( 30 ),1580370.999999999800,1451341.000000000000,1374940.999999999800,1518551.000000000000,1649831.000000000000,1484431.000000000200,1428571.000000000000,10488040.000000000000
FS( 31 ),1563810.999999999800,1455251.000000000000,1345801.000000000000,1533071.000000000000,1655381.000000000000,1444530.999999999800,1428571.000000000000,10426420.000000000000
