代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11291129.999450000000
真實報酬,1291129.999450000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11710.683767654578
風險,57327.858627984817
起點值,0.204275618311
找到最佳解世代,2125
找到最佳解實驗#,1
找到最佳解次數,7

投資組合檔數,9
2317(15)[4],2324(16)[11],2412(25)[7],2887(37)[6],2912(41)[14],3008(42)[25],4904(45)[12],5880(47)[1],9999(50)[41],
Stock#,2317(15)[4],2324(16)[11],2412(25)[7],2887(37)[6],2912(41)[14],3008(42)[25],4904(45)[12],5880(47)[1],9999(50)[41],
張數,13,63,11,102,4,0,16,84,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,59281.000000000000,7351.000000000000,60721.000000000233,1351.000000000000,217551.000000000000,1111111.000000000000,17831.000000000000,5671.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1106041.000000000000,1111111.000000000000,1111111.000000000000,1116211.000000000000,1114991.000000000000,1111111.000000000000,1114151.000000000000,1114471.000000000000,1111111.000000000000,10010310.000000000000
FS( 3 ),1122291.000000000000,1116781.000000000000,1116281.000000000200,1121311.000000000000,1107231.000000000000,1111111.000000000000,1120231.000000000000,1130431.000000000000,1111111.000000000000,10056780.000000000000
FS( 4 ),1132301.000000000000,1119931.000000000000,1121561.000000000200,1139671.000000000000,1113071.000000000000,1111111.000000000000,1117191.000000000000,1142191.000000000000,1111111.000000000000,10108140.000000000000
FS( 5 ),1153621.000000000200,1116781.000000000000,1116281.000000000200,1134571.000000000000,1107231.000000000000,1111111.000000000000,1120231.000000000000,1145551.000000000000,1111111.000000000000,10116490.000000000000
FS( 6 ),1171041.000000000000,1111111.000000000000,1111111.000000000000,1130491.000000000000,1105311.000000000000,1111111.000000000000,1121831.000000000000,1145551.000000000000,1111111.000000000000,10118670.000000000000
FS( 7 ),1173641.000000000000,1119931.000000000000,1121561.000000000200,1144771.000000000000,1099511.000000000000,1111111.000000000000,1115751.000000000000,1149751.000000000000,1111111.000000000000,10147140.000000000000
FS( 8 ),1183651.000000000000,1131901.000000000200,1121561.000000000200,1139671.000000000000,1095631.000000000000,1111111.000000000000,1112711.000000000000,1149751.000000000000,1111111.000000000000,10157100.000000000000
FS( 9 ),1184821.000000000000,1131901.000000000200,1121561.000000000200,1139671.000000000000,1087871.000000000000,1111111.000000000000,1121831.000000000000,1153951.000000000000,1111111.000000000000,10163830.000000000000
FS( 10 ),1196131.000000000200,1143871.000000000000,1121561.000000000200,1144771.000000000000,1093671.000000000000,1111111.000000000000,1115751.000000000000,1164871.000000000000,1111111.000000000000,10202850.000000000000
FS( 11 ),1197301.000000000000,1155841.000000000000,1121561.000000000200,1158031.000000000000,1099511.000000000000,1111111.000000000000,1121831.000000000000,1164871.000000000000,1111111.000000000000,10241170.000000000000
FS( 12 ),1184821.000000000000,1146391.000000000000,1121561.000000000200,1144771.000000000000,1093671.000000000000,1111111.000000000000,1129351.000000000000,1161511.000000000000,1111111.000000000000,10204300.000000000000
FS( 13 ),1183651.000000000000,1137571.000000000000,1126841.000000000500,1144771.000000000000,1093671.000000000000,1111111.000000000000,1138471.000000000000,1164871.000000000000,1111111.000000000000,10212070.000000000000
FS( 14 ),1186121.000000000200,1137571.000000000000,1126841.000000000500,1139671.000000000000,1101431.000000000000,1111111.000000000000,1143111.000000000000,1157311.000000000000,1111111.000000000000,10214280.000000000000
FS( 15 ),1191061.000000000000,1149540.999999999800,1121561.000000000200,1148851.000000000000,1095631.000000000000,1111111.000000000000,1135431.000000000000,1157311.000000000000,1111111.000000000000,10221610.000000000000
FS( 16 ),1191061.000000000000,1152691.000000000000,1121561.000000000200,1148851.000000000000,1089791.000000000000,1111111.000000000000,1137031.000000000000,1161511.000000000000,1111111.000000000000,10224720.000000000000
FS( 17 ),1188591.000000000000,1146391.000000000000,1132121.000000000200,1144771.000000000000,1089791.000000000000,1111111.000000000000,1144551.000000000000,1149751.000000000000,1111111.000000000000,10218190.000000000000
FS( 18 ),1178581.000000000000,1149540.999999999800,1132121.000000000200,1144771.000000000000,1091751.000000000000,1111111.000000000000,1144551.000000000000,1145551.000000000000,1111111.000000000000,10209090.000000000000
FS( 19 ),1172341.000000000000,1137571.000000000000,1126841.000000000500,1130491.000000000000,1083991.000000000000,1111111.000000000000,1146151.000000000000,1145551.000000000000,1111111.000000000000,10165160.000000000000
FS( 20 ),1179881.000000000200,1152691.000000000000,1132121.000000000200,1139671.000000000000,1089791.000000000000,1111111.000000000000,1144551.000000000000,1153951.000000000000,1111111.000000000000,10214880.000000000000
FS( 21 ),1169871.000000000200,1167181.000000000000,1137291.000000000500,1134571.000000000000,1085911.000000000000,1111111.000000000000,1144551.000000000000,1153951.000000000000,1111111.000000000000,10215550.000000000000
FS( 22 ),1183651.000000000000,1167181.000000000000,1137291.000000000500,1139671.000000000000,1085911.000000000000,1111111.000000000000,1159911.000000000000,1153951.000000000000,1111111.000000000000,10249790.000000000000
FS( 23 ),1191061.000000000000,1164661.000000000200,1137291.000000000500,1139671.000000000000,1089791.000000000000,1111111.000000000000,1161351.000000000000,1157311.000000000000,1111111.000000000000,10263360.000000000000
