代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11692860.000000000000
真實報酬,1692860.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,15829.541930737509
風險,104788.504436271930
起點值,0.151061817476
找到最佳解世代,1629
找到最佳解實驗#,1
找到最佳解次數,37

投資組合檔數,10
1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
Stock#,1216(2)[20],1301(3)[18],2408(23)[3],2454(26)[2],2881(31)[10],2884(34)[4],2890(38)[6],2891(39)[19],2912(41)[42],5880(47)[1],
張數,17,11,19,4,22,59,116,54,3,68,
FS( 20 ),1026180.000000000000,1040809.999999999800,1090060.000000000000,1161960.000000000000,1051700.000000000000,1005309.999999999900,984920.000000000230,1033480.000000000100,1007290.000000000000,1019040.000000000000,10420750.000000000000
FS( 21 ),1031109.999999999900,1031349.999999999900,1082459.999999999800,1138840.000000000000,1040040.000000000100,1000000.000000000000,987240.000000000120,1028620.000000000100,1000000.000000000000,1021760.000000000000,10361420.000000000000
FS( 22 ),1016490.000000000000,1031349.999999999900,1080560.000000000000,1152320.000000000000,1050600.000000000000,1005309.999999999900,991880.000000000000,1038880.000000000200,1001470.000000000000,1031280.000000000100,10400140.000000000000
FS( 23 ),1022950.000000000000,1034429.999999999900,1090060.000000000000,1125320.000000000000,1052800.000000000200,1005309.999999999900,1006960.000000000200,1041579.999999999900,1001470.000000000000,1031280.000000000100,10412160.000000000000
FS( 24 ),1024650.000000000000,1036519.999999999900,1080560.000000000000,1152320.000000000000,1061600.000000000000,1008260.000000000000,1012760.000000000200,1043740.000000000200,998560.000000000120,1037400.000000000100,10456370.000000000000
FS( 25 ),1016490.000000000000,1037620.000000000000,1071059.999999999800,1136880.000000000000,1064900.000000000000,1008260.000000000000,1015080.000000000200,1049140.000000000000,989829.999999999880,1034680.000000000000,10423940.000000000000
FS( 26 ),1022950.000000000000,1047079.999999999900,1093860.000000000000,1142680.000000000000,1064900.000000000000,1010620.000000000000,1017400.000000000100,1054000.000000000000,995650.000000000000,1040800.000000000000,10489940.000000000000
FS( 27 ),1024650.000000000000,1047079.999999999900,1093860.000000000000,1132680.000000000000,1062700.000000000000,1002950.000000000000,1011600.000000000000,1051840.000000000000,997090.000000000000,1040800.000000000000,10465250.000000000000
FS( 28 ),1011560.000000000000,1041799.999999999900,1091959.999999999800,1120680.000000000000,1060500.000000000000,1000000.000000000000,1011600.000000000000,1041579.999999999900,997090.000000000000,1040800.000000000000,10417570.000000000000
FS( 29 ),1008160.000000000100,1029259.999999999900,1099560.000000000000,1108680.000000000000,1052800.000000000200,1002950.000000000000,1009280.000000000100,1041579.999999999900,994209.999999999880,1034680.000000000000,10381160.000000000000
FS( 30 ),1011560.000000000000,1037620.000000000000,1116660.000000000000,1136680.000000000000,1058300.000000000200,1008260.000000000000,1013920.000000000200,1054000.000000000000,1005820.000000000000,1040800.000000000000,10483620.000000000000
FS( 31 ),1009859.999999999900,1051920.000000000000,1118560.000000000000,1138680.000000000000,1067100.000000000000,1010620.000000000000,1018560.000000000100,1059400.000000000000,997090.000000000000,1046920.000000000100,10518710.000000000000
FS( 32 ),1011560.000000000000,1070620.000000000000,1124260.000000000000,1128680.000000000000,1077000.000000000000,1018880.000000000000,1023200.000000000200,1077220.000000000000,1001470.000000000000,1050320.000000000000,10583210.000000000000
