代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12756869.996700000000
真實報酬,2756869.996700000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,22836.651681739917
風險,188390.749711989310
起點值,0.121219601900
找到最佳解世代,1738
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,6
1101(0)[1],2412(24)[5],2912(40)[2],3045(41)[6],3673(44)[7],9999(49)[20],
Stock#,1101(0)[1],2412(24)[5],2912(40)[2],3045(41)[6],3673(44)[7],9999(49)[20],
張數,78,27,16,31,3,-1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,1365.999999999767,6976.000000000000,57386.000000000000,44746.000000000000,287416.000000000000,1666666.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1664325.999999999800,1674226.000000000000,1738826.000000000000,1676276.000000000000,1666666.000000000000,1666666.000000000000,10086990.000000000000
FS( 3 ),1650285.999999999800,1655326.000000000000,1699466.000000000000,1659536.000000000200,1664716.000000000200,1666666.000000000000,9996000.000000000000
FS( 4 ),1642485.999999999800,1643986.000000000000,1679786.000000000000,1617066.000000000000,1664716.000000000200,1666666.000000000000,9914710.000000000000
FS( 5 ),1647945.999999999800,1659105.999999999800,1679786.000000000000,1610246.000000000000,1702156.000000000000,1666666.000000000000,9965910.000000000000
FS( 6 ),1669785.999999999800,1645876.000000000000,1660106.000000000000,1605286.000000000200,1715926.000000000000,1666666.000000000000,9963650.000000000000
FS( 7 ),1669785.999999999800,1657216.000000000000,1646986.000000000000,1607766.000000000000,1713976.000000000000,1666666.000000000000,9962400.000000000000
FS( 8 ),1661206.000000000000,1649656.000000000000,1646986.000000000000,1581726.000000000000,1694266.000000000000,1666666.000000000000,9900510.000000000000
FS( 9 ),1672126.000000000000,1662885.999999999800,1653546.000000000000,1614895.999999999800,1741545.999999999800,1666666.000000000000,10011670.000000000000
FS( 10 ),1691626.000000000000,1662885.999999999800,1673226.000000000000,1624196.000000000000,1775055.999999999800,1666666.000000000000,10093660.000000000000
FS( 11 ),1658865.999999999800,1659105.999999999800,1660106.000000000000,1628846.000000000200,1745506.000000000000,1666666.000000000000,10019100.000000000000
FS( 12 ),1633905.999999999800,1662885.999999999800,1653546.000000000000,1612416.000000000000,1719886.000000000000,1666666.000000000000,9949310.000000000000
FS( 13 ),1622985.999999999800,1666666.000000000000,1653546.000000000000,1638455.999999999800,1818406.000000000000,1666666.000000000000,10066730.000000000000
FS( 14 ),1625325.999999999800,1670446.000000000000,1679786.000000000000,1612416.000000000000,1899196.000000000000,1666666.000000000000,10153840.000000000000
FS( 15 ),1628445.999999999800,1679896.000000000000,1712586.000000000000,1628846.000000000200,1928746.000000000000,1666666.000000000000,10245190.000000000000
FS( 16 ),1639365.999999999800,1664776.000000000000,1686346.000000000000,1633806.000000000000,1934656.000000000200,1666666.000000000000,10225620.000000000000
FS( 17 ),1714245.999999999800,1681786.000000000000,1712586.000000000000,1659536.000000000200,1936606.000000000000,1666666.000000000000,10371430.000000000000
FS( 18 ),1732965.999999999800,1687456.000000000000,1725706.000000000000,1647756.000000000000,1922836.000000000000,1666666.000000000000,10383390.000000000000
FS( 19 ),1725166.000000000000,1678006.000000000000,1745386.000000000000,1652716.000000000000,1899196.000000000000,1666666.000000000000,10367140.000000000000
FS( 20 ),1738425.999999999800,1687456.000000000000,1784906.000000000000,1657366.000000000200,1863706.000000000000,1666666.000000000000,10398530.000000000000
FS( 21 ),1747005.999999999500,1674226.000000000000,1771786.000000000000,1654885.999999999800,1853865.999999999800,1666666.000000000000,10368440.000000000000
FS( 22 ),1736085.999999999500,1670446.000000000000,1765226.000000000000,1635976.000000000000,1861756.000000000000,1666666.000000000000,10336160.000000000000
FS( 23 ),1711126.000000000000,1674226.000000000000,1745386.000000000000,1628846.000000000200,1859776.000000000200,1666666.000000000000,10286030.000000000000
FS( 24 ),1755585.999999999500,1676116.000000000000,1784906.000000000000,1638455.999999999800,1832175.999999999800,1666666.000000000000,10353910.000000000000
FS( 25 ),1708005.999999999500,1670446.000000000000,1817706.000000000000,1647756.000000000000,1725795.999999999800,1666666.000000000000,10236380.000000000000
FS( 26 ),1719706.000000000000,1672336.000000000000,1784906.000000000000,1635976.000000000000,1755346.000000000000,1666666.000000000000,10234940.000000000000
FS( 27 ),1738425.999999999800,1660996.000000000000,1745386.000000000000,1650236.000000000000,1704106.000000000000,1666666.000000000000,10165820.000000000000
FS( 28 ),1774305.999999999800,1657216.000000000000,1784906.000000000000,1638455.999999999800,1771096.000000000000,1666666.000000000000,10292650.000000000000
FS( 29 ),1780545.999999999500,1662885.999999999800,1758506.000000000000,1640936.000000000000,1735636.000000000000,1666666.000000000000,10245180.000000000000
FS( 30 ),1793805.999999999800,1676116.000000000000,1765226.000000000000,1645586.000000000000,1806586.000000000000,1666666.000000000000,10353990.000000000000
FS( 31 ),1849186.000000000000,1687456.000000000000,1778346.000000000000,1652716.000000000000,1824315.999999999800,1666666.000000000000,10458690.000000000000
FS( 32 ),1843726.000000000000,1691236.000000000000,1758506.000000000000,1650236.000000000000,1800676.000000000000,1666666.000000000000,10411050.000000000000
FS( 33 ),1852305.999999999800,1687456.000000000000,1765226.000000000000,1664496.000000000000,1804606.000000000000,1666666.000000000000,10440760.000000000000
FS( 34 ),1879605.999999999500,1698796.000000000000,1751946.000000000000,1676276.000000000000,1820356.000000000000,1666666.000000000000,10493650.000000000000
FS( 35 ),1962285.999999999800,1704466.000000000000,1798026.000000000000,1678446.000000000000,1834156.000000000200,1666666.000000000000,10644050.000000000000
FS( 36 ),1990365.999999999800,1727146.000000000000,1804586.000000000000,1685576.000000000000,1863706.000000000000,1666666.000000000000,10738050.000000000000
FS( 37 ),1962285.999999999800,1736596.000000000200,1771786.000000000000,1676276.000000000000,1881436.000000000000,1666666.000000000000,10695050.000000000000
FS( 38 ),2006745.999999999800,1732816.000000000200,1798026.000000000000,1683096.000000000200,1903126.000000000000,1666666.000000000000,10790480.000000000000
FS( 39 ),2015325.999999999800,1740376.000000000000,1811146.000000000000,1690226.000000000000,1916925.999999999800,1666666.000000000000,10840670.000000000000
FS( 40 ),2012206.000000000000,1736596.000000000200,1804586.000000000000,1692705.999999999800,1934656.000000000200,1666666.000000000000,10847420.000000000000
FS( 41 ),2064465.999999999800,1736596.000000000200,1837386.000000000000,1692705.999999999800,1895236.000000000200,1666666.000000000000,10893060.000000000000
FS( 42 ),2078505.999999999500,1734706.000000000000,1889866.000000000000,1704486.000000000000,1922836.000000000000,1666666.000000000000,10997070.000000000000
