代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11656569.996700000000
真實報酬,1656569.996700000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,13365.537153845806
風險,65863.133014815918
起點值,0.202928961045
找到最佳解世代,1383
找到最佳解實驗#,1
找到最佳解次數,45

投資組合檔數,15
1216(2)[7],2324(16)[18],2330(18)[3],2408(23)[9],2412(25)[21],2454(26)[4],2823(29)[14],2884(34)[5],2887(37)[8],2891(39)[12],2892(40)[2],3008(42)[25],3045(43)[30],5880(47)[1],9999(50)[41],
Stock#,1216(2)[7],2324(16)[18],2330(18)[3],2408(23)[9],2412(25)[21],2454(26)[4],2823(29)[14],2884(34)[5],2887(37)[8],2891(39)[12],2892(40)[2],3008(42)[25],3045(43)[30],5880(47)[1],9999(50)[41],
張數,12,34,3,13,6,3,25,39,57,37,38,0,6,46,-1,
分配資金,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,
剩餘資金,17466.000000000000,10126.000000000000,96186.000000000000,43056.000000000000,76566.000000000116,25985.999999999884,13166.000000000000,15366.000000000000,4326.000000000116,1036.000000000000,146.000000000000,666666.000000000000,30846.000000000116,8406.000000000000,666666.000000000000,
FS( 1 ),666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,10000000.000000000000
FS( 2 ),665466.000000000000,668366.000000000000,671016.000000000000,664846.000000000000,669546.000000000120,657995.999999999880,678916.000000000000,670176.000000000000,669516.000000000000,669995.999999999880,666666.000000000000,666666.000000000000,675246.000000000230,668966.000000000000,666666.000000000000,10030060.000000000000
FS( 3 ),659706.000000000000,668366.000000000000,671016.000000000000,672385.999999999880,672426.000000000120,656525.999999999880,672166.000000000000,668616.000000000000,669516.000000000000,669995.999999999880,670466.000000000000,666666.000000000000,683826.000000000120,673105.999999999880,666666.000000000000,10041460.000000000000
FS( 4 ),667746.000000000000,661906.000000000120,669576.000000000000,671086.000000000000,669546.000000000120,650765.999999999880,667666.000000000000,668616.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,672366.000000000120,671266.000000000000,666666.000000000000,10003880.000000000000
FS( 5 ),668946.000000000000,661906.000000000120,684096.000000000000,673686.000000000000,675246.000000000230,640625.999999999880,668916.000000000000,668616.000000000000,666666.000000000000,669995.999999999880,668566.000000000000,666666.000000000000,680946.000000000000,673105.999999999880,666666.000000000000,10034660.000000000000
FS( 6 ),666666.000000000000,663266.000000000000,687005.999999999880,679926.000000000000,678126.000000000230,627605.999999999880,659916.000000000000,663156.000000000000,663816.000000000120,669995.999999999880,666666.000000000000,666666.000000000000,672366.000000000120,675406.000000000000,666666.000000000000,10007260.000000000000
