代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11469409.995500000000
真實報酬,1469409.995500000200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,13775.450247299510
風險,93512.107111204881
起點值,0.147311943585
找到最佳解世代,2175
找到最佳解實驗#,2
找到最佳解次數,28

投資組合檔數,11
1301(3)[2],1303(4)[1],1326(5)[7],2317(16)[9],2408(23)[4],2801(28)[14],2885(34)[6],2886(35)[5],3008(41)[22],3481(43)[18],9999(49)[31],
Stock#,1301(3)[2],1303(4)[1],1326(5)[7],2317(16)[9],2408(23)[4],2801(28)[14],2885(34)[6],2886(35)[5],3008(41)[22],3481(43)[18],9999(49)[31],
張數,12,16,12,12,25,60,84,45,0,83,-1,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,30810.000000000000,3170.000000000000,570.000000000000,33929.999999999884,9840.000000000000,7890.000000000116,6930.000000000000,5490.000000000116,909090.000000000000,1900.000000000116,909090.000000000000,
FS( 1 ),909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,10000000.000000000000
FS( 2 ),920490.000000000120,912130.000000000000,926130.000000000000,925169.999999999880,915090.000000000000,906690.000000000230,909090.000000000000,915390.000000000120,909090.000000000000,884190.000000000230,909090.000000000000,10032560.000000000000
FS( 3 ),928530.000000000000,925730.000000000000,932850.000000000000,936689.999999999880,927340.000000000120,915090.000000000000,929250.000000000000,942840.000000000000,909090.000000000000,921540.000000000120,909090.000000000000,10178050.000000000000
FS( 4 ),939930.000000000120,934850.000000000000,945330.000000000000,955169.999999999880,932090.000000000000,920490.000000000120,933450.000000000000,947340.000000000120,909090.000000000000,925690.000000000230,909090.000000000000,10252530.000000000000
FS( 5 ),944490.000000000120,943810.000000000000,965610.000000000000,951689.999999999880,940589.999999999880,920490.000000000120,937650.000000000000,951390.000000000120,909090.000000000000,917390.000000000000,909090.000000000000,10291300.000000000000
FS( 6 ),938730.000000000000,939330.000000000000,966810.000000000000,940169.999999999880,955090.000000000000,923490.000000000120,941009.999999999880,966240.000000000230,909090.000000000000,917390.000000000000,909090.000000000000,10306450.000000000000
FS( 7 ),919409.999999999880,921250.000000000000,953250.000000000120,930929.999999999880,952840.000000000000,915090.000000000000,916650.000000000000,957690.000000000120,909090.000000000000,904940.000000000230,909090.000000000000,10190240.000000000000
FS( 8 ),914850.000000000000,921250.000000000000,944130.000000000000,934409.999999999880,929590.000000000000,906690.000000000230,913289.999999999880,947340.000000000120,909090.000000000000,875890.000000000000,909090.000000000000,10105630.000000000000
FS( 9 ),904530.000000000000,910690.000000000000,921570.000000000000,928649.999999999880,952840.000000000000,900690.000000000230,916650.000000000000,936540.000000000230,909090.000000000000,859290.000000000120,909090.000000000000,10049640.000000000000
FS( 10 ),903450.000000000000,907650.000000000000,924930.000000000000,925169.999999999880,943090.000000000000,898290.000000000120,909090.000000000000,942840.000000000000,909090.000000000000,867590.000000000000,909090.000000000000,10040290.000000000000
FS( 11 ),896610.000000000120,898530.000000000000,910290.000000000000,927449.999999999880,953840.000000000000,898290.000000000120,904889.999999999880,934290.000000000230,909090.000000000000,859290.000000000120,909090.000000000000,10001670.000000000000
