代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13974750.000000002000
真實報酬,3974750.000000001900

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,28006.381331230066
風險,320517.490172428540
起點值,0.087378636705
找到最佳解世代,1484
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,2
4904(45)[3],4938(46)[2],
Stock#,4904(45)[3],4938(46)[2],
張數,143,234,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,33610.000000000931,15800.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4947090.000000000900,4922780.000000000000,9869870.000000000000
FS( 3 ),4904190.000000000900,4756640.000000000000,9660830.000000000000
FS( 4 ),4839840.000000000900,4653680.000000000000,9493520.000000000000
FS( 5 ),5107250.000000000000,4747280.000000000000,9854530.000000000000
FS( 6 ),5064350.000000000900,4939160.000000000000,10003510.000000000000
FS( 7 ),5085800.000000000900,4920440.000000000000,10006240.000000000000
FS( 8 ),4892750.000000000000,4838540.000000000000,9731290.000000000000
FS( 9 ),4968540.000000000000,4838540.000000000000,9807080.000000000000
FS( 10 ),5090090.000000000900,5140399.999999999100,10230490.000000000000
FS( 11 ),5090090.000000000900,5498420.000000000000,10588510.000000000000
FS( 12 ),4941370.000000000900,5379080.000000000900,10320450.000000002000
FS( 13 ),4929930.000000001900,5507780.000000000000,10437710.000000002000
FS( 14 ),4929930.000000001900,5489060.000000000000,10418990.000000002000
FS( 15 ),4871300.000000000900,5234000.000000000000,10105300.000000000000
FS( 16 ),4829830.000000000900,4967240.000000000000,9797070.000000000000
FS( 17 ),5042900.000000000900,4885340.000000000000,9928240.000000000000
FS( 18 ),5042900.000000000900,5014040.000000000000,10056940.000000000000
FS( 19 ),5048620.000000000900,5259740.000000000000,10308360.000000000000
FS( 20 ),4962820.000000000900,5177840.000000000000,10140660.000000000000
FS( 21 ),4892750.000000000000,5259740.000000000000,10152490.000000000000
FS( 22 ),5000000.000000000000,5014040.000000000000,10014040.000000000000
FS( 23 ),5111540.000000000000,5215280.000000000000,10326820.000000000000
FS( 24 ),5064350.000000000900,5023399.999999999100,10087750.000000000000
FS( 25 ),4978550.000000000900,5224640.000000000000,10203190.000000000000
FS( 26 ),5010010.000000000900,5306540.000000000000,10316550.000000000000
FS( 27 ),4978550.000000000900,5343980.000000000000,10322530.000000000000
FS( 28 ),4947090.000000000900,5709019.999999999100,10656110.000000000000
