代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13856457.500000000000
真實報酬,3856457.500000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,31410.685638999592
風險,149417.487653388180
起點值,0.210220946238
找到最佳解世代,1490
找到最佳解實驗#,1
找到最佳解次數,44

投資組合檔數,8
1216(2)[2],1301(3)[9],1402(6)[3],2347(18)[6],2412(24)[1],2498(27)[8],3045(40)[10],9999(49)[42],
Stock#,1216(2)[2],1301(3)[9],1402(6)[3],2347(18)[6],2412(24)[1],2498(27)[8],3045(40)[10],9999(49)[42],
張數,68,28,64,30,25,3,29,-1,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,11040.000000000000,29760.000000000000,8400.000000000000,19100.000000000000,17250.000000000000,308390.000000000000,13150.000000000000,1250000.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1238440.000000000000,1246080.000000000000,1228240.000000000000,1234100.000000000000,1246000.000000000000,1212650.000000000000,1250000.000000000000,1250000.000000000000,9905510.000000000000
FS( 3 ),1255440.000000000000,1265400.000000000000,1312720.000000000000,1280000.000000000000,1250000.000000000000,1226930.000000000000,1266240.000000000000,1250000.000000000000,10106730.000000000000
FS( 4 ),1252040.000000000000,1269320.000000000200,1328720.000000000000,1241300.000000000000,1252000.000000000000,1218140.000000000000,1274360.000000000000,1250000.000000000000,10085880.000000000000
FS( 5 ),1227560.000000000000,1259520.000000000000,1306320.000000000000,1220000.000000000000,1252000.000000000000,1200560.000000000000,1280450.000000000200,1250000.000000000000,9996410.000000000000
FS( 6 ),1252040.000000000000,1272960.000000000000,1332560.000000000000,1250000.000000000000,1248000.000000000000,1242320.000000000000,1282480.000000000200,1250000.000000000000,10130360.000000000000
FS( 7 ),1235040.000000000000,1257560.000000000000,1320400.000000000000,1220000.000000000000,1252000.000000000000,1223630.000000000000,1274360.000000000000,1250000.000000000000,10032990.000000000000
FS( 8 ),1262920.000000000000,1265400.000000000000,1348560.000000000000,1213100.000000000000,1264000.000000000000,1224740.000000000000,1290890.000000000000,1250000.000000000000,10119610.000000000000
FS( 9 ),1274479.999999999800,1282760.000000000000,1354320.000000000000,1239500.000000000000,1272000.000000000000,1228040.000000000000,1323370.000000000000,1250000.000000000000,10224470.000000000000
FS( 10 ),1284000.000000000000,1311600.000000000200,1394640.000000000000,1251800.000000000000,1276000.000000000000,1237940.000000000000,1319310.000000000000,1250000.000000000000,10325290.000000000000
FS( 11 ),1311880.000000000000,1327000.000000000000,1396560.000000000000,1255400.000000000000,1290000.000000000000,1256600.000000000000,1315250.000000000000,1250000.000000000000,10402690.000000000000
FS( 12 ),1323440.000000000000,1352199.999999999800,1410640.000000000000,1244600.000000000000,1282000.000000000000,1258790.000000000000,1337580.000000000000,1250000.000000000000,10459250.000000000000
FS( 13 ),1313920.000000000000,1336800.000000000000,1406800.000000000000,1235900.000000000200,1294000.000000000000,1259900.000000000000,1339610.000000000000,1250000.000000000000,10436930.000000000000
FS( 14 ),1334320.000000000000,1360040.000000000000,1422800.000000000000,1308200.000000000000,1290000.000000000000,1275290.000000000000,1360200.000000000200,1250000.000000000000,10600850.000000000000
FS( 15 ),1336360.000000000000,1348280.000000000000,1415120.000000000000,1297700.000000000000,1286000.000000000000,1259900.000000000000,1356140.000000000000,1250000.000000000000,10549500.000000000000
FS( 16 ),1347239.999999999800,1344360.000000000200,1434960.000000000000,1316900.000000000000,1292000.000000000000,1253300.000000000000,1343960.000000000000,1250000.000000000000,10582720.000000000000
FS( 17 ),1351320.000000000000,1330919.999999999800,1424720.000000000000,1306400.000000000000,1292000.000000000000,1245620.000000000000,1339610.000000000000,1250000.000000000000,10540590.000000000000
FS( 18 ),1355400.000000000000,1307680.000000000000,1374800.000000000000,1271300.000000000000,1282000.000000000000,1235720.000000000000,1321340.000000000000,1250000.000000000000,10398240.000000000000
FS( 19 ),1368320.000000000000,1332880.000000000000,1376720.000000000000,1267700.000000000000,1292000.000000000000,1237940.000000000000,1339610.000000000000,1250000.000000000000,10465170.000000000000
FS( 20 ),1347239.999999999800,1321400.000000000000,1364560.000000000000,1267700.000000000000,1290000.000000000000,1231340.000000000000,1343960.000000000000,1250000.000000000000,10416200.000000000000
FS( 21 ),1349280.000000000000,1342680.000000000000,1350480.000000000000,1255400.000000000000,1294000.000000000000,1253300.000000000000,1354110.000000000000,1250000.000000000000,10449250.000000000000
FS( 22 ),1349280.000000000000,1307680.000000000000,1302480.000000000000,1227200.000000000200,1300000.000000000000,1270880.000000000000,1350050.000000000000,1250000.000000000000,10357570.000000000000
FS( 23 ),1398239.999999999800,1311600.000000000200,1334480.000000000000,1248200.000000000000,1316000.000000000000,1277480.000000000000,1388620.000000000000,1250000.000000000000,10524620.000000000000
FS( 24 ),1428160.000000000000,1336800.000000000000,1385040.000000000000,1253600.000000000000,1324000.000000000000,1344500.000000000000,1351789.999999999800,1250000.000000000000,10673890.000000000000
FS( 25 ),1424760.000000000000,1375440.000000000000,1420880.000000000000,1285400.000000000000,1336000.000000000000,1396160.000000000000,1351789.999999999800,1250000.000000000000,10840430.000000000000
FS( 26 ),1407760.000000000000,1381040.000000000000,1390800.000000000000,1300999.999999999800,1330000.000000000000,1409330.000000000000,1356140.000000000000,1250000.000000000000,10826070.000000000000
FS( 27 ),1419320.000000000000,1406240.000000000000,1402960.000000000000,1285400.000000000000,1336000.000000000000,1468670.000000000000,1358460.000000000000,1250000.000000000000,10927050.000000000000
FS( 28 ),1417280.000000000000,1425560.000000000000,1429200.000000000000,1294100.000000000000,1336000.000000000000,1464260.000000000200,1358460.000000000000,1250000.000000000000,10974860.000000000000
FS( 29 ),1411160.000000000000,1429480.000000000000,1424720.000000000000,1288700.000000000000,1336000.000000000000,1530200.000000000000,1354110.000000000000,1250000.000000000000,11024370.000000000000
FS( 30 ),1405720.000000000000,1412120.000000000000,1402960.000000000000,1285400.000000000000,1336000.000000000000,1506019.999999999800,1345120.000000000000,1250000.000000000000,10943340.000000000000
FS( 31 ),1420680.000000000000,1423600.000000000200,1418960.000000000000,1322299.999999999800,1344000.000000000000,1514810.000000000000,1347440.000000000000,1250000.000000000000,11041790.000000000000
FS( 32 ),1420680.000000000000,1442080.000000000000,1402960.000000000000,1324100.000000000000,1332000.000000000000,1563170.000000000000,1343090.000000000000,1250000.000000000000,11078080.000000000000
FS( 33 ),1405720.000000000000,1431720.000000000000,1385040.000000000000,1315100.000000000000,1334000.000000000000,1549970.000000000000,1358460.000000000000,1250000.000000000000,11030010.000000000000
FS( 34 ),1413200.000000000000,1411280.000000000000,1372880.000000000000,1304600.000000000000,1338000.000000000000,1552160.000000000000,1376150.000000000000,1250000.000000000000,11018270.000000000000
FS( 35 ),1422720.000000000000,1415480.000000000000,1415120.000000000000,1341800.000000000000,1342000.000000000000,1576339.999999999800,1380500.000000000000,1250000.000000000000,11143960.000000000000
FS( 36 ),1419320.000000000000,1429760.000000000000,1454800.000000000000,1320500.000000000000,1350000.000000000000,1538990.000000000000,1382819.999999999800,1250000.000000000000,11146190.000000000000
FS( 37 ),1413200.000000000000,1417440.000000000000,1450960.000000000000,1320500.000000000000,1348000.000000000000,1528010.000000000200,1380500.000000000000,1250000.000000000000,11108610.000000000000
FS( 38 ),1420680.000000000000,1440120.000000000000,1481040.000000000000,1338200.000000000000,1364000.000000000000,1519220.000000000000,1395870.000000000000,1250000.000000000000,11209130.000000000000
FS( 39 ),1422720.000000000000,1419680.000000000000,1527120.000000000000,1325900.000000000200,1360000.000000000000,1560950.000000000000,1409210.000000000000,1250000.000000000000,11275580.000000000000
FS( 40 ),1420680.000000000000,1393080.000000000000,1466960.000000000000,1315100.000000000000,1354000.000000000000,1563170.000000000000,1406890.000000000000,1250000.000000000000,11169880.000000000000
FS( 41 ),1449239.999999999800,1401199.999999999800,1491280.000000000000,1327700.000000000000,1354000.000000000000,1596920.000000000000,1406890.000000000000,1250000.000000000000,11277230.000000000000
FS( 42 ),1466239.999999999800,1415480.000000000000,1495120.000000000000,1320500.000000000000,1366000.000000000000,1686350.000000000000,1411529.999999999800,1250000.000000000000,11411220.000000000000
FS( 43 ),1441760.000000000000,1397000.000000000000,1501520.000000000000,1306400.000000000000,1374000.000000000000,1729880.000000000000,1406890.000000000000,1250000.000000000000,11407450.000000000000
FS( 44 ),1454680.000000000000,1415480.000000000000,1535440.000000000000,1334600.000000000000,1386000.000000000000,1780640.000000000000,1415880.000000000000,1250000.000000000000,11572720.000000000000
FS( 45 ),1467600.000000000200,1427800.000000000000,1575760.000000000000,1378700.000000000000,1392000.000000000000,1717790.000000000000,1402539.999999999800,1250000.000000000000,11612190.000000000000
FS( 46 ),1488680.000000000000,1435919.999999999800,1577680.000000000000,1389200.000000000200,1396000.000000000000,1720190.000000000200,1398190.000000000000,1250000.000000000000,11655860.000000000000
FS( 47 ),1466239.999999999800,1425560.000000000000,1561680.000000000000,1368200.000000000000,1394000.000000000000,1763720.000000000000,1398190.000000000000,1250000.000000000000,11627590.000000000000
FS( 48 ),1496160.000000000000,1435919.999999999800,1591760.000000000000,1376900.000000000000,1396000.000000000000,1766120.000000000000,1398190.000000000000,1250000.000000000000,11711050.000000000000
FS( 49 ),1496160.000000000000,1444040.000000000000,1577680.000000000000,1376900.000000000000,1384000.000000000000,1758890.000000000000,1395870.000000000000,1250000.000000000000,11683540.000000000000
FS( 50 ),1496160.000000000000,1446000.000000000000,1543760.000000000000,1385900.000000000200,1368000.000000000000,1763720.000000000000,1373830.000000000000,1250000.000000000000,11627370.000000000000
FS( 51 ),1483239.999999999800,1452159.999999999800,1543760.000000000000,1359200.000000000200,1370000.000000000000,1732279.999999999800,1360779.999999999800,1250000.000000000000,11551420.000000000000
FS( 52 ),1488680.000000000000,1460560.000000000000,1535440.000000000000,1352299.999999999800,1373250.000000000000,1720190.000000000200,1358460.000000000000,1250000.000000000000,11538880.000000000000
FS( 53 ),1503640.000000000000,1468680.000000000000,1535440.000000000000,1346600.000000000000,1377500.000000000000,1734710.000000000000,1378180.000000000000,1250000.000000000000,11594750.000000000000
FS( 54 ),1516560.000000000000,1468680.000000000000,1587920.000000000000,1362500.000000000000,1381750.000000000000,1814480.000000000000,1387170.000000000000,1250000.000000000000,11769060.000000000000
FS( 55 ),1619920.000000000000,1460560.000000000000,1613520.000000000000,1420400.000000000000,1396750.000000000000,1785470.000000000000,1384849.999999999800,1250000.000000000000,11931470.000000000000
FS( 56 ),1590000.000000000000,1458320.000000000200,1577680.000000000000,1396400.000000000000,1405250.000000000000,1787900.000000000000,1393840.000000000000,1250000.000000000000,11859390.000000000000
FS( 57 ),1602920.000000000000,1484919.999999999800,1579600.000000000000,1388600.000000000000,1398750.000000000000,1780640.000000000000,1400220.000000000000,1250000.000000000000,11885650.000000000000
FS( 58 ),1585920.000000000000,1470640.000000000000,1581520.000000000000,1394600.000000000000,1396750.000000000000,1804820.000000000000,1402539.999999999800,1250000.000000000000,11886790.000000000000
FS( 59 ),1577760.000000000000,1478760.000000000000,1591760.000000000000,1392500.000000000000,1396750.000000000000,1865240.000000000200,1406890.000000000000,1250000.000000000000,11959660.000000000000
FS( 60 ),1575720.000000000000,1470640.000000000000,1569360.000000000000,1404500.000000000000,1386000.000000000000,1855580.000000000000,1417910.000000000000,1250000.000000000000,11929710.000000000000
