代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,14500350.000000000000
真實報酬,4500350.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,40908.558561270933
風險,245242.606867393970
起點值,0.166808529251
找到最佳解世代,1559
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,6
1301(3)[4],1303(4)[9],1326(5)[1],2311(13)[2],2498(27)[3],2883(32)[26],
Stock#,1301(3)[4],1303(4)[9],1326(5)[1],2311(13)[2],2498(27)[3],2883(32)[26],
張數,32,35,32,125,3,259,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,3626.000000000000,41966.000000000000,8106.000000000000,12916.000000000000,225856.000000000000,3886.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1685226.000000000000,1690466.000000000000,1680426.000000000000,1722916.000000000000,1652176.000000000000,1666666.000000000000,10097880.000000000000
FS( 3 ),1682986.000000000000,1685216.000000000000,1692266.000000000000,1752916.000000000000,1712596.000000000000,1671846.000000000000,10197830.000000000000
FS( 4 ),1680746.000000000000,1695716.000000000000,1706346.000000000000,1745416.000000000000,1734376.000000000000,1677026.000000000000,10239630.000000000000
FS( 5 ),1685226.000000000000,1708665.999999999800,1720426.000000000000,1756666.000000000000,1799626.000000000000,1666666.000000000000,10337280.000000000000
FS( 6 ),1682986.000000000000,1716716.000000000000,1717866.000000000000,1752916.000000000000,1787535.999999999800,1664076.000000000000,10322100.000000000000
FS( 7 ),1678506.000000000000,1719166.000000000000,1703786.000000000000,1730416.000000000000,1814146.000000000000,1658896.000000000000,10304920.000000000000
FS( 8 ),1697066.000000000000,1742616.000000000000,1724906.000000000000,1764166.000000000000,1845555.999999999800,1671846.000000000000,10446160.000000000000
FS( 9 ),1755306.000000000000,1797916.000000000000,1762346.000000000000,1784166.000000000000,1956766.000000000000,1718466.000000000000,10774970.000000000000
FS( 10 ),1753066.000000000000,1789865.999999999800,1755306.000000000000,1836666.000000000000,2051055.999999999800,1715876.000000000000,10901840.000000000000
FS( 11 ),1767146.000000000000,1792666.000000000000,1776426.000000000000,1836666.000000000000,1990606.000000000000,1718466.000000000000,10881980.000000000000
FS( 12 ),1750826.000000000000,1795116.000000000000,1757546.000000000000,1829166.000000000000,1995466.000000000200,1710696.000000000000,10838820.000000000000
FS( 13 ),1753066.000000000000,1803166.000000000000,1769386.000000000000,1859166.000000000000,2029305.999999999800,1721056.000000000000,10935150.000000000000
FS( 14 ),1762346.000000000000,1813665.999999999800,1780906.000000000000,1859166.000000000000,1990606.000000000000,1723646.000000000000,10930340.000000000000
FS( 15 ),1762346.000000000000,1821366.000000000000,1780906.000000000000,1885416.000000000000,1959196.000000000000,1723646.000000000000,10932880.000000000000
FS( 16 ),1781226.000000000000,1824166.000000000000,1783466.000000000000,1885416.000000000000,2005126.000000000000,1741776.000000000000,11021180.000000000000
FS( 17 ),1790506.000000000000,1821366.000000000000,1783466.000000000000,1866666.000000000000,1976115.999999999800,1749546.000000000000,10987670.000000000000
FS( 18 ),1811626.000000000000,1831866.000000000000,1797226.000000000000,1874166.000000000000,1971285.999999999800,1754726.000000000000,11040900.000000000000
FS( 19 ),1813866.000000000000,1834666.000000000000,1785706.000000000000,1881666.000000000000,1959196.000000000000,1741776.000000000000,11016880.000000000000
FS( 20 ),1797546.000000000000,1818916.000000000000,1790506.000000000000,1930416.000000000000,1959196.000000000000,1752136.000000000000,11048720.000000000000
FS( 21 ),1795306.000000000000,1834666.000000000000,1771626.000000000000,1915416.000000000000,1939846.000000000200,1744366.000000000000,11001230.000000000000
FS( 22 ),1802026.000000000000,1837115.999999999800,1783466.000000000000,1915416.000000000000,1935016.000000000000,1749546.000000000000,11022590.000000000000
FS( 23 ),1818666.000000000000,1810865.999999999800,1794986.000000000000,1896666.000000000000,1913266.000000000000,1749546.000000000000,10984000.000000000000
FS( 24 ),1816106.000000000000,1782166.000000000000,1783466.000000000000,1926666.000000000000,1913266.000000000000,1741776.000000000000,10963450.000000000000
FS( 25 ),1813866.000000000000,1782166.000000000000,1783466.000000000000,1937916.000000000000,1964026.000000000000,1770266.000000000000,11051710.000000000000
FS( 26 ),1818666.000000000000,1776916.000000000000,1809066.000000000000,1911666.000000000000,1983376.000000000000,1801346.000000000000,11101040.000000000000
FS( 27 ),1813866.000000000000,1766416.000000000000,1804266.000000000000,1881666.000000000000,1947106.000000000000,1785806.000000000000,10999130.000000000000
FS( 28 ),1783466.000000000000,1727216.000000000000,1790506.000000000000,1844166.000000000000,1954365.999999999800,1770266.000000000000,10869990.000000000000
FS( 29 ),1771946.000000000000,1674716.000000000000,1771626.000000000000,1817916.000000000000,1915666.000000000000,1752136.000000000000,10704010.000000000000
FS( 30 ),1818666.000000000000,1716716.000000000000,1783466.000000000000,1877916.000000000000,1843156.000000000200,1762496.000000000000,10802420.000000000000
FS( 31 ),1918826.000000000000,1789865.999999999800,1867306.000000000000,1870416.000000000000,1879426.000000000200,1780626.000000000000,11106470.000000000000
FS( 32 ),1918826.000000000000,1808416.000000000000,1904746.000000000000,1840416.000000000000,1845555.999999999800,1778035.999999999800,11096000.000000000000
FS( 33 ),1872106.000000000000,1787415.999999999800,1911786.000000000000,1829166.000000000000,1734376.000000000000,1744366.000000000000,10879220.000000000000
FS( 34 ),1860586.000000000000,1771666.000000000000,1900266.000000000000,1844166.000000000000,1770615.999999999800,1736596.000000000000,10883900.000000000000
FS( 35 ),1907306.000000000000,1810865.999999999800,1909546.000000000000,1855416.000000000000,1847986.000000000000,1726236.000000000200,11057360.000000000000
FS( 36 ),1946986.000000000000,1808416.000000000000,1925866.000000000000,1866666.000000000000,1898745.999999999800,1718466.000000000000,11165150.000000000000
FS( 37 ),1977386.000000000000,1829416.000000000000,1935146.000000000000,1874166.000000000000,1862476.000000000000,1723646.000000000000,11202240.000000000000
FS( 38 ),2033386.000000000000,1852866.000000000000,2023786.000000000000,1964166.000000000000,1847986.000000000000,1744366.000000000000,11466560.000000000000
FS( 39 ),2105706.000000000000,1876316.000000000000,2082345.999999999800,1971666.000000000000,1860076.000000000000,1757315.999999999800,11653430.000000000000
FS( 40 ),2138666.000000000000,1876316.000000000000,2080106.000000000000,1971666.000000000000,1860076.000000000000,1757315.999999999800,11684150.000000000000
FS( 41 ),2112746.000000000000,1863365.999999999800,2119786.000000000000,2039166.000000000000,1937446.000000000000,1757315.999999999800,11829830.000000000000
FS( 42 ),2054506.000000000000,1829416.000000000000,2058986.000000000000,2001666.000000000000,1896346.000000000200,1749546.000000000000,11590470.000000000000
FS( 43 ),2094186.000000000000,1876316.000000000000,2087146.000000000000,2074166.000000000000,2012386.000000000000,1767676.000000000000,11911880.000000000000
FS( 44 ),2082345.999999999800,1881566.000000000200,2087146.000000000000,2089166.000000000000,2009956.000000000200,1767676.000000000000,11917860.000000000000
FS( 45 ),2094186.000000000000,1876316.000000000000,2077546.000000000000,2066666.000000000000,2026876.000000000000,1752136.000000000000,11893730.000000000000
FS( 46 ),2119786.000000000000,1886816.000000000200,2084586.000000000000,2092916.000000000000,2053486.000000000000,1762496.000000000000,12000090.000000000000
FS( 47 ),2173546.000000000000,1944566.000000000000,2187306.000000000000,2115416.000000000000,2063146.000000000000,1770266.000000000000,12254250.000000000000
FS( 48 ),2210986.000000000000,1973266.000000000000,2222506.000000000000,2051665.999999999800,2096986.000000000000,1770266.000000000000,12325680.000000000000
FS( 49 ),2213226.000000000000,1994266.000000000000,2227306.000000000000,2096666.000000000000,2104246.000000000000,1762496.000000000000,12398210.000000000000
FS( 50 ),2199146.000000000000,1965566.000000000200,2231786.000000000000,2119166.000000000000,2111506.000000000000,1765086.000000000000,12392260.000000000000
FS( 51 ),2159466.000000000000,1947365.999999999800,2170986.000000000000,2111666.000000000000,2072805.999999999800,1770266.000000000000,12232560.000000000000
FS( 52 ),2096426.000000000200,1913066.000000000200,2119786.000000000000,2070416.000000000000,2072805.999999999800,1736596.000000000000,12009100.000000000000
FS( 53 ),2061546.000000000000,1905366.000000000000,2103466.000000000000,2081666.000000000000,2109076.000000000000,1718466.000000000000,11979590.000000000000
FS( 54 ),2117546.000000000000,1942115.999999999800,2157226.000000000000,2100416.000000000000,2152576.000000000000,1734006.000000000000,12203890.000000000000
FS( 55 ),2089386.000000000200,1907816.000000000200,2131306.000000000000,2100416.000000000000,2135656.000000000000,1710696.000000000000,12075280.000000000000
FS( 56 ),2122026.000000000000,1886816.000000000200,2133866.000000000000,2119166.000000000000,2167096.000000000000,1726236.000000000200,12155210.000000000000
