代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12324310.000000000000
真實報酬,2324310.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,16997.608672292099
風險,129721.565102778640
起點值,0.131031480069
找到最佳解世代,1448
找到最佳解實驗#,1
找到最佳解次數,35

投資組合檔數,2
2412(24)[3],3045(40)[1],
Stock#,2412(24)[3],3045(40)[1],
張數,101,119,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,11610.000000000000,810.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4975760.000000000000,5034510.000000000000,10010270.000000000000
FS( 3 ),4894960.000000000000,5034510.000000000000,9929470.000000000000
FS( 4 ),4935360.000000000000,5008329.999999999100,9943690.000000000000
FS( 5 ),4919200.000000000000,4983340.000000000000,9902540.000000000000
FS( 6 ),4975760.000000000000,5026180.000000000000,10001940.000000000000
FS( 7 ),4943440.000000000000,4991670.000000000000,9935110.000000000000
FS( 8 ),4991920.000000000000,4991670.000000000000,9983590.000000000000
FS( 9 ),5008080.000000000000,5034510.000000000000,10042590.000000000000
FS( 10 ),4983840.000000000000,5026180.000000000000,10010020.000000000000
FS( 11 ),5000000.000000000000,5042840.000000000000,10042840.000000000000
FS( 12 ),5000000.000000000000,5059500.000000000000,10059500.000000000000
FS( 13 ),5000000.000000000000,5067829.999999999100,10067830.000000000000
FS( 14 ),5000000.000000000000,5042840.000000000000,10042840.000000000000
FS( 15 ),5000000.000000000000,5059500.000000000000,10059500.000000000000
FS( 16 ),4983840.000000000000,5076159.999999999100,10060000.000000000000
FS( 17 ),4951520.000000000000,5084490.000000000000,10036010.000000000000
FS( 18 ),5024240.000000000000,5067829.999999999100,10092070.000000000000
FS( 19 ),4967680.000000000000,5059500.000000000000,10027180.000000000000
FS( 20 ),4959600.000000000000,5084490.000000000000,10044090.000000000000
FS( 21 ),5008080.000000000000,5126140.000000000000,10134220.000000000000
FS( 22 ),4991920.000000000000,5076159.999999999100,10068080.000000000000
FS( 23 ),4975760.000000000000,5076159.999999999100,10051920.000000000000
FS( 24 ),4991920.000000000000,5142800.000000000000,10134720.000000000000
FS( 25 ),5000000.000000000000,5176120.000000000000,10176120.000000000000
FS( 26 ),5000000.000000000000,5201110.000000000000,10201110.000000000000
FS( 27 ),4983840.000000000000,5209440.000000000000,10193280.000000000000
FS( 28 ),5000000.000000000000,5176120.000000000000,10176120.000000000000
FS( 29 ),5048480.000000000000,5243950.000000000000,10292430.000000000000
FS( 30 ),5080800.000000000000,5377230.000000000000,10458030.000000000000
FS( 31 ),5096960.000000000000,5360570.000000000000,10457530.000000000000
FS( 32 ),5153520.000000000000,5343909.999999999100,10497430.000000000000
FS( 33 ),5121200.000000000000,5435540.000000000900,10556740.000000000000
FS( 34 ),5169680.000000000000,5443870.000000000000,10613550.000000000000
FS( 35 ),5153520.000000000000,5528360.000000000000,10681880.000000000000
FS( 36 ),5137360.000000000000,5511700.000000000000,10649060.000000000000
FS( 37 ),5161600.000000000000,5461720.000000000000,10623320.000000000000
FS( 38 ),5161600.000000000000,5443870.000000000000,10605470.000000000000
FS( 39 ),5121200.000000000000,5368900.000000000000,10490100.000000000000
FS( 40 ),5161600.000000000000,5443870.000000000000,10605470.000000000000
