代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12354100.000000000000
真實報酬,2354100.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,20073.484522322080
風險,137451.025917964780
起點值,0.146040994516
找到最佳解世代,1430
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,5
1303(4)[5],2002(8)[1],2330(17)[11],2448(25)[15],2498(27)[2],
Stock#,1303(4)[5],2002(8)[1],2330(17)[11],2448(25)[15],2498(27)[2],
張數,38,89,39,23,3,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,8420.000000000000,2840.000000000000,34400.000000000000,8890.000000000000,213470.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2005700.000000000200,2000000.000000000000,1994150.000000000000,1991950.000000000000,1997570.000000000200,9989370.000000000000
FS( 3 ),2000000.000000000000,2016020.000000000000,2012480.000000000000,1915129.999999999800,2014490.000000000000,9958120.000000000000
FS( 4 ),2011400.000000000000,2016020.000000000000,2012480.000000000000,1931230.000000000000,2041100.000000000000,10012230.000000000000
FS( 5 ),2074099.999999999800,2032040.000000000000,2021840.000000000000,1979760.000000000000,2050760.000000000000,10158500.000000000000
FS( 6 ),2105260.000000000000,2028480.000000000000,1994150.000000000000,1939280.000000000000,2084600.000000000000,10151770.000000000000
FS( 7 ),2128060.000000000000,2050730.000000000000,2015599.999999999800,1923180.000000000200,2091859.999999999800,10209430.000000000000
FS( 8 ),2096900.000000000000,2066750.000000000200,2021840.000000000000,1923180.000000000200,2099120.000000000000,10207790.000000000000
FS( 9 ),2077139.999999999800,2050730.000000000000,2006240.000000000200,1945490.000000000200,2060419.999999999800,10140020.000000000000
FS( 10 ),2039900.000000000000,2035600.000000000000,1984789.999999999800,1919270.000000000000,2060419.999999999800,10039980.000000000000
FS( 11 ),2031540.000000000200,2019580.000000000000,2012480.000000000000,1931230.000000000000,2096690.000000000000,10091520.000000000000
FS( 12 ),2071440.000000000000,2032040.000000000000,2031200.000000000200,1961590.000000000000,2140190.000000000000,10236460.000000000000
FS( 13 ),2034200.000000000200,2025810.000000000000,2009360.000000000000,1981830.000000000000,2123270.000000000000,10174470.000000000000
FS( 14 ),2011400.000000000000,2025810.000000000000,1994150.000000000000,1953539.999999999800,2154710.000000000000,10139610.000000000000
FS( 15 ),2005700.000000000200,2032040.000000000000,2006240.000000000200,1996090.000000000000,2212730.000000000000,10252800.000000000000
FS( 16 ),2005700.000000000200,2035600.000000000000,2009360.000000000000,2032430.000000000200,2331170.000000000000,10414260.000000000000
FS( 17 ),1991639.999999999800,2028480.000000000000,1997270.000000000000,2052670.000000000000,2299760.000000000000,10369820.000000000000
FS( 18 ),1997340.000000000000,2028480.000000000000,1991030.000000000000,2014260.000000000000,2212730.000000000000,10243840.000000000000
FS( 19 ),1974540.000000000200,2032040.000000000000,2028079.999999999800,2072910.000000000000,2256230.000000000000,10363800.000000000000
FS( 20 ),1963139.999999999800,1997330.000000000000,2028079.999999999800,2123510.000000000000,2234480.000000000000,10346540.000000000000
FS( 21 ),1943380.000000000000,2003560.000000000000,2024960.000000000000,2113390.000000000000,2256230.000000000000,10341520.000000000000
FS( 22 ),1940340.000000000000,2003560.000000000000,1997270.000000000000,2103270.000000000000,2256230.000000000000,10300670.000000000000
FS( 23 ),1982900.000000000000,2003560.000000000000,2034320.000000000000,2072910.000000000000,2292500.000000000000,10386190.000000000000
FS( 24 ),1985940.000000000000,2012460.000000000000,2083849.999999999800,2042550.000000000000,2369869.999999999500,10494670.000000000000
FS( 25 ),1991639.999999999800,2012460.000000000000,2148590.000000000000,2093150.000000000200,2348119.999999999500,10593960.000000000000
FS( 26 ),2020139.999999999800,2025810.000000000000,2154830.000000000000,2062790.000000000000,2343260.000000000000,10606830.000000000000
FS( 27 ),2025840.000000000000,2028480.000000000000,2139620.000000000000,2030360.000000000000,2307020.000000000000,10531320.000000000000
FS( 28 ),2020139.999999999800,2032040.000000000000,2139620.000000000000,2006210.000000000200,2331170.000000000000,10529180.000000000000
FS( 29 ),2037240.000000000000,2050730.000000000000,2201240.000000000000,2032430.000000000200,2319110.000000000000,10640750.000000000000
FS( 30 ),2022799.999999999800,2048060.000000000000,2192270.000000000000,2020240.000000000200,2381960.000000000500,10665330.000000000000
FS( 31 ),2005700.000000000200,2035600.000000000000,2182910.000000000000,2052670.000000000000,2389190.000000000500,10666070.000000000000
FS( 32 ),2011400.000000000000,2044500.000000000000,2170430.000000000000,2093150.000000000200,2410970.000000000000,10730450.000000000000
FS( 33 ),2054340.000000000000,2054290.000000000200,2201240.000000000000,2052670.000000000000,2396450.000000000000,10758990.000000000000
FS( 34 ),2039900.000000000000,2054290.000000000200,2238680.000000000000,2052670.000000000000,2372270.000000000000,10757810.000000000000
FS( 35 ),2039900.000000000000,2070310.000000000200,2291330.000000000000,2012190.000000000000,2321510.000000000000,10735240.000000000000
FS( 36 ),2028500.000000000000,2089000.000000000200,2238680.000000000000,2030360.000000000000,2304590.000000000000,10691130.000000000000
FS( 37 ),2042940.000000000000,2105020.000000000500,2241800.000000000000,2026450.000000000000,2336030.000000000000,10752240.000000000000
FS( 38 ),2034200.000000000200,2102349.999999999500,2238680.000000000000,2113390.000000000000,2423060.000000000000,10911680.000000000000
FS( 39 ),2042940.000000000000,2092560.000000000200,2232440.000000000000,2093150.000000000200,2423060.000000000000,10884150.000000000000
FS( 40 ),2039900.000000000000,2096119.999999999800,2226200.000000000000,2072910.000000000000,2389190.000000000500,10824320.000000000000
FS( 41 ),2057000.000000000000,2105020.000000000500,2223080.000000000000,2083030.000000000200,2389190.000000000500,10857320.000000000000
FS( 42 ),2054340.000000000000,2102349.999999999500,2229320.000000000000,2093150.000000000200,2372270.000000000000,10851430.000000000000
FS( 43 ),2051299.999999999800,2098790.000000000000,2219960.000000000000,2143749.999999999500,2340860.000000000000,10854660.000000000000
FS( 44 ),2048639.999999999800,2108580.000000000500,2219960.000000000000,2163990.000000000000,2384360.000000000000,10925530.000000000000
FS( 45 ),2077139.999999999800,2140619.999999999500,2232440.000000000000,2163990.000000000000,2389190.000000000500,11003380.000000000000
FS( 46 ),2074099.999999999800,2181560.000000000500,2235560.000000000000,2123510.000000000000,2439979.999999999500,11054710.000000000000
FS( 47 ),2068400.000000000000,2166429.999999999500,2238680.000000000000,2153870.000000000000,2435119.999999999500,11062500.000000000000
FS( 48 ),2042940.000000000000,2140619.999999999500,2195390.000000000000,2163990.000000000000,2379530.000000000000,10922470.000000000000
FS( 49 ),2054340.000000000000,2140619.999999999500,2232440.000000000000,2133630.000000000000,2406140.000000000000,10967170.000000000000
FS( 50 ),2037240.000000000000,2105020.000000000500,2278850.000000000000,2174110.000000000000,2365040.000000000000,10960260.000000000000
FS( 51 ),2042940.000000000000,2127270.000000000500,2331500.000000000000,2032430.000000000200,2365040.000000000000,10899180.000000000000
FS( 52 ),2071440.000000000000,2146849.999999999500,2340860.000000000000,2042550.000000000000,2374700.000000000000,10976400.000000000000
FS( 53 ),2074099.999999999800,2134389.999999999500,2352950.000000000000,2032430.000000000200,2333600.000000000000,10927470.000000000000
FS( 54 ),2074099.999999999800,2146849.999999999500,2343980.000000000000,2052670.000000000000,2304590.000000000000,10922190.000000000000
FS( 55 ),2082460.000000000000,2134389.999999999500,2349830.000000000000,2072910.000000000000,2263490.000000000000,10903080.000000000000
FS( 56 ),2093860.000000000000,2121040.000000000500,2381030.000000000000,2052670.000000000000,2333600.000000000000,10982200.000000000000
FS( 57 ),2136800.000000000000,2114810.000000000500,2411840.000000000000,2072910.000000000000,2328770.000000000000,11065130.000000000000
FS( 58 ),2227620.000000000000,2127270.000000000500,2448890.000000000000,2103270.000000000000,2365040.000000000000,11272090.000000000000
FS( 59 ),2227620.000000000000,2118369.999999999500,2399360.000000000000,2032430.000000000200,2374700.000000000000,11152480.000000000000
FS( 60 ),2210520.000000000000,2114810.000000000500,2343980.000000000000,2026450.000000000000,2360180.000000000000,11055940.000000000000
FS( 61 ),2227620.000000000000,2108580.000000000500,2365430.000000000000,2113390.000000000000,2377130.000000000000,11192150.000000000000
FS( 62 ),2247760.000000000000,2102349.999999999500,2356070.000000000000,2093150.000000000200,2454470.000000000000,11253800.000000000000
FS( 63 ),2253460.000000000000,2134389.999999999500,2343980.000000000000,2163990.000000000000,2510090.000000000000,11405910.000000000000
FS( 64 ),2256120.000000000000,2140619.999999999500,2362310.000000000000,2163990.000000000000,2570510.000000000000,11493550.000000000000
FS( 65 ),2299060.000000000000,2159310.000000000500,2396240.000000000000,2163990.000000000000,2580170.000000000000,11598770.000000000000
FS( 66 ),2458280.000000000000,2229619.999999999500,2371670.000000000000,2184230.000000000000,2606780.000000000000,11850580.000000000000
FS( 67 ),2418380.000000000000,2213599.999999999500,2319020.000000000000,2113390.000000000000,2614040.000000000000,11678430.000000000000
FS( 68 ),2324520.000000000000,2172659.999999999500,2263250.000000000000,2093150.000000000200,2507660.000000000000,11361240.000000000000
FS( 69 ),2276260.000000000000,2137060.000000000500,2244920.000000000000,2010120.000000000000,2456900.000000000000,11125260.000000000000
FS( 70 ),2318820.000000000000,2146849.999999999500,2278850.000000000000,2123510.000000000000,2485910.000000000000,11353940.000000000000
FS( 71 ),2389880.000000000000,2146849.999999999500,2278850.000000000000,2103270.000000000000,2565680.000000000000,11484530.000000000000
FS( 72 ),2412680.000000000000,2140619.999999999500,2266370.000000000000,2083030.000000000200,2556020.000000000000,11458720.000000000000
FS( 73 ),2449540.000000000000,2114810.000000000500,2278850.000000000000,2072910.000000000000,2543930.000000000000,11460040.000000000000
FS( 74 ),2489440.000000000500,2150409.999999999500,2294450.000000000000,2143749.999999999500,2614040.000000000000,11692090.000000000000
FS( 75 ),2489440.000000000500,2137060.000000000500,2306540.000000000000,2113390.000000000000,2630960.000000000500,11677390.000000000000
FS( 76 ),2489440.000000000500,2121040.000000000500,2278850.000000000000,2052670.000000000000,2606780.000000000000,11548780.000000000000
FS( 77 ),2418380.000000000000,2143290.000000000500,2232440.000000000000,2020240.000000000200,2614040.000000000000,11428390.000000000000
FS( 78 ),2435480.000000000000,2146849.999999999500,2216840.000000000000,2016330.000000000000,2623700.000000000000,11439200.000000000000
FS( 79 ),2446880.000000000000,2140619.999999999500,2216840.000000000000,2062790.000000000000,2788100.000000000000,11655230.000000000000
FS( 80 ),2418380.000000000000,2169099.999999999500,2244920.000000000000,2133630.000000000000,2848520.000000000000,11814550.000000000000
FS( 81 ),2299060.000000000000,2153080.000000000500,2213720.000000000000,2083030.000000000200,2872700.000000000000,11621590.000000000000
FS( 82 ),2404320.000000000000,2185119.999999999500,2226200.000000000000,2113390.000000000000,2872700.000000000000,11801730.000000000000
FS( 83 ),2435480.000000000000,2172659.999999999500,2257010.000000000000,2083030.000000000200,2908970.000000000000,11857150.000000000000
FS( 84 ),2387220.000000000000,2172659.999999999500,2229320.000000000000,2224710.000000000000,2836430.000000000000,11850340.000000000000
FS( 85 ),2389880.000000000000,2166429.999999999500,2247650.000000000000,2285430.000000000000,2872700.000000000000,11962090.000000000000
FS( 86 ),2375820.000000000000,2159310.000000000500,2244920.000000000000,2305670.000000000000,2933150.000000000000,12018870.000000000000
FS( 87 ),2313120.000000000000,2143290.000000000500,2216840.000000000000,2305670.000000000000,2860610.000000000000,11839530.000000000000
FS( 88 ),2313120.000000000000,2134389.999999999500,2201240.000000000000,2255070.000000000000,2715560.000000000000,11619380.000000000000
