代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10428900.000000000000
真實報酬,428900.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,3766.019805824667
風險,70155.357618855298
起點值,0.053681143303
找到最佳解世代,1518
找到最佳解實驗#,1
找到最佳解次數,48

投資組合檔數,2
2412(24)[1],9999(49)[9],
Stock#,2412(24)[1],9999(49)[9],
張數,59,-1,
FS( 83 ),5306800.000000000000,5000000.000000000000,10306800.000000000000
FS( 84 ),5349870.000000000000,5000000.000000000000,10349870.000000000000
FS( 85 ),5344560.000000000900,5000000.000000000000,10344560.000000000000
FS( 86 ),5361079.999999999100,5000000.000000000000,10361080.000000000000
FS( 87 ),5339250.000000000000,5000000.000000000000,10339250.000000000000
FS( 88 ),5339250.000000000000,5000000.000000000000,10339250.000000000000
FS( 89 ),5333940.000000000000,5000000.000000000000,10333940.000000000000
FS( 90 ),5333940.000000000000,5000000.000000000000,10333940.000000000000
FS( 91 ),5361079.999999999100,5000000.000000000000,10361080.000000000000
FS( 92 ),5355770.000000000900,5000000.000000000000,10355770.000000000000
FS( 93 ),5355770.000000000900,5000000.000000000000,10355770.000000000000
FS( 94 ),5377010.000000000000,5000000.000000000000,10377010.000000000000
FS( 95 ),5344560.000000000900,5000000.000000000000,10344560.000000000000
FS( 96 ),5404150.000000000000,5000000.000000000000,10404150.000000000000
FS( 97 ),5414770.000000000900,5000000.000000000000,10414770.000000000000
FS( 98 ),5404150.000000000000,5000000.000000000000,10404150.000000000000
FS( 99 ),5409460.000000000000,5000000.000000000000,10409460.000000000000
FS( 100 ),5414770.000000000900,5000000.000000000000,10414770.000000000000
FS( 101 ),5441320.000000000900,5000000.000000000000,10441320.000000000000
FS( 102 ),5441320.000000000900,5000000.000000000000,10441320.000000000000
FS( 103 ),5441320.000000000900,5000000.000000000000,10441320.000000000000
FS( 104 ),5441320.000000000900,5000000.000000000000,10441320.000000000000
FS( 105 ),5398250.000000000000,5000000.000000000000,10398250.000000000000
FS( 106 ),5441320.000000000900,5000000.000000000000,10441320.000000000000
FS( 107 ),5414770.000000000900,5000000.000000000000,10414770.000000000000
FS( 108 ),5414770.000000000900,5000000.000000000000,10414770.000000000000
FS( 109 ),5414770.000000000900,5000000.000000000000,10414770.000000000000
FS( 110 ),5361079.999999999100,5000000.000000000000,10361080.000000000000
FS( 111 ),5371700.000000000000,5000000.000000000000,10371700.000000000000
FS( 112 ),5333940.000000000000,5000000.000000000000,10333940.000000000000
FS( 113 ),5333940.000000000000,5000000.000000000000,10333940.000000000000
FS( 114 ),5361079.999999999100,5000000.000000000000,10361080.000000000000
FS( 115 ),5312700.000000000000,5000000.000000000000,10312700.000000000000
FS( 116 ),5269629.999999999100,5000000.000000000000,10269630.000000000000
FS( 117 ),5387629.999999999100,5000000.000000000000,10387630.000000000000
FS( 118 ),5349870.000000000000,5000000.000000000000,10349870.000000000000
FS( 119 ),5414770.000000000900,5000000.000000000000,10414770.000000000000
FS( 120 ),5377010.000000000000,5000000.000000000000,10377010.000000000000
FS( 121 ),5382320.000000000900,5000000.000000000000,10382320.000000000000
FS( 122 ),5361079.999999999100,5000000.000000000000,10361080.000000000000
FS( 123 ),5361079.999999999100,5000000.000000000000,10361080.000000000000
FS( 124 ),5377010.000000000000,5000000.000000000000,10377010.000000000000
FS( 125 ),5361079.999999999100,5000000.000000000000,10361080.000000000000
FS( 126 ),5404150.000000000000,5024750.000000000000,10428900.000000000000
