代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12086699.999450000000
真實報酬,2086699.999450000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18206.861467484527
風險,108649.283793481940
起點值,0.167574611003
找到最佳解世代,2394
找到最佳解實驗#,5
找到最佳解次數,7

投資組合檔數,9
1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
Stock#,1326(5)[28],2207(12)[10],2301(13)[8],2308(15)[14],2357(24)[19],2881(33)[2],2912(41)[4],3673(47)[5],9999(50)[35],
張數,19,6,37,12,4,41,8,2,-1,
FS( 33 ),1266340.999999999800,1168111.000000000000,1107041.000000000000,1111111.000000000000,1125511.000000000000,1183270.999999999800,1184151.000000000000,1092471.000000000000,1111111.000000000000,10349120.000000000000
FS( 34 ),1281921.000000000000,1178491.000000000200,1107041.000000000000,1116150.999999999800,1144231.000000000000,1219761.000000000200,1180631.000000000000,1144671.000000000000,1111111.000000000000,10484010.000000000000
FS( 35 ),1297691.000000000000,1225111.000000000000,1118141.000000000000,1095990.999999999800,1158631.000000000000,1223040.999999999800,1187591.000000000000,1161471.000000000000,1111111.000000000000,10578780.000000000000
FS( 36 ),1297691.000000000000,1217371.000000000000,1122210.999999999800,1116150.999999999800,1164391.000000000000,1241491.000000000200,1191111.000000000000,1164251.000000000000,1111111.000000000000,10625780.000000000000
FS( 37 ),1281921.000000000000,1194031.000000000000,1125171.000000000200,1111111.000000000000,1151431.000000000000,1236571.000000000000,1198071.000000000000,1156811.000000000000,1111111.000000000000,10566230.000000000000
FS( 38 ),1264821.000000000000,1194031.000000000000,1129241.000000000000,1101030.999999999800,1158631.000000000000,1226321.000000000000,1198071.000000000000,1167991.000000000000,1111111.000000000000,10551250.000000000000
FS( 39 ),1256841.000000000000,1178491.000000000200,1127761.000000000000,1106070.999999999800,1165831.000000000000,1223040.999999999800,1170231.000000000000,1166131.000000000000,1111111.000000000000,10505510.000000000000
FS( 40 ),1263110.999999999800,1191451.000000000000,1131831.000000000000,1106070.999999999800,1170151.000000000000,1236571.000000000000,1187591.000000000000,1161471.000000000000,1111111.000000000000,10559360.000000000000
FS( 41 ),1272610.999999999800,1217371.000000000000,1136271.000000000000,1111111.000000000000,1173031.000000000000,1238211.000000000000,1180631.000000000000,1196891.000000000000,1111111.000000000000,10637240.000000000000
FS( 42 ),1292941.000000000000,1225111.000000000000,1134791.000000000000,1111111.000000000000,1160071.000000000000,1249691.000000000000,1187591.000000000000,1193171.000000000000,1111111.000000000000,10665590.000000000000
FS( 43 ),1300731.000000000000,1222531.000000000000,1191401.000000000000,1116150.999999999800,1167271.000000000000,1268141.000000000000,1170231.000000000000,1195031.000000000000,1111111.000000000000,10742600.000000000000
FS( 44 ),1297691.000000000000,1222531.000000000000,1198431.000000000000,1106070.999999999800,1174471.000000000000,1275111.000000000000,1187591.000000000000,1189431.000000000000,1111111.000000000000,10762440.000000000000
FS( 45 ),1303961.000000000000,1235491.000000000200,1206941.000000000000,1106070.999999999800,1184551.000000000000,1320211.000000000200,1194551.000000000000,1196891.000000000000,1111111.000000000000,10859780.000000000000
FS( 46 ),1281921.000000000000,1230330.999999999800,1205461.000000000000,1095990.999999999800,1193191.000000000000,1330050.999999999800,1194551.000000000000,1204351.000000000000,1111111.000000000000,10846960.000000000000
FS( 47 ),1281921.000000000000,1232911.000000000000,1191401.000000000000,1126230.999999999800,1219151.000000000000,1336611.000000000000,1191111.000000000000,1209951.000000000000,1111111.000000000000,10900400.000000000000
