代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11097195.000000000000
真實報酬,1097195.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10946.746648212858
風險,98831.146230324477
起點值,0.110762113623
找到最佳解世代,1523
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,4
2887(36)[1],2892(39)[3],3045(42)[2],9999(49)[37],
Stock#,2887(36)[1],2892(39)[3],3045(42)[2],9999(49)[37],
張數,267,188,26,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,880.000000000000,3360.000000000000,43520.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2454610.000000000000,2469920.000000000000,2453200.000000000500,2500000.000000000000,9877730.000000000000
FS( 3 ),2478639.999999999500,2445480.000000000000,2488300.000000000000,2500000.000000000000,9912420.000000000000
FS( 4 ),2489320.000000000000,2453000.000000000000,2488300.000000000000,2500000.000000000000,9930620.000000000000
FS( 5 ),2478639.999999999500,2462400.000000000000,2535360.000000000000,2500000.000000000000,9976400.000000000000
FS( 6 ),2521360.000000000000,2469920.000000000000,2523660.000000000000,2500000.000000000000,10014940.000000000000
FS( 7 ),2545389.999999999500,2509400.000000000000,2523660.000000000000,2500000.000000000000,10078450.000000000000
FS( 8 ),2545389.999999999500,2484960.000000000000,2511960.000000000000,2500000.000000000000,10042310.000000000000
FS( 9 ),2577430.000000000000,2500000.000000000000,2547060.000000000000,2500000.000000000000,10124490.000000000000
FS( 10 ),2598790.000000000500,2500000.000000000000,2547060.000000000000,2500000.000000000000,10145850.000000000000
FS( 11 ),2644180.000000000000,2477440.000000000000,2547060.000000000000,2500000.000000000000,10168680.000000000000
FS( 12 ),2609469.999999999500,2462400.000000000000,2535360.000000000000,2500000.000000000000,10107230.000000000000
FS( 13 ),2598790.000000000500,2484960.000000000000,2535360.000000000000,2500000.000000000000,10119110.000000000000
FS( 14 ),2633500.000000000000,2469920.000000000000,2535360.000000000000,2500000.000000000000,10138780.000000000000
FS( 15 ),2676219.999999999500,2484960.000000000000,2535360.000000000000,2500000.000000000000,10196540.000000000000
FS( 16 ),2700250.000000000000,2492480.000000000000,2547060.000000000000,2500000.000000000000,10239790.000000000000
