代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11708450.000000000000
真實報酬,1708450.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,13396.450903195924
風險,152276.165022545470
起點值,0.087974706358
找到最佳解世代,1432
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
1216(2)[1],2301(13)[8],3008(42)[11],4904(46)[3],9999(50)[20],
Stock#,1216(2)[1],2301(13)[8],3008(42)[11],4904(46)[3],9999(50)[20],
張數,71,79,3,44,-1,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,26910.000000000000,17890.000000000000,488750.000000000000,8560.000000000233,2000000.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2014910.000000000000,1977880.000000000000,1929590.000000000000,2000000.000000000000,2000000.000000000000,9922380.000000000000
FS( 3 ),1995030.000000000000,1920210.000000000000,1926889.999999999800,1973600.000000000200,2000000.000000000000,9815730.000000000000
FS( 4 ),1990770.000000000000,1928110.000000000000,2027090.000000000000,1941040.000000000200,2000000.000000000000,9887010.000000000000
FS( 5 ),1970890.000000000000,1931269.999999999800,1997300.000000000200,1930920.000000000200,2000000.000000000000,9830380.000000000000
FS( 6 ),2007100.000000000000,1909150.000000000000,1970210.000000000000,1980200.000000000200,2000000.000000000000,9866660.000000000000
FS( 7 ),1995030.000000000000,1911519.999999999800,1951250.000000000000,2062480.000000000200,2000000.000000000000,9920280.000000000000
FS( 8 ),1985800.000000000000,1911519.999999999800,2000000.000000000000,2046200.000000000200,2000000.000000000000,9943520.000000000000
FS( 9 ),2019170.000000000000,1920210.000000000000,2040620.000000000000,2049280.000000000200,2000000.000000000000,10029280.000000000000
FS( 10 ),2053250.000000000000,1905990.000000000000,2032520.000000000000,2059400.000000000500,2000000.000000000000,10051160.000000000000
FS( 11 ),2036210.000000000000,1892560.000000000000,1975639.999999999800,2144760.000000000000,2000000.000000000000,10049170.000000000000
FS( 12 ),2046150.000000000000,1914680.000000000200,2005430.000000000000,2141240.000000000000,2000000.000000000000,10107500.000000000000
FS( 13 ),2065320.000000000000,1920210.000000000000,2027090.000000000000,2111760.000000000000,2000000.000000000000,10124380.000000000000
FS( 14 ),2058220.000000000000,1883870.000000000000,2005430.000000000000,2091960.000000000200,2000000.000000000000,10039480.000000000000
FS( 15 ),2055380.000000000000,1917049.999999999800,1902500.000000000000,2108680.000000000000,2000000.000000000000,9983610.000000000000
FS( 16 ),2063190.000000000000,1942330.000000000000,1959379.999999999800,2174240.000000000000,2000000.000000000000,10139140.000000000000
FS( 17 ),2060350.000000000000,1997630.000000000000,1943120.000000000200,2134640.000000000000,2000000.000000000000,10135740.000000000000
FS( 18 ),2079520.000000000200,1969980.000000000200,1940420.000000000000,2098560.000000000000,2000000.000000000000,10088480.000000000000
FS( 19 ),2147680.000000000000,1958920.000000000000,1838870.000000000200,2098560.000000000000,2000000.000000000000,10044030.000000000000
FS( 20 ),2222230.000000000000,1988940.000000000000,1745420.000000000000,2095480.000000000200,2000000.000000000000,10052070.000000000000
FS( 21 ),2253470.000000000000,2044240.000000000000,1832090.000000000000,2131560.000000000000,2000000.000000000000,10261360.000000000000
FS( 22 ),2220100.000000000000,2044240.000000000000,1767080.000000000000,2138160.000000000000,2000000.000000000000,10169580.000000000000
FS( 23 ),2263410.000000000000,2069520.000000000000,1788740.000000000000,2141240.000000000000,2000000.000000000000,10262910.000000000000
FS( 24 ),2205190.000000000000,2022120.000000000000,1780639.999999999800,2095480.000000000200,2000000.000000000000,10103430.000000000000
FS( 25 ),2318790.000000000000,2047400.000000000000,1771160.000000000000,2134640.000000000000,2000000.000000000000,10271990.000000000000
FS( 26 ),2282580.000000000000,1986570.000000000000,1791470.000000000000,2128040.000000000000,2000000.000000000000,10188660.000000000000
FS( 27 ),2328730.000000000000,2025280.000000000000,1815830.000000000000,2131560.000000000000,2000000.000000000000,10301400.000000000000
FS( 28 ),2277610.000000000000,2011060.000000000000,1767080.000000000000,2138160.000000000000,2000000.000000000000,10193910.000000000000
FS( 29 ),2294650.000000000500,2022120.000000000000,1748120.000000000200,2210320.000000000000,2000000.000000000000,10275210.000000000000
FS( 30 ),2246370.000000000000,2008690.000000000000,1836139.999999999800,2253000.000000000000,2000000.000000000000,10344200.000000000000
FS( 31 ),2215130.000000000000,1961290.000000000000,1853750.000000000000,2259600.000000000000,2000000.000000000000,10289770.000000000000
FS( 32 ),2215130.000000000000,2038710.000000000000,1948550.000000000200,2282480.000000000000,2000000.000000000000,10484870.000000000000
FS( 33 ),2251340.000000000000,1981040.000000000000,1964810.000000000000,2246400.000000000000,2000000.000000000000,10443590.000000000000
FS( 34 ),2251340.000000000000,1981040.000000000000,2000000.000000000000,2233200.000000000900,2000000.000000000000,10465580.000000000000
FS( 35 ),2244240.000000000000,1972349.999999999800,2010830.000000000000,2233200.000000000900,2000000.000000000000,10460620.000000000000
FS( 36 ),2241400.000000000500,1925740.000000000000,1994600.000000000000,2236720.000000000000,2000000.000000000000,10398460.000000000000
FS( 37 ),2222230.000000000000,1898090.000000000000,2016260.000000000000,2279400.000000000000,2000000.000000000000,10415980.000000000000
FS( 38 ),2208030.000000000000,1900460.000000000000,2024389.999999999800,2279400.000000000000,2000000.000000000000,10412280.000000000000
FS( 39 ),2225070.000000000000,1931269.999999999800,1997300.000000000200,2292600.000000000000,2000000.000000000000,10446240.000000000000
FS( 40 ),2313820.000000000000,2008690.000000000000,2067710.000000000000,2239800.000000000900,2000000.000000000000,10630020.000000000000
FS( 41 ),2251340.000000000000,2097170.000000000000,2018960.000000000000,2154440.000000000000,2000000.000000000000,10521910.000000000000
