代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12830620.000000000000
真實報酬,2830620.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24919.740495638478
風險,79173.193397486742
起點值,0.314749720534
找到最佳解世代,1828
找到最佳解實驗#,25
找到最佳解次數,1

投資組合檔數,9
1102(1)[11],1216(2)[12],2002(7)[44],2880(29)[19],2892(39)[26],2912(40)[9],3008(41)[1],3045(42)[21],4938(46)[2],
Stock#,1102(1)[11],1216(2)[12],2002(7)[44],2880(29)[19],2892(39)[26],2912(40)[9],3008(41)[1],3045(42)[21],4938(46)[2],
張數,37,28,51,94,93,6,1,16,35,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,17760.999999999767,20791.000000000000,331.000000000000,971.000000000000,691.000000000233,72210.999999999884,30161.000000000000,11431.000000000000,29261.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1111111.000000000000,1093190.999999999800,1122331.000000000000,1111111.000000000000,1117621.000000000200,1116451.000000000000,1115831.000000000000,1115111.000000000000,1120911.000000000000,10023670.000000000000
FS( 3 ),1126280.999999999800,1106631.000000000200,1131001.000000000000,1117691.000000000000,1120411.000000000200,1132471.000000000000,1115831.000000000000,1137031.000000000000,1136661.000000000000,10124010.000000000000
FS( 4 ),1124800.999999999800,1106631.000000000200,1137631.000000000000,1117691.000000000000,1120411.000000000200,1127131.000000000000,1129991.000000000000,1153831.000000000000,1132111.000000000200,10150230.000000000000
FS( 5 ),1129240.999999999800,1115591.000000000000,1144261.000000000000,1117691.000000000000,1120411.000000000200,1111111.000000000000,1158311.000000000000,1134471.000000000000,1149261.000000000000,10180350.000000000000
FS( 6 ),1155140.999999999500,1108871.000000000000,1146301.000000000000,1130850.999999999800,1130641.000000000200,1108410.999999999500,1177191.000000000000,1148711.000000000000,1156261.000000000000,10262379.999999998000
FS( 7 ),1153660.999999999500,1094311.000000000000,1133041.000000000000,1130850.999999999800,1120411.000000000200,1095090.999999999800,1153591.000000000000,1137031.000000000000,1152061.000000000000,10170050.000000000000
FS( 8 ),1161060.999999999800,1122311.000000000000,1148341.000000000000,1141191.000000000000,1130641.000000000200,1087050.999999999800,1148871.000000000000,1156391.000000000000,1158011.000000000000,10253870.000000000000
FS( 9 ),1150700.999999999800,1131271.000000000000,1139671.000000000000,1141191.000000000000,1133431.000000000200,1087050.999999999800,1139431.000000000000,1161671.000000000000,1170611.000000000000,10255030.000000000000
