代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11378191.426449999000
真實報酬,1378191.426449999200

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,12322.896597323921
風險,87481.416451999030
起點值,0.140863020938
找到最佳解世代,1578
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,7
2105(9)[8],2887(36)[1],2892(39)[9],2912(40)[4],3045(42)[2],4904(44)[3],9999(49)[39],
Stock#,2105(9)[8],2887(36)[1],2892(39)[9],2912(40)[4],3045(42)[2],4904(44)[3],9999(49)[39],
張數,26,157,109,6,15,22,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,50571.000000000000,4581.000000000000,2851.000000000000,170611.000000000000,24871.000000000000,34210.999999999767,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1426230.999999999800,1455261.000000000000,1437291.000000000000,1462471.000000000200,1428571.000000000000,1422630.999999999800,1428571.000000000000,10061030.000000000000
FS( 3 ),1419211.000000000000,1467821.000000000000,1450371.000000000000,1462471.000000000200,1435321.000000000000,1440450.999999999800,1428571.000000000000,10104220.000000000000
FS( 4 ),1428571.000000000000,1480381.000000000000,1450371.000000000000,1473810.999999999800,1408171.000000000000,1434510.999999999800,1428571.000000000000,10104390.000000000000
FS( 5 ),1445211.000000000000,1507071.000000000000,1455821.000000000000,1462471.000000000200,1428571.000000000000,1438470.999999999800,1428571.000000000000,10166190.000000000000
FS( 6 ),1459511.000000000000,1492941.000000000200,1450371.000000000000,1451191.000000000000,1421820.999999999800,1412510.999999999800,1428571.000000000000,10116920.000000000000
FS( 7 ),1457171.000000000200,1500790.999999999800,1450371.000000000000,1422931.000000000000,1408171.000000000000,1438470.999999999800,1428571.000000000000,10106480.000000000000
FS( 8 ),1457171.000000000200,1513351.000000000000,1455821.000000000000,1442671.000000000000,1415071.000000000000,1430550.999999999800,1428571.000000000000,10143210.000000000000
FS( 9 ),1502151.000000000000,1513351.000000000000,1450371.000000000000,1459651.000000000000,1421820.999999999800,1438470.999999999800,1428571.000000000000,10214390.000000000000
FS( 10 ),1506831.000000000000,1507071.000000000000,1455821.000000000000,1454011.000000000000,1421820.999999999800,1440450.999999999800,1428571.000000000000,10214580.000000000000
FS( 11 ),1473551.000000000000,1474101.000000000000,1450371.000000000000,1445490.999999999800,1421820.999999999800,1444410.999999999500,1428571.000000000000,10138320.000000000000
FS( 12 ),1490191.000000000000,1500790.999999999800,1455821.000000000000,1465291.000000000000,1415071.000000000000,1456511.000000000000,1428571.000000000000,10212250.000000000000
FS( 13 ),1504491.000000000000,1500790.999999999800,1464541.000000000000,1456831.000000000000,1442071.000000000000,1474550.999999999800,1428571.000000000000,10271850.000000000000
FS( 14 ),1542451.000000000000,1519631.000000000000,1468901.000000000000,1434211.000000000000,1421820.999999999800,1470370.999999999800,1428571.000000000000,10285960.000000000000
FS( 15 ),1509171.000000000200,1513351.000000000000,1464541.000000000000,1437031.000000000000,1435321.000000000000,1460470.999999999800,1428571.000000000000,10248460.000000000000
FS( 16 ),1528151.000000000000,1500790.999999999800,1464541.000000000000,1417231.000000000200,1448971.000000000000,1450570.999999999800,1428571.000000000000,10238830.000000000000
FS( 17 ),1540111.000000000000,1500790.999999999800,1464541.000000000000,1431391.000000000000,1448971.000000000000,1474550.999999999800,1428571.000000000000,10288930.000000000000
FS( 18 ),1535431.000000000000,1492941.000000000200,1460181.000000000000,1456831.000000000000,1448971.000000000000,1482470.999999999800,1428571.000000000000,10305400.000000000000
FS( 19 ),1497470.999999999800,1492941.000000000200,1455821.000000000000,1437031.000000000000,1442071.000000000000,1476531.000000000000,1428571.000000000000,10230440.000000000000
FS( 20 ),1551811.000000000000,1486661.000000000000,1455821.000000000000,1425750.999999999800,1442071.000000000000,1472570.999999999800,1428571.000000000000,10263260.000000000000
FS( 21 ),1570791.000000000000,1461540.999999999800,1446011.000000000000,1445490.999999999800,1428571.000000000000,1464430.999999999800,1428571.000000000000,10245410.000000000000
FS( 22 ),1563771.000000000000,1492941.000000000200,1455821.000000000000,1502071.000000000000,1442071.000000000000,1464430.999999999800,1428571.000000000000,10349680.000000000000
FS( 23 ),1585091.000000000000,1480381.000000000000,1450371.000000000000,1496371.000000000000,1442071.000000000000,1474550.999999999800,1428571.000000000000,10357410.000000000000
FS( 24 ),1568451.000000000000,1474101.000000000000,1450371.000000000000,1504891.000000000000,1442071.000000000000,1456511.000000000000,1428571.000000000000,10324970.000000000000
FS( 25 ),1563771.000000000000,1447411.000000000000,1432931.000000000000,1479451.000000000000,1415071.000000000000,1442430.999999999800,1428571.000000000000,10209640.000000000000
FS( 26 ),1542451.000000000000,1461540.999999999800,1418761.000000000000,1456831.000000000000,1435321.000000000000,1446610.999999999800,1428571.000000000000,10190090.000000000000
FS( 27 ),1544791.000000000000,1467821.000000000000,1423121.000000000000,1459651.000000000000,1435321.000000000000,1446610.999999999800,1428571.000000000000,10205890.000000000000
FS( 28 ),1592371.000000000000,1461540.999999999800,1428571.000000000000,1442671.000000000000,1462471.000000000200,1470370.999999999800,1428571.000000000000,10286570.000000000000
FS( 29 ),1604071.000000000000,1486661.000000000000,1432931.000000000000,1459651.000000000000,1455721.000000000000,1462450.999999999800,1428571.000000000000,10330060.000000000000
FS( 30 ),1616031.000000000000,1500790.999999999800,1455821.000000000000,1479451.000000000000,1455721.000000000000,1478511.000000000000,1428571.000000000000,10414900.000000000000
FS( 31 ),1646711.000000000000,1500790.999999999800,1441651.000000000000,1465291.000000000000,1448971.000000000000,1462450.999999999800,1428571.000000000000,10394440.000000000000
FS( 32 ),1651651.000000000000,1519631.000000000000,1450371.000000000000,1499250.999999999800,1469221.000000000200,1468390.999999999500,1428571.000000000000,10487090.000000000000
FS( 33 ),1658671.000000000200,1532191.000000000200,1450371.000000000000,1510531.000000000000,1469221.000000000200,1484450.999999999800,1428571.000000000000,10534010.000000000000
FS( 34 ),1675311.000000000000,1558881.000000000000,1437291.000000000000,1521810.999999999800,1469221.000000000200,1486430.999999999800,1428571.000000000000,10577520.000000000000
FS( 35 ),1651651.000000000000,1538470.999999999800,1428571.000000000000,1485091.000000000000,1462471.000000000200,1472570.999999999800,1428571.000000000000,10467400.000000000000
FS( 36 ),1705991.000000000000,1532191.000000000200,1441651.000000000000,1510531.000000000000,1462471.000000000200,1484450.999999999800,1428571.000000000000,10565860.000000000000
FS( 37 ),1687011.000000000000,1552601.000000000000,1432931.000000000000,1485091.000000000000,1462471.000000000200,1482470.999999999800,1428571.000000000000,10531150.000000000000
FS( 38 ),1682331.000000000000,1577720.999999999800,1441651.000000000000,1496371.000000000000,1462471.000000000200,1500511.000000000000,1428571.000000000000,10589630.000000000000
FS( 39 ),1684671.000000000200,1591851.000000000000,1446011.000000000000,1485091.000000000000,1469221.000000000200,1494350.999999999800,1428571.000000000000,10599770.000000000000
FS( 40 ),1682331.000000000000,1598131.000000000000,1446011.000000000000,1485091.000000000000,1469221.000000000200,1506450.999999999800,1428571.000000000000,10615810.000000000000
FS( 41 ),1663351.000000000000,1546321.000000000000,1428571.000000000000,1454011.000000000000,1462471.000000000200,1492370.999999999800,1428571.000000000000,10475670.000000000000
FS( 42 ),1642031.000000000000,1591851.000000000000,1441651.000000000000,1462471.000000000200,1469221.000000000200,1488410.999999999500,1428571.000000000000,10524210.000000000000
FS( 43 ),1613691.000000000000,1565161.000000000000,1483071.000000000000,1437031.000000000000,1482871.000000000000,1512390.999999999500,1428571.000000000000,10522790.000000000000
FS( 44 ),1597051.000000000000,1558881.000000000000,1478711.000000000000,1434211.000000000000,1482871.000000000000,1528450.999999999800,1428571.000000000000,10508750.000000000000
FS( 45 ),1587431.000000000000,1538470.999999999800,1468901.000000000000,1448371.000000000000,1469221.000000000200,1512390.999999999500,1428571.000000000000,10453360.000000000000
FS( 46 ),1559091.000000000000,1558881.000000000000,1460181.000000000000,1448371.000000000000,1476121.000000000000,1498531.000000000000,1428571.000000000000,10429750.000000000000
FS( 47 ),1580411.000000000200,1538470.999999999800,1450371.000000000000,1439851.000000000000,1489621.000000000000,1510410.999999999500,1428571.000000000000,10437710.000000000000
FS( 48 ),1573391.000000000000,1565161.000000000000,1455821.000000000000,1437031.000000000000,1523520.999999999800,1524490.999999999800,1428571.000000000000,10507990.000000000000
FS( 49 ),1559091.000000000000,1546321.000000000000,1446011.000000000000,1448371.000000000000,1530271.000000000000,1530430.999999999800,1428571.000000000000,10489070.000000000000
FS( 50 ),1587431.000000000000,1546321.000000000000,1450371.000000000000,1493551.000000000000,1530271.000000000000,1532410.999999999500,1428571.000000000000,10568930.000000000000
FS( 51 ),1637351.000000000000,1507071.000000000000,1450371.000000000000,1502071.000000000000,1523520.999999999800,1536370.999999999800,1428571.000000000000,10585330.000000000000
FS( 52 ),1604071.000000000000,1507071.000000000000,1455821.000000000000,1530331.000000000000,1523520.999999999800,1534390.999999999500,1428571.000000000000,10583780.000000000000
FS( 53 ),1635011.000000000000,1519631.000000000000,1460181.000000000000,1533151.000000000000,1537021.000000000000,1532410.999999999500,1428571.000000000000,10645980.000000000000
FS( 54 ),1677651.000000000000,1513351.000000000000,1473261.000000000000,1527511.000000000000,1543921.000000000000,1550450.999999999800,1428571.000000000000,10714720.000000000000
