代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11345420.000000000000
真實報酬,1345420.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11367.644206496712
風險,63347.171318797293
起點值,0.179449910230
找到最佳解世代,1876
找到最佳解實驗#,17
找到最佳解次數,3

投資組合檔數,11
2303(13)[11],2317(16)[4],2357(20)[12],2382(21)[15],2408(23)[24],2891(38)[6],2892(39)[1],3008(41)[3],3481(43)[14],4938(45)[10],5880(46)[2],
Stock#,2303(13)[11],2317(16)[4],2357(20)[12],2382(21)[15],2408(23)[24],2891(38)[6],2892(39)[1],3008(41)[3],3481(43)[14],4938(45)[10],5880(46)[2],
張數,83,11,3,16,20,54,58,0,83,12,70,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,240.000000000116,37120.000000000116,167909.999999999880,7810.000000000000,29289.999999999884,7290.000000000000,9510.000000000000,909090.000000000000,6049.999999999884,36929.999999999884,1189.999999999884,
FS( 1 ),909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,10000000.000000000000
FS( 2 ),904940.000000000120,901720.000000000000,903449.999999999880,909090.000000000000,899289.999999999880,911790.000000000000,914890.000000000000,909090.000000000000,896639.999999999880,894209.999999999880,909090.000000000000,9954210.000000000000
FS( 3 ),897470.000000000120,897430.000000000120,904859.999999999880,906050.000000000000,896289.999999999880,909090.000000000000,914890.000000000000,909090.000000000000,913239.999999999770,886289.999999999880,902789.999999999880,9937500.000000000000
FS( 4 ),913240.000000000120,907990.000000000120,909090.000000000000,904450.000000000000,890489.999999999880,911790.000000000000,920109.999999999880,909090.000000000000,913239.999999999770,903330.000000000000,909090.000000000000,9991920.000000000000
FS( 5 ),909090.000000000000,916460.000000000000,916139.999999999880,912130.000000000000,890489.999999999880,914490.000000000000,925329.999999999880,909090.000000000000,942289.999999999770,897689.999999999880,909090.000000000000,10042300.000000000000
FS( 6 ),913240.000000000120,934500.000000000120,920369.999999999880,912130.000000000000,890489.999999999880,927450.000000000000,938670.000000000000,909090.000000000000,946439.999999999880,907889.999999999880,925189.999999999880,10125470.000000000000
FS( 7 ),909090.000000000000,936590.000000000000,914729.999999999770,916770.000000000000,909889.999999999880,932310.000000000000,938670.000000000000,909090.000000000000,933989.999999999770,912449.999999999880,928689.999999999880,10142280.000000000000
FS( 8 ),904940.000000000120,919650.000000000230,918959.999999999880,936610.000000000000,943089.999999999880,927450.000000000000,935770.000000000000,909090.000000000000,938139.999999999880,897689.999999999880,928689.999999999880,10160090.000000000000
FS( 9 ),904940.000000000120,930210.000000000000,920369.999999999880,931970.000000000000,939090.000000000000,932310.000000000000,946790.000000000000,909090.000000000000,933989.999999999770,898769.999999999770,928689.999999999880,10176230.000000000000
FS( 10 ),897470.000000000120,922840.000000000000,917549.999999999880,939650.000000000000,950889.999999999770,924749.999999999880,938670.000000000000,909090.000000000000,938139.999999999880,907889.999999999880,922389.999999999880,10169340.000000000000
FS( 11 ),904940.000000000120,928120.000000000120,918959.999999999880,939650.000000000000,952690.000000000000,932310.000000000000,933449.999999999880,909090.000000000000,958060.000000000000,896489.999999999880,922389.999999999880,10196160.000000000000
FS( 12 ),904940.000000000120,921850.000000000120,914729.999999999770,916770.000000000000,972289.999999999880,932310.000000000000,930550.000000000120,909090.000000000000,958060.000000000000,906809.999999999770,912589.999999999880,10180000.000000000000
FS( 13 ),904940.000000000120,913380.000000000120,910499.999999999880,919810.000000000000,956689.999999999880,924749.999999999880,925329.999999999880,909090.000000000000,950590.000000000000,893129.999999999770,909090.000000000000,10117310.000000000000
FS( 14 ),904940.000000000120,922840.000000000000,910499.999999999880,915170.000000000000,956689.999999999880,922050.000000000120,922430.000000000000,909090.000000000000,962209.999999999880,909090.000000000000,909090.000000000000,10144110.000000000000
FS( 15 ),904940.000000000120,918660.000000000120,910499.999999999880,909090.000000000000,951689.999999999880,916650.000000000000,920109.999999999880,909090.000000000000,978810.000000000000,914730.000000000000,905589.999999999880,10139870.000000000000
FS( 16 ),904940.000000000120,913380.000000000120,909090.000000000000,907490.000000000000,971289.999999999880,909090.000000000000,911990.000000000000,909090.000000000000,974659.999999999880,906809.999999999770,902789.999999999880,10120630.000000000000
FS( 17 ),904940.000000000120,912280.000000000230,911909.999999999880,899970.000000000000,992690.000000000000,904229.999999999880,909090.000000000000,909090.000000000000,966360.000000000000,904529.999999999770,899289.999999999880,10114390.000000000000
FS( 18 ),904940.000000000120,918660.000000000120,911909.999999999880,909090.000000000000,977089.999999999880,909090.000000000000,917210.000000000000,909090.000000000000,962209.999999999880,903330.000000000000,905589.999999999880,10128220.000000000000
FS( 19 ),904940.000000000120,920750.000000000120,913319.999999999880,910530.000000000000,962489.999999999770,906389.999999999880,917210.000000000000,909090.000000000000,954739.999999999770,907889.999999999880,902789.999999999880,10110150.000000000000
FS( 20 ),909090.000000000000,926030.000000000230,911909.999999999880,925890.000000000000,978089.999999999880,911790.000000000000,928230.000000000000,909090.000000000000,966360.000000000000,917009.999999999880,912589.999999999880,10196090.000000000000
FS( 21 ),904940.000000000120,921850.000000000120,909090.000000000000,919810.000000000000,967289.999999999880,909090.000000000000,922430.000000000000,909090.000000000000,958060.000000000000,910169.999999999880,905589.999999999880,10137420.000000000000
FS( 22 ),913240.000000000120,928120.000000000120,914729.999999999770,928930.000000000000,968289.999999999880,914490.000000000000,930550.000000000120,909090.000000000000,962209.999999999880,914730.000000000000,912589.999999999880,10196980.000000000000
FS( 23 ),913240.000000000120,929220.000000000000,920369.999999999880,924290.000000000000,947889.999999999880,916650.000000000000,928230.000000000000,909090.000000000000,1003709.999999999900,930689.999999999880,912589.999999999880,10235980.000000000000
FS( 24 ),909090.000000000000,928120.000000000120,920369.999999999880,924290.000000000000,955689.999999999880,922050.000000000120,933449.999999999880,909090.000000000000,1007860.000000000000,939809.999999999770,912589.999999999880,10262420.000000000000
FS( 25 ),913240.000000000120,926030.000000000230,926009.999999999770,924290.000000000000,970289.999999999880,932310.000000000000,941570.000000000120,909090.000000000000,1041059.999999999900,926129.999999999770,918889.999999999770,10328920.000000000000
FS( 26 ),929010.000000000120,923940.000000000120,928829.999999999880,930530.000000000000,977089.999999999880,932310.000000000000,941570.000000000120,909090.000000000000,1074260.000000000000,926129.999999999770,918889.999999999770,10391660.000000000000
FS( 27 ),929010.000000000120,920750.000000000120,926009.999999999770,948770.000000000000,975089.999999999880,932310.000000000000,938670.000000000000,909090.000000000000,1065959.999999999500,925050.000000000000,918889.999999999770,10389610.000000000000
FS( 28 ),933160.000000000230,926030.000000000230,930239.999999999880,947330.000000000000,957690.000000000000,932310.000000000000,941570.000000000120,909090.000000000000,1061810.000000000000,935249.999999999770,922389.999999999880,10396880.000000000000
FS( 29 ),933160.000000000230,928120.000000000120,935849.999999999770,970210.000000000000,959489.999999999770,932310.000000000000,943890.000000000000,909090.000000000000,1057660.000000000000,880529.999999999770,925189.999999999880,10375510.000000000000
FS( 30 ),945610.000000000120,929220.000000000000,945719.999999999880,977730.000000000000,945889.999999999770,932310.000000000000,946790.000000000000,909090.000000000000,1065959.999999999500,865769.999999999770,928689.999999999880,10392790.000000000000
FS( 31 ),945610.000000000120,928120.000000000120,948539.999999999770,985410.000000000000,930489.999999999880,929609.999999999880,946790.000000000000,909090.000000000000,1078410.000000000000,873689.999999999880,928689.999999999880,10404460.000000000000
FS( 32 ),933160.000000000230,920750.000000000120,942899.999999999880,977730.000000000000,933289.999999999880,916650.000000000000,941570.000000000120,909090.000000000000,1061810.000000000000,878249.999999999770,922389.999999999880,10337600.000000000000
FS( 33 ),933160.000000000230,926030.000000000230,942899.999999999880,979330.000000000000,956689.999999999880,919350.000000000120,943890.000000000000,909090.000000000000,1065959.999999999500,874889.999999999880,918889.999999999770,10370190.000000000000
FS( 34 ),933160.000000000230,918660.000000000120,934470.000000000000,977730.000000000000,960489.999999999880,916650.000000000000,941570.000000000120,909090.000000000000,1094179.999999999500,874889.999999999880,918889.999999999770,10379790.000000000000
FS( 35 ),929010.000000000120,920750.000000000120,931649.999999999880,985410.000000000000,966289.999999999880,909090.000000000000,935770.000000000000,909090.000000000000,1090030.000000000000,886289.999999999880,918889.999999999770,10382280.000000000000
FS( 36 ),929010.000000000120,919650.000000000230,938669.999999999880,974690.000000000000,958489.999999999880,909090.000000000000,935770.000000000000,909090.000000000000,1085880.000000000000,880529.999999999770,922389.999999999880,10363270.000000000000
