代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12775680.000000000000
真實報酬,2775680.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,23202.620760604917
風險,138847.567843295660
起點值,0.167108586207
找到最佳解世代,1531
找到最佳解實驗#,1
找到最佳解次數,26

投資組合檔數,5
2325(18)[4],2330(19)[8],2353(21)[7],2382(24)[5],2474(28)[2],
Stock#,2325(18)[4],2330(19)[8],2353(21)[7],2382(24)[5],2474(28)[2],
張數,70,21,133,37,12,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,7800.000000000000,62960.000000000000,11650.000000000000,51210.000000000000,54440.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),1971999.999999999800,1990760.000000000000,2091770.000000000000,1997040.000000000200,2000000.000000000000,10051570.000000000000
FS( 3 ),1980400.000000000000,2009240.000000000200,2049210.000000000000,1991120.000000000000,2005280.000000000000,10035250.000000000000
FS( 4 ),1969199.999999999800,1990760.000000000000,2023940.000000000200,1997040.000000000200,2010680.000000000200,9991620.000000000000
FS( 5 ),1946800.000000000000,1972280.000000000000,2023940.000000000200,2027010.000000000000,2134640.000000000000,10104670.000000000000
FS( 6 ),1933500.000000000000,2009240.000000000200,2049210.000000000000,2059570.000000000200,2129240.000000000000,10180760.000000000000
FS( 7 ),1963600.000000000200,1990760.000000000000,2049210.000000000000,2077700.000000000000,2177839.999999999500,10259110.000000000000
FS( 8 ),2011200.000000000000,2009240.000000000200,2011970.000000000000,2041810.000000000000,2177839.999999999500,10252060.000000000000
FS( 9 ),1966400.000000000200,1972280.000000000000,2023940.000000000200,2038849.999999999800,2123839.999999999500,10125310.000000000000
FS( 10 ),1960800.000000000000,1963040.000000000200,2066500.000000000000,2062530.000000000000,2091560.000000000000,10144430.000000000000
FS( 11 ),2044800.000000000000,1953590.000000000000,2035910.000000000000,2047730.000000000000,2069960.000000000000,10151990.000000000000
FS( 12 ),1986000.000000000000,1981520.000000000000,2061180.000000000200,2020720.000000000000,2091560.000000000000,10140980.000000000000
FS( 13 ),1971999.999999999800,1935110.000000000000,2103740.000000000000,2044770.000000000200,2156240.000000000000,10211860.000000000000
FS( 14 ),1997200.000000000000,1963040.000000000200,2110390.000000000000,2065490.000000000000,2140040.000000000500,10276160.000000000000
FS( 15 ),2000000.000000000000,1953590.000000000000,2110390.000000000000,2071410.000000000000,2059280.000000000000,10194670.000000000000
FS( 16 ),1969199.999999999800,1990760.000000000000,2097090.000000000000,2098420.000000000000,2118560.000000000000,10274030.000000000000
FS( 17 ),1977600.000000000000,1972280.000000000000,2226100.000000000000,2095460.000000000000,2118560.000000000000,10390000.000000000000
FS( 18 ),2000000.000000000000,1972280.000000000000,2202159.999999999500,2104340.000000000000,2059280.000000000000,10338060.000000000000
FS( 19 ),1977600.000000000000,1990760.000000000000,2293930.000000000000,2104340.000000000000,2075360.000000000000,10441990.000000000000
FS( 20 ),1983199.999999999800,2000000.000000000000,2287280.000000000000,2098420.000000000000,2107760.000000000000,10476660.000000000000
FS( 21 ),2014000.000000000000,2027720.000000000000,2256690.000000000000,2116180.000000000000,2161640.000000000000,10576230.000000000000
FS( 22 ),2000000.000000000000,2018480.000000000000,2256690.000000000000,2122100.000000000000,2140040.000000000500,10537310.000000000000
FS( 23 ),2002800.000000000000,2000000.000000000000,2226100.000000000000,2098420.000000000000,2177839.999999999500,10505160.000000000000
FS( 24 ),2033600.000000000200,1963040.000000000200,2195510.000000000000,2071410.000000000000,2156240.000000000000,10419800.000000000000
FS( 25 ),1994400.000000000000,1963040.000000000200,2220780.000000000000,2137270.000000000000,2107760.000000000000,10423250.000000000000
FS( 26 ),2014000.000000000000,1953590.000000000000,2287280.000000000000,2122100.000000000000,2150839.999999999500,10527810.000000000000
FS( 27 ),2039199.999999999800,1990760.000000000000,2281960.000000000000,2137270.000000000000,2150839.999999999500,10600030.000000000000
FS( 28 ),2041999.999999999800,1935110.000000000000,2287280.000000000000,2137270.000000000000,2204719.999999999500,10606380.000000000000
FS( 29 ),2075599.999999999800,1953590.000000000000,2293930.000000000000,2140230.000000000000,2242520.000000000000,10705870.000000000000
FS( 30 ),2106400.000000000000,1972280.000000000000,2275310.000000000000,2199800.000000000000,2253199.999999999500,10806990.000000000000
FS( 31 ),2086800.000000000000,1981520.000000000000,2269990.000000000000,2277130.000000000000,2204719.999999999500,10820160.000000000000
FS( 32 ),2109200.000000000000,2009240.000000000200,2355110.000000000000,2369630.000000000000,2258600.000000000000,11101780.000000000000
FS( 33 ),2134400.000000000000,2046410.000000000000,2361760.000000000000,2318940.000000000000,2242520.000000000000,11104030.000000000000
FS( 34 ),2106400.000000000000,2055650.000000000000,2343140.000000000500,2339660.000000000500,2242520.000000000000,11087370.000000000000
FS( 35 ),2134400.000000000000,2055650.000000000000,2251370.000000000000,2411440.000000000000,2291000.000000000000,11143860.000000000000
FS( 36 ),2126000.000000000500,2037170.000000000000,2251370.000000000000,2342620.000000000000,2285600.000000000000,11042760.000000000000
FS( 37 ),2123200.000000000000,2055650.000000000000,2256690.000000000000,2360750.000000000000,2323280.000000000000,11119570.000000000000
FS( 38 ),2106400.000000000000,2055650.000000000000,2226100.000000000000,2363710.000000000000,2280199.999999999500,11032060.000000000000
FS( 39 ),2106400.000000000000,2064890.000000000000,2232750.000000000000,2345580.000000000000,2264000.000000000000,11013620.000000000000
FS( 40 ),2081200.000000000000,2009240.000000000200,2214130.000000000000,2286009.999999999500,2231719.999999999500,10822300.000000000000
FS( 41 ),1988800.000000000000,1925869.999999999800,2134330.000000000500,2268250.000000000000,2220920.000000000000,10538170.000000000000
FS( 42 ),2067200.000000000000,1953590.000000000000,2208810.000000000000,2262330.000000000000,2296400.000000000000,10788330.000000000000
FS( 43 ),2039199.999999999800,1990760.000000000000,2202159.999999999500,2280090.000000000000,2425640.000000000000,10937850.000000000000
FS( 44 ),2075599.999999999800,1972280.000000000000,2256690.000000000000,2256410.000000000500,2377160.000000000500,10938140.000000000000
FS( 45 ),2098000.000000000000,2000000.000000000000,2232750.000000000000,2247530.000000000000,2409560.000000000000,10987840.000000000000
FS( 46 ),2109200.000000000000,2009240.000000000200,2256690.000000000000,2280090.000000000000,2517320.000000000000,11172540.000000000000
FS( 47 ),2117600.000000000000,2009240.000000000200,2232750.000000000000,2259370.000000000000,2425640.000000000000,11044600.000000000000
FS( 48 ),2126000.000000000500,2055650.000000000000,2220780.000000000000,2256410.000000000500,2355680.000000000500,11014520.000000000000
FS( 49 ),2126000.000000000500,2074129.999999999800,2208810.000000000000,2286009.999999999500,2404160.000000000500,11099110.000000000000
FS( 50 ),2145599.999999999500,2064890.000000000000,2239400.000000000000,2259370.000000000000,2414960.000000000000,11124220.000000000000
FS( 51 ),2179200.000000000000,2064890.000000000000,2226100.000000000000,2280090.000000000000,2398760.000000000000,11149040.000000000000
FS( 52 ),2145599.999999999500,2037170.000000000000,2244719.999999999500,2291930.000000000500,2377160.000000000500,11096580.000000000000
FS( 53 ),2140000.000000000500,2055650.000000000000,2269990.000000000000,2297850.000000000000,2382560.000000000000,11146050.000000000000
FS( 54 ),2128800.000000000000,2046410.000000000000,2239400.000000000000,2277130.000000000000,2414960.000000000000,11106700.000000000000
FS( 55 ),2142800.000000000000,2064890.000000000000,2226100.000000000000,2253450.000000000500,2425640.000000000000,11112880.000000000000
FS( 56 ),2140000.000000000500,2055650.000000000000,2226100.000000000000,2288969.999999999500,2468839.999999999500,11179560.000000000000
FS( 57 ),2145599.999999999500,2064890.000000000000,2226100.000000000000,2271210.000000000000,2425640.000000000000,11133440.000000000000
FS( 58 ),2114800.000000000000,2064890.000000000000,2214130.000000000000,2256410.000000000500,2452640.000000000000,11102870.000000000000
FS( 59 ),2103600.000000000000,2055650.000000000000,2202159.999999999500,2247530.000000000000,2425640.000000000000,11034580.000000000000
