代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11633580.000000000000
真實報酬,1633580.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,30153.726462173130
風險,235188.519566065490
起點值,0.128210877460
找到最佳解世代,1436
找到最佳解實驗#,1
找到最佳解次數,42

投資組合檔數,3
1101(0)[2],2448(25)[20],3673(44)[1],
Stock#,1101(0)[2],2448(25)[20],3673(44)[1],
張數,156,35,7,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,2732.999999999534,23033.000000000466,115083.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3328652.999999999500,3225533.000000000500,3333333.000000000000,9887520.000000000000
FS( 3 ),3300572.999999999500,3194733.000000000900,3328783.000000000500,9824090.000000000000
FS( 4 ),3284972.999999999500,3068383.000000000900,3328783.000000000500,9682140.000000000000
FS( 5 ),3295892.999999999500,3240933.000000000500,3416143.000000000000,9952970.000000000000
FS( 6 ),3339572.999999999500,3210133.000000000500,3448273.000000000000,9997980.000000000000
FS( 7 ),3339572.999999999500,3179333.000000000500,3443723.000000000000,9962630.000000000000
FS( 8 ),3322413.000000000000,3163933.000000000000,3397733.000000000000,9884080.000000000000
FS( 9 ),3344253.000000000000,3271733.000000000500,3508053.000000000000,10124040.000000000000
FS( 10 ),3383253.000000000000,3225533.000000000500,3586243.000000000000,10195030.000000000000
FS( 11 ),3317732.999999999500,3133133.000000000500,3517293.000000000000,9968160.000000000000
FS( 12 ),3267812.999999999500,3083783.000000000500,3457513.000000000500,9809110.000000000000
FS( 13 ),3245972.999999999500,3077833.000000000500,3687393.000000000000,10011200.000000000000
FS( 14 ),3250652.999999999500,3148533.000000000500,3875902.999999999500,10275090.000000000000
FS( 15 ),3256892.999999999500,3256333.000000000000,3944853.000000000000,10458080.000000000000
FS( 16 ),3278732.999999999500,3179333.000000000500,3958643.000000000500,10416710.000000000000
FS( 17 ),3428492.999999999500,3225533.000000000500,3963193.000000000000,10617220.000000000000
FS( 18 ),3465932.999999999500,3179333.000000000500,3931063.000000000000,10576330.000000000000
FS( 19 ),3450333.000000000000,3394933.000000000500,3875902.999999999500,10721170.000000000000
FS( 20 ),3476852.999999999500,3487333.000000000500,3793092.999999999500,10757280.000000000000
FS( 21 ),3494012.999999999100,3518133.000000000500,3770132.999999999500,10782280.000000000000
FS( 22 ),3472172.999999999100,3518133.000000000500,3788543.000000000000,10778850.000000000000
FS( 23 ),3422253.000000000000,3441133.000000000500,3783923.000000000000,10647310.000000000000
FS( 24 ),3511172.999999999100,3518133.000000000500,3719522.999999999500,10748830.000000000000
FS( 25 ),3416012.999999999100,3333333.000000000000,3471303.000000000000,10220650.000000000000
FS( 26 ),3439413.000000000000,3441133.000000000500,3540253.000000000000,10420800.000000000000
FS( 27 ),3476852.999999999500,3441133.000000000500,3420693.000000000000,10338680.000000000000
FS( 28 ),3548612.999999999500,3518133.000000000500,3577003.000000000000,10643750.000000000000
FS( 29 ),3561092.999999999100,3456533.000000000500,3494263.000000000500,10511890.000000000000
FS( 30 ),3587612.999999999500,3471933.000000000500,3659813.000000000000,10719360.000000000000
FS( 31 ),3698373.000000000000,3471933.000000000500,3701182.999999999500,10871490.000000000000
FS( 32 ),3687453.000000000000,3379533.000000000500,3646023.000000000000,10713010.000000000000
FS( 33 ),3704612.999999999500,3333333.000000000000,3655193.000000000000,10693140.000000000000
FS( 34 ),3759212.999999999100,3287133.000000000900,3691943.000000000000,10738290.000000000000
FS( 35 ),3924572.999999999500,3287133.000000000900,3724143.000000000500,10935850.000000000000
FS( 36 ),3980732.999999999500,3317933.000000000500,3793092.999999999500,11091760.000000000000
FS( 37 ),3924572.999999999500,3348733.000000000500,3834463.000000000000,11107770.000000000000
FS( 38 ),4013492.999999999500,3256333.000000000000,3885073.000000000500,11154900.000000000000
FS( 39 ),4030652.999999999500,3364133.000000000500,3917272.999999999500,11312060.000000000000
FS( 40 ),4024413.000000000000,3379533.000000000500,3958643.000000000500,11362590.000000000000
FS( 41 ),4128932.999999999500,3364133.000000000500,3866663.000000000500,11359730.000000000000
