代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10339735.000000000000
真實報酬,339735.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,5019.157234251969
風險,100428.847631803420
起點值,0.049977246106
找到最佳解世代,1753
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
3045(42)[1],9999(50)[7],
Stock#,3045(42)[1],9999(50)[7],
張數,63,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,16070.000000000000,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),4908020.000000000900,5000000.000000000000,9908020.000000000000
FS( 3 ),4935110.000000000000,5000000.000000000000,9935110.000000000000
FS( 4 ),4962200.000000000000,5000000.000000000000,9962200.000000000000
FS( 5 ),4940150.000000000000,5000000.000000000000,9940150.000000000000
FS( 6 ),4929440.000000000000,5000000.000000000000,9929440.000000000000
FS( 7 ),4929440.000000000000,5000000.000000000000,9929440.000000000000
FS( 8 ),4897310.000000000900,5000000.000000000000,9897310.000000000000
FS( 9 ),4929440.000000000000,5000000.000000000000,9929440.000000000000
FS( 10 ),4908020.000000000900,5000000.000000000000,9908020.000000000000
FS( 11 ),4875890.000000000000,5000000.000000000000,9875890.000000000000
FS( 12 ),4908020.000000000900,5000000.000000000000,9908020.000000000000
FS( 13 ),4902350.000000000000,5000000.000000000000,9902350.000000000000
FS( 14 ),4918730.000000000000,5000000.000000000000,9918730.000000000000
FS( 15 ),4853840.000000000000,5000000.000000000000,9853840.000000000000
FS( 16 ),4832420.000000000000,5000000.000000000000,9832420.000000000000
FS( 17 ),4929440.000000000000,5000000.000000000000,9929440.000000000000
FS( 18 ),4853840.000000000000,5000000.000000000000,9853840.000000000000
FS( 19 ),4983619.999999999100,5000000.000000000000,9983620.000000000000
FS( 20 ),4956530.000000000000,5000000.000000000000,9956530.000000000000
FS( 21 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 22 ),4983619.999999999100,5000000.000000000000,9983620.000000000000
FS( 23 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 24 ),5048510.000000000000,5000000.000000000000,10048510.000000000000
FS( 25 ),4983619.999999999100,5000000.000000000000,9983620.000000000000
FS( 26 ),5042840.000000000000,5000000.000000000000,10042840.000000000000
FS( 27 ),5032130.000000000000,5000000.000000000000,10032130.000000000000
FS( 28 ),5069930.000000000000,5000000.000000000000,10069930.000000000000
FS( 29 ),5113400.000000000000,5000000.000000000000,10113400.000000000000
FS( 30 ),5156240.000000000000,5000000.000000000000,10156240.000000000000
FS( 31 ),5189000.000000000000,5000000.000000000000,10189000.000000000000
FS( 32 ),5199710.000000000000,5000000.000000000000,10199710.000000000000
FS( 33 ),5253260.000000000000,5000000.000000000000,10253260.000000000000
FS( 34 ),5242550.000000000000,5000000.000000000000,10242550.000000000000
FS( 35 ),5199710.000000000000,5000000.000000000000,10199710.000000000000
FS( 36 ),5166950.000000000000,5000000.000000000000,10166950.000000000000
FS( 37 ),5183329.999999999100,5000000.000000000000,10183330.000000000000
FS( 38 ),5210420.000000000000,5000000.000000000000,10210420.000000000000
FS( 39 ),5177660.000000000000,5000000.000000000000,10177660.000000000000
FS( 40 ),5166950.000000000000,5000000.000000000000,10166950.000000000000
FS( 41 ),5226800.000000000000,5000000.000000000000,10226800.000000000000
FS( 42 ),5345240.000000000000,5000000.000000000000,10345240.000000000000
FS( 43 ),5345240.000000000000,5000000.000000000000,10345240.000000000000
FS( 44 ),5323820.000000000000,5000000.000000000000,10323820.000000000000
FS( 45 ),5328860.000000000000,5000000.000000000000,10328860.000000000000
FS( 46 ),5302400.000000000000,5000000.000000000000,10302400.000000000000
FS( 47 ),5345240.000000000000,5000000.000000000000,10345240.000000000000
FS( 48 ),5264600.000000000000,5000000.000000000000,10264600.000000000000
FS( 49 ),5318150.000000000000,5000000.000000000000,10318150.000000000000
FS( 50 ),5307440.000000000000,5000000.000000000000,10307440.000000000000
FS( 51 ),5258930.000000000000,5000000.000000000000,10258930.000000000000
FS( 52 ),5328860.000000000000,5000000.000000000000,10328860.000000000000
FS( 53 ),5307440.000000000000,5000000.000000000000,10307440.000000000000
FS( 54 ),5258930.000000000000,5000000.000000000000,10258930.000000000000
FS( 55 ),5296730.000000000000,5000000.000000000000,10296730.000000000000
FS( 56 ),5334530.000000000000,5000000.000000000000,10334530.000000000000
FS( 57 ),5307440.000000000000,5000000.000000000000,10307440.000000000000
FS( 58 ),5307440.000000000000,5000000.000000000000,10307440.000000000000
FS( 59 ),5313110.000000000000,5000000.000000000000,10313110.000000000000
FS( 60 ),5280350.000000000000,5000000.000000000000,10280350.000000000000
FS( 61 ),5269640.000000000000,5000000.000000000000,10269640.000000000000
FS( 62 ),5307440.000000000000,5000000.000000000000,10307440.000000000000
FS( 63 ),5328860.000000000000,5010875.000000000000,10339735.000000000000
