代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11466010.000000000000
真實報酬,1466010.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,24232.797736220473
風險,75937.363848936322
起點值,0.319115604071
找到最佳解世代,2135
找到最佳解實驗#,2
找到最佳解次數,36

投資組合檔數,8
1101(0)[2],2311(15)[3],2324(17)[14],2347(20)[13],2454(27)[15],2474(28)[1],2498(29)[47],2886(36)[32],
Stock#,1101(0)[2],2311(15)[3],2324(17)[14],2347(20)[13],2454(27)[15],2474(28)[1],2498(29)[47],2886(36)[32],
張數,41,60,79,43,4,10,8,65,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,4010.000000000000,12200.000000000000,11280.000000000000,850.000000000000,27040.000000000000,79500.000000000000,69840.000000000000,14350.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1256560.000000000000,1262000.000000000000,1246840.000000000000,1253010.000000000000,1253360.000000000000,1245700.000000000000,1206240.000000000000,1264300.000000000000,9988010.000000000000
FS( 3 ),1248360.000000000200,1269800.000000000200,1258689.999999999800,1339010.000000000000,1238160.000000000000,1275800.000000000000,1285760.000000000000,1266900.000000000000,10182480.000000000000
FS( 4 ),1229500.000000000000,1252400.000000000000,1234990.000000000000,1344170.000000000000,1212840.000000000000,1318800.000000000200,1250000.000000000000,1244800.000000000000,10087500.000000000000
FS( 5 ),1246720.000000000000,1239800.000000000200,1202600.000000000000,1301170.000000000000,1209480.000000000000,1293000.000000000000,1261920.000000000000,1237650.000000000000,9992340.000000000000
FS( 6 ),1250000.000000000000,1239800.000000000200,1218400.000000000000,1337720.000000000000,1222960.000000000000,1310199.999999999800,1261920.000000000000,1237650.000000000000,10078650.000000000000
FS( 7 ),1234830.000000000000,1237400.000000000000,1167840.000000000000,1339010.000000000000,1212840.000000000000,1310199.999999999800,1333440.000000000000,1230500.000000000000,10066060.000000000000
FS( 8 ),1295510.000000000000,1232000.000000000000,1149670.000000000000,1385450.000000000200,1217920.000000000000,1327400.000000000000,1325520.000000000000,1222700.000000000000,10156170.000000000000
FS( 9 ),1313960.000000000000,1259599.999999999800,1137030.000000000000,1393620.000000000000,1263520.000000000000,1344700.000000000000,1337440.000000000000,1202550.000000000000,10252420.000000000000
FS( 10 ),1303710.000000000000,1262000.000000000000,1193120.000000000200,1375560.000000000000,1253360.000000000000,1349000.000000000000,1309600.000000000000,1197350.000000000000,10243700.000000000000
FS( 11 ),1306990.000000000000,1259599.999999999800,1174160.000000000000,1397060.000000000000,1243240.000000000000,1336000.000000000000,1325520.000000000000,1186950.000000000000,10229520.000000000000
FS( 12 ),1315600.000000000000,1265000.000000000000,1174160.000000000000,1494670.000000000200,1243240.000000000000,1340300.000000000000,1293680.000000000000,1197350.000000000000,10324000.000000000000
FS( 13 ),1310680.000000000000,1259599.999999999800,1171000.000000000000,1555729.999999999800,1293920.000000000000,1344700.000000000000,1285760.000000000000,1189549.999999999800,10410940.000000000000
FS( 14 ),1293870.000000000200,1257200.000000000000,1193120.000000000200,1542830.000000000000,1277040.000000000000,1314500.000000000000,1257920.000000000000,1186950.000000000000,10323430.000000000000
FS( 15 ),1317240.000000000000,1265000.000000000000,1186800.000000000000,1595720.000000000200,1270280.000000000000,1336000.000000000000,1257920.000000000000,1185000.000000000000,10413960.000000000000
FS( 16 ),1308630.000000000200,1259599.999999999800,1186800.000000000000,1572499.999999999800,1266880.000000000000,1327400.000000000000,1301680.000000000000,1185000.000000000000,10408490.000000000000
FS( 17 ),1315600.000000000000,1259599.999999999800,1250000.000000000000,1542830.000000000000,1268600.000000000000,1310199.999999999800,1281760.000000000000,1186950.000000000000,10415540.000000000000
FS( 18 ),1285260.000000000000,1269800.000000000200,1237360.000000000000,1534229.999999999800,1268600.000000000000,1297300.000000000000,1261920.000000000000,1186950.000000000000,10341420.000000000000
FS( 19 ),1298790.000000000000,1280000.000000000000,1243679.999999999800,1529499.999999999800,1263520.000000000000,1314500.000000000000,1246000.000000000000,1169400.000000000000,10345390.000000000000
FS( 20 ),1310680.000000000000,1292600.000000000000,1246840.000000000000,1527779.999999999800,1255080.000000000000,1346000.000000000000,1246000.000000000000,1169400.000000000000,10394380.000000000000
FS( 21 ),1334050.000000000000,1343000.000000000000,1278439.999999999800,1560890.000000000000,1266880.000000000000,1359399.999999999800,1313600.000000000000,1179800.000000000000,10636060.000000000000
FS( 22 ),1332409.999999999800,1360399.999999999800,1268960.000000000000,1588840.000000000000,1236480.000000000000,1354900.000000000000,1242080.000000000000,1177200.000000000200,10561270.000000000000
FS( 23 ),1323800.000000000000,1360399.999999999800,1275280.000000000000,1564330.000000000000,1255080.000000000000,1413300.000000000000,1242080.000000000000,1197350.000000000000,10631620.000000000000
FS( 24 ),1334050.000000000000,1362800.000000000200,1284760.000000000000,1574220.000000000200,1260120.000000000000,1399899.999999999800,1162560.000000000000,1218150.000000000000,10596560.000000000000
FS( 25 ),1340610.000000000200,1413200.000000000000,1337689.999999999800,1668390.000000000000,1268600.000000000000,1413300.000000000000,1110880.000000000000,1210350.000000000000,10763020.000000000000
FS( 26 ),1342659.999999999800,1413200.000000000000,1309250.000000000000,1631840.000000000000,1275320.000000000000,1395400.000000000000,1110880.000000000000,1205150.000000000000,10683700.000000000000
FS( 27 ),1342659.999999999800,1421000.000000000000,1366130.000000000000,1588840.000000000000,1277040.000000000000,1390899.999999999800,1071200.000000000000,1197350.000000000000,10655120.000000000000
FS( 28 ),1350860.000000000200,1446200.000000000000,1350330.000000000000,1603890.000000000000,1273640.000000000000,1399899.999999999800,1122800.000000000000,1215550.000000000000,10763170.000000000000
FS( 29 ),1350860.000000000200,1440800.000000000000,1391409.999999999800,1615499.999999999800,1277040.000000000000,1404300.000000000000,1142720.000000000000,1207749.999999999800,10830380.000000000000
FS( 30 ),1374639.999999999800,1410800.000000000000,1391409.999999999800,1607330.000000000000,1290560.000000000000,1422300.000000000000,1190400.000000000000,1215550.000000000000,10902990.000000000000
FS( 31 ),1357830.000000000200,1385600.000000000000,1350330.000000000000,1623670.000000000200,1278720.000000000000,1404300.000000000000,1166560.000000000000,1215550.000000000000,10782560.000000000000
FS( 32 ),1330770.000000000000,1380800.000000000000,1318730.000000000000,1605610.000000000000,1263520.000000000000,1381900.000000000000,1174480.000000000000,1210350.000000000000,10666160.000000000000
FS( 33 ),1389810.000000000000,1390399.999999999800,1337689.999999999800,1608620.000000000000,1277040.000000000000,1408800.000000000200,1158560.000000000000,1235700.000000000000,10806620.000000000000
FS( 34 ),1377919.999999999800,1398200.000000000000,1350330.000000000000,1578950.000000000200,1283800.000000000000,1422300.000000000000,1182400.000000000000,1243500.000000000000,10837400.000000000000
FS( 35 ),1373000.000000000000,1370600.000000000000,1375610.000000000000,1559170.000000000200,1277040.000000000000,1471700.000000000000,1170480.000000000000,1243500.000000000000,10841100.000000000000
FS( 36 ),1414820.000000000000,1375399.999999999800,1350330.000000000000,1550999.999999999800,1280400.000000000000,1503200.000000000000,1174480.000000000000,1274050.000000000000,10923680.000000000000
FS( 37 ),1401290.000000000000,1418000.000000000000,1315570.000000000200,1569060.000000000000,1275320.000000000000,1525600.000000000200,1182400.000000000000,1276650.000000000200,10963890.000000000000
FS( 38 ),1408260.000000000000,1430600.000000000000,1328210.000000000000,1547560.000000000000,1282080.000000000000,1521100.000000000000,1142720.000000000000,1279250.000000000000,10939780.000000000000
FS( 39 ),1408260.000000000000,1421000.000000000000,1321890.000000000000,1506279.999999999800,1283800.000000000000,1485199.999999999800,1134720.000000000000,1248700.000000000000,10809850.000000000000
FS( 40 ),1452130.000000000200,1425800.000000000000,1337689.999999999800,1509720.000000000200,1278720.000000000000,1480700.000000000000,1102960.000000000000,1268850.000000000000,10856570.000000000000
FS( 41 ),1445159.999999999800,1446200.000000000000,1369290.000000000000,1532940.000000000200,1261840.000000000000,1485199.999999999800,1118880.000000000000,1251300.000000000000,10910810.000000000000
FS( 42 ),1408260.000000000000,1425800.000000000000,1416689.999999999800,1507999.999999999800,1261840.000000000000,1543600.000000000000,1126800.000000000000,1258450.000000000200,10949440.000000000000
FS( 43 ),1428350.000000000200,1438400.000000000000,1507540.000000000000,1507999.999999999800,1270280.000000000000,1516600.000000000200,1122800.000000000000,1235700.000000000000,11027670.000000000000
FS( 44 ),1438600.000000000200,1478600.000000000000,1494900.000000000200,1574220.000000000200,1297280.000000000000,1566000.000000000000,1126800.000000000000,1274050.000000000000,11250450.000000000000
FS( 45 ),1452130.000000000200,1481000.000000000000,1448290.000000000000,1552720.000000000200,1309120.000000000000,1570500.000000000000,1142720.000000000000,1281850.000000000000,11238330.000000000000
FS( 46 ),1443520.000000000000,1446200.000000000000,1454610.000000000000,1554440.000000000200,1287160.000000000000,1503200.000000000000,1071200.000000000000,1284450.000000000000,11044780.000000000000
FS( 47 ),1472220.000000000000,1466000.000000000000,1448290.000000000000,1559170.000000000200,1305760.000000000000,1516600.000000000200,1075120.000000000000,1294200.000000000200,11137360.000000000000
FS( 48 ),1458689.999999999800,1470800.000000000000,1482260.000000000000,1547560.000000000000,1317560.000000000000,1534600.000000000000,1091040.000000000000,1296800.000000000000,11199310.000000000000
FS( 49 ),1452130.000000000200,1501400.000000000000,1475939.999999999800,1552720.000000000200,1326000.000000000000,1570500.000000000000,1071200.000000000000,1294200.000000000200,11244090.000000000000
FS( 50 ),1458689.999999999800,1473800.000000000000,1397730.000000000000,1552720.000000000200,1326000.000000000000,1534600.000000000000,1071200.000000000000,1294200.000000000200,11108940.000000000000
FS( 51 ),1482060.000000000000,1493600.000000000000,1445130.000000000000,1575940.000000000200,1358120.000000000000,1534600.000000000000,1083120.000000000000,1307200.000000000200,11279770.000000000000
FS( 52 ),1480419.999999999800,1481000.000000000000,1419850.000000000000,1555729.999999999800,1342920.000000000000,1525600.000000000200,1067200.000000000000,1299400.000000000000,11172120.000000000000
FS( 53 ),1484110.000000000200,1493600.000000000000,1445130.000000000000,1537670.000000000200,1358120.000000000000,1552600.000000000000,1118880.000000000000,1288999.999999999800,11279110.000000000000
FS( 54 ),1473860.000000000200,1486400.000000000000,1445130.000000000000,1539390.000000000000,1361480.000000000000,1561500.000000000000,1126800.000000000000,1296800.000000000000,11291360.000000000000
FS( 55 ),1458689.999999999800,1488800.000000000000,1457770.000000000000,1542830.000000000000,1349680.000000000000,1597500.000000000000,1106960.000000000000,1274050.000000000000,11276280.000000000000
FS( 56 ),1458689.999999999800,1470800.000000000000,1457770.000000000000,1569060.000000000000,1349680.000000000000,1610899.999999999800,1178480.000000000000,1274050.000000000000,11369430.000000000000
FS( 57 ),1448439.999999999800,1451000.000000000000,1457770.000000000000,1585830.000000000000,1364880.000000000000,1593000.000000000000,1150640.000000000000,1281850.000000000000,11333410.000000000000
FS( 58 ),1445159.999999999800,1461200.000000000000,1445130.000000000000,1575940.000000000200,1358120.000000000000,1642399.999999999800,1226160.000000000000,1286400.000000000000,11440510.000000000000
FS( 59 ),1421790.000000000000,1488800.000000000000,1460140.000000000000,1567340.000000000000,1339520.000000000000,1597500.000000000000,1261920.000000000000,1284450.000000000000,11421460.000000000000
FS( 60 ),1440240.000000000000,1473800.000000000000,1466460.000000000000,1554440.000000000200,1347960.000000000000,1606400.000000000000,1250000.000000000000,1304600.000000000000,11443900.000000000000
FS( 61 ),1434909.999999999800,1481000.000000000000,1463300.000000000000,1559170.000000000200,1361480.000000000000,1606400.000000000000,1222160.000000000000,1299400.000000000000,11427820.000000000000
FS( 62 ),1443520.000000000000,1496000.000000000000,1479100.000000000000,1572499.999999999800,1361480.000000000000,1624400.000000000000,1222160.000000000000,1312400.000000000000,11511560.000000000000
FS( 63 ),1443520.000000000000,1463600.000000000000,1457770.000000000000,1554440.000000000200,1385120.000000000000,1615400.000000000000,1218160.000000000000,1328000.000000000000,11466010.000000000000
