代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10657522.499275001000
真實報酬,657522.499275000770

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,11707.054879802336
風險,31968.988498335966
起點值,0.366200353208
找到最佳解世代,1374
找到最佳解實驗#,3
找到最佳解次數,5

投資組合檔數,12
1102(1)[6],2357(20)[23],2409(24)[43],2474(27)[9],2801(28)[3],2823(29)[50],2892(40)[1],3008(42)[11],3045(43)[22],4904(45)[21],5880(47)[2],9999(50)[41],
Stock#,1102(1)[6],2357(20)[23],2409(24)[43],2474(27)[9],2801(28)[3],2823(29)[50],2892(40)[1],3008(42)[11],3045(43)[22],4904(45)[21],5880(47)[2],9999(50)[41],
張數,32,3,72,3,52,29,52,0,8,12,64,-1,
FS( 32 ),938613.000000000000,854453.000000000000,847013.000000000230,929362.999999999880,898333.000000000000,793023.000000000120,878573.000000000120,833333.000000000000,852373.000000000000,853853.000000000230,880693.000000000000,833333.000000000000,10392960.000000000000
FS( 33 ),946293.000000000000,867143.000000000000,847013.000000000230,923542.999999999880,891053.000000000000,787802.999999999880,871293.000000000000,833333.000000000000,859973.000000000000,859493.000000000120,871733.000000000000,833333.000000000000,10392010.000000000000
FS( 34 ),953973.000000000000,862913.000000000000,847013.000000000230,925012.999999999880,893653.000000000000,787802.999999999880,881173.000000000120,833333.000000000000,859973.000000000000,859493.000000000120,868533.000000000000,833333.000000000000,10406210.000000000000
FS( 35 ),960053.000000000000,854453.000000000000,826133.000000000120,913372.999999999770,888973.000000000000,784032.999999999880,881173.000000000120,833333.000000000000,859973.000000000000,860693.000000000120,868533.000000000000,833333.000000000000,10364060.000000000000
FS( 36 ),968053.000000000000,865733.000000000000,829733.000000000120,929362.999999999880,893653.000000000000,802013.000000000000,883772.999999999880,833333.000000000000,859973.000000000000,859493.000000000120,874933.000000000000,833333.000000000000,10433390.000000000000
FS( 37 ),968053.000000000000,867143.000000000000,826133.000000000120,929362.999999999880,891053.000000000000,799403.000000000120,883772.999999999880,833333.000000000000,863733.000000000000,859493.000000000120,874933.000000000000,833333.000000000000,10429750.000000000000
FS( 38 ),964853.000000000000,861502.999999999880,836213.000000000120,933742.999999999880,891053.000000000000,813613.000000000000,883772.999999999880,833333.000000000000,859973.000000000000,871013.000000000120,874933.000000000000,833333.000000000000,10457340.000000000000
FS( 39 ),970933.000000000000,864322.999999999880,836213.000000000120,939562.999999999880,886373.000000000000,815063.000000000000,883772.999999999880,833333.000000000000,867573.000000000000,872093.000000000120,877493.000000000000,833333.000000000000,10480070.000000000000
FS( 40 ),969653.000000000000,860093.000000000000,847013.000000000230,935182.999999999880,888973.000000000000,817673.000000000000,883772.999999999880,833333.000000000000,863733.000000000000,871013.000000000120,874933.000000000000,833333.000000000000,10478710.000000000000
FS( 41 ),966453.000000000000,864322.999999999880,839813.000000000120,923542.999999999880,879092.999999999880,813613.000000000000,888453.000000000000,833333.000000000000,863733.000000000000,861773.000000000000,874933.000000000000,833333.000000000000,10442400.000000000000
