代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11299447.500000000000
真實報酬,1299447.500000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,21334.066123059394
風險,128761.292899458760
起點值,0.165686951743
找到最佳解世代,1608
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
2301(10)[1],4904(45)[4],9904(48)[6],9999(49)[13],
Stock#,2301(10)[1],4904(45)[4],9904(48)[6],9999(49)[13],
張數,122,65,136,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,6319.999999999534,33900.000000000000,320.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2486579.999999999100,2558500.000000000500,2505440.000000000500,2500000.000000000000,10050520.000000000000
FS( 3 ),2443879.999999999500,2645600.000000000000,2489120.000000000000,2500000.000000000000,10078600.000000000000
FS( 4 ),2460960.000000000000,2641050.000000000000,2525840.000000000000,2500000.000000000000,10127850.000000000000
FS( 5 ),2500000.000000000000,2708650.000000000000,2494560.000000000000,2500000.000000000000,10203210.000000000000
FS( 6 ),2500000.000000000000,2791200.000000000000,2483680.000000000000,2500000.000000000000,10274880.000000000000
FS( 7 ),2482919.999999999500,2713850.000000000000,2510880.000000000000,2500000.000000000000,10207650.000000000000
FS( 8 ),2482919.999999999500,2694350.000000000000,2451040.000000000000,2500000.000000000000,10128310.000000000000
FS( 9 ),2486579.999999999100,2631300.000000000000,2440160.000000000000,2500000.000000000000,10058040.000000000000
FS( 10 ),2529279.999999999500,2670300.000000000000,2489120.000000000000,2500000.000000000000,10188700.000000000000
FS( 11 ),2571980.000000000000,2718400.000000000000,2525840.000000000000,2500000.000000000000,10316220.000000000000
FS( 12 ),2645179.999999999100,2771699.999999999500,2500000.000000000000,2500000.000000000000,10416879.999999998000
FS( 13 ),2665919.999999999500,2883500.000000000500,2516320.000000000000,2500000.000000000000,10565740.000000000000
FS( 14 ),2742779.999999999500,2796400.000000000000,2445600.000000000000,2500000.000000000000,10484780.000000000000
FS( 15 ),2704960.000000000000,2704100.000000000000,2414320.000000000000,2500000.000000000000,10323380.000000000000
FS( 16 ),2730579.999999999100,2752850.000000000000,2398000.000000000000,2500000.000000000000,10381430.000000000000
FS( 17 ),2542699.999999999500,2752850.000000000000,2359920.000000000500,2500000.000000000000,10155470.000000000000
FS( 18 ),2628099.999999999100,2839950.000000000000,2381680.000000000000,2500000.000000000000,10349730.000000000000
FS( 19 ),2628099.999999999100,2830200.000000000000,2354480.000000000000,2500000.000000000000,10312780.000000000000
FS( 20 ),2631759.999999999500,2898450.000000000000,2392560.000000000000,2500000.000000000000,10422770.000000000000
FS( 21 ),2687879.999999999500,2859449.999999999500,2414320.000000000000,2500000.000000000000,10461650.000000000000
FS( 22 ),2764739.999999999500,2800950.000000000000,2414320.000000000000,2500000.000000000000,10480010.000000000000
FS( 23 ),2833060.000000000000,2859449.999999999500,2531280.000000000000,2500000.000000000000,10723790.000000000000
FS( 24 ),2781819.999999999500,2908199.999999999500,2553040.000000000000,2500000.000000000000,10743060.000000000000
FS( 25 ),2773279.999999999500,2908199.999999999500,2531280.000000000000,2500000.000000000000,10712760.000000000000
FS( 26 ),2764739.999999999500,2849700.000000000000,2536719.999999999500,2500000.000000000000,10651160.000000000000
FS( 27 ),2845259.999999999500,2893250.000000000000,2563920.000000000500,2500000.000000000000,10802430.000000000000
FS( 28 ),2853799.999999999500,2922500.000000000000,2574800.000000000000,2500000.000000000000,10851100.000000000000
FS( 29 ),2819639.999999999100,2922500.000000000000,2580240.000000000000,2500000.000000000000,10822380.000000000000
FS( 30 ),2768399.999999999500,2888700.000000000000,2596560.000000000000,2500000.000000000000,10753660.000000000000
FS( 31 ),2739119.999999999100,2898450.000000000000,2580240.000000000000,2500000.000000000000,10717810.000000000000
FS( 32 ),2756199.999999999500,2888700.000000000000,2580240.000000000000,2500000.000000000000,10725140.000000000000
FS( 33 ),2648839.999999999500,2878950.000000000000,2521760.000000000000,2500000.000000000000,10549550.000000000000
FS( 34 ),2713500.000000000000,2854250.000000000000,2558480.000000000000,2500000.000000000000,10626230.000000000000
FS( 35 ),2747659.999999999100,2694350.000000000000,2494560.000000000000,2500000.000000000000,10436570.000000000000
FS( 36 ),2751319.999999999500,2670300.000000000000,2467360.000000000000,2500000.000000000000,10388980.000000000000
FS( 37 ),2884299.999999999500,2747650.000000000000,2585680.000000000000,2500000.000000000000,10717630.000000000000
FS( 38 ),2905040.000000000000,2820449.999999999500,2591120.000000000000,2500000.000000000000,10816610.000000000000
FS( 39 ),2973359.999999999500,2800950.000000000000,2622400.000000000000,2500000.000000000000,10896710.000000000000
FS( 40 ),2887960.000000000000,2776900.000000000000,2627840.000000000000,2500000.000000000000,10792700.000000000000
FS( 41 ),2901379.999999999500,2786650.000000000000,2649600.000000000000,2500000.000000000000,10837630.000000000000
FS( 42 ),2901379.999999999500,2800950.000000000000,2665920.000000000500,2500000.000000000000,10868250.000000000000
FS( 43 ),2901379.999999999500,2810699.999999999500,2676800.000000000000,2500000.000000000000,10888880.000000000000
FS( 44 ),2918460.000000000000,2796400.000000000000,2665920.000000000500,2500000.000000000000,10880780.000000000000
FS( 45 ),2901379.999999999500,2791200.000000000000,2616960.000000000000,2500000.000000000000,10809540.000000000000
FS( 46 ),2952619.999999999100,2791200.000000000000,2682240.000000000000,2500000.000000000000,10926060.000000000000
FS( 47 ),2998980.000000000000,2800950.000000000000,2698560.000000000000,2500000.000000000000,10998490.000000000000
FS( 48 ),3080719.999999999500,2796400.000000000000,2713520.000000000000,2500000.000000000000,11090640.000000000000
FS( 49 ),3089259.999999999500,2771699.999999999500,2729840.000000000000,2500000.000000000000,11090800.000000000000
FS( 50 ),3114879.999999999500,2771699.999999999500,2729840.000000000000,2500000.000000000000,11116420.000000000000
FS( 51 ),3200279.999999999500,2761949.999999999500,2778800.000000000000,2500000.000000000000,11241030.000000000000
FS( 52 ),3200279.999999999500,2680050.000000000000,2773360.000000000000,2500000.000000000000,11153690.000000000000
FS( 53 ),3203939.999999999500,2655350.000000000000,2762480.000000000000,2500000.000000000000,11121770.000000000000
FS( 54 ),3203939.999999999500,2689150.000000000000,2767920.000000000500,2500000.000000000000,11161010.000000000000
FS( 55 ),3110000.000000000000,2761949.999999999500,2746160.000000000000,2500000.000000000000,11118110.000000000000
FS( 56 ),3101460.000000000000,2698900.000000000000,2735280.000000000000,2500000.000000000000,11035640.000000000000
FS( 57 ),3114879.999999999500,2718400.000000000000,2789680.000000000000,2500000.000000000000,11122960.000000000000
FS( 58 ),3123419.999999999500,2786650.000000000000,2826400.000000000000,2500000.000000000000,11236470.000000000000
FS( 59 ),3208819.999999999500,2800950.000000000000,2784240.000000000000,2505437.500000000000,11299447.500000000000
