代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12424840.000000000000
真實報酬,2424840.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,38156.037713946680
風險,197587.357479752570
起點值,0.193109712082
找到最佳解世代,2590
找到最佳解實驗#,4
找到最佳解次數,23

投資組合檔數,1
1326(5)[1],
Stock#,1326(5)[1],
張數,132,
分配資金,10000000.000000000000,
剩餘資金,6280.000000000000,
FS( 1 ),10000000.000000000000,10000000.000000000000
FS( 2 ),10187440.000000000000,10187440.000000000000
FS( 3 ),10261360.000000000000,10261360.000000000000
FS( 4 ),10398640.000000000000,10398640.000000000000
FS( 5 ),10621720.000000000000,10621720.000000000000
FS( 6 ),10634920.000000000000,10634920.000000000000
FS( 7 ),10485760.000000000000,10485760.000000000000
FS( 8 ),10385440.000000000000,10385440.000000000000
FS( 9 ),10137280.000000000000,10137280.000000000000
FS( 10 ),10174240.000000002000,10174240.000000002000
FS( 11 ),10013200.000000000000,10013200.000000000000
FS( 12 ),10410520.000000000000,10410520.000000000000
FS( 13 ),10361680.000000000000,10361680.000000000000
FS( 14 ),10510840.000000000000,10510840.000000000000
FS( 15 ),10597959.999999998000,10597959.999999998000
FS( 16 ),10609840.000000000000,10609840.000000000000
FS( 17 ),10534600.000000002000,10534600.000000002000
FS( 18 ),10621720.000000000000,10621720.000000000000
FS( 19 ),10485760.000000000000,10485760.000000000000
FS( 20 ),10597959.999999998000,10597959.999999998000
FS( 21 ),10597959.999999998000,10597959.999999998000
FS( 22 ),10572880.000000000000,10572880.000000000000
FS( 23 ),10572880.000000000000,10572880.000000000000
FS( 24 ),10646800.000000000000,10646800.000000000000
FS( 25 ),10646800.000000000000,10646800.000000000000
FS( 26 ),10795959.999999998000,10795959.999999998000
FS( 27 ),10908160.000000002000,10908160.000000002000
FS( 28 ),10908160.000000002000,10908160.000000002000
FS( 29 ),10908160.000000002000,10908160.000000002000
FS( 30 ),11069200.000000000000,11069200.000000000000
FS( 31 ),11442760.000000000000,11442760.000000000000
FS( 32 ),11566840.000000000000,11566840.000000000000
FS( 33 ),11504800.000000000000,11504800.000000000000
FS( 34 ),11504800.000000000000,11504800.000000000000
FS( 35 ),11628880.000000000000,11628880.000000000000
FS( 36 ),11752959.999999998000,11752959.999999998000
FS( 37 ),11591920.000000000000,11591920.000000000000
FS( 38 ),11741080.000000002000,11741080.000000002000
FS( 39 ),11679040.000000000000,11679040.000000000000
FS( 40 ),11690920.000000000000,11690920.000000000000
FS( 41 ),11642080.000000002000,11642080.000000002000
FS( 42 ),11628880.000000000000,11628880.000000000000
FS( 43 ),11690920.000000000000,11690920.000000000000
FS( 44 ),11791240.000000002000,11791240.000000002000
FS( 45 ),11952280.000000000000,11952280.000000000000
FS( 46 ),11617000.000000000000,11617000.000000000000
FS( 47 ),11964160.000000002000,11964160.000000002000
FS( 48 ),11828200.000000000000,11828200.000000000000
FS( 49 ),11815000.000000000000,11815000.000000000000
FS( 50 ),11741080.000000002000,11741080.000000002000
FS( 51 ),11940399.999999998000,11940399.999999998000
FS( 52 ),11952280.000000000000,11952280.000000000000
FS( 53 ),11766160.000000002000,11766160.000000002000
FS( 54 ),11828200.000000000000,11828200.000000000000
FS( 55 ),12051280.000000000000,12051280.000000000000
FS( 56 ),12188560.000000000000,12188560.000000000000
FS( 57 ),12089560.000000000000,12089560.000000000000
FS( 58 ),12138399.999999998000,12138399.999999998000
FS( 59 ),12188560.000000000000,12188560.000000000000
FS( 60 ),12250600.000000002000,12250600.000000002000
FS( 61 ),12424840.000000000000,12424840.000000000000
