代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12784220.000000000000
真實報酬,2784220.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,50864.344361041607
風險,102438.451645797370
起點值,0.496535661598
找到最佳解世代,1425
找到最佳解實驗#,1
找到最佳解次數,37

投資組合檔數,4
2105(9)[3],2301(12)[1],2308(14)[2],3481(44)[6],
Stock#,2105(9)[3],2301(12)[1],2308(14)[2],3481(44)[6],
張數,45,78,28,187,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,2050.000000000000,3220.000000000466,4920.000000000000,5420.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2496849.999999999500,2517940.000000000900,2500000.000000000000,2516830.000000000000,10031620.000000000000
FS( 3 ),2522500.000000000000,2514820.000000000900,2476480.000000000000,2567320.000000000000,10081120.000000000000
FS( 4 ),2519349.999999999500,2485180.000000000500,2547040.000000000500,2550489.999999999500,10102060.000000000000
FS( 5 ),2522500.000000000000,2485180.000000000500,2594080.000000000000,2668300.000000000000,10270060.000000000000
FS( 6 ),2496849.999999999500,2485180.000000000500,2594080.000000000000,2711310.000000000500,10287420.000000000000
FS( 7 ),2480650.000000000000,2570200.000000000000,2652880.000000000000,2694480.000000000000,10398210.000000000000
FS( 8 ),2490100.000000000000,2593600.000000000500,2688440.000000000000,2737489.999999999500,10509630.000000000000
FS( 9 ),2567500.000000000000,2596720.000000000500,2664640.000000000000,2701960.000000000000,10530820.000000000000
FS( 10 ),2561200.000000000000,2549920.000000000500,2688440.000000000000,2728140.000000000500,10527700.000000000000
FS( 11 ),2561200.000000000000,2543680.000000000500,2629360.000000000000,2761800.000000000000,10496040.000000000000
FS( 12 ),2586849.999999999500,2540560.000000000500,2629360.000000000000,2711310.000000000500,10468080.000000000000
FS( 13 ),2596300.000000000000,2675500.000000000000,2605840.000000000000,2778630.000000000000,10656270.000000000000
FS( 14 ),2612500.000000000000,2663800.000000000500,2629360.000000000000,2812290.000000000000,10717950.000000000000
FS( 15 ),2606200.000000000000,2675500.000000000000,2641120.000000000500,2761800.000000000000,10684620.000000000000
