代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10909127.141925000000
真實報酬,909127.141924999650

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,16307.147114422167
風險,76503.223229782699
起點值,0.213156340687
找到最佳解世代,1312
找到最佳解實驗#,1
找到最佳解次數,41

投資組合檔數,7
2002(8)[9],2408(23)[4],2801(28)[1],2886(35)[6],3008(41)[17],3481(43)[13],9999(49)[24],
Stock#,2002(8)[9],2408(23)[4],2801(28)[1],2886(35)[6],3008(41)[17],3481(43)[13],9999(49)[24],
張數,64,36,94,70,0,130,-1,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,21211.000000000000,4411.000000000000,11991.000000000000,3371.000000000000,1428571.000000000000,1171.000000000000,1428571.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1406811.000000000000,1397251.000000000000,1423870.999999999800,1425070.999999999800,1428571.000000000000,1435070.999999999800,1428571.000000000000,9945220.000000000000
FS( 3 ),1410011.000000000000,1404091.000000000000,1420111.000000000200,1457971.000000000200,1428571.000000000000,1415571.000000000000,1428571.000000000000,9964900.000000000000
FS( 4 ),1418971.000000000000,1402290.999999999800,1423870.999999999800,1451671.000000000200,1428571.000000000000,1441571.000000000000,1428571.000000000000,9995520.000000000000
FS( 5 ),1440731.000000000000,1404091.000000000000,1433271.000000000000,1455171.000000000000,1428571.000000000000,1448071.000000000000,1428571.000000000000,10038480.000000000000
FS( 6 ),1487451.000000000000,1409491.000000000000,1437031.000000000000,1494371.000000000000,1428571.000000000000,1454570.999999999800,1428571.000000000000,10140060.000000000000
FS( 7 ),1468891.000000000000,1348290.999999999800,1423870.999999999800,1457971.000000000200,1428571.000000000000,1383071.000000000000,1428571.000000000000,9939240.000000000000
FS( 8 ),1543131.000000000000,1411290.999999999800,1433271.000000000000,1517471.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10190880.000000000000
FS( 9 ),1536731.000000000000,1377810.999999999800,1420111.000000000200,1517471.000000000000,1428571.000000000000,1415571.000000000000,1428571.000000000000,10124840.000000000000
FS( 10 ),1530331.000000000000,1376371.000000000000,1420111.000000000200,1541270.999999999800,1428571.000000000000,1389570.999999999800,1428571.000000000000,10114800.000000000000
FS( 11 ),1530331.000000000000,1360531.000000000200,1423870.999999999800,1541270.999999999800,1428571.000000000000,1396071.000000000000,1428571.000000000000,10109220.000000000000
FS( 12 ),1509211.000000000000,1365571.000000000000,1428571.000000000000,1527971.000000000200,1428571.000000000000,1396071.000000000000,1428571.000000000000,10084540.000000000000
FS( 13 ),1524571.000000000000,1369170.999999999800,1433271.000000000000,1524471.000000000200,1428571.000000000000,1415571.000000000000,1428571.000000000000,10124200.000000000000
FS( 14 ),1509211.000000000000,1399051.000000000000,1420111.000000000200,1504871.000000000000,1428571.000000000000,1415571.000000000000,1428571.000000000000,10105960.000000000000
FS( 15 ),1536731.000000000000,1407691.000000000000,1428571.000000000000,1530771.000000000000,1428571.000000000000,1441571.000000000000,1428571.000000000000,10202480.000000000000
FS( 16 ),1536731.000000000000,1419931.000000000000,1437031.000000000000,1541270.999999999800,1428571.000000000000,1422070.999999999800,1428571.000000000000,10214180.000000000000
FS( 17 ),1543131.000000000000,1458451.000000000000,1450191.000000000000,1514671.000000000000,1428571.000000000000,1422070.999999999800,1428571.000000000000,10245660.000000000000
FS( 18 ),1548891.000000000000,1579051.000000000000,1450191.000000000000,1537771.000000000000,1428571.000000000000,1409071.000000000000,1428571.000000000000,10382120.000000000000
FS( 19 ),1573851.000000000000,1521451.000000000000,1454890.999999999800,1527971.000000000200,1428571.000000000000,1396071.000000000000,1428571.000000000000,10331380.000000000000
