代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11134397.141925000000
真實報酬,1134397.141924999700

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18322.667908010815
風險,106217.759104876120
起點值,0.172500983474
找到最佳解世代,1495
找到最佳解實驗#,1
找到最佳解次數,38

投資組合檔數,7
2308(15)[3],2311(16)[43],2330(20)[1],2357(24)[4],2382(25)[2],4904(46)[5],9999(50)[23],
Stock#,2308(15)[3],2311(16)[43],2330(20)[1],2357(24)[4],2382(25)[2],4904(46)[5],9999(50)[23],
張數,23,68,22,8,31,33,-1,
FS( 35 ),1633040.999999999800,1346291.000000000000,1541431.000000000000,1682571.000000000000,1589461.000000000000,1446060.999999999800,1428571.000000000000,10667430.000000000000
FS( 36 ),1702040.999999999800,1351051.000000000000,1572451.000000000000,1671611.000000000000,1575821.000000000000,1492921.000000000000,1428571.000000000000,10794470.000000000000
FS( 37 ),1690771.000000000000,1358531.000000000000,1577951.000000000000,1674411.000000000000,1620461.000000000000,1527241.000000000000,1428571.000000000000,10877940.000000000000
FS( 38 ),1679730.999999999800,1367371.000000000200,1581471.000000000000,1696251.000000000000,1611781.000000000200,1487971.000000000000,1428571.000000000000,10853150.000000000000
FS( 39 ),1623841.000000000200,1353771.000000000000,1548691.000000000000,1671611.000000000000,1569310.999999999800,1502491.000000000000,1428571.000000000000,10698290.000000000000
FS( 40 ),1670301.000000000000,1386411.000000000000,1588951.000000000000,1677131.000000000000,1611781.000000000200,1487971.000000000000,1428571.000000000000,10851120.000000000000
FS( 41 ),1661101.000000000000,1393211.000000000000,1583451.000000000000,1674411.000000000000,1618290.999999999800,1500181.000000000000,1428571.000000000000,10859220.000000000000
FS( 42 ),1623841.000000000200,1362611.000000000200,1557931.000000000000,1660731.000000000000,1629451.000000000200,1475431.000000000000,1428571.000000000000,10738570.000000000000
FS( 43 ),1614411.000000000000,1400010.999999999800,1572451.000000000000,1663451.000000000000,1741050.999999999800,1524931.000000000000,1428571.000000000000,10944880.000000000000
FS( 44 ),1575540.999999999800,1412250.999999999800,1576191.000000000000,1655291.000000000000,1738881.000000000000,1527241.000000000000,1428571.000000000000,10913970.000000000000
FS( 45 ),1567951.000000000000,1430611.000000000200,1574211.000000000000,1627931.000000000000,1705401.000000000000,1527241.000000000000,1428571.000000000000,10861920.000000000000
FS( 46 ),1614411.000000000000,1397971.000000000000,1539671.000000000200,1608811.000000000000,1696411.000000000000,1507441.000000000000,1428571.000000000000,10793290.000000000000
FS( 47 ),1579221.000000000000,1388451.000000000000,1552431.000000000000,1649771.000000000000,1692071.000000000000,1483021.000000000200,1428571.000000000000,10773540.000000000000
FS( 48 ),1555070.999999999800,1370091.000000000000,1537911.000000000200,1611531.000000000000,1645261.000000000200,1475431.000000000000,1428571.000000000000,10623870.000000000000
FS( 49 ),1566111.000000000000,1370091.000000000000,1519651.000000000200,1619771.000000000000,1696411.000000000000,1512391.000000000000,1428571.000000000000,10713000.000000000000
FS( 50 ),1562431.000000000200,1367371.000000000200,1526911.000000000200,1622491.000000000000,1680911.000000000000,1574101.000000000000,1428571.000000000000,10762790.000000000000
FS( 51 ),1573471.000000000000,1353771.000000000000,1530651.000000000200,1622491.000000000000,1676571.000000000000,1561891.000000000000,1428571.000000000000,10747420.000000000000
FS( 52 ),1661101.000000000000,1400010.999999999800,1572451.000000000000,1655291.000000000000,1676571.000000000000,1564201.000000000200,1428571.000000000000,10958200.000000000000
FS( 53 ),1662941.000000000000,1386411.000000000000,1572451.000000000000,1641611.000000000000,1698891.000000000000,1571790.999999999800,1428571.000000000000,10962670.000000000000
FS( 54 ),1612570.999999999800,1362611.000000000200,1552431.000000000000,1627931.000000000000,1676571.000000000000,1635810.999999999800,1428571.000000000000,10896500.000000000000
FS( 55 ),1623841.000000000200,1383691.000000000000,1574211.000000000000,1677131.000000000000,1703231.000000000000,1633171.000000000000,1428571.000000000000,11023850.000000000000
FS( 56 ),1679730.999999999800,1383691.000000000000,1588951.000000000000,1696251.000000000000,1727721.000000000000,1611060.999999999800,1428571.000000000000,11115980.000000000000
FS( 57 ),1685251.000000000000,1355811.000000000000,1561451.000000000000,1633451.000000000000,1729891.000000000000,1596211.000000000000,1428571.000000000000,10990640.000000000000
FS( 58 ),1670301.000000000000,1365331.000000000000,1561451.000000000000,1668891.000000000000,1725550.999999999800,1608751.000000000000,1428571.000000000000,11028850.000000000000
FS( 59 ),1698131.000000000000,1339491.000000000000,1566951.000000000000,1649771.000000000000,1718731.000000000000,1657921.000000000000,1428571.000000000000,11059570.000000000000
FS( 60 ),1716760.999999999800,1362611.000000000200,1559691.000000000000,1709851.000000000000,1705401.000000000000,1628221.000000000000,1428571.000000000000,11111110.000000000000
FS( 61 ),1661101.000000000000,1334731.000000000000,1555951.000000000000,1715371.000000000000,1687731.000000000000,1601161.000000000000,1428571.000000000000,10984620.000000000000
FS( 62 ),1588421.000000000000,1349010.999999999800,1592471.000000000000,1750811.000000000000,1669751.000000000000,1601161.000000000000,1428571.000000000000,10980200.000000000000
FS( 63 ),1620161.000000000000,1393211.000000000000,1606991.000000000000,1753611.000000000000,1729891.000000000000,1598851.000000000000,1431678.141925000100,11134397.141925000000
