代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11507544.998550000000
真實報酬,1507544.998549999700

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,25291.336761037564
風險,97357.064300048092
起點值,0.259779163873
找到最佳解世代,2131
找到最佳解實驗#,2
找到最佳解次數,35

投資組合檔數,6
1101(0)[1],2324(17)[6],2347(20)[13],2454(27)[10],2886(36)[18],9999(49)[33],
Stock#,1101(0)[1],2324(17)[6],2347(20)[13],2454(27)[10],2886(36)[18],9999(49)[33],
張數,57,124,57,5,96,-1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,19936.000000000000,7545.999999999767,15376.000000000000,246366.000000000000,11626.000000000000,1666666.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1603966.000000000000,1717505.999999999500,1662106.000000000000,1652266.000000000000,1666666.000000000000,1666666.000000000000,9969180.000000000000
FS( 3 ),1624486.000000000000,1806785.999999999800,1610236.000000000200,1627566.000000000000,1666666.000000000000,1666666.000000000000,10002410.000000000000
FS( 4 ),1635315.999999999800,1750985.999999999800,1570336.000000000000,1604916.000000000000,1695466.000000000000,1666666.000000000000,9923690.000000000000
FS( 5 ),1639876.000000000000,1746025.999999999800,1610236.000000000200,1668716.000000000200,1688746.000000000000,1666666.000000000000,10020270.000000000000
FS( 6 ),1628476.000000000000,1778265.999999999800,1601686.000000000000,1683116.000000000000,1678186.000000000000,1666666.000000000000,10036400.000000000000
FS( 7 ),1635315.999999999800,1774545.999999999800,1645576.000000000000,1701666.000000000000,1713706.000000000000,1666666.000000000000,10137480.000000000000
FS( 8 ),1664386.000000000000,1750985.999999999800,1611946.000000000200,1693416.000000000200,1760746.000000000000,1666666.000000000000,10148150.000000000000
FS( 9 ),1675216.000000000000,1769586.000000000000,1647856.000000000000,1687216.000000000200,1793385.999999999800,1666666.000000000000,10239930.000000000000
FS( 10 ),1704286.000000000200,1801825.999999999800,1660396.000000000000,1728416.000000000200,1800106.000000000000,1666666.000000000000,10361700.000000000000
FS( 11 ),1711126.000000000000,1796865.999999999800,1683196.000000000200,1720166.000000000000,1800106.000000000000,1666666.000000000000,10378130.000000000000
FS( 12 ),1715686.000000000000,1806785.999999999800,1670656.000000000000,1722266.000000000000,1793385.999999999800,1666666.000000000000,10375450.000000000000
FS( 13 ),1721956.000000000000,1811745.999999999800,1679206.000000000200,1682166.000000000200,1818346.000000000000,1666666.000000000000,10380090.000000000000
FS( 14 ),1726516.000000000200,1796865.999999999800,1691746.000000000200,1644166.000000000000,1810666.000000000000,1666666.000000000000,10336630.000000000000
FS( 15 ),1737916.000000000000,1778265.999999999800,1658116.000000000000,1608266.000000000000,1807786.000000000000,1666666.000000000000,10257020.000000000000
FS( 16 ),1746466.000000000000,1806785.999999999800,1680916.000000000000,1642065.999999999800,1810666.000000000000,1666666.000000000000,10353570.000000000000
FS( 17 ),1760146.000000000000,1872505.999999999500,1768696.000000000200,1696966.000000000000,1822186.000000000000,1666666.000000000000,10587170.000000000000
FS( 18 ),1733355.999999999800,1914666.000000000000,1749886.000000000000,1709616.000000000000,1822186.000000000000,1666666.000000000000,10596380.000000000000
FS( 19 ),1742476.000000000000,1896065.999999999800,1728226.000000000200,1745515.999999999800,1807786.000000000000,1666666.000000000000,10586740.000000000000
FS( 20 ),1740196.000000000000,1881185.999999999500,1708275.999999999800,1758166.000000000200,1810666.000000000000,1666666.000000000000,10565160.000000000000
FS( 21 ),1721386.000000000000,1886146.000000000000,1716826.000000000000,1770866.000000000000,1810666.000000000000,1666666.000000000000,10572560.000000000000
FS( 22 ),1759006.000000000200,1891105.999999999800,1699726.000000000200,1747616.000000000000,1843305.999999999800,1666666.000000000000,10607430.000000000000
FS( 23 ),1735636.000000000000,1956825.999999999800,1668946.000000000200,1766616.000000000000,1814506.000000000000,1666666.000000000000,10609200.000000000000
FS( 24 ),1752166.000000000000,1951865.999999999800,1671226.000000000200,1775066.000000000000,1836586.000000000000,1666666.000000000000,10653580.000000000000
FS( 25 ),1761286.000000000200,1946906.000000000000,1675216.000000000200,1779265.999999999800,1857706.000000000000,1666666.000000000000,10687050.000000000000
FS( 26 ),1749886.000000000000,1965505.999999999500,1789216.000000000200,1760265.999999999800,1861546.000000000000,1666666.000000000000,10793090.000000000000
FS( 27 ),1723666.000000000000,1928305.999999999800,1796055.999999999800,1728616.000000000000,1828906.000000000000,1666666.000000000000,10672220.000000000000
FS( 28 ),1747605.999999999800,1877465.999999999800,1739055.999999999800,1724416.000000000200,1818346.000000000000,1666666.000000000000,10573560.000000000000
FS( 29 ),1752166.000000000000,1902265.999999999800,1787505.999999999800,1741266.000000000000,1818346.000000000000,1666666.000000000000,10668220.000000000000
FS( 30 ),1731075.999999999800,1822906.000000000000,1789216.000000000200,1728616.000000000000,1807786.000000000000,1666666.000000000000,10546270.000000000000
FS( 31 ),1815436.000000000000,1794385.999999999800,1850776.000000000000,1734966.000000000200,1796265.999999999800,1666666.000000000000,10658500.000000000000
FS( 32 ),1841085.999999999800,1774545.999999999800,1861606.000000000000,1791966.000000000000,1766506.000000000000,1666666.000000000000,10702380.000000000000
FS( 33 ),1826835.999999999800,1862586.000000000000,1837666.000000000000,1779265.999999999800,1758825.999999999800,1666666.000000000000,10731850.000000000000
FS( 34 ),1831396.000000000000,1832825.999999999800,1866166.000000000000,1766616.000000000000,1743466.000000000000,1666666.000000000000,10707140.000000000000
FS( 35 ),1843365.999999999800,1832825.999999999800,1995556.000000000000,1766616.000000000000,1758825.999999999800,1666666.000000000000,10863860.000000000000
FS( 36 ),1836526.000000000200,1827865.999999999800,2076496.000000000000,1829966.000000000200,1747305.999999999800,1666666.000000000000,10984830.000000000000
FS( 37 ),1813156.000000000000,1862586.000000000000,2059396.000000000000,1808866.000000000000,1743466.000000000000,1666666.000000000000,10954140.000000000000
FS( 38 ),1845646.000000000000,1852666.000000000000,2129506.000000000000,1800416.000000000000,1740586.000000000000,1666666.000000000000,11035490.000000000000
FS( 39 ),1833676.000000000000,1852666.000000000000,2098726.000000000000,1796166.000000000000,1740586.000000000000,1666666.000000000000,10988490.000000000000
FS( 40 ),1843365.999999999800,1951865.999999999800,2059396.000000000000,1798315.999999999800,1743466.000000000000,1666666.000000000000,11063080.000000000000
