代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11712160.000000000000
真實報酬,1712160.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,27640.370255698501
風險,124765.790667617980
起點值,0.221538052280
找到最佳解世代,1436
找到最佳解實驗#,1
找到最佳解次數,40

投資組合檔數,8
1326(5)[36],2002(9)[12],2357(24)[29],2498(30)[10],2881(33)[1],2912(41)[3],3045(43)[28],3231(44)[22],
Stock#,1326(5)[36],2002(9)[12],2357(24)[29],2498(30)[10],2881(33)[1],2912(41)[3],3045(43)[28],3231(44)[22],
張數,22,59,5,6,50,10,15,68,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,11620.000000000233,2740.000000000000,122800.000000000000,19100.000000000000,24000.000000000000,15000.000000000000,76700.000000000000,11040.000000000000,
FS( 1 ),1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,10000000.000000000000
FS( 2 ),1246260.000000000000,1270060.000000000000,1230199.999999999800,1179380.000000000000,1280500.000000000000,1280400.000000000000,1255700.000000000000,1298960.000000000000,10041460.000000000000
FS( 3 ),1250000.000000000000,1264750.000000000000,1240999.999999999800,1161680.000000000000,1274500.000000000000,1297800.000000000000,1267250.000000000200,1316640.000000000000,10073620.000000000000
FS( 4 ),1246260.000000000000,1264750.000000000000,1250000.000000000000,1199960.000000000200,1303000.000000000000,1315200.000000000000,1255700.000000000000,1323440.000000000000,10158310.000000000000
FS( 5 ),1231740.000000000500,1270060.000000000000,1253600.000000000000,1247060.000000000000,1325500.000000000000,1332600.000000000000,1261550.000000000000,1341120.000000000000,10263230.000000000000
FS( 6 ),1206440.000000000500,1257670.000000000000,1246400.000000000000,1264760.000000000000,1307000.000000000000,1323899.999999999800,1255700.000000000000,1307800.000000000000,10169670.000000000000
FS( 7 ),1197420.000000000200,1264750.000000000000,1277050.000000000000,1350140.000000000000,1321500.000000000000,1323899.999999999800,1238450.000000000000,1311880.000000000000,10285090.000000000000
FS( 8 ),1186420.000000000200,1252360.000000000000,1266250.000000000000,1441460.000000000200,1321500.000000000000,1319600.000000000200,1221050.000000000200,1287400.000000000000,10296040.000000000000
FS( 9 ),1128340.000000000200,1242920.000000000000,1257200.000000000000,1344260.000000000000,1282500.000000000000,1297800.000000000000,1244150.000000000000,1256800.000000000000,10053970.000000000000
FS( 10 ),1106560.000000000200,1250000.000000000000,1253600.000000000000,1397239.999999999800,1295000.000000000000,1297800.000000000000,1273100.000000000000,1258840.000000000200,10132140.000000000000
FS( 11 ),1093800.000000000000,1245280.000000000000,1242800.000000000000,1417880.000000000000,1270500.000000000000,1293500.000000000000,1284650.000000000000,1258840.000000000200,10107250.000000000000
FS( 12 ),1122840.000000000200,1235250.000000000000,1233800.000000000000,1482680.000000000000,1270500.000000000000,1310900.000000000000,1290349.999999999800,1263600.000000000200,10209920.000000000000
FS( 13 ),1168380.000000000200,1242920.000000000000,1230199.999999999800,1453220.000000000200,1284500.000000000000,1310900.000000000000,1302050.000000000000,1274479.999999999800,10266650.000000000000
FS( 14 ),1166400.000000000200,1242920.000000000000,1232000.000000000000,1409060.000000000000,1293000.000000000000,1332600.000000000000,1296200.000000000000,1269720.000000000000,10241900.000000000000
