代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11439900.000000000000
真實報酬,1439900.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,21274.070661896243
風險,160332.007446336940
起點值,0.132687608674
找到最佳解世代,1312
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,1
3045(40)[1],
Stock#,3045(40)[1],
張數,238,
分配資金,10000000.000000000000,
剩餘資金,1620.000000000000,
FS( 1 ),10000000.000000000000,10000000.000000000000
FS( 2 ),10069020.000000000000,10069020.000000000000
FS( 3 ),10069020.000000000000,10069020.000000000000
FS( 4 ),10016659.999999998000,10016659.999999998000
FS( 5 ),9966680.000000000000,9966680.000000000000
FS( 6 ),10052360.000000000000,10052360.000000000000
FS( 7 ),9983340.000000000000,9983340.000000000000
FS( 8 ),9983340.000000000000,9983340.000000000000
FS( 9 ),10069020.000000000000,10069020.000000000000
FS( 10 ),10052360.000000000000,10052360.000000000000
FS( 11 ),10085680.000000000000,10085680.000000000000
FS( 12 ),10119000.000000000000,10119000.000000000000
FS( 13 ),10135659.999999998000,10135659.999999998000
FS( 14 ),10085680.000000000000,10085680.000000000000
FS( 15 ),10119000.000000000000,10119000.000000000000
FS( 16 ),10152319.999999998000,10152319.999999998000
FS( 17 ),10168980.000000000000,10168980.000000000000
FS( 18 ),10135659.999999998000,10135659.999999998000
FS( 19 ),10119000.000000000000,10119000.000000000000
FS( 20 ),10168980.000000000000,10168980.000000000000
FS( 21 ),10252280.000000000000,10252280.000000000000
FS( 22 ),10152319.999999998000,10152319.999999998000
FS( 23 ),10152319.999999998000,10152319.999999998000
FS( 24 ),10285600.000000000000,10285600.000000000000
FS( 25 ),10352240.000000000000,10352240.000000000000
FS( 26 ),10402220.000000000000,10402220.000000000000
FS( 27 ),10418880.000000000000,10418880.000000000000
FS( 28 ),10352240.000000000000,10352240.000000000000
FS( 29 ),10487900.000000000000,10487900.000000000000
FS( 30 ),10754460.000000000000,10754460.000000000000
FS( 31 ),10721140.000000000000,10721140.000000000000
FS( 32 ),10687819.999999998000,10687819.999999998000
FS( 33 ),10871080.000000002000,10871080.000000002000
FS( 34 ),10887740.000000000000,10887740.000000000000
FS( 35 ),11056720.000000000000,11056720.000000000000
FS( 36 ),11023400.000000000000,11023400.000000000000
FS( 37 ),10923440.000000000000,10923440.000000000000
FS( 38 ),10887740.000000000000,10887740.000000000000
FS( 39 ),10737800.000000000000,10737800.000000000000
FS( 40 ),10887740.000000000000,10887740.000000000000
FS( 41 ),10923440.000000000000,10923440.000000000000
FS( 42 ),11006740.000000000000,11006740.000000000000
FS( 43 ),10973420.000000002000,10973420.000000002000
FS( 44 ),11289960.000000000000,11289960.000000000000
FS( 45 ),10987700.000000000000,10987700.000000000000
FS( 46 ),10987700.000000000000,10987700.000000000000
FS( 47 ),11023400.000000000000,11023400.000000000000
FS( 48 ),11042440.000000000000,11042440.000000000000
FS( 49 ),11042440.000000000000,11042440.000000000000
FS( 50 ),11006740.000000000000,11006740.000000000000
FS( 51 ),10932960.000000000000,10932960.000000000000
FS( 52 ),10952000.000000000000,10952000.000000000000
FS( 53 ),10916300.000000000000,10916300.000000000000
FS( 54 ),11042440.000000000000,11042440.000000000000
FS( 55 ),11187620.000000000000,11187620.000000000000
FS( 56 ),11223319.999999998000,11223319.999999998000
FS( 57 ),11242360.000000000000,11242360.000000000000
FS( 58 ),11223319.999999998000,11223319.999999998000
FS( 59 ),11349460.000000000000,11349460.000000000000
FS( 60 ),11458940.000000000000,11458940.000000000000
FS( 61 ),11439900.000000000000,11439900.000000000000
FS( 62 ),11439900.000000000000,11439900.000000000000
FS( 63 ),11477980.000000000000,11477980.000000000000
FS( 64 ),11439900.000000000000,11439900.000000000000
