代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11888480.000000000000
真實報酬,1888480.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,29313.815518783544
風險,131489.775167837240
起點值,0.222936083672
找到最佳解世代,1269
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,9
2105(8)[9],2227(11)[21],2303(13)[3],2325(18)[1],2409(23)[8],3045(42)[11],4904(45)[5],4938(46)[4],9904(49)[2],
Stock#,2105(8)[9],2227(11)[21],2303(13)[3],2325(18)[1],2409(23)[8],3045(42)[11],4904(45)[5],4938(46)[4],9904(49)[2],
張數,17,5,94,31,86,13,19,23,36,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,59321.000000000000,5411.000000000233,3791.000000000000,6581.000000000000,6011.000000000000,15861.000000000000,28871.000000000000,22981.000000000000,23191.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1119951.000000000000,1097661.000000000200,1111111.000000000000,1111111.000000000000,1145511.000000000000,1112151.000000000000,1111111.000000000000,1087651.000000000000,1089871.000000000000,9986130.000000000000
FS( 3 ),1145111.000000000000,1099561.000000000200,1115811.000000000000,1112351.000000000000,1134331.000000000000,1106691.000000000000,1124221.000000000000,1085811.000000000000,1094911.000000000000,10018800.000000000000
FS( 4 ),1133211.000000000000,1078411.000000000200,1107351.000000000000,1117621.000000000200,1103371.000000000000,1115531.000000000000,1127641.000000000000,1079831.000000000200,1106070.999999999800,9969040.000000000000
FS( 5 ),1140691.000000000000,1066861.000000000200,1102651.000000000000,1111111.000000000000,1153251.000000000000,1098891.000000000000,1117761.000000000000,1093630.999999999800,1104631.000000000000,9989480.000000000000
FS( 6 ),1140691.000000000000,1093811.000000000200,1131791.000000000000,1104601.000000000000,1134331.000000000000,1109941.000000000000,1122701.000000000000,1130660.999999999800,1122271.000000000000,10090800.000000000000
