代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10918546.666425001000
真實報酬,918546.666425000880

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,16673.859703240320
風險,58883.924428479018
起點值,0.283164885239
找到最佳解世代,1563
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,9
2317(15)[3],2330(18)[11],2412(25)[13],2887(37)[6],2891(39)[15],2912(41)[2],3481(44)[16],5880(47)[1],9999(50)[32],
Stock#,2317(15)[3],2330(18)[11],2412(25)[13],2887(37)[6],2891(39)[15],2912(41)[2],3481(44)[16],5880(47)[1],9999(50)[32],
張數,12,6,11,100,63,5,91,81,-1,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,83671.000000000000,31111.000000000000,44990.999999999767,4111.000000000000,7981.000000000000,28060.999999999767,8191.000000000233,11941.000000000000,1111111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1118071.000000000000,1111111.000000000000,1116390.999999999800,1120111.000000000000,1119930.999999999800,1118360.999999999800,1124761.000000000200,1119211.000000000000,1111111.000000000000,10059060.000000000000
FS( 3 ),1108831.000000000000,1099471.000000000200,1121561.000000000000,1115111.000000000000,1117411.000000000000,1113510.999999999800,1115661.000000000200,1119211.000000000000,1111111.000000000000,10021880.000000000000
FS( 4 ),1121551.000000000000,1096591.000000000000,1121561.000000000000,1120111.000000000000,1119930.999999999800,1113510.999999999800,1115661.000000000200,1119211.000000000000,1111111.000000000000,10039240.000000000000
FS( 5 ),1128391.000000000000,1108231.000000000200,1121561.000000000000,1120111.000000000000,1119930.999999999800,1118360.999999999800,1133861.000000000000,1122451.000000000000,1111111.000000000000,10084010.000000000000
FS( 6 ),1130791.000000000000,1116931.000000000000,1126840.999999999800,1120111.000000000000,1123081.000000000000,1118360.999999999800,1133861.000000000000,1119211.000000000000,1111111.000000000000,10100300.000000000000
FS( 7 ),1114591.000000000000,1102411.000000000200,1132120.999999999500,1115111.000000000000,1123081.000000000000,1113510.999999999800,1115661.000000000200,1119211.000000000000,1111111.000000000000,10046810.000000000000
FS( 8 ),1121551.000000000000,1096591.000000000000,1126840.999999999800,1120111.000000000000,1129381.000000000000,1108710.999999999800,1102011.000000000200,1115161.000000000000,1111111.000000000000,10031470.000000000000
FS( 9 ),1122631.000000000000,1113990.999999999800,1132120.999999999500,1125111.000000000000,1135051.000000000000,1149861.000000000000,1088361.000000000000,1122451.000000000000,1111111.000000000000,10100690.000000000000
FS( 10 ),1122631.000000000000,1111111.000000000000,1132120.999999999500,1129111.000000000000,1126231.000000000000,1176510.999999999800,1106561.000000000500,1122451.000000000000,1111111.000000000000,10137840.000000000000
FS( 11 ),1123831.000000000000,1113990.999999999800,1126840.999999999800,1129111.000000000000,1141351.000000000000,1178960.999999999800,1106561.000000000500,1126501.000000000000,1111111.000000000000,10158260.000000000000
FS( 12 ),1133071.000000000000,1134331.000000000000,1137400.999999999800,1129111.000000000000,1143871.000000000000,1208010.999999999800,1120211.000000000200,1129741.000000000000,1111111.000000000000,10246860.000000000000
FS( 13 ),1138831.000000000000,1143031.000000000000,1147851.000000000000,1138111.000000000000,1153321.000000000000,1200760.999999999800,1120211.000000000200,1129741.000000000000,1111111.000000000000,10282970.000000000000
FS( 14 ),1137631.000000000000,1143031.000000000000,1158410.999999999800,1143111.000000000000,1150170.999999999800,1215310.999999999800,1120211.000000000200,1126501.000000000000,1111111.000000000000,10305490.000000000000
FS( 15 ),1140031.000000000200,1163371.000000000000,1158410.999999999800,1148111.000000000000,1150170.999999999800,1237110.999999999800,1124761.000000000200,1129741.000000000000,1111111.000000000000,10362820.000000000000
FS( 16 ),1140031.000000000200,1154671.000000000000,1142570.999999999800,1143111.000000000000,1141351.000000000000,1217710.999999999800,1111111.000000000000,1129741.000000000000,1111111.000000000000,10291410.000000000000
FS( 17 ),1137631.000000000000,1154671.000000000000,1142570.999999999800,1143111.000000000000,1147021.000000000000,1215310.999999999800,1111111.000000000000,1129741.000000000000,1111111.000000000000,10292280.000000000000
FS( 18 ),1129591.000000000000,1148851.000000000000,1142570.999999999800,1143111.000000000000,1147021.000000000000,1225010.999999999500,1092911.000000000200,1129741.000000000000,1111111.000000000000,10269920.000000000000
FS( 19 ),1128391.000000000000,1151731.000000000200,1147851.000000000000,1138111.000000000000,1138201.000000000000,1220160.999999999800,1092911.000000000200,1129741.000000000000,1111111.000000000000,10258210.000000000000
FS( 20 ),1136550.999999999800,1160490.999999999800,1147851.000000000000,1138111.000000000000,1126231.000000000000,1229810.999999999800,1102011.000000000200,1141080.999999999800,1111111.000000000000,10293250.000000000000
FS( 21 ),1140031.000000000200,1143031.000000000000,1137400.999999999800,1148111.000000000000,1131901.000000000000,1232260.999999999800,1174811.000000000500,1152421.000000000000,1111111.000000000000,10371080.000000000000
FS( 22 ),1138831.000000000000,1143031.000000000000,1137400.999999999800,1166111.000000000000,1131901.000000000000,1234660.999999999800,1138411.000000000200,1149181.000000000000,1111111.000000000000,10350640.000000000000
FS( 23 ),1134151.000000000000,1128511.000000000000,1126840.999999999800,1171111.000000000000,1131901.000000000000,1239510.999999999800,1142961.000000000200,1145131.000000000000,1111111.000000000000,10331230.000000000000
FS( 24 ),1215031.000000000200,1151731.000000000200,1132120.999999999500,1161111.000000000000,1138201.000000000000,1285560.999999999800,1152061.000000000500,1156471.000000000000,1111111.000000000000,10503400.000000000000
FS( 25 ),1206991.000000000000,1143031.000000000000,1137400.999999999800,1161111.000000000000,1131901.000000000000,1271010.999999999800,1147511.000000000200,1159711.000000000000,1111111.000000000000,10469780.000000000000
FS( 26 ),1193071.000000000000,1140151.000000000000,1142570.999999999800,1161111.000000000000,1123081.000000000000,1278310.999999999800,1187551.000000000500,1163761.000000000200,1111111.000000000000,10500720.000000000000
FS( 27 ),1197751.000000000000,1134331.000000000000,1137400.999999999800,1157111.000000000000,1123081.000000000000,1271010.999999999800,1260351.000000000200,1163761.000000000200,1111111.000000000000,10555910.000000000000
FS( 28 ),1202310.999999999800,1140151.000000000000,1132120.999999999500,1148111.000000000000,1126231.000000000000,1287960.999999999500,1219401.000000000200,1171051.000000000200,1111111.000000000000,10538450.000000000000
FS( 29 ),1206991.000000000000,1140151.000000000000,1132120.999999999500,1152111.000000000000,1129381.000000000000,1278310.999999999800,1296751.000000000200,1163761.000000000200,1111111.000000000000,10610690.000000000000
FS( 30 ),1220791.000000000200,1143031.000000000000,1132120.999999999500,1161111.000000000000,1129381.000000000000,1266160.999999999800,1292201.000000000200,1171051.000000000200,1111111.000000000000,10626960.000000000000
FS( 31 ),1200031.000000000200,1128511.000000000000,1132120.999999999500,1152111.000000000000,1114261.000000000000,1263760.999999999500,1292201.000000000200,1152421.000000000000,1111111.000000000000,10546530.000000000000
FS( 32 ),1206991.000000000000,1119810.999999999800,1142570.999999999800,1138111.000000000000,1114261.000000000000,1263760.999999999500,1336791.000000000200,1152421.000000000000,1111111.000000000000,10585830.000000000000
FS( 33 ),1203511.000000000000,1122750.999999999800,1137400.999999999800,1143111.000000000000,1126231.000000000000,1261310.999999999800,1345891.000000000200,1156471.000000000000,1111111.000000000000,10607790.000000000000
FS( 34 ),1189591.000000000000,1113990.999999999800,1126840.999999999800,1134111.000000000000,1107961.000000000000,1258910.999999999800,1324051.000000000500,1145131.000000000000,1111111.000000000000,10511700.000000000000
FS( 35 ),1191870.999999999800,1116931.000000000000,1121561.000000000000,1129111.000000000000,1105441.000000000000,1283161.000000000000,1283101.000000000200,1137841.000000000000,1111111.000000000000,10480130.000000000000
FS( 36 ),1197751.000000000000,1134331.000000000000,1126840.999999999800,1134111.000000000000,1111111.000000000000,1278310.999999999800,1274001.000000000200,1152421.000000000000,1111111.000000000000,10519990.000000000000
FS( 37 ),1203511.000000000000,1134331.000000000000,1126840.999999999800,1148111.000000000000,1111111.000000000000,1275860.999999999800,1242151.000000000200,1156471.000000000000,1111111.000000000000,10509500.000000000000
FS( 38 ),1213831.000000000000,1145971.000000000200,1132120.999999999500,1161111.000000000000,1126231.000000000000,1300110.999999999800,1332241.000000000200,1159711.000000000000,1111111.000000000000,10682440.000000000000
FS( 39 ),1217310.999999999800,1140151.000000000000,1126840.999999999800,1157111.000000000000,1135051.000000000000,1329161.000000000000,1319501.000000000200,1171051.000000000200,1111111.000000000000,10707290.000000000000
FS( 40 ),1218511.000000000000,1151731.000000000200,1126840.999999999800,1157111.000000000000,1135051.000000000000,1290410.999999999800,1287651.000000000200,1163761.000000000200,1111111.000000000000,10642180.000000000000
FS( 41 ),1224271.000000000000,1160490.999999999800,1116390.999999999800,1152111.000000000000,1138201.000000000000,1300110.999999999800,1283101.000000000200,1163761.000000000200,1111111.000000000000,10649550.000000000000
FS( 42 ),1238071.000000000000,1172071.000000000000,1126840.999999999800,1166111.000000000000,1141351.000000000000,1297660.999999999800,1305851.000000000200,1171051.000000000200,1111111.000000000000,10730120.000000000000
FS( 43 ),1243831.000000000000,1180771.000000000000,1132120.999999999500,1171111.000000000000,1147021.000000000000,1297660.999999999800,1292201.000000000200,1175100.999999999800,1111111.000000000000,10750930.000000000000
FS( 44 ),1243831.000000000000,1180771.000000000000,1137400.999999999800,1171111.000000000000,1147021.000000000000,1295260.999999999800,1327691.000000000200,1182391.000000000000,1111111.000000000000,10796590.000000000000
FS( 45 ),1238071.000000000000,1177891.000000000000,1132120.999999999500,1166111.000000000000,1141351.000000000000,1290410.999999999800,1296751.000000000200,1179151.000000000000,1111111.000000000000,10732970.000000000000
FS( 46 ),1249591.000000000000,1206931.000000000000,1142570.999999999800,1166111.000000000000,1147021.000000000000,1285560.999999999800,1251251.000000000200,1182391.000000000000,1111111.000000000000,10742540.000000000000
FS( 47 ),1284271.000000000000,1212750.999999999800,1147851.000000000000,1161111.000000000000,1147021.000000000000,1307361.000000000000,1192101.000000000200,1186441.000000000000,1111111.000000000000,10750020.000000000000
