代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11165570.000000000000
真實報酬,1165570.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,22223.501696095755
風險,108303.994289641080
起點值,0.205195587124
找到最佳解世代,1530
找到最佳解實驗#,3
找到最佳解次數,11

投資組合檔數,3
2317(16)[1],2474(28)[2],2882(33)[7],
Stock#,2317(16)[1],2474(28)[2],2882(33)[7],
張數,66,21,94,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,49173.000000000000,89043.000000000000,13253.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3315513.000000000000,3493773.000000000000,3314532.999999999500,10123820.000000000000
FS( 3 ),3297693.000000000000,3455973.000000000500,3257192.999999999500,10010860.000000000000
FS( 4 ),3333333.000000000000,3474873.000000000000,3306073.000000000000,10114280.000000000000
FS( 5 ),3337952.999999999500,3503013.000000000000,3291032.999999999500,10132000.000000000000
FS( 6 ),3310893.000000000500,3427623.000000000000,3268473.000000000500,10006990.000000000000
FS( 7 ),3355113.000000000000,3484323.000000000000,3279753.000000000000,10119190.000000000000
FS( 8 ),3337952.999999999500,3503013.000000000000,3291032.999999999500,10132000.000000000000
FS( 9 ),3333333.000000000000,3465423.000000000000,3268473.000000000500,10067230.000000000000
FS( 10 ),3377553.000000000000,3446523.000000000000,3272233.000000000000,10096310.000000000000
FS( 11 ),3372932.999999999500,3437073.000000000000,3309833.000000000000,10119840.000000000000
FS( 12 ),3386133.000000000000,3474873.000000000000,3397253.000000000000,10258260.000000000000
FS( 13 ),3395373.000000000500,3484323.000000000000,3408532.999999999500,10288230.000000000000
FS( 14 ),3395373.000000000500,3455973.000000000500,3408532.999999999500,10259880.000000000000
FS( 15 ),3359733.000000000000,3361683.000000000000,3385973.000000000500,10107390.000000000000
FS( 16 ),3341913.000000000500,3352232.999999999500,3449893.000000000500,10144040.000000000000
FS( 17 ),3364353.000000000000,3380583.000000000000,3526032.999999999500,10270970.000000000000
FS( 18 ),3382173.000000000000,3380583.000000000000,3507233.000000000000,10269990.000000000000
FS( 19 ),3377553.000000000000,3371132.999999999500,3526032.999999999500,10274720.000000000000
FS( 20 ),3399333.000000000000,3418173.000000000000,3541073.000000000000,10358580.000000000000
FS( 21 ),3492393.000000000500,3484323.000000000000,3533553.000000000000,10510270.000000000000
FS( 22 ),3500972.999999999500,3493773.000000000000,3522273.000000000000,10517020.000000000000
FS( 23 ),3496353.000000000000,3493773.000000000000,3495953.000000000000,10486080.000000000000
FS( 24 ),3536613.000000000000,3503013.000000000000,3548593.000000000000,10588220.000000000000
FS( 25 ),3509553.000000000000,3512463.000000000000,3533553.000000000000,10555570.000000000000
FS( 26 ),3514173.000000000000,3729393.000000000000,3495953.000000000000,10739520.000000000000
FS( 27 ),3563013.000000000000,3719943.000000000000,3526032.999999999500,10808990.000000000000
FS( 28 ),3576213.000000000000,3804993.000000000000,3510993.000000000500,10892200.000000000000
FS( 29 ),3500972.999999999500,3804993.000000000000,3541073.000000000000,10847040.000000000000
FS( 30 ),3514173.000000000000,3710493.000000000000,3484673.000000000000,10709340.000000000000
FS( 31 ),3514173.000000000000,3654003.000000000000,3518512.999999999500,10686690.000000000000
FS( 32 ),3474573.000000000000,3616203.000000000500,3473393.000000000500,10564170.000000000000
FS( 33 ),3496353.000000000000,3654003.000000000000,3495953.000000000000,10646310.000000000000
FS( 34 ),3531993.000000000000,3767193.000000000000,3484673.000000000000,10783860.000000000000
FS( 35 ),3549813.000000000000,3738843.000000000000,3537313.000000000500,10825970.000000000000
FS( 36 ),3536613.000000000000,3597513.000000000000,3533553.000000000000,10667680.000000000000
FS( 37 ),3536613.000000000000,3701253.000000000000,3571153.000000000000,10809020.000000000000
FS( 38 ),3540573.000000000000,3701253.000000000000,3571153.000000000000,10812980.000000000000
FS( 39 ),3536613.000000000000,3597513.000000000000,3582433.000000000000,10716560.000000000000
FS( 40 ),3549813.000000000000,3625653.000000000000,3571153.000000000000,10746620.000000000000
FS( 41 ),3576213.000000000000,3682353.000000000500,3586192.999999999500,10844760.000000000000
FS( 42 ),3594033.000000000000,3776643.000000000000,3681133.000000000000,11051810.000000000000
FS( 43 ),3584793.000000000000,3738843.000000000000,3666093.000000000000,10989730.000000000000
FS( 44 ),3597993.000000000000,3804993.000000000000,3730012.999999999500,11133000.000000000000
FS( 45 ),3553773.000000000000,3767193.000000000000,3699933.000000000000,11020900.000000000000
FS( 46 ),3536613.000000000000,3682353.000000000500,3643532.999999999500,10862500.000000000000
FS( 47 ),3536613.000000000000,3757743.000000000000,3688653.000000000000,10983010.000000000000
FS( 48 ),3558393.000000000500,3757743.000000000000,3669853.000000000000,10985990.000000000000
FS( 49 ),3602613.000000000000,3852033.000000000000,3651053.000000000000,11105700.000000000000
FS( 50 ),3633633.000000000000,3918183.000000000000,3609692.999999999500,11161510.000000000000
FS( 51 ),3660033.000000000000,3936873.000000000000,3602173.000000000000,11199080.000000000000
FS( 52 ),3681813.000000000000,3852033.000000000000,3541073.000000000000,11074920.000000000000
FS( 53 ),3726033.000000000000,3946323.000000000000,3541073.000000000000,11213430.000000000000
FS( 54 ),3752432.999999999500,3918183.000000000000,3586192.999999999500,11256810.000000000000
FS( 55 ),3748472.999999999500,3918183.000000000000,3567393.000000000500,11234050.000000000000
FS( 56 ),3809853.000000000000,4003023.000000000000,3571153.000000000000,11384030.000000000000
FS( 57 ),3778833.000000000000,3993573.000000000000,3624733.000000000000,11397140.000000000000
FS( 58 ),3765633.000000000000,4059513.000000000000,3617213.000000000500,11442360.000000000000
FS( 59 ),3752432.999999999500,3984123.000000000000,3578673.000000000000,11315230.000000000000
FS( 60 ),3801273.000000000000,3955773.000000000000,3563633.000000000000,11320680.000000000000
FS( 61 ),3796653.000000000000,3899283.000000000000,3469633.000000000000,11165570.000000000000
