代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11064159.998550000000
真實報酬,1064159.998549999700

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18055.087995742524
風險,38408.353103497437
起點值,0.470082326808
找到最佳解世代,1909
找到最佳解實驗#,24
找到最佳解次數,2

投資組合檔數,15
1102(1)[39],1326(5)[29],2002(7)[46],2412(24)[26],2880(29)[3],2882(31)[10],2885(34)[2],2887(36)[1],2892(39)[5],3008(41)[23],3045(42)[41],3481(44)[12],4904(45)[35],4938(46)[19],9999(50)[43],
Stock#,1102(1)[39],1326(5)[29],2002(7)[46],2412(24)[26],2880(29)[3],2882(31)[10],2885(34)[2],2887(36)[1],2892(39)[5],3008(41)[23],3045(42)[41],3481(44)[12],4904(45)[35],4938(46)[19],9999(50)[43],
張數,20,10,30,8,54,19,53,66,55,0,8,68,12,17,-1,
分配資金,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,
剩餘資金,10066.000000000116,46766.000000000000,8166.000000000000,42746.000000000000,10026.000000000000,14775.999999999884,9466.000000000000,2046.000000000000,2266.000000000000,666666.000000000000,38506.000000000000,8426.000000000000,25626.000000000000,30186.000000000000,666666.000000000000,
FS( 1 ),666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,666666.000000000000,10000000.000000000000
FS( 2 ),656866.000000000230,664066.000000000000,662766.000000000000,664026.000000000000,665046.000000000120,662105.999999999880,664545.999999999880,669306.000000000000,666666.000000000000,666666.000000000000,662746.000000000000,691145.999999999880,667626.000000000000,665986.000000000000,666666.000000000000,9996240.000000000000
FS( 3 ),658466.000000000230,660666.000000000000,665466.000000000000,664026.000000000000,666666.000000000000,693455.999999999880,670906.000000000000,678546.000000000000,668316.000000000000,666666.000000000000,659546.000000000000,685025.999999999880,669546.000000000000,694376.000000000000,666666.000000000000,10068350.000000000000
FS( 4 ),651866.000000000230,656366.000000000000,661566.000000000120,664026.000000000000,665046.000000000120,685095.999999999880,670906.000000000000,678546.000000000000,670516.000000000000,666666.000000000000,654346.000000000000,697266.000000000000,667626.000000000000,706785.999999999880,666666.000000000000,10063300.000000000000
FS( 5 ),653666.000000000120,664866.000000000000,661566.000000000120,664666.000000000000,668826.000000000000,703336.000000000000,675146.000000000120,681186.000000000000,673816.000000000120,666666.000000000000,667946.000000000000,703386.000000000000,663666.000000000000,681285.999999999880,666666.000000000000,10096700.000000000000
FS( 6 ),656066.000000000120,655465.999999999880,666666.000000000000,669306.000000000000,668826.000000000000,698015.999999999880,668785.999999999880,676566.000000000120,672166.000000000000,666666.000000000000,662746.000000000000,697266.000000000000,661746.000000000000,713586.000000000120,666666.000000000000,10100550.000000000000
FS( 7 ),653666.000000000120,652866.000000000000,665466.000000000000,664026.000000000000,668826.000000000000,694215.999999999770,666666.000000000000,678546.000000000000,668316.000000000000,666666.000000000000,654986.000000000000,697266.000000000000,660786.000000000000,720556.000000000000,666666.000000000000,10079530.000000000000
