代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11716010.000000000000
真實報酬,1716010.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,29986.451354941895
風險,110533.646087506540
起點值,0.271287996156
找到最佳解世代,2040
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,4
2105(9)[4],2324(15)[1],2412(24)[10],3045(41)[2],
Stock#,2105(9)[4],2324(15)[1],2412(24)[10],3045(41)[2],
張數,72,131,39,47,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,1600.000000000000,16240.000000000000,7120.000000000000,16049.999999999534,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2532399.999999999500,2500000.000000000000,2510920.000000000000,2510809.999999999100,10054130.000000000000
FS( 3 ),2568399.999999999500,2500000.000000000000,2505460.000000000000,2514569.999999999500,10088430.000000000000
FS( 4 ),2546800.000000000500,2613969.999999999500,2505460.000000000000,2514569.999999999500,10180800.000000000000
FS( 5 ),2525200.000000000000,2627070.000000000000,2502730.000000000000,2532429.999999999500,10187430.000000000000
FS( 6 ),2492800.000000000500,2604800.000000000500,2491810.000000000000,2500000.000000000000,10089410.000000000000
FS( 7 ),2525200.000000000000,2631000.000000000000,2472700.000000000000,2539479.999999999500,10168380.000000000000
FS( 8 ),2514399.999999999500,2653269.999999999500,2486350.000000000000,2586009.999999999500,10240029.999999998000
FS( 9 ),2463280.000000000000,2621830.000000000000,2486350.000000000000,2625489.999999999500,10196950.000000000000
FS( 10 ),2466880.000000000000,2595630.000000000500,2500000.000000000000,2653689.999999999500,10216200.000000000000
FS( 11 ),2478399.999999999500,2617900.000000000000,2508189.999999999500,2625489.999999999500,10229980.000000000000
FS( 12 ),2503600.000000000000,2617900.000000000000,2513649.999999999500,2675309.999999999100,10310460.000000000000
FS( 13 ),2600800.000000000500,2657200.000000000000,2516380.000000000000,2711029.999999999500,10485410.000000000000
FS( 14 ),2543200.000000000000,2709599.999999999500,2516380.000000000000,2668259.999999999500,10437440.000000000000
FS( 15 ),2543200.000000000000,2679469.999999999500,2497270.000000000000,2653689.999999999500,10373630.000000000000
FS( 16 ),2615200.000000000000,2718769.999999999500,2510920.000000000000,2671549.999999999500,10516440.000000000000
FS( 17 ),2622399.999999999500,2788200.000000000000,2505460.000000000000,2675309.999999999100,10591370.000000000000
FS( 18 ),2611600.000000000000,2831429.999999999500,2494540.000000000000,2671549.999999999500,10609120.000000000000
FS( 19 ),2615200.000000000000,2844530.000000000000,2491810.000000000000,2657449.999999999500,10608990.000000000000
FS( 20 ),2618800.000000000500,2848460.000000000500,2497270.000000000000,2650399.999999999500,10614930.000000000000
FS( 21 ),2651920.000000000000,2844530.000000000000,2491810.000000000000,2625489.999999999500,10613750.000000000000
FS( 22 ),2836240.000000000000,2809160.000000000000,2497270.000000000000,2650399.999999999500,10793070.000000000000
FS( 23 ),2811040.000000000000,2822260.000000000500,2497270.000000000000,2625489.999999999500,10756060.000000000000
FS( 24 ),2857840.000000000500,2853700.000000000000,2513649.999999999500,2653689.999999999500,10878880.000000000000
FS( 25 ),2865040.000000000000,2835360.000000000000,2519110.000000000000,2643349.999999999100,10862860.000000000000
FS( 26 ),2893840.000000000500,2848460.000000000500,2538220.000000000500,2639589.999999999500,10920110.000000002000
FS( 27 ),2890240.000000000000,2831429.999999999500,2565519.999999999500,2682359.999999999500,10969550.000000000000
FS( 28 ),2879440.000000000000,2861559.999999999500,2530030.000000000000,2668259.999999999500,10939290.000000000000
FS( 29 ),2893840.000000000500,2861559.999999999500,2532760.000000000500,2671549.999999999500,10959710.000000000000
FS( 30 ),2795920.000000000000,2844530.000000000000,2524570.000000000000,2661209.999999999500,10826230.000000000000
