代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10431877.500000000000
真實報酬,431877.500000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,13632.164720271447
風險,211625.667544443390
起點值,0.064416405054
找到最佳解世代,1462
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,4
1303(4)[4],2354(20)[1],4904(44)[10],9999(49)[23],
Stock#,1303(4)[4],2354(20)[1],4904(44)[10],9999(49)[23],
張數,61,37,100,-1,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,15470.000000000466,9900.000000000000,14000.000000000000,2500000.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2486580.000000000000,2500000.000000000000,2494000.000000000000,2500000.000000000000,9980580.000000000000
FS( 3 ),2517080.000000000000,2500000.000000000000,2504000.000000000000,2500000.000000000000,10021080.000000000000
FS( 4 ),2495120.000000000500,2511100.000000000000,2494000.000000000000,2500000.000000000000,10000220.000000000000
FS( 5 ),2521960.000000000900,2556239.999999999500,2500000.000000000000,2500000.000000000000,10078200.000000000000
FS( 6 ),2500000.000000000000,2567340.000000000000,2504000.000000000000,2500000.000000000000,10071340.000000000000
FS( 7 ),2477430.000000000500,2544770.000000000500,2514000.000000000000,2500000.000000000000,10036200.000000000000
FS( 8 ),2455470.000000000500,2657250.000000000000,2514000.000000000000,2500000.000000000000,10126720.000000000000
FS( 9 ),2486580.000000000000,2668350.000000000000,2520000.000000000000,2500000.000000000000,10174930.000000000000
FS( 10 ),2508540.000000000000,2645779.999999999500,2524000.000000000000,2500000.000000000000,10178320.000000000000
FS( 11 ),2526230.000000000000,2634679.999999999500,2524000.000000000000,2500000.000000000000,10184910.000000000000
FS( 12 ),2486580.000000000000,2623580.000000000000,2524000.000000000000,2500000.000000000000,10134160.000000000000
FS( 13 ),2459740.000000000500,2634679.999999999500,2510000.000000000000,2500000.000000000000,10104420.000000000000
FS( 14 ),2477430.000000000500,2601010.000000000000,2524000.000000000000,2500000.000000000000,10102440.000000000000
FS( 15 ),2477430.000000000500,2623580.000000000000,2524000.000000000000,2500000.000000000000,10125010.000000000000
FS( 16 ),2508540.000000000000,2612110.000000000000,2524000.000000000000,2500000.000000000000,10144650.000000000000
FS( 17 ),2521960.000000000900,2702020.000000000500,2514000.000000000000,2500000.000000000000,10237980.000000002000
FS( 18 ),2570150.000000000900,2702020.000000000500,2530000.000000000000,2500000.000000000000,10302170.000000002000
FS( 19 ),2552460.000000000900,2690920.000000000000,2547000.000000000000,2500000.000000000000,10290380.000000000000
FS( 20 ),2579300.000000000500,2724220.000000000000,2553000.000000000000,2500000.000000000000,10356520.000000000000
FS( 21 ),2574420.000000000900,2713120.000000000500,2534000.000000000000,2500000.000000000000,10321540.000000002000
FS( 22 ),2579300.000000000500,2724220.000000000000,2534000.000000000000,2500000.000000000000,10337520.000000000000
FS( 23 ),2587840.000000000500,2791560.000000000500,2550000.000000000000,2500000.000000000000,10429400.000000000000
FS( 24 ),2557340.000000000500,2746790.000000000000,2547000.000000000000,2500000.000000000000,10351130.000000000000
FS( 25 ),2636640.000000000500,2746790.000000000000,2540000.000000000000,2500000.000000000000,10423430.000000000000
FS( 26 ),2795240.000000000500,2746790.000000000000,2540000.000000000000,2500000.000000000000,10582030.000000000000
FS( 27 ),2817200.000000000500,2702020.000000000500,2490000.000000000000,2500000.000000000000,10509220.000000000000
FS( 28 ),2822080.000000000000,2702020.000000000500,2507000.000000000000,2500000.000000000000,10531100.000000000000
FS( 29 ),2883690.000000000900,2690920.000000000000,2557000.000000000000,2500000.000000000000,10631610.000000000000
FS( 30 ),2883690.000000000900,2757890.000000000000,2544000.000000000000,2500000.000000000000,10685580.000000000000
FS( 31 ),2856850.000000000500,2702020.000000000500,2517000.000000000000,2500000.000000000000,10575870.000000000000
FS( 32 ),2852580.000000000000,2735690.000000000000,2517000.000000000000,2500000.000000000000,10605270.000000000000
FS( 33 ),2844040.000000000000,2915140.000000000000,2540000.000000000000,2500000.000000000000,10799180.000000000000
FS( 34 ),2856850.000000000500,3117160.000000000000,2540000.000000000000,2500000.000000000000,11014010.000000000000
FS( 35 ),2830620.000000000500,3072020.000000000500,2534000.000000000000,2500000.000000000000,10936640.000000000000
FS( 36 ),2856850.000000000500,3128260.000000000000,2534000.000000000000,2500000.000000000000,11019110.000000000000
FS( 37 ),2852580.000000000000,3016150.000000000000,2524000.000000000000,2500000.000000000000,10892730.000000000000
FS( 38 ),2852580.000000000000,2814130.000000000000,2550000.000000000000,2500000.000000000000,10716710.000000000000
FS( 39 ),2822080.000000000000,2993580.000000000000,2540000.000000000000,2500000.000000000000,10855660.000000000000
FS( 40 ),2751320.000000000500,2870370.000000000500,2527000.000000000000,2500000.000000000000,10648690.000000000000
FS( 41 ),2742170.000000000900,2948810.000000000500,2567000.000000000000,2500000.000000000000,10757980.000000002000
FS( 42 ),2715940.000000000900,2926239.999999999500,2563000.000000000000,2500000.000000000000,10705180.000000000000
FS( 43 ),2662870.000000000500,2847800.000000000000,2593000.000000000000,2500000.000000000000,10603670.000000000000
FS( 44 ),2618950.000000000500,2757890.000000000000,2557000.000000000000,2500000.000000000000,10433840.000000000000
FS( 45 ),2601260.000000000500,2791560.000000000500,2567000.000000000000,2500000.000000000000,10459820.000000000000
FS( 46 ),2583570.000000000500,2870370.000000000500,2607000.000000000000,2500000.000000000000,10560940.000000000000
FS( 47 ),2618950.000000000500,2814130.000000000000,2563000.000000000000,2500000.000000000000,10496080.000000000000
FS( 48 ),2552460.000000000900,2657250.000000000000,2487000.000000000000,2500000.000000000000,10196710.000000000000
