代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10596452.499275001000
真實報酬,596452.499275000770

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10691.887871488749
風險,42699.896305069626
起點值,0.250396108578
找到最佳解世代,1639
找到最佳解實驗#,2
找到最佳解次數,20

投資組合檔數,12
1476(7)[21],2303(12)[17],2317(15)[2],2324(16)[1],2357(20)[7],2412(25)[13],3008(42)[30],3045(43)[4],3481(44)[51],4904(45)[10],5880(47)[5],9999(50)[39],
Stock#,1476(7)[21],2303(12)[17],2317(15)[2],2324(16)[1],2357(20)[7],2412(25)[13],3008(42)[30],3045(43)[4],3481(44)[51],4904(45)[10],5880(47)[5],9999(50)[39],
張數,2,76,10,47,3,8,0,8,59,12,63,-1,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,275913.000000000000,4933.000000000000,24233.000000000116,9893.000000000116,75233.000000000116,69413.000000000000,833333.000000000000,57733.000000000000,843.000000000000,13373.000000000000,4253.000000000000,833333.000000000000,
FS( 1 ),833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,10000000.000000000000
FS( 2 ),827613.000000000000,840933.000000000000,829433.000000000000,833333.000000000000,824873.000000000120,833333.000000000000,833333.000000000000,837093.000000000000,818583.000000000000,835613.000000000000,835852.999999999880,833333.000000000000,9983330.000000000000
FS( 3 ),830473.000000000000,844733.000000000120,841933.000000000000,837563.000000000120,817823.000000000120,837093.000000000000,833333.000000000000,856133.000000000000,815633.000000000120,840173.000000000120,847823.000000000000,833333.000000000000,10036050.000000000000
FS( 4 ),819993.000000000000,848533.000000000000,849633.000000000230,839913.000000000120,826283.000000000120,840933.000000000000,833333.000000000000,852293.000000000000,794983.000000000120,837893.000000000000,856643.000000000000,833333.000000000000,10033770.000000000000
FS( 5 ),824753.000000000000,844733.000000000120,866033.000000000230,837563.000000000120,815003.000000000120,837093.000000000000,833333.000000000000,848533.000000000000,765483.000000000120,840173.000000000120,859163.000000000000,833333.000000000000,10005200.000000000000
FS( 6 ),825713.000000000000,848533.000000000000,879433.000000000000,833333.000000000000,822053.000000000000,833333.000000000000,833333.000000000000,856133.000000000000,783183.000000000000,841373.000000000000,859163.000000000000,833333.000000000000,10048920.000000000000
FS( 7 ),854293.000000000000,855372.999999999880,881433.000000000120,839913.000000000120,826283.000000000120,840933.000000000000,833333.000000000000,856133.000000000000,763123.000000000000,836813.000000000000,862313.000000000000,833333.000000000000,10083280.000000000000
FS( 8 ),851433.000000000000,862973.000000000000,889133.000000000120,848843.000000000120,840383.000000000230,840933.000000000000,833333.000000000000,856133.000000000000,724773.000000000000,834533.000000000120,862313.000000000000,833333.000000000000,10078120.000000000000
FS( 9 ),855253.000000000000,862973.000000000000,890033.000000000120,848843.000000000120,851633.000000000230,840933.000000000000,833333.000000000000,867493.000000000000,721823.000000000000,841373.000000000000,865463.000000000000,833333.000000000000,10112490.000000000000
FS( 10 ),863833.000000000000,866773.000000000000,898733.000000000120,857773.000000000120,864323.000000000000,840933.000000000000,833333.000000000000,863733.000000000000,733623.000000000000,836813.000000000000,873653.000000000120,833333.000000000000,10166860.000000000000
FS( 11 ),849533.000000000000,870573.000000000120,899633.000000000230,866703.000000000230,847403.000000000120,840933.000000000000,833333.000000000000,867493.000000000000,736573.000000000000,841373.000000000000,873653.000000000120,833333.000000000000,10160540.000000000000
FS( 12 ),854293.000000000000,866773.000000000000,890033.000000000120,859653.000000000000,850223.000000000120,840933.000000000000,833333.000000000000,867493.000000000000,727723.000000000000,847013.000000000000,871133.000000000000,833333.000000000000,10141940.000000000000
FS( 13 ),857153.000000000000,866773.000000000000,889133.000000000120,853073.000000000230,851633.000000000230,844773.000000000000,833333.000000000000,875093.000000000000,724773.000000000000,853853.000000000000,873653.000000000120,833333.000000000000,10156580.000000000000
FS( 14 ),864773.000000000000,866773.000000000000,891033.000000000230,853073.000000000230,848813.000000000120,844773.000000000000,833333.000000000000,871333.000000000000,715922.999999999880,857333.000000000000,867983.000000000000,833333.000000000000,10148480.000000000000
FS( 15 ),862873.000000000000,866773.000000000000,894833.000000000120,862003.000000000000,847403.000000000120,840933.000000000000,833333.000000000000,878933.000000000000,727723.000000000000,851572.999999999880,867983.000000000000,833333.000000000000,10167700.000000000000
FS( 16 ),868593.000000000000,852333.000000000000,894833.000000000120,864353.000000000120,848813.000000000120,840933.000000000000,833333.000000000000,871333.000000000000,733623.000000000000,852773.000000000120,871133.000000000000,833333.000000000000,10165390.000000000000
FS( 17 ),870493.000000000000,866773.000000000000,892933.000000000120,859653.000000000000,861503.000000000120,848613.000000000000,833333.000000000000,878933.000000000000,724773.000000000000,858413.000000000000,862313.000000000000,833333.000000000000,10191070.000000000000
FS( 18 ),864773.000000000000,939733.000000000120,885233.000000000120,862003.000000000000,857273.000000000120,848613.000000000000,833333.000000000000,878933.000000000000,733623.000000000000,858413.000000000000,859163.000000000000,833333.000000000000,10254430.000000000000
FS( 19 ),866693.000000000000,914653.000000000000,880433.000000000120,853073.000000000230,848813.000000000120,844773.000000000000,833333.000000000000,878933.000000000000,715922.999999999880,859613.000000000000,859163.000000000000,833333.000000000000,10188740.000000000000
FS( 20 ),870493.000000000000,907052.999999999880,886233.000000000120,864353.000000000120,860093.000000000120,848613.000000000000,833333.000000000000,878933.000000000000,724773.000000000000,858413.000000000000,865463.000000000000,833333.000000000000,10231090.000000000000
FS( 21 ),850493.000000000000,896413.000000000000,878533.000000000230,875163.000000000120,861503.000000000120,852373.000000000000,833333.000000000000,882693.000000000000,718873.000000000000,858413.000000000000,865463.000000000000,833333.000000000000,10206590.000000000000
FS( 22 ),852393.000000000000,892613.000000000000,889133.000000000120,875163.000000000120,855863.000000000000,852373.000000000000,833333.000000000000,878933.000000000000,718873.000000000000,869933.000000000000,865463.000000000000,833333.000000000000,10217410.000000000000
FS( 23 ),851433.000000000000,917693.000000000000,894833.000000000120,873283.000000000230,858683.000000000000,852373.000000000000,833333.000000000000,886533.000000000000,730672.999999999880,871013.000000000000,867983.000000000000,833333.000000000000,10271170.000000000000
FS( 24 ),848573.000000000000,903253.000000000000,896833.000000000120,870933.000000000120,854453.000000000120,856213.000000000000,833333.000000000000,882693.000000000000,730672.999999999880,869933.000000000000,865463.000000000000,833333.000000000000,10245690.000000000000
FS( 25 ),836193.000000000000,892613.000000000000,883333.000000000000,848843.000000000120,858683.000000000000,860053.000000000000,833333.000000000000,882693.000000000000,718873.000000000000,860692.999999999880,865463.000000000000,833333.000000000000,10174110.000000000000
FS( 26 ),851433.000000000000,892613.000000000000,889133.000000000120,857773.000000000120,861503.000000000120,856213.000000000000,833333.000000000000,886533.000000000000,710023.000000000000,864173.000000000120,862313.000000000000,833333.000000000000,10198380.000000000000
FS( 27 ),850493.000000000000,899453.000000000000,890033.000000000120,868583.000000000000,864323.000000000000,860053.000000000000,833333.000000000000,890293.000000000000,701172.999999999880,864173.000000000120,867983.000000000000,833333.000000000000,10223230.000000000000
FS( 28 ),859073.000000000000,899453.000000000000,890033.000000000120,877513.000000000120,885473.000000000120,860053.000000000000,833333.000000000000,890293.000000000000,712973.000000000000,868733.000000000000,867983.000000000000,833333.000000000000,10278250.000000000000
FS( 29 ),856213.000000000000,903253.000000000000,891033.000000000230,873283.000000000230,882653.000000000120,856213.000000000000,833333.000000000000,894133.000000000000,712973.000000000000,859613.000000000000,871133.000000000000,833333.000000000000,10267170.000000000000
FS( 30 ),855253.000000000000,914653.000000000000,898733.000000000120,884093.000000000120,886883.000000000230,863893.000000000000,833333.000000000000,890293.000000000000,721823.000000000000,868733.000000000000,873653.000000000120,833333.000000000000,10324680.000000000000
