代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,10962895.000000000000
真實報酬,962895.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,18603.351678855495
風險,180870.186756039470
起點值,0.102854715929
找到最佳解世代,1913
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,2
2325(16)[1],9999(49)[4],
Stock#,2325(16)[1],9999(49)[4],
張數,129,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,34790.000000000000,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),5023220.000000000000,5000000.000000000000,10023220.000000000000
FS( 3 ),5167700.000000000000,5000000.000000000000,10167700.000000000000
FS( 4 ),5144480.000000000000,5000000.000000000000,10144480.000000000000
FS( 5 ),5121260.000000000000,5000000.000000000000,10121260.000000000000
FS( 6 ),5156090.000000000000,5000000.000000000000,10156090.000000000000
FS( 7 ),5063209.999999999100,5000000.000000000000,10063210.000000000000
FS( 8 ),4994840.000000000000,5000000.000000000000,9994840.000000000000
FS( 9 ),5109650.000000000900,5000000.000000000000,10109650.000000000000
FS( 10 ),5063209.999999999100,5000000.000000000000,10063210.000000000000
FS( 11 ),5016770.000000000000,5000000.000000000000,10016770.000000000000
FS( 12 ),5138030.000000000900,5000000.000000000000,10138030.000000000000
FS( 13 ),5172860.000000000000,5000000.000000000000,10172860.000000000000
FS( 14 ),5207690.000000000900,5000000.000000000000,10207690.000000000000
FS( 15 ),5149639.999999999100,5000000.000000000000,10149640.000000000000
FS( 16 ),5179310.000000000000,5000000.000000000000,10179310.000000000000
FS( 17 ),5219299.999999999100,5000000.000000000000,10219300.000000000000
FS( 18 ),5224459.999999999100,5000000.000000000000,10224460.000000000000
FS( 19 ),5310889.999999999100,5000000.000000000000,10310890.000000000000
FS( 20 ),5172860.000000000000,5000000.000000000000,10172860.000000000000
FS( 21 ),4994840.000000000000,5000000.000000000000,9994840.000000000000
FS( 22 ),5224459.999999999100,5000000.000000000000,10224460.000000000000
FS( 23 ),5224459.999999999100,5000000.000000000000,10224460.000000000000
FS( 24 ),5224459.999999999100,5000000.000000000000,10224460.000000000000
FS( 25 ),5224459.999999999100,5000000.000000000000,10224460.000000000000
FS( 26 ),5294120.000000000900,5000000.000000000000,10294120.000000000000
FS( 27 ),5282510.000000000000,5000000.000000000000,10282510.000000000000
FS( 28 ),5179310.000000000000,5000000.000000000000,10179310.000000000000
FS( 29 ),5305730.000000000000,5000000.000000000000,10305730.000000000000
FS( 30 ),5282510.000000000000,5000000.000000000000,10282510.000000000000
FS( 31 ),5287670.000000000000,5000000.000000000000,10287670.000000000000
FS( 32 ),5812700.000000000000,5000000.000000000000,10812700.000000000000
FS( 33 ),5686280.000000000900,5000000.000000000000,10686280.000000000000
FS( 34 ),5784320.000000000000,5000000.000000000000,10784320.000000000000
FS( 35 ),5767549.999999999100,5000000.000000000000,10767550.000000000000
FS( 36 ),5917190.000000000900,5000000.000000000000,10917190.000000000000
FS( 37 ),5812700.000000000000,5000000.000000000000,10812700.000000000000
FS( 38 ),6066830.000000000000,5000000.000000000000,11066830.000000000000
FS( 39 ),6066830.000000000000,5000000.000000000000,11066830.000000000000
FS( 40 ),6078440.000000000900,5000000.000000000000,11078440.000000000000
FS( 41 ),6043610.000000000000,5000000.000000000000,11043610.000000000000
FS( 42 ),6008780.000000000900,5000000.000000000000,11008780.000000000000
FS( 43 ),6008780.000000000900,5000000.000000000000,11008780.000000000000
FS( 44 ),6066830.000000000000,5000000.000000000000,11066830.000000000000
FS( 45 ),5985560.000000000000,5000000.000000000000,10985560.000000000000
FS( 46 ),6008780.000000000900,5000000.000000000000,11008780.000000000000
FS( 47 ),6032000.000000000000,5000000.000000000000,11032000.000000000000
FS( 48 ),6055220.000000000000,5000000.000000000000,11055220.000000000000
FS( 49 ),5963630.000000000000,5000000.000000000000,10963630.000000000000
FS( 50 ),5963630.000000000000,5000000.000000000000,10963630.000000000000
FS( 51 ),6066830.000000000000,5000000.000000000000,11066830.000000000000
FS( 52 ),6090049.999999999100,5000000.000000000000,11090050.000000000000
FS( 53 ),6078440.000000000900,5000000.000000000000,11078440.000000000000
FS( 54 ),6113270.000000000000,5000000.000000000000,11113270.000000000000
FS( 55 ),6055220.000000000000,5000000.000000000000,11055220.000000000000
FS( 56 ),6055220.000000000000,5000000.000000000000,11055220.000000000000
FS( 57 ),6078440.000000000900,5000000.000000000000,11078440.000000000000
FS( 58 ),6032000.000000000000,5000000.000000000000,11032000.000000000000
FS( 59 ),5973950.000000000000,5000000.000000000000,10973950.000000000000
FS( 60 ),5952020.000000000000,5000000.000000000000,10952020.000000000000
FS( 61 ),6032000.000000000000,5000000.000000000000,11032000.000000000000
FS( 62 ),6020389.999999999100,5000000.000000000000,11020390.000000000000
FS( 63 ),5917190.000000000900,5000000.000000000000,10917190.000000000000
FS( 64 ),5963630.000000000000,5000000.000000000000,10963630.000000000000
FS( 65 ),5952020.000000000000,5010875.000000000000,10962895.000000000000
