代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11210635.000000000000
真實報酬,1210635.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,26689.991055456172
風險,276998.067750984100
起點值,0.096354430456
找到最佳解世代,1549
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
2454(26)[1],9999(49)[2],
Stock#,2454(26)[1],9999(49)[2],
張數,24,-1,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,143840.000000000000,5000000.000000000000,
FS( 1 ),5000000.000000000000,5000000.000000000000,10000000.000000000000
FS( 2 ),5066480.000000000000,5000000.000000000000,10066480.000000000000
FS( 3 ),4933280.000000000900,5000000.000000000000,9933280.000000000000
FS( 4 ),4666639.999999999100,5000000.000000000000,9666640.000000000000
FS( 5 ),4409600.000000000000,5000000.000000000000,9409600.000000000000
FS( 6 ),4542800.000000000000,5000000.000000000000,9542800.000000000000
FS( 7 ),4847600.000000000000,5000000.000000000000,9847600.000000000000
FS( 8 ),5018960.000000000000,5000000.000000000000,10018960.000000000000
FS( 9 ),5171359.999999999100,5000000.000000000000,10171360.000000000000
FS( 10 ),5037920.000000000000,5000000.000000000000,10037920.000000000000
FS( 11 ),5218880.000000000000,5000000.000000000000,10218880.000000000000
FS( 12 ),5142800.000000000000,5000000.000000000000,10142800.000000000000
FS( 13 ),5018960.000000000000,5000000.000000000000,10018960.000000000000
FS( 14 ),4980800.000000000000,5000000.000000000000,9980800.000000000000
FS( 15 ),4942880.000000000000,5000000.000000000000,9942880.000000000000
FS( 16 ),5266399.999999999100,5000000.000000000000,10266400.000000000000
FS( 17 ),5323760.000000000000,5000000.000000000000,10323760.000000000000
FS( 18 ),5475920.000000000000,5000000.000000000000,10475920.000000000000
FS( 19 ),5495120.000000000000,5000000.000000000000,10495120.000000000000
FS( 20 ),5714000.000000000000,5000000.000000000000,10714000.000000000000
FS( 21 ),5647280.000000000900,5000000.000000000000,10647280.000000000000
FS( 22 ),5666480.000000000000,5000000.000000000000,10666480.000000000000
FS( 23 ),5695040.000000000900,5000000.000000000000,10695040.000000000000
FS( 24 ),5666480.000000000000,5000000.000000000000,10666480.000000000000
FS( 25 ),5732960.000000000000,5000000.000000000000,10732960.000000000000
FS( 26 ),5571200.000000000000,5000000.000000000000,10571200.000000000000
FS( 27 ),5361680.000000000000,5000000.000000000000,10361680.000000000000
FS( 28 ),5523680.000000000000,5000000.000000000000,10523680.000000000000
FS( 29 ),5542639.999999999100,5000000.000000000000,10542640.000000000000
FS( 30 ),5523680.000000000000,5000000.000000000000,10523680.000000000000
FS( 31 ),5542639.999999999100,5000000.000000000000,10542640.000000000000
FS( 32 ),5466560.000000000000,5000000.000000000000,10466560.000000000000
FS( 33 ),5790320.000000000900,5000000.000000000000,10790320.000000000000
FS( 34 ),6066320.000000000900,5000000.000000000000,11066320.000000000000
FS( 35 ),6037760.000000000000,5000000.000000000000,11037760.000000000000
FS( 36 ),6361520.000000000000,5000000.000000000000,11361520.000000000000
FS( 37 ),6599600.000000000000,5000000.000000000000,11599600.000000000000
FS( 38 ),6770960.000000000000,5000000.000000000000,11770960.000000000000
FS( 39 ),6314000.000000000000,5000000.000000000000,11314000.000000000000
FS( 40 ),5971040.000000000900,5000000.000000000000,10971040.000000000000
FS( 41 ),6371120.000000000900,5000000.000000000000,11371120.000000000000
FS( 42 ),6485360.000000000000,5000000.000000000000,11485360.000000000000
FS( 43 ),6399680.000000000000,5000000.000000000000,11399680.000000000000
FS( 44 ),6571040.000000000900,5000000.000000000000,11571040.000000000000
FS( 45 ),6332960.000000000000,5000000.000000000000,11332960.000000000000
FS( 46 ),6371120.000000000900,5000000.000000000000,11371120.000000000000
FS( 47 ),6399680.000000000000,5000000.000000000000,11399680.000000000000
FS( 48 ),6428240.000000000900,5000000.000000000000,11428240.000000000000
FS( 49 ),6056720.000000000000,5000000.000000000000,11056720.000000000000
FS( 50 ),6237680.000000000000,5000000.000000000000,11237680.000000000000
FS( 51 ),6409040.000000000900,5000000.000000000000,11409040.000000000000
FS( 52 ),6542480.000000000000,5000000.000000000000,11542480.000000000000
FS( 53 ),6551840.000000000000,5000000.000000000000,11551840.000000000000
FS( 54 ),6542480.000000000000,5000000.000000000000,11542480.000000000000
FS( 55 ),6599600.000000000000,5000000.000000000000,11599600.000000000000
FS( 56 ),6390080.000000000000,5000000.000000000000,11390080.000000000000
FS( 57 ),6361520.000000000000,5000000.000000000000,11361520.000000000000
FS( 58 ),6466160.000000000000,5000000.000000000000,11466160.000000000000
FS( 59 ),6694879.999999999100,5000000.000000000000,11694880.000000000000
FS( 60 ),6599600.000000000000,5000000.000000000000,11599600.000000000000
FS( 61 ),6580399.999999999100,5000000.000000000000,11580400.000000000000
FS( 62 ),6371120.000000000900,5000000.000000000000,11371120.000000000000
FS( 63 ),6314000.000000000000,5000000.000000000000,11314000.000000000000
FS( 64 ),6199760.000000000000,5010875.000000000000,11210635.000000000000
