代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11530330.000000000000
真實報酬,1530330.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,22936.320749195202
風險,85662.450205039189
起點值,0.267752331322
找到最佳解世代,1769
找到最佳解實驗#,2
找到最佳解次數,27

投資組合檔數,9
1216(2)[37],1301(3)[1],1476(7)[13],2324(16)[30],2408(23)[5],2454(26)[18],2823(29)[14],2884(34)[23],5880(47)[2],
Stock#,1216(2)[37],1301(3)[1],1476(7)[13],2324(16)[30],2408(23)[5],2454(26)[18],2823(29)[14],2884(34)[23],5880(47)[2],
張數,19,13,3,57,22,5,42,65,76,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,19181.000000000000,6371.000000000000,214950.999999999880,10441.000000000233,9790.999999999767,11961.000000000000,1891.000000000000,13911.000000000000,9111.000000000000,
FS( 1 ),1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,10000000.000000000000
FS( 2 ),1118521.000000000000,1109811.000000000000,1146841.000000000000,1113961.000000000200,1155990.999999999800,1140011.000000000200,1118671.000000000000,1114361.000000000000,1111111.000000000000,10129280.000000000000
FS( 3 ),1113011.000000000000,1111111.000000000000,1138261.000000000000,1108261.000000000500,1151810.999999999800,1147261.000000000000,1118671.000000000000,1114361.000000000000,1111111.000000000000,10113860.000000000000
FS( 4 ),1109401.000000000000,1112280.999999999800,1143991.000000000000,1111111.000000000000,1175350.999999999800,1183411.000000000000,1111111.000000000000,1116961.000000000000,1117951.000000000000,10181570.000000000000
FS( 5 ),1109401.000000000000,1120991.000000000000,1141141.000000000000,1111111.000000000000,1164570.999999999800,1193061.000000000000,1111111.000000000000,1111111.000000000000,1121751.000000000000,10184250.000000000000
FS( 6 ),1125741.000000000000,1127101.000000000000,1145431.000000000000,1111111.000000000000,1132450.999999999800,1226811.000000000000,1107331.000000000000,1111111.000000000000,1117951.000000000000,10205040.000000000000
FS( 7 ),1103891.000000000000,1109811.000000000000,1143991.000000000000,1097431.000000000200,1139050.999999999800,1236410.999999999800,1111111.000000000000,1111111.000000000000,1121751.000000000000,10174560.000000000000
FS( 8 ),1096481.000000000000,1118520.999999999800,1129711.000000000000,1105411.000000000200,1121890.999999999800,1219561.000000000200,1101451.000000000000,1108511.000000000000,1117951.000000000000,10119490.000000000000
FS( 9 ),1090971.000000000000,1109811.000000000000,1126830.999999999800,1105411.000000000200,1128270.999999999800,1209911.000000000000,1103551.000000000000,1108511.000000000000,1121751.000000000000,10105020.000000000000
FS( 10 ),1105601.000000000000,1116051.000000000000,1152571.000000000000,1105411.000000000200,1121890.999999999800,1202711.000000000000,1105231.000000000000,1108511.000000000000,1117951.000000000000,10135930.000000000000
FS( 11 ),1109401.000000000000,1123461.000000000200,1158270.999999999800,1113961.000000000200,1115510.999999999800,1217161.000000000000,1103551.000000000000,1099411.000000000000,1114911.000000000000,10155640.000000000000
FS( 12 ),1094581.000000000000,1119691.000000000000,1158270.999999999800,1113961.000000000200,1117490.999999999800,1221961.000000000000,1101451.000000000000,1108511.000000000000,1114911.000000000000,10150830.000000000000
